year,name
1982,0000_82_0504_41935ML Phylloscopus humei India Ben King_1982.Table.2.selections-mssplit.txt
1983,0000_83_02xx_Netherlands_Cornelius_P. humei_022A-WS4368XXXXXX-0101M0_1.Table.mssplit-call3.selections.txt
1983,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2.Table.mssplits.selections.txt
1986,0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3.Table.mssplit-4.selections.txt
1986,0000_86_02xx_Bharatpur_P. humei_Scharringa_022A-WS4368XXXXXX-0106M0_4.Table.mssplits-call2.selections.txt
1986,0000_86_05xx_Tuva Russia_Nicolai_P. humei_022A-WS4371XXXXXX-0104M0_5.Table.mssplit.selections.txt
1986,0000_86_06xx_xxxx_Svensson_P. humei_022A-WS4368XXXXXX-0110M0_6.Table.mssplit.selections.txt
1989,0000_89_0000_x_ Phyloscopus humei _Trevor Price overa Humei1989.Table.mssplit-call2.selections.txt
1989,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7.Table.mssplit-call1.selections.txt
1991,0000_91_0000_x_Phylloscopus humei Bharatpur K91 2_489-491.Table.mssplit.selections.txt
1991,0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468.Table.mssplit-call2.selections.txt
1991,0000_91_0000_x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.mssplit-call1.selections.txt
1991,0000_91_0000_x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.mssplit-call2.selections.txt
1991,0000_91_0000_x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.mssplit-call8.selections.txt
1991,0000_91_11xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0108M0.Table.mssplit-call3.selections.txt
1991,0000_91_11xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0109M0.Table.mssplit-call2.selections.txt
1991,0000_91_11xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0111M0.Table.mssplit-call4.selections.txt
1991,0000_91_0300x_Phylloscopus humei L PA_91_03_653-.Table.mssplit-call1.selections.txt
1991,0000_91_0300x_Phylloscopus humei L PA_91_03_653-.Table.mssplit-call2.selections.txt
1992,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230.Table.mssplit-call1.selections.txt
1992,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230.Table.mssplit-call2.selections.txt
1992,0000_92_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0102M0_3.Table.mssplit.selections.txt
1992,0000_92_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0103M0_4.Table.mssplit.selections.txt
1992,0000_92_01xx_Corbett_Pholt_P. humei_022A-WS4369XXXXXX-0101M0_5.Table.mssplit-call1.selections.txt
1992,0000_92_0100x_Phylloscopus humei L PA_92_01_553-.Table.mssplit-call2.selections.txt
1993,0000_93_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0104M0_1.Table.mssplit.selections.txt
1993,0000_93_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0_2.Table.mssplit-call1.selections.txt
