Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	62.201665343	62.202663075	2925.000	7470.000	4737.305	3531.445
2	Spectrogram 1	1	62.202663075	62.203660808	2925.000	7470.000	4737.305	3531.445
3	Spectrogram 1	1	62.203660808	62.204658540	2925.000	7470.000	3617.578	3531.445
4	Spectrogram 1	1	62.204658540	62.205656273	2925.000	7470.000	3617.578	3531.445
5	Spectrogram 1	1	62.205656273	62.206654005	2925.000	7470.000	3617.578	3531.445
6	Spectrogram 1	1	62.206654005	62.207651738	2925.000	7470.000	3617.578	3531.445
7	Spectrogram 1	1	62.207651738	62.208649470	2925.000	7470.000	3617.578	3531.445
8	Spectrogram 1	1	62.208649470	62.209647202	2925.000	7470.000	3617.578	3531.445
9	Spectrogram 1	1	62.209647202	62.210644935	2925.000	7470.000	3789.844	3789.844
10	Spectrogram 1	1	62.210644935	62.211642667	2925.000	7470.000	3789.844	3789.844
11	Spectrogram 1	1	62.211642667	62.212640400	2925.000	7470.000	3789.844	3789.844
12	Spectrogram 1	1	62.212640400	62.213638132	2925.000	7470.000	3789.844	3789.844
13	Spectrogram 1	1	62.213638132	62.214635865	2925.000	7470.000	3789.844	3789.844
14	Spectrogram 1	1	62.214635865	62.215633597	2925.000	7470.000	3962.109	3962.109
15	Spectrogram 1	1	62.215633597	62.216631329	2925.000	7470.000	3962.109	3962.109
16	Spectrogram 1	1	62.216631329	62.217629062	2925.000	7470.000	3962.109	3962.109
17	Spectrogram 1	1	62.217629062	62.218626794	2925.000	7470.000	3962.109	3962.109
18	Spectrogram 1	1	62.218626794	62.219624527	2925.000	7470.000	3962.109	3962.109
19	Spectrogram 1	1	62.219624527	62.220622259	2925.000	7470.000	3962.109	3962.109
20	Spectrogram 1	1	62.220622259	62.221619992	2925.000	7470.000	4220.508	4220.508
21	Spectrogram 1	1	62.221619992	62.222617724	2925.000	7470.000	4220.508	4220.508
22	Spectrogram 1	1	62.222617724	62.223615456	2925.000	7470.000	4220.508	4220.508
23	Spectrogram 1	1	62.223615456	62.224613189	2925.000	7470.000	4220.508	4220.508
24	Spectrogram 1	1	62.224613189	62.225610921	2925.000	7470.000	4220.508	4220.508
25	Spectrogram 1	1	62.225610921	62.226608654	2925.000	7470.000	4220.508	4220.508
26	Spectrogram 1	1	62.226608654	62.227606386	2925.000	7470.000	4220.508	4220.508
27	Spectrogram 1	1	62.227606386	62.228604119	2925.000	7470.000	4220.508	4220.508
28	Spectrogram 1	1	62.228604119	62.229601851	2925.000	7470.000	4220.508	4220.508
29	Spectrogram 1	1	62.229601851	62.230599583	2925.000	7470.000	4220.508	4220.508
30	Spectrogram 1	1	62.230599583	62.231597316	2925.000	7470.000	4220.508	4220.508
31	Spectrogram 1	1	62.231597316	62.232595048	2925.000	7470.000	4220.508	4220.508
32	Spectrogram 1	1	62.232595048	62.233592781	2925.000	7470.000	4306.641	4306.641
33	Spectrogram 1	1	62.233592781	62.234590513	2925.000	7470.000	4306.641	4306.641
34	Spectrogram 1	1	62.234590513	62.235588245	2925.000	7470.000	4306.641	4306.641
35	Spectrogram 1	1	62.235588245	62.236585978	2925.000	7470.000	4306.641	4306.641
36	Spectrogram 1	1	62.236585978	62.237583710	2925.000	7470.000	4306.641	4306.641
37	Spectrogram 1	1	62.237583710	62.238581443	2925.000	7470.000	4306.641	4306.641
38	Spectrogram 1	1	62.238581443	62.239579175	2925.000	7470.000	4306.641	4306.641
39	Spectrogram 1	1	62.239579175	62.240576908	2925.000	7470.000	4306.641	4306.641
40	Spectrogram 1	1	62.240576908	62.241574640	2925.000	7470.000	4306.641	4306.641
41	Spectrogram 1	1	62.241574640	62.242572372	2925.000	7470.000	4306.641	4306.641
42	Spectrogram 1	1	62.242572372	62.243570105	2925.000	7470.000	4306.641	4306.641
43	Spectrogram 1	1	62.243570105	62.244567837	2925.000	7470.000	4478.906	4478.906
44	Spectrogram 1	1	62.244567837	62.245565570	2925.000	7470.000	4478.906	4478.906
45	Spectrogram 1	1	62.245565570	62.246563302	2925.000	7470.000	4478.906	4478.906
46	Spectrogram 1	1	62.246563302	62.247561035	2925.000	7470.000	4478.906	4478.906
47	Spectrogram 1	1	62.247561035	62.248558767	2925.000	7470.000	4478.906	4478.906
