Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	37.082592419	37.083592419	2484.600	5481.500	3187.500	3187.500
2	Spectrogram 1	1	37.083592419	37.084592419	2484.600	5481.500	3000.000	3000.000
3	Spectrogram 1	1	37.084592419	37.085592419	2484.600	5481.500	3000.000	3000.000
4	Spectrogram 1	1	37.085592419	37.086592419	2484.600	5481.500	3000.000	3000.000
5	Spectrogram 1	1	37.086592419	37.087592419	2484.600	5481.500	3187.500	3187.500
6	Spectrogram 1	1	37.087592419	37.088592419	2484.600	5481.500	3187.500	3187.500
7	Spectrogram 1	1	37.088592419	37.089592419	2484.600	5481.500	3187.500	3187.500
8	Spectrogram 1	1	37.089592419	37.090592419	2484.600	5481.500	3375.000	3187.500
9	Spectrogram 1	1	37.090592419	37.091592419	2484.600	5481.500	3375.000	3187.500
10	Spectrogram 1	1	37.091592419	37.092592419	2484.600	5481.500	3375.000	3375.000
11	Spectrogram 1	1	37.092592419	37.093592419	2484.600	5481.500	3375.000	3375.000
12	Spectrogram 1	1	37.093592419	37.094592419	2484.600	5481.500	3375.000	3375.000
13	Spectrogram 1	1	37.094592419	37.095592419	2484.600	5481.500	3187.500	3187.500
14	Spectrogram 1	1	37.095592419	37.096592419	2484.600	5481.500	3187.500	3187.500
15	Spectrogram 1	1	37.096592419	37.097592419	2484.600	5481.500	3187.500	3187.500
16	Spectrogram 1	1	37.097592419	37.098592419	2484.600	5481.500	3375.000	3375.000
17	Spectrogram 1	1	37.098592419	37.099592419	2484.600	5481.500	3375.000	3375.000
18	Spectrogram 1	1	37.099592419	37.100592419	2484.600	5481.500	3562.500	3562.500
19	Spectrogram 1	1	37.100592419	37.101592419	2484.600	5481.500	3562.500	3562.500
20	Spectrogram 1	1	37.101592419	37.102592419	2484.600	5481.500	3562.500	3562.500
21	Spectrogram 1	1	37.102592419	37.103592419	2484.600	5481.500	3562.500	3562.500
22	Spectrogram 1	1	37.103592419	37.104592419	2484.600	5481.500	3562.500	3562.500
23	Spectrogram 1	1	37.104592419	37.105592419	2484.600	5481.500	3562.500	3562.500
24	Spectrogram 1	1	37.105592419	37.106592419	2484.600	5481.500	3750.000	3750.000
25	Spectrogram 1	1	37.106592419	37.107592419	2484.600	5481.500	3750.000	3750.000
26	Spectrogram 1	1	37.107592419	37.108592419	2484.600	5481.500	3750.000	3750.000
27	Spectrogram 1	1	37.108592419	37.109592419	2484.600	5481.500	3750.000	3750.000
28	Spectrogram 1	1	37.109592419	37.110592419	2484.600	5481.500	3750.000	3750.000
29	Spectrogram 1	1	37.110592419	37.111592419	2484.600	5481.500	3750.000	3750.000
30	Spectrogram 1	1	37.111592419	37.112592419	2484.600	5481.500	3750.000	3750.000
31	Spectrogram 1	1	37.112592419	37.113592419	2484.600	5481.500	3750.000	3750.000
32	Spectrogram 1	1	37.113592419	37.114592419	2484.600	5481.500	3937.500	3937.500
33	Spectrogram 1	1	37.114592419	37.115592419	2484.600	5481.500	3937.500	3937.500
34	Spectrogram 1	1	37.115592419	37.116592419	2484.600	5481.500	3937.500	3937.500
35	Spectrogram 1	1	37.116592419	37.117592419	2484.600	5481.500	3937.500	3937.500
36	Spectrogram 1	1	37.117592419	37.118592419	2484.600	5481.500	3937.500	3937.500
37	Spectrogram 1	1	37.118592419	37.119592419	2484.600	5481.500	3937.500	3937.500
38	Spectrogram 1	1	37.119592419	37.120592419	2484.600	5481.500	3937.500	3937.500
39	Spectrogram 1	1	37.120592419	37.121592419	2484.600	5481.500	3937.500	3937.500
