Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	75.621511194	75.622511194	2953.100	5953.100	3562.500	3375.000
2	Spectrogram 1	1	75.622511194	75.623511194	2953.100	5953.100	3187.500	3187.500
3	Spectrogram 1	1	75.623511194	75.624511194	2953.100	5953.100	3187.500	3187.500
4	Spectrogram 1	1	75.624511194	75.625511194	2953.100	5953.100	3187.500	3187.500
5	Spectrogram 1	1	75.625511194	75.626511194	2953.100	5953.100	3375.000	3375.000
6	Spectrogram 1	1	75.626511194	75.627511194	2953.100	5953.100	3375.000	3375.000
7	Spectrogram 1	1	75.627511194	75.628511194	2953.100	5953.100	3375.000	3375.000
8	Spectrogram 1	1	75.628511194	75.629511194	2953.100	5953.100	3375.000	3375.000
9	Spectrogram 1	1	75.629511194	75.630511194	2953.100	5953.100	3375.000	3375.000
10	Spectrogram 1	1	75.630511194	75.631511194	2953.100	5953.100	3375.000	3375.000
11	Spectrogram 1	1	75.631511194	75.632511194	2953.100	5953.100	3375.000	3375.000
12	Spectrogram 1	1	75.632511194	75.633511194	2953.100	5953.100	3375.000	3375.000
13	Spectrogram 1	1	75.633511194	75.634511194	2953.100	5953.100	3375.000	3375.000
14	Spectrogram 1	1	75.634511194	75.635511194	2953.100	5953.100	3375.000	3375.000
15	Spectrogram 1	1	75.635511194	75.636511194	2953.100	5953.100	3375.000	3375.000
16	Spectrogram 1	1	75.636511194	75.637511194	2953.100	5953.100	3375.000	3375.000
17	Spectrogram 1	1	75.637511194	75.638511194	2953.100	5953.100	3375.000	3375.000
18	Spectrogram 1	1	75.638511194	75.639511194	2953.100	5953.100	3562.500	3562.500
19	Spectrogram 1	1	75.639511194	75.640511194	2953.100	5953.100	3562.500	3562.500
20	Spectrogram 1	1	75.640511194	75.641511194	2953.100	5953.100	3562.500	3562.500
21	Spectrogram 1	1	75.641511194	75.642511194	2953.100	5953.100	3750.000	3750.000
22	Spectrogram 1	1	75.642511194	75.643511194	2953.100	5953.100	3750.000	3750.000
23	Spectrogram 1	1	75.643511194	75.644511194	2953.100	5953.100	3750.000	3750.000
24	Spectrogram 1	1	75.644511194	75.645511194	2953.100	5953.100	3750.000	3750.000
25	Spectrogram 1	1	75.645511194	75.646511194	2953.100	5953.100	3750.000	3750.000
26	Spectrogram 1	1	75.646511194	75.647511194	2953.100	5953.100	3750.000	3750.000
27	Spectrogram 1	1	75.647511194	75.648511194	2953.100	5953.100	3750.000	3750.000
28	Spectrogram 1	1	75.648511194	75.649511194	2953.100	5953.100	3750.000	3750.000
29	Spectrogram 1	1	75.649511194	75.650511194	2953.100	5953.100	3937.500	3937.500
30	Spectrogram 1	1	75.650511194	75.651511194	2953.100	5953.100	3937.500	3937.500
31	Spectrogram 1	1	75.651511194	75.652511194	2953.100	5953.100	3937.500	3937.500
32	Spectrogram 1	1	75.652511194	75.653511194	2953.100	5953.100	3937.500	3937.500
33	Spectrogram 1	1	75.653511194	75.654511194	2953.100	5953.100	3937.500	3937.500
34	Spectrogram 1	1	75.654511194	75.655511194	2953.100	5953.100	3937.500	3937.500
35	Spectrogram 1	1	75.655511194	75.656511194	2953.100	5953.100	3937.500	3937.500
36	Spectrogram 1	1	75.656511194	75.657511194	2953.100	5953.100	3937.500	3937.500
37	Spectrogram 1	1	75.657511194	75.658511194	2953.100	5953.100	4125.000	4125.000
38	Spectrogram 1	1	75.658511194	75.659511194	2953.100	5953.100	4125.000	4125.000
39	Spectrogram 1	1	75.659511194	75.660511194	2953.100	5953.100	4125.000	4125.000
40	Spectrogram 1	1	75.660511194	75.661511194	2953.100	5953.100	4125.000	4125.000
41	Spectrogram 1	1	75.661511194	75.662511194	2953.100	5953.100	4125.000	4125.000
42	Spectrogram 1	1	75.662511194	75.663511194	2953.100	5953.100	4125.000	4125.000
43	Spectrogram 1	1	75.663511194	75.664511194	2953.100	5953.100	4125.000	4125.000
44	Spectrogram 1	1	75.664511194	75.665511194	2953.100	5953.100	4125.000	4125.000
45	Spectrogram 1	1	75.665511194	75.666511194	2953.100	5953.100	4125.000	4125.000
46	Spectrogram 1	1	75.666511194	75.667511194	2953.100	5953.100	4125.000	4125.000
47	Spectrogram 1	1	75.667511194	75.668511194	2953.100	5953.100	4125.000	4125.000
48	Spectrogram 1	1	75.668511194	75.669511194	2953.100	5953.100	4125.000	4125.000
49	Spectrogram 1	1	75.669511194	75.670511194	2953.100	5953.100	4125.000	4125.000
50	Spectrogram 1	1	75.670511194	75.671511194	2953.100	5953.100	4312.500	4312.500
51	Spectrogram 1	1	75.671511194	75.672511194	2953.100	5953.100	4312.500	4312.500
52	Spectrogram 1	1	75.672511194	75.673511194	2953.100	5953.100	4312.500	4312.500
53	Spectrogram 1	1	75.673511194	75.674511194	2953.100	5953.100	4312.500	4312.500
54	Spectrogram 1	1	75.674511194	75.675511194	2953.100	5953.100	4312.500	4312.500
55	Spectrogram 1	1	75.675511194	75.676511194	2953.100	5953.100	4312.500	4312.500
56	Spectrogram 1	1	75.676511194	75.677511194	2953.100	5953.100	4312.500	4312.500
57	Spectrogram 1	1	75.677511194	75.678511194	2953.100	5953.100	4312.500	4312.500
58	Spectrogram 1	1	75.678511194	75.679511194	2953.100	5953.100	4312.500	4312.500
59	Spectrogram 1	1	75.679511194	75.680511194	2953.100	5953.100	4312.500	4312.500
60	Spectrogram 1	1	75.680511194	75.681511194	2953.100	5953.100	4312.500	4312.500
61	Spectrogram 1	1	75.681511194	75.682511194	2953.100	5953.100	4312.500	4312.500
62	Spectrogram 1	1	75.682511194	75.683511194	2953.100	5953.100	4312.500	4312.500
63	Spectrogram 1	1	75.683511194	75.684511194	2953.100	5953.100	4312.500	4312.500
64	Spectrogram 1	1	75.684511194	75.685511194	2953.100	5953.100	4312.500	4312.500
