Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	157.198640299	157.199640299	2738.800	6465.300	4687.500	4687.500
2	Spectrogram 1	1	157.199640299	157.200640299	2738.800	6465.300	4687.500	4687.500
3	Spectrogram 1	1	157.200640299	157.201640299	2738.800	6465.300	4687.500	4687.500
4	Spectrogram 1	1	157.201640299	157.202640299	2738.800	6465.300	5625.000	5625.000
5	Spectrogram 1	1	157.202640299	157.203640299	2738.800	6465.300	5625.000	5625.000
6	Spectrogram 1	1	157.203640299	157.204640299	2738.800	6465.300	4687.500	3000.000
7	Spectrogram 1	1	157.204640299	157.205640299	2738.800	6465.300	4687.500	3000.000
8	Spectrogram 1	1	157.205640299	157.206640299	2738.800	6465.300	4687.500	3000.000
9	Spectrogram 1	1	157.206640299	157.207640299	2738.800	6465.300	5437.500	3187.500
10	Spectrogram 1	1	157.207640299	157.208640299	2738.800	6465.300	5437.500	3187.500
11	Spectrogram 1	1	157.208640299	157.209640299	2738.800	6465.300	5437.500	3187.500
12	Spectrogram 1	1	157.209640299	157.210640299	2738.800	6465.300	3375.000	3187.500
13	Spectrogram 1	1	157.210640299	157.211640299	2738.800	6465.300	3375.000	3187.500
14	Spectrogram 1	1	157.211640299	157.212640299	2738.800	6465.300	3375.000	3375.000
15	Spectrogram 1	1	157.212640299	157.213640299	2738.800	6465.300	3375.000	3375.000
16	Spectrogram 1	1	157.213640299	157.214640299	2738.800	6465.300	3375.000	3375.000
17	Spectrogram 1	1	157.214640299	157.215640299	2738.800	6465.300	3937.500	3562.500
18	Spectrogram 1	1	157.215640299	157.216640299	2738.800	6465.300	3937.500	3562.500
19	Spectrogram 1	1	157.216640299	157.217640299	2738.800	6465.300	3937.500	3562.500
20	Spectrogram 1	1	157.217640299	157.218640299	2738.800	6465.300	3562.500	3375.000
21	Spectrogram 1	1	157.218640299	157.219640299	2738.800	6465.300	3562.500	3375.000
22	Spectrogram 1	1	157.219640299	157.220640299	2738.800	6465.300	3562.500	3562.500
23	Spectrogram 1	1	157.220640299	157.221640299	2738.800	6465.300	3562.500	3562.500
24	Spectrogram 1	1	157.221640299	157.222640299	2738.800	6465.300	3562.500	3562.500
25	Spectrogram 1	1	157.222640299	157.223640299	2738.800	6465.300	3562.500	3562.500
26	Spectrogram 1	1	157.223640299	157.224640299	2738.800	6465.300	3562.500	3562.500
27	Spectrogram 1	1	157.224640299	157.225640299	2738.800	6465.300	3562.500	3562.500
28	Spectrogram 1	1	157.225640299	157.226640299	2738.800	6465.300	3562.500	3562.500
29	Spectrogram 1	1	157.226640299	157.227640299	2738.800	6465.300	3562.500	3562.500
30	Spectrogram 1	1	157.227640299	157.228640299	2738.800	6465.300	3562.500	3562.500
31	Spectrogram 1	1	157.228640299	157.229640299	2738.800	6465.300	3562.500	3562.500
32	Spectrogram 1	1	157.229640299	157.230640299	2738.800	6465.300	3562.500	3562.500
33	Spectrogram 1	1	157.230640299	157.231640299	2738.800	6465.300	3750.000	3750.000
34	Spectrogram 1	1	157.231640299	157.232640299	2738.800	6465.300	3750.000	3750.000
35	Spectrogram 1	1	157.232640299	157.233640299	2738.800	6465.300	3750.000	3750.000
36	Spectrogram 1	1	157.233640299	157.234640299	2738.800	6465.300	3750.000	3750.000
37	Spectrogram 1	1	157.234640299	157.235640299	2738.800	6465.300	3750.000	3750.000
38	Spectrogram 1	1	157.235640299	157.236640299	2738.800	6465.300	3750.000	3750.000
