Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	42.931040395	42.932040395	2756.800	5404.800	5062.500	5250.000
2	Spectrogram 1	1	42.932040395	42.933040395	2756.800	5404.800	3375.000	3000.000
3	Spectrogram 1	1	42.933040395	42.934040395	2756.800	5404.800	3375.000	3000.000
4	Spectrogram 1	1	42.934040395	42.935040395	2756.800	5404.800	3375.000	3000.000
5	Spectrogram 1	1	42.935040395	42.936040395	2756.800	5404.800	3187.500	3000.000
6	Spectrogram 1	1	42.936040395	42.937040395	2756.800	5404.800	3187.500	3000.000
7	Spectrogram 1	1	42.937040395	42.938040395	2756.800	5404.800	3187.500	3187.500
8	Spectrogram 1	1	42.938040395	42.939040395	2756.800	5404.800	3187.500	3187.500
9	Spectrogram 1	1	42.939040395	42.940040395	2756.800	5404.800	3187.500	3187.500
10	Spectrogram 1	1	42.940040395	42.941040395	2756.800	5404.800	3375.000	3375.000
11	Spectrogram 1	1	42.941040395	42.942040395	2756.800	5404.800	3375.000	3375.000
12	Spectrogram 1	1	42.942040395	42.943040395	2756.800	5404.800	3375.000	3375.000
13	Spectrogram 1	1	42.943040395	42.944040395	2756.800	5404.800	3375.000	3375.000
14	Spectrogram 1	1	42.944040395	42.945040395	2756.800	5404.800	3375.000	3375.000
15	Spectrogram 1	1	42.945040395	42.946040395	2756.800	5404.800	3562.500	3562.500
16	Spectrogram 1	1	42.946040395	42.947040395	2756.800	5404.800	3562.500	3562.500
17	Spectrogram 1	1	42.947040395	42.948040395	2756.800	5404.800	3562.500	3562.500
18	Spectrogram 1	1	42.948040395	42.949040395	2756.800	5404.800	3562.500	3562.500
19	Spectrogram 1	1	42.949040395	42.950040395	2756.800	5404.800	3562.500	3562.500
20	Spectrogram 1	1	42.950040395	42.951040395	2756.800	5404.800	3562.500	3562.500
21	Spectrogram 1	1	42.951040395	42.952040395	2756.800	5404.800	3562.500	3562.500
22	Spectrogram 1	1	42.952040395	42.953040395	2756.800	5404.800	3562.500	3562.500
23	Spectrogram 1	1	42.953040395	42.954040395	2756.800	5404.800	3750.000	3750.000
24	Spectrogram 1	1	42.954040395	42.955040395	2756.800	5404.800	3750.000	3750.000
25	Spectrogram 1	1	42.955040395	42.956040395	2756.800	5404.800	3750.000	3750.000
26	Spectrogram 1	1	42.956040395	42.957040395	2756.800	5404.800	3750.000	3750.000
27	Spectrogram 1	1	42.957040395	42.958040395	2756.800	5404.800	3750.000	3750.000
28	Spectrogram 1	1	42.958040395	42.959040395	2756.800	5404.800	3750.000	3750.000
29	Spectrogram 1	1	42.959040395	42.960040395	2756.800	5404.800	3750.000	3750.000
30	Spectrogram 1	1	42.960040395	42.961040395	2756.800	5404.800	3750.000	3750.000
31	Spectrogram 1	1	42.961040395	42.962040395	2756.800	5404.800	3750.000	3750.000
32	Spectrogram 1	1	42.962040395	42.963040395	2756.800	5404.800	3750.000	3750.000
33	Spectrogram 1	1	42.963040395	42.964040395	2756.800	5404.800	3750.000	3750.000
34	Spectrogram 1	1	42.964040395	42.965040395	2756.800	5404.800	3750.000	3750.000
35	Spectrogram 1	1	42.965040395	42.966040395	2756.800	5404.800	3750.000	3750.000
36	Spectrogram 1	1	42.966040395	42.967040395	2756.800	5404.800	3750.000	3750.000
37	Spectrogram 1	1	42.967040395	42.968040395	2756.800	5404.800	3750.000	3750.000
38	Spectrogram 1	1	42.968040395	42.969040395	2756.800	5404.800	3750.000	3750.000
39	Spectrogram 1	1	42.969040395	42.970040395	2756.800	5404.800	3750.000	3750.000
40	Spectrogram 1	1	42.970040395	42.971040395	2756.800	5404.800	3750.000	3750.000
41	Spectrogram 1	1	42.971040395	42.972040395	2756.800	5404.800	3750.000	3750.000
42	Spectrogram 1	1	42.972040395	42.973040395	2756.800	5404.800	3937.500	3937.500
43	Spectrogram 1	1	42.973040395	42.974040395	2756.800	5404.800	3937.500	3937.500
44	Spectrogram 1	1	42.974040395	42.975040395	2756.800	5404.800	3937.500	3937.500
45	Spectrogram 1	1	42.975040395	42.976040395	2756.800	5404.800	3937.500	3937.500
46	Spectrogram 1	1	42.976040395	42.977040395	2756.800	5404.800	3937.500	3937.500
47	Spectrogram 1	1	42.977040395	42.978040395	2756.800	5404.800	3937.500	3937.500
48	Spectrogram 1	1	42.978040395	42.979040395	2756.800	5404.800	3937.500	3937.500
49	Spectrogram 1	1	42.979040395	42.980040395	2756.800	5404.800	3937.500	3937.500
50	Spectrogram 1	1	42.980040395	42.981040395	2756.800	5404.800	3937.500	3937.500
51	Spectrogram 1	1	42.981040395	42.982040395	2756.800	5404.800	3937.500	3937.500
52	Spectrogram 1	1	42.982040395	42.983040395	2756.800	5404.800	3937.500	3937.500
53	Spectrogram 1	1	42.983040395	42.984040395	2756.800	5404.800	3937.500	3937.500
54	Spectrogram 1	1	42.984040395	42.985040395	2756.800	5404.800	3937.500	3937.500
55	Spectrogram 1	1	42.985040395	42.986040395	2756.800	5404.800	4125.000	4125.000
56	Spectrogram 1	1	42.986040395	42.987040395	2756.800	5404.800	4125.000	4125.000
57	Spectrogram 1	1	42.987040395	42.988040395	2756.800	5404.800	4125.000	4125.000
58	Spectrogram 1	1	42.988040395	42.989040395	2756.800	5404.800	4125.000	4125.000
59	Spectrogram 1	1	42.989040395	42.990040395	2756.800	5404.800	4125.000	4125.000
60	Spectrogram 1	1	42.990040395	42.991040395	2756.800	5404.800	4125.000	4125.000
61	Spectrogram 1	1	42.991040395	42.992040395	2756.800	5404.800	4125.000	4125.000
62	Spectrogram 1	1	42.992040395	42.993040395	2756.800	5404.800	4125.000	4125.000
63	Spectrogram 1	1	42.993040395	42.994040395	2756.800	5404.800	4125.000	4125.000
64	Spectrogram 1	1	42.994040395	42.995040395	2756.800	5404.800	4125.000	4125.000
65	Spectrogram 1	1	42.995040395	42.996040395	2756.800	5404.800	4125.000	4125.000
66	Spectrogram 1	1	42.996040395	42.997040395	2756.800	5404.800	4312.500	4312.500
67	Spectrogram 1	1	42.997040395	42.998040395	2756.800	5404.800	4312.500	4312.500
68	Spectrogram 1	1	42.998040395	42.999040395	2756.800	5404.800	4312.500	4312.500
69	Spectrogram 1	1	42.999040395	43.000040395	2756.800	5404.800	4312.500	4312.500
70	Spectrogram 1	1	43.000040395	43.001040395	2756.800	5404.800	4312.500	4312.500
71	Spectrogram 1	1	43.001040395	43.002040395	2756.800	5404.800	4312.500	4312.500
72	Spectrogram 1	1	43.002040395	43.003040395	2756.800	5404.800	4312.500	4312.500
73	Spectrogram 1	1	43.003040395	43.004040395	2756.800	5404.800	4312.500	4312.500
74	Spectrogram 1	1	43.004040395	43.005040395	2756.800	5404.800	4500.000	4500.000
75	Spectrogram 1	1	43.005040395	43.006040395	2756.800	5404.800	4500.000	4500.000
76	Spectrogram 1	1	43.006040395	43.007040395	2756.800	5404.800	4500.000	4500.000
77	Spectrogram 1	1	43.007040395	43.008040395	2756.800	5404.800	4500.000	4500.000
78	Spectrogram 1	1	43.008040395	43.009040395	2756.800	5404.800	4500.000	4500.000
79	Spectrogram 1	1	43.009040395	43.010040395	2756.800	5404.800	4687.500	4687.500
80	Spectrogram 1	1	43.010040395	43.011040395	2756.800	5404.800	4687.500	4687.500
81	Spectrogram 1	1	43.011040395	43.012040395	2756.800	5404.800	4687.500	4687.500
82	Spectrogram 1	1	43.012040395	43.013040395	2756.800	5404.800	4875.000	4875.000
83	Spectrogram 1	1	43.013040395	43.014040395	2756.800	5404.800	4875.000	4875.000
84	Spectrogram 1	1	43.014040395	43.015040395	2756.800	5404.800	4875.000	4875.000
85	Spectrogram 1	1	43.015040395	43.016040395	2756.800	5404.800	4875.000	4875.000
86	Spectrogram 1	1	43.016040395	43.017040395	2756.800	5404.800	4875.000	4875.000
87	Spectrogram 1	1	43.017040395	43.018040395	2756.800	5404.800	4687.500	4687.500
88	Spectrogram 1	1	43.018040395	43.019040395	2756.800	5404.800	4687.500	4687.500
89	Spectrogram 1	1	43.019040395	43.020040395	2756.800	5404.800	4687.500	4687.500
90	Spectrogram 1	1	43.020040395	43.021040395	2756.800	5404.800	4125.000	4125.000
