Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	23.463600000	23.464600000	3057.034	6250.951	4500.000	4500.000
2	Spectrogram 1	1	23.464600000	23.465600000	3057.034	6250.951	4500.000	4500.000
3	Spectrogram 1	1	23.465600000	23.466600000	3057.034	6250.951	3750.000	3562.500
4	Spectrogram 1	1	23.466600000	23.467600000	3057.034	6250.951	3750.000	3562.500
5	Spectrogram 1	1	23.467600000	23.468600000	3057.034	6250.951	3750.000	3750.000
6	Spectrogram 1	1	23.468600000	23.469600000	3057.034	6250.951	3750.000	3750.000
7	Spectrogram 1	1	23.469600000	23.470600000	3057.034	6250.951	3750.000	3750.000
8	Spectrogram 1	1	23.470600000	23.471600000	3057.034	6250.951	3750.000	3750.000
9	Spectrogram 1	1	23.471600000	23.472600000	3057.034	6250.951	3750.000	3750.000
10	Spectrogram 1	1	23.472600000	23.473600000	3057.034	6250.951	3750.000	3750.000
11	Spectrogram 1	1	23.473600000	23.474600000	3057.034	6250.951	3750.000	3750.000
12	Spectrogram 1	1	23.474600000	23.475600000	3057.034	6250.951	3750.000	3750.000
13	Spectrogram 1	1	23.475600000	23.476600000	3057.034	6250.951	3750.000	3750.000
14	Spectrogram 1	1	23.476600000	23.477600000	3057.034	6250.951	3750.000	3750.000
15	Spectrogram 1	1	23.477600000	23.478600000	3057.034	6250.951	3750.000	3750.000
16	Spectrogram 1	1	23.478600000	23.479600000	3057.034	6250.951	3750.000	3750.000
17	Spectrogram 1	1	23.479600000	23.480600000	3057.034	6250.951	3750.000	3750.000
18	Spectrogram 1	1	23.480600000	23.481600000	3057.034	6250.951	3750.000	3750.000
19	Spectrogram 1	1	23.481600000	23.482600000	3057.034	6250.951	3937.500	3937.500
20	Spectrogram 1	1	23.482600000	23.483600000	3057.034	6250.951	3937.500	3937.500
21	Spectrogram 1	1	23.483600000	23.484600000	3057.034	6250.951	3937.500	3937.500
22	Spectrogram 1	1	23.484600000	23.485600000	3057.034	6250.951	3937.500	3937.500
23	Spectrogram 1	1	23.485600000	23.486600000	3057.034	6250.951	3937.500	3937.500
24	Spectrogram 1	1	23.486600000	23.487600000	3057.034	6250.951	3937.500	3937.500
25	Spectrogram 1	1	23.487600000	23.488600000	3057.034	6250.951	3937.500	3937.500
26	Spectrogram 1	1	23.488600000	23.489600000	3057.034	6250.951	3937.500	3937.500
27	Spectrogram 1	1	23.489600000	23.490600000	3057.034	6250.951	3937.500	3937.500
28	Spectrogram 1	1	23.490600000	23.491600000	3057.034	6250.951	3937.500	3937.500
29	Spectrogram 1	1	23.491600000	23.492600000	3057.034	6250.951	3937.500	3937.500
30	Spectrogram 1	1	23.492600000	23.493600000	3057.034	6250.951	3937.500	3937.500
31	Spectrogram 1	1	23.493600000	23.494600000	3057.034	6250.951	3937.500	3937.500
32	Spectrogram 1	1	23.494600000	23.495600000	3057.034	6250.951	3937.500	3937.500
33	Spectrogram 1	1	23.495600000	23.496600000	3057.034	6250.951	3937.500	3937.500
34	Spectrogram 1	1	23.496600000	23.497600000	3057.034	6250.951	3937.500	3937.500
35	Spectrogram 1	1	23.497600000	23.498600000	3057.034	6250.951	3937.500	3937.500
36	Spectrogram 1	1	23.498600000	23.499600000	3057.034	6250.951	3937.500	3937.500
37	Spectrogram 1	1	23.499600000	23.500600000	3057.034	6250.951	3937.500	3937.500
38	Spectrogram 1	1	23.500600000	23.501600000	3057.034	6250.951	3937.500	3937.500
39	Spectrogram 1	1	23.501600000	23.502600000	3057.034	6250.951	3937.500	3937.500
40	Spectrogram 1	1	23.502600000	23.503600000	3057.034	6250.951	4125.000	4125.000
41	Spectrogram 1	1	23.503600000	23.504600000	3057.034	6250.951	4125.000	4125.000
42	Spectrogram 1	1	23.504600000	23.505600000	3057.034	6250.951	4125.000	4125.000
43	Spectrogram 1	1	23.505600000	23.506600000	3057.034	6250.951	4125.000	4125.000
44	Spectrogram 1	1	23.506600000	23.507600000	3057.034	6250.951	4125.000	4125.000
45	Spectrogram 1	1	23.507600000	23.508600000	3057.034	6250.951	4125.000	4125.000
46	Spectrogram 1	1	23.508600000	23.509600000	3057.034	6250.951	4125.000	4125.000
47	Spectrogram 1	1	23.509600000	23.510600000	3057.034	6250.951	4125.000	4125.000
48	Spectrogram 1	1	23.510600000	23.511600000	3057.034	6250.951	4125.000	4125.000
49	Spectrogram 1	1	23.511600000	23.512600000	3057.034	6250.951	4125.000	4125.000
50	Spectrogram 1	1	23.512600000	23.513600000	3057.034	6250.951	4125.000	4125.000
51	Spectrogram 1	1	23.513600000	23.514600000	3057.034	6250.951	4125.000	4125.000
52	Spectrogram 1	1	23.514600000	23.515600000	3057.034	6250.951	4125.000	4125.000
53	Spectrogram 1	1	23.515600000	23.516600000	3057.034	6250.951	4312.500	4312.500
54	Spectrogram 1	1	23.516600000	23.517600000	3057.034	6250.951	4312.500	4312.500
55	Spectrogram 1	1	23.517600000	23.518600000	3057.034	6250.951	4312.500	4312.500
56	Spectrogram 1	1	23.518600000	23.519600000	3057.034	6250.951	4312.500	4500.000
57	Spectrogram 1	1	23.519600000	23.520600000	3057.034	6250.951	4312.500	4500.000
58	Spectrogram 1	1	23.520600000	23.521600000	3057.034	6250.951	4312.500	4500.000
59	Spectrogram 1	1	23.521600000	23.522600000	3057.034	6250.951	4500.000	4500.000
60	Spectrogram 1	1	23.522600000	23.523600000	3057.034	6250.951	4500.000	4500.000
61	Spectrogram 1	1	23.523600000	23.524600000	3057.034	6250.951	4875.000	4875.000
