Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	15.423735618	15.424735618	2756.168	5016.845	3000.000	3000.000
2	Spectrogram 1	1	15.424735618	15.425735618	2756.168	5016.845	3000.000	3000.000
3	Spectrogram 1	1	15.425735618	15.426735618	2756.168	5016.845	3000.000	3000.000
4	Spectrogram 1	1	15.426735618	15.427735618	2756.168	5016.845	3000.000	3000.000
5	Spectrogram 1	1	15.427735618	15.428735618	2756.168	5016.845	3187.500	3187.500
6	Spectrogram 1	1	15.428735618	15.429735618	2756.168	5016.845	3187.500	3187.500
7	Spectrogram 1	1	15.429735618	15.430735618	2756.168	5016.845	3187.500	3187.500
8	Spectrogram 1	1	15.430735618	15.431735618	2756.168	5016.845	3375.000	3375.000
9	Spectrogram 1	1	15.431735618	15.432735618	2756.168	5016.845	3375.000	3375.000
10	Spectrogram 1	1	15.432735618	15.433735618	2756.168	5016.845	3375.000	3375.000
11	Spectrogram 1	1	15.433735618	15.434735618	2756.168	5016.845	3562.500	3562.500
12	Spectrogram 1	1	15.434735618	15.435735618	2756.168	5016.845	3562.500	3562.500
13	Spectrogram 1	1	15.435735618	15.436735618	2756.168	5016.845	3562.500	3562.500
14	Spectrogram 1	1	15.436735618	15.437735618	2756.168	5016.845	3562.500	3562.500
15	Spectrogram 1	1	15.437735618	15.438735618	2756.168	5016.845	3562.500	3562.500
16	Spectrogram 1	1	15.438735618	15.439735618	2756.168	5016.845	3562.500	3562.500
17	Spectrogram 1	1	15.439735618	15.440735618	2756.168	5016.845	3562.500	3562.500
18	Spectrogram 1	1	15.440735618	15.441735618	2756.168	5016.845	3562.500	3562.500
19	Spectrogram 1	1	15.441735618	15.442735618	2756.168	5016.845	3750.000	3750.000
20	Spectrogram 1	1	15.442735618	15.443735618	2756.168	5016.845	3750.000	3750.000
21	Spectrogram 1	1	15.443735618	15.444735618	2756.168	5016.845	3750.000	3750.000
22	Spectrogram 1	1	15.444735618	15.445735618	2756.168	5016.845	3750.000	3750.000
23	Spectrogram 1	1	15.445735618	15.446735618	2756.168	5016.845	3750.000	3750.000
24	Spectrogram 1	1	15.446735618	15.447735618	2756.168	5016.845	3750.000	3750.000
25	Spectrogram 1	1	15.447735618	15.448735618	2756.168	5016.845	3750.000	3750.000
26	Spectrogram 1	1	15.448735618	15.449735618	2756.168	5016.845	3750.000	3750.000
27	Spectrogram 1	1	15.449735618	15.450735618	2756.168	5016.845	3750.000	3750.000
28	Spectrogram 1	1	15.450735618	15.451735618	2756.168	5016.845	3750.000	3750.000
29	Spectrogram 1	1	15.451735618	15.452735618	2756.168	5016.845	3750.000	3750.000
30	Spectrogram 1	1	15.452735618	15.453735618	2756.168	5016.845	3750.000	3750.000
31	Spectrogram 1	1	15.453735618	15.454735618	2756.168	5016.845	3750.000	3750.000
32	Spectrogram 1	1	15.454735618	15.455735618	2756.168	5016.845	3750.000	3750.000
33	Spectrogram 1	1	15.455735618	15.456735618	2756.168	5016.845	3750.000	3750.000
34	Spectrogram 1	1	15.456735618	15.457735618	2756.168	5016.845	3750.000	3750.000
35	Spectrogram 1	1	15.457735618	15.458735618	2756.168	5016.845	3750.000	3750.000
36	Spectrogram 1	1	15.458735618	15.459735618	2756.168	5016.845	3750.000	3750.000
37	Spectrogram 1	1	15.459735618	15.460735618	2756.168	5016.845	3937.500	3937.500
38	Spectrogram 1	1	15.460735618	15.461735618	2756.168	5016.845	3937.500	3937.500
39	Spectrogram 1	1	15.461735618	15.462735618	2756.168	5016.845	3937.500	3937.500
40	Spectrogram 1	1	15.462735618	15.463735618	2756.168	5016.845	3937.500	3937.500
41	Spectrogram 1	1	15.463735618	15.464735618	2756.168	5016.845	3937.500	3937.500
42	Spectrogram 1	1	15.464735618	15.465735618	2756.168	5016.845	3937.500	3937.500
43	Spectrogram 1	1	15.465735618	15.466735618	2756.168	5016.845	3937.500	3937.500
44	Spectrogram 1	1	15.466735618	15.467735618	2756.168	5016.845	3937.500	3937.500
45	Spectrogram 1	1	15.467735618	15.468735618	2756.168	5016.845	3937.500	3937.500
46	Spectrogram 1	1	15.468735618	15.469735618	2756.168	5016.845	3937.500	3937.500
47	Spectrogram 1	1	15.469735618	15.470735618	2756.168	5016.845	3937.500	3937.500
48	Spectrogram 1	1	15.470735618	15.471735618	2756.168	5016.845	3937.500	3937.500
49	Spectrogram 1	1	15.471735618	15.472735618	2756.168	5016.845	3937.500	3937.500
50	Spectrogram 1	1	15.472735618	15.473735618	2756.168	5016.845	3937.500	3937.500
51	Spectrogram 1	1	15.473735618	15.474735618	2756.168	5016.845	4125.000	4125.000
52	Spectrogram 1	1	15.474735618	15.475735618	2756.168	5016.845	4125.000	4125.000
53	Spectrogram 1	1	15.475735618	15.476735618	2756.168	5016.845	4125.000	4125.000
54	Spectrogram 1	1	15.476735618	15.477735618	2756.168	5016.845	4125.000	4125.000
55	Spectrogram 1	1	15.477735618	15.478735618	2756.168	5016.845	4125.000	4125.000
56	Spectrogram 1	1	15.478735618	15.479735618	2756.168	5016.845	4125.000	4125.000
57	Spectrogram 1	1	15.479735618	15.480735618	2756.168	5016.845	4125.000	4125.000
58	Spectrogram 1	1	15.480735618	15.481735618	2756.168	5016.845	4125.000	4125.000
59	Spectrogram 1	1	15.481735618	15.482735618	2756.168	5016.845	4125.000	4125.000
60	Spectrogram 1	1	15.482735618	15.483735618	2756.168	5016.845	4125.000	4125.000
61	Spectrogram 1	1	15.483735618	15.484735618	2756.168	5016.845	4125.000	4125.000
62	Spectrogram 1	1	15.484735618	15.485735618	2756.168	5016.845	4125.000	4125.000
63	Spectrogram 1	1	15.485735618	15.486735618	2756.168	5016.845	4125.000	4125.000
64	Spectrogram 1	1	15.486735618	15.487735618	2756.168	5016.845	4125.000	4125.000
65	Spectrogram 1	1	15.487735618	15.488735618	2756.168	5016.845	4125.000	4125.000
66	Spectrogram 1	1	15.488735618	15.489735618	2756.168	5016.845	4125.000	4125.000
67	Spectrogram 1	1	15.489735618	15.490735618	2756.168	5016.845	4125.000	4125.000
