Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	1773.887762871	1773.888760603	3356.062	5838.149	3962.109	3875.977
2	Spectrogram 1	1	1773.888760603	1773.889758336	3356.062	5838.149	3962.109	3875.977
3	Spectrogram 1	1	1773.889758336	1773.890756068	3356.062	5838.149	3962.109	3875.977
4	Spectrogram 1	1	1773.890756068	1773.891753801	3356.062	5838.149	3962.109	3875.977
5	Spectrogram 1	1	1773.891753801	1773.892751533	3356.062	5838.149	3875.977	3875.977
6	Spectrogram 1	1	1773.892751533	1773.893749266	3356.062	5838.149	3875.977	3875.977
7	Spectrogram 1	1	1773.893749266	1773.894746998	3356.062	5838.149	3875.977	3875.977
8	Spectrogram 1	1	1773.894746998	1773.895744730	3356.062	5838.149	3875.977	3875.977
9	Spectrogram 1	1	1773.895744730	1773.896742463	3356.062	5838.149	3875.977	3875.977
10	Spectrogram 1	1	1773.896742463	1773.897740195	3356.062	5838.149	3962.109	3962.109
11	Spectrogram 1	1	1773.897740195	1773.898737928	3356.062	5838.149	3962.109	3962.109
12	Spectrogram 1	1	1773.898737928	1773.899735660	3356.062	5838.149	3962.109	3962.109
13	Spectrogram 1	1	1773.899735660	1773.900733393	3356.062	5838.149	3962.109	3962.109
14	Spectrogram 1	1	1773.900733393	1773.901731125	3356.062	5838.149	3962.109	3962.109
15	Spectrogram 1	1	1773.901731125	1773.902728857	3356.062	5838.149	3962.109	3962.109
16	Spectrogram 1	1	1773.902728857	1773.903726590	3356.062	5838.149	4048.242	4048.242
17	Spectrogram 1	1	1773.903726590	1773.904724322	3356.062	5838.149	4048.242	4048.242
18	Spectrogram 1	1	1773.904724322	1773.905722055	3356.062	5838.149	4048.242	4048.242
19	Spectrogram 1	1	1773.905722055	1773.906719787	3356.062	5838.149	4048.242	4048.242
20	Spectrogram 1	1	1773.906719787	1773.907717520	3356.062	5838.149	4048.242	4048.242
21	Spectrogram 1	1	1773.907717520	1773.908715252	3356.062	5838.149	4048.242	4048.242
22	Spectrogram 1	1	1773.908715252	1773.909712984	3356.062	5838.149	4134.375	4134.375
23	Spectrogram 1	1	1773.909712984	1773.910710717	3356.062	5838.149	4134.375	4134.375
24	Spectrogram 1	1	1773.910710717	1773.911708449	3356.062	5838.149	4134.375	4134.375
25	Spectrogram 1	1	1773.911708449	1773.912706182	3356.062	5838.149	4134.375	4134.375
26	Spectrogram 1	1	1773.912706182	1773.913703914	3356.062	5838.149	4134.375	4134.375
27	Spectrogram 1	1	1773.913703914	1773.914701647	3356.062	5838.149	4134.375	4134.375
28	Spectrogram 1	1	1773.914701647	1773.915699379	3356.062	5838.149	4220.508	4220.508
29	Spectrogram 1	1	1773.915699379	1773.916697111	3356.062	5838.149	4220.508	4220.508
30	Spectrogram 1	1	1773.916697111	1773.917694844	3356.062	5838.149	4220.508	4220.508
31	Spectrogram 1	1	1773.917694844	1773.918692576	3356.062	5838.149	4220.508	4220.508
32	Spectrogram 1	1	1773.918692576	1773.919690309	3356.062	5838.149	4220.508	4220.508
33	Spectrogram 1	1	1773.919690309	1773.920688041	3356.062	5838.149	4220.508	4220.508
34	Spectrogram 1	1	1773.920688041	1773.921685773	3356.062	5838.149	4306.641	4306.641
35	Spectrogram 1	1	1773.921685773	1773.922683506	3356.062	5838.149	4306.641	4306.641
36	Spectrogram 1	1	1773.922683506	1773.923681238	3356.062	5838.149	4306.641	4306.641
37	Spectrogram 1	1	1773.923681238	1773.924678971	3356.062	5838.149	4306.641	4306.641
38	Spectrogram 1	1	1773.924678971	1773.925676703	3356.062	5838.149	4306.641	4306.641
39	Spectrogram 1	1	1773.925676703	1773.926674436	3356.062	5838.149	4306.641	4306.641
40	Spectrogram 1	1	1773.926674436	1773.927672168	3356.062	5838.149	4306.641	4306.641
41	Spectrogram 1	1	1773.927672168	1773.928669900	3356.062	5838.149	4306.641	4306.641
42	Spectrogram 1	1	1773.928669900	1773.929667633	3356.062	5838.149	4306.641	4306.641
43	Spectrogram 1	1	1773.929667633	1773.930665365	3356.062	5838.149	4306.641	4306.641
44	Spectrogram 1	1	1773.930665365	1773.931663098	3356.062	5838.149	4306.641	4306.641
45	Spectrogram 1	1	1773.931663098	1773.932660830	3356.062	5838.149	4478.906	4478.906
46	Spectrogram 1	1	1773.932660830	1773.933658563	3356.062	5838.149	4478.906	4478.906
47	Spectrogram 1	1	1773.933658563	1773.934656295	3356.062	5838.149	4478.906	4478.906
48	Spectrogram 1	1	1773.934656295	1773.935654027	3356.062	5838.149	4478.906	4478.906
49	Spectrogram 1	1	1773.935654027	1773.936651760	3356.062	5838.149	4478.906	4478.906
50	Spectrogram 1	1	1773.936651760	1773.937649492	3356.062	5838.149	4478.906	4478.906
51	Spectrogram 1	1	1773.937649492	1773.938647225	3356.062	5838.149	4737.305	4737.305
52	Spectrogram 1	1	1773.938647225	1773.939644957	3356.062	5838.149	4737.305	4737.305
53	Spectrogram 1	1	1773.939644957	1773.940642690	3356.062	5838.149	4737.305	4737.305
54	Spectrogram 1	1	1773.940642690	1773.941640422	3356.062	5838.149	4737.305	4737.305
55	Spectrogram 1	1	1773.941640422	1773.942638154	3356.062	5838.149	4737.305	4737.305
56	Spectrogram 1	1	1773.942638154	1773.943635887	3356.062	5838.149	4737.305	4737.305
57	Spectrogram 1	1	1773.943635887	1773.944633619	3356.062	5838.149	4995.703	4995.703
58	Spectrogram 1	1	1773.944633619	1773.945631352	3356.062	5838.149	4995.703	4995.703
59	Spectrogram 1	1	1773.945631352	1773.946629084	3356.062	5838.149	4995.703	4995.703
60	Spectrogram 1	1	1773.946629084	1773.947626817	3356.062	5838.149	4995.703	4995.703
61	Spectrogram 1	1	1773.947626817	1773.948624549	3356.062	5838.149	4995.703	4995.703
62	Spectrogram 1	1	1773.948624549	1773.949622281	3356.062	5838.149	4995.703	4995.703
63	Spectrogram 1	1	1773.949622281	1773.950620014	3356.062	5838.149	5167.969	4995.703
64	Spectrogram 1	1	1773.950620014	1773.951617746	3356.062	5838.149	5167.969	4995.703
65	Spectrogram 1	1	1773.951617746	1773.952615479	3356.062	5838.149	5167.969	4995.703
66	Spectrogram 1	1	1773.952615479	1773.953613211	3356.062	5838.149	5167.969	4995.703
67	Spectrogram 1	1	1773.953613211	1773.954610944	3356.062	5838.149	5167.969	4995.703
68	Spectrogram 1	1	1773.954610944	1773.955608676	3356.062	5838.149	5167.969	4995.703
69	Spectrogram 1	1	1773.955608676	1773.956606408	3356.062	5838.149	4565.039	4478.906
70	Spectrogram 1	1	1773.956606408	1773.957604141	3356.062	5838.149	4565.039	4478.906
71	Spectrogram 1	1	1773.957604141	1773.958601873	3356.062	5838.149	4565.039	4478.906
72	Spectrogram 1	1	1773.958601873	1773.959599606	3356.062	5838.149	4565.039	4478.906
73	Spectrogram 1	1	1773.959599606	1773.960597338	3356.062	5838.149	4565.039	4478.906
74	Spectrogram 1	1	1773.960597338	1773.961595071	3356.062	5838.149	4134.375	3962.109
75	Spectrogram 1	1	1773.961595071	1773.962592803	3356.062	5838.149	4134.375	3962.109
76	Spectrogram 1	1	1773.962592803	1773.963590535	3356.062	5838.149	4134.375	3962.109
77	Spectrogram 1	1	1773.963590535	1773.964588268	3356.062	5838.149	4134.375	3962.109
78	Spectrogram 1	1	1773.964588268	1773.965586000	3356.062	5838.149	4134.375	3962.109
79	Spectrogram 1	1	1773.965586000	1773.966583733	3356.062	5838.149	4134.375	3962.109
80	Spectrogram 1	1	1773.966583733	1773.967581465	3356.062	5838.149	4306.641	4048.242
81	Spectrogram 1	1	1773.967581465	1773.968579198	3356.062	5838.149	4306.641	4048.242
82	Spectrogram 1	1	1773.968579198	1773.969576930	3356.062	5838.149	4306.641	4048.242
83	Spectrogram 1	1	1773.969576930	1773.970574662	3356.062	5838.149	4306.641	4048.242
84	Spectrogram 1	1	1773.970574662	1773.971572395	3356.062	5838.149	4306.641	4048.242
85	Spectrogram 1	1	1773.971572395	1773.972570127	3356.062	5838.149	4306.641	4048.242
86	Spectrogram 1	1	1773.972570127	1773.973567860	3356.062	5838.149	4134.375	3789.844
87	Spectrogram 1	1	1773.973567860	1773.974565592	3356.062	5838.149	4134.375	3789.844
88	Spectrogram 1	1	1773.974565592	1773.975563325	3356.062	5838.149	4134.375	3789.844
89	Spectrogram 1	1	1773.975563325	1773.976561057	3356.062	5838.149	4134.375	3789.844
90	Spectrogram 1	1	1773.976561057	1773.977558789	3356.062	5838.149	4134.375	3789.844
91	Spectrogram 1	1	1773.977558789	1773.978556522	3356.062	5838.149	4134.375	3789.844
92	Spectrogram 1	1	1773.978556522	1773.979554254	3356.062	5838.149	4565.039	4565.039
93	Spectrogram 1	1	1773.979554254	1773.980551987	3356.062	5838.149	4565.039	4565.039
94	Spectrogram 1	1	1773.980551987	1773.981549719	3356.062	5838.149	4565.039	4565.039
95	Spectrogram 1	1	1773.981549719	1773.982547452	3356.062	5838.149	4565.039	4565.039
96	Spectrogram 1	1	1773.982547452	1773.983545184	3356.062	5838.149	4565.039	4565.039
97	Spectrogram 1	1	1773.983545184	1773.984542916	3356.062	5838.149	4565.039	4565.039
98	Spectrogram 1	1	1773.984542916	1773.985540649	3356.062	5838.149	4392.773	4392.773
99	Spectrogram 1	1	1773.985540649	1773.986538381	3356.062	5838.149	4392.773	4392.773
100	Spectrogram 1	1	1773.986538381	1773.987536114	3356.062	5838.149	4392.773	4392.773
101	Spectrogram 1	1	1773.987536114	1773.988533846	3356.062	5838.149	4392.773	4392.773
102	Spectrogram 1	1	1773.988533846	1773.989531578	3356.062	5838.149	4392.773	4392.773
