Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	6.676183345	6.677181077	3034.012	7307.800	4565.039	4565.039
2	Spectrogram 1	1	6.677181077	6.678178810	3034.012	7307.800	4565.039	4565.039
3	Spectrogram 1	1	6.678178810	6.679176542	3034.012	7307.800	5426.367	5340.234
4	Spectrogram 1	1	6.679176542	6.680174275	3034.012	7307.800	5426.367	5340.234
5	Spectrogram 1	1	6.680174275	6.681172007	3034.012	7307.800	5426.367	5340.234
6	Spectrogram 1	1	6.681172007	6.682169740	3034.012	7307.800	5426.367	5340.234
7	Spectrogram 1	1	6.682169740	6.683167472	3034.012	7307.800	5426.367	5340.234
8	Spectrogram 1	1	6.683167472	6.684165204	3034.012	7307.800	5426.367	5340.234
9	Spectrogram 1	1	6.684165204	6.685162937	3034.012	7307.800	5943.164	5857.031
10	Spectrogram 1	1	6.685162937	6.686160669	3034.012	7307.800	5943.164	5857.031
11	Spectrogram 1	1	6.686160669	6.687158402	3034.012	7307.800	5943.164	5857.031
12	Spectrogram 1	1	6.687158402	6.688156134	3034.012	7307.800	5943.164	5857.031
13	Spectrogram 1	1	6.688156134	6.689153867	3034.012	7307.800	5943.164	5857.031
14	Spectrogram 1	1	6.689153867	6.690151599	3034.012	7307.800	5943.164	5857.031
15	Spectrogram 1	1	6.690151599	6.691149331	3034.012	7307.800	3531.445	3445.312
16	Spectrogram 1	1	6.691149331	6.692147064	3034.012	7307.800	3531.445	3445.312
17	Spectrogram 1	1	6.692147064	6.693144796	3034.012	7307.800	3531.445	3445.312
18	Spectrogram 1	1	6.693144796	6.694142529	3034.012	7307.800	3531.445	3445.312
19	Spectrogram 1	1	6.694142529	6.695140261	3034.012	7307.800	3531.445	3445.312
20	Spectrogram 1	1	6.695140261	6.696137994	3034.012	7307.800	3531.445	3445.312
21	Spectrogram 1	1	6.696137994	6.697135726	3034.012	7307.800	3617.578	3617.578
22	Spectrogram 1	1	6.697135726	6.698133458	3034.012	7307.800	3617.578	3617.578
23	Spectrogram 1	1	6.698133458	6.699131191	3034.012	7307.800	3617.578	3617.578
24	Spectrogram 1	1	6.699131191	6.700128923	3034.012	7307.800	3617.578	3617.578
25	Spectrogram 1	1	6.700128923	6.701126656	3034.012	7307.800	3617.578	3617.578
26	Spectrogram 1	1	6.701126656	6.702124388	3034.012	7307.800	3617.578	3617.578
27	Spectrogram 1	1	6.702124388	6.703122121	3034.012	7307.800	3703.711	3703.711
28	Spectrogram 1	1	6.703122121	6.704119853	3034.012	7307.800	3703.711	3703.711
29	Spectrogram 1	1	6.704119853	6.705117585	3034.012	7307.800	3703.711	3703.711
30	Spectrogram 1	1	6.705117585	6.706115318	3034.012	7307.800	3703.711	3703.711
31	Spectrogram 1	1	6.706115318	6.707113050	3034.012	7307.800	3703.711	3703.711
32	Spectrogram 1	1	6.707113050	6.708110783	3034.012	7307.800	3703.711	3703.711
33	Spectrogram 1	1	6.708110783	6.709108515	3034.012	7307.800	3703.711	3703.711
34	Spectrogram 1	1	6.709108515	6.710106247	3034.012	7307.800	3703.711	3703.711
35	Spectrogram 1	1	6.710106247	6.711103980	3034.012	7307.800	3703.711	3703.711
36	Spectrogram 1	1	6.711103980	6.712101712	3034.012	7307.800	3703.711	3703.711
37	Spectrogram 1	1	6.712101712	6.713099445	3034.012	7307.800	3703.711	3703.711
38	Spectrogram 1	1	6.713099445	6.714097177	3034.012	7307.800	3789.844	3789.844
39	Spectrogram 1	1	6.714097177	6.715094910	3034.012	7307.800	3789.844	3789.844
40	Spectrogram 1	1	6.715094910	6.716092642	3034.012	7307.800	3789.844	3789.844
41	Spectrogram 1	1	6.716092642	6.717090374	3034.012	7307.800	3789.844	3789.844
42	Spectrogram 1	1	6.717090374	6.718088107	3034.012	7307.800	3789.844	3789.844
43	Spectrogram 1	1	6.718088107	6.719085839	3034.012	7307.800	3789.844	3789.844
44	Spectrogram 1	1	6.719085839	6.720083572	3034.012	7307.800	3789.844	3789.844
45	Spectrogram 1	1	6.720083572	6.721081304	3034.012	7307.800	3789.844	3789.844
46	Spectrogram 1	1	6.721081304	6.722079037	3034.012	7307.800	3789.844	3789.844
47	Spectrogram 1	1	6.722079037	6.723076769	3034.012	7307.800	3789.844	3789.844
48	Spectrogram 1	1	6.723076769	6.724074501	3034.012	7307.800	3789.844	3789.844
49	Spectrogram 1	1	6.724074501	6.725072234	3034.012	7307.800	3789.844	3789.844
50	Spectrogram 1	1	6.725072234	6.726069966	3034.012	7307.800	3875.977	3875.977
51	Spectrogram 1	1	6.726069966	6.727067699	3034.012	7307.800	3875.977	3875.977
52	Spectrogram 1	1	6.727067699	6.728065431	3034.012	7307.800	3875.977	3875.977
53	Spectrogram 1	1	6.728065431	6.729063164	3034.012	7307.800	3875.977	3875.977
54	Spectrogram 1	1	6.729063164	6.730060896	3034.012	7307.800	3875.977	3875.977
55	Spectrogram 1	1	6.730060896	6.731058628	3034.012	7307.800	3875.977	3875.977
56	Spectrogram 1	1	6.731058628	6.732056361	3034.012	7307.800	3962.109	4048.242
57	Spectrogram 1	1	6.732056361	6.733054093	3034.012	7307.800	3962.109	4048.242
58	Spectrogram 1	1	6.733054093	6.734051826	3034.012	7307.800	3962.109	4048.242
59	Spectrogram 1	1	6.734051826	6.735049558	3034.012	7307.800	3962.109	4048.242
60	Spectrogram 1	1	6.735049558	6.736047291	3034.012	7307.800	3962.109	4048.242
61	Spectrogram 1	1	6.736047291	6.737045023	3034.012	7307.800	3962.109	4048.242
62	Spectrogram 1	1	6.737045023	6.738042755	3034.012	7307.800	4134.375	4134.375
63	Spectrogram 1	1	6.738042755	6.739040488	3034.012	7307.800	4134.375	4134.375
64	Spectrogram 1	1	6.739040488	6.740038220	3034.012	7307.800	4134.375	4134.375
65	Spectrogram 1	1	6.740038220	6.741035953	3034.012	7307.800	4134.375	4134.375
66	Spectrogram 1	1	6.741035953	6.742033685	3034.012	7307.800	4134.375	4134.375
67	Spectrogram 1	1	6.742033685	6.743031418	3034.012	7307.800	4306.641	4306.641
68	Spectrogram 1	1	6.743031418	6.744029150	3034.012	7307.800	4306.641	4306.641
69	Spectrogram 1	1	6.744029150	6.745026882	3034.012	7307.800	4306.641	4306.641
70	Spectrogram 1	1	6.745026882	6.746024615	3034.012	7307.800	4306.641	4306.641
