Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	16.833542773	16.834540505	2767.800	5729.100	4048.242	2928.516
2	Spectrogram 1	1	16.834540505	16.835538238	2767.800	5729.100	4048.242	2928.516
3	Spectrogram 1	1	16.835538238	16.836535970	2767.800	5729.100	4048.242	2928.516
4	Spectrogram 1	1	16.836535970	16.837533703	2767.800	5729.100	4048.242	2928.516
5	Spectrogram 1	1	16.837533703	16.838531435	2767.800	5729.100	3359.180	3186.914
6	Spectrogram 1	1	16.838531435	16.839529168	2767.800	5729.100	3359.180	3186.914
7	Spectrogram 1	1	16.839529168	16.840526900	2767.800	5729.100	3359.180	3186.914
8	Spectrogram 1	1	16.840526900	16.841524632	2767.800	5729.100	3359.180	3186.914
9	Spectrogram 1	1	16.841524632	16.842522365	2767.800	5729.100	3359.180	3186.914
10	Spectrogram 1	1	16.842522365	16.843520097	2767.800	5729.100	3359.180	3186.914
11	Spectrogram 1	1	16.843520097	16.844517830	2767.800	5729.100	3703.711	3703.711
12	Spectrogram 1	1	16.844517830	16.845515562	2767.800	5729.100	3703.711	3703.711
13	Spectrogram 1	1	16.845515562	16.846513295	2767.800	5729.100	3703.711	3703.711
14	Spectrogram 1	1	16.846513295	16.847511027	2767.800	5729.100	3703.711	3703.711
15	Spectrogram 1	1	16.847511027	16.848508759	2767.800	5729.100	3703.711	3703.711
16	Spectrogram 1	1	16.848508759	16.849506492	2767.800	5729.100	3789.844	3789.844
17	Spectrogram 1	1	16.849506492	16.850504224	2767.800	5729.100	3789.844	3789.844
18	Spectrogram 1	1	16.850504224	16.851501957	2767.800	5729.100	3789.844	3789.844
19	Spectrogram 1	1	16.851501957	16.852499689	2767.800	5729.100	3789.844	3789.844
20	Spectrogram 1	1	16.852499689	16.853497422	2767.800	5729.100	3789.844	3789.844
21	Spectrogram 1	1	16.853497422	16.854495154	2767.800	5729.100	3789.844	3789.844
22	Spectrogram 1	1	16.854495154	16.855492886	2767.800	5729.100	3962.109	3962.109
23	Spectrogram 1	1	16.855492886	16.856490619	2767.800	5729.100	3962.109	3962.109
24	Spectrogram 1	1	16.856490619	16.857488351	2767.800	5729.100	3962.109	3962.109
25	Spectrogram 1	1	16.857488351	16.858486084	2767.800	5729.100	3962.109	3962.109
26	Spectrogram 1	1	16.858486084	16.859483816	2767.800	5729.100	3962.109	3962.109
27	Spectrogram 1	1	16.859483816	16.860481549	2767.800	5729.100	3962.109	3962.109
28	Spectrogram 1	1	16.860481549	16.861479281	2767.800	5729.100	4134.375	4134.375
29	Spectrogram 1	1	16.861479281	16.862477013	2767.800	5729.100	4134.375	4134.375
30	Spectrogram 1	1	16.862477013	16.863474746	2767.800	5729.100	4134.375	4134.375
31	Spectrogram 1	1	16.863474746	16.864472478	2767.800	5729.100	4134.375	4134.375
32	Spectrogram 1	1	16.864472478	16.865470211	2767.800	5729.100	4134.375	4134.375
33	Spectrogram 1	1	16.865470211	16.866467943	2767.800	5729.100	4134.375	4134.375
34	Spectrogram 1	1	16.866467943	16.867465675	2767.800	5729.100	4134.375	4134.375
35	Spectrogram 1	1	16.867465675	16.868463408	2767.800	5729.100	4134.375	4134.375
36	Spectrogram 1	1	16.868463408	16.869461140	2767.800	5729.100	4134.375	4134.375
37	Spectrogram 1	1	16.869461140	16.870458873	2767.800	5729.100	4134.375	4134.375
38	Spectrogram 1	1	16.870458873	16.871456605	2767.800	5729.100	4134.375	4134.375
39	Spectrogram 1	1	16.871456605	16.872454338	2767.800	5729.100	4134.375	4134.375
40	Spectrogram 1	1	16.872454338	16.873452070	2767.800	5729.100	4220.508	4220.508
41	Spectrogram 1	1	16.873452070	16.874449802	2767.800	5729.100	4220.508	4220.508
42	Spectrogram 1	1	16.874449802	16.875447535	2767.800	5729.100	4220.508	4220.508
43	Spectrogram 1	1	16.875447535	16.876445267	2767.800	5729.100	4220.508	4220.508
44	Spectrogram 1	1	16.876445267	16.877443000	2767.800	5729.100	4220.508	4220.508
45	Spectrogram 1	1	16.877443000	16.878440732	2767.800	5729.100	4220.508	4220.508
46	Spectrogram 1	1	16.878440732	16.879438465	2767.800	5729.100	4306.641	4306.641
47	Spectrogram 1	1	16.879438465	16.880436197	2767.800	5729.100	4306.641	4306.641
48	Spectrogram 1	1	16.880436197	16.881433929	2767.800	5729.100	4306.641	4306.641
49	Spectrogram 1	1	16.881433929	16.882431662	2767.800	5729.100	4306.641	4306.641
50	Spectrogram 1	1	16.882431662	16.883429394	2767.800	5729.100	4306.641	4306.641
51	Spectrogram 1	1	16.883429394	16.884427127	2767.800	5729.100	4392.773	4392.773
52	Spectrogram 1	1	16.884427127	16.885424859	2767.800	5729.100	4392.773	4392.773
53	Spectrogram 1	1	16.885424859	16.886422592	2767.800	5729.100	4392.773	4392.773
54	Spectrogram 1	1	16.886422592	16.887420324	2767.800	5729.100	4392.773	4392.773
55	Spectrogram 1	1	16.887420324	16.888418056	2767.800	5729.100	4392.773	4392.773
56	Spectrogram 1	1	16.888418056	16.889415789	2767.800	5729.100	4392.773	4392.773
57	Spectrogram 1	1	16.889415789	16.890413521	2767.800	5729.100	4478.906	4478.906
58	Spectrogram 1	1	16.890413521	16.891411254	2767.800	5729.100	4478.906	4478.906
