Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	1.713981789	1.714981789	2480.300	5254.300	4500.000	5156.250
2	Spectrogram 1	1	1.714981789	1.715981789	2480.300	5254.300	2812.500	2812.500
3	Spectrogram 1	1	1.715981789	1.716981789	2480.300	5254.300	2812.500	2812.500
4	Spectrogram 1	1	1.716981789	1.717981789	2480.300	5254.300	2812.500	2812.500
5	Spectrogram 1	1	1.717981789	1.718981789	2480.300	5254.300	2812.500	2812.500
6	Spectrogram 1	1	1.718981789	1.719981789	2480.300	5254.300	2812.500	2812.500
7	Spectrogram 1	1	1.719981789	1.720981789	2480.300	5254.300	3093.750	3093.750
8	Spectrogram 1	1	1.720981789	1.721981789	2480.300	5254.300	3093.750	3093.750
9	Spectrogram 1	1	1.721981789	1.722981789	2480.300	5254.300	3093.750	3093.750
10	Spectrogram 1	1	1.722981789	1.723981789	2480.300	5254.300	3093.750	3093.750
11	Spectrogram 1	1	1.723981789	1.724981789	2480.300	5254.300	3093.750	3093.750
12	Spectrogram 1	1	1.724981789	1.725981789	2480.300	5254.300	3468.750	3468.750
13	Spectrogram 1	1	1.725981789	1.726981789	2480.300	5254.300	3468.750	3468.750
14	Spectrogram 1	1	1.726981789	1.727981789	2480.300	5254.300	3468.750	3468.750
15	Spectrogram 1	1	1.727981789	1.728981789	2480.300	5254.300	3468.750	3468.750
16	Spectrogram 1	1	1.728981789	1.729981789	2480.300	5254.300	3468.750	3468.750
17	Spectrogram 1	1	1.729981789	1.730981789	2480.300	5254.300	3468.750	3468.750
18	Spectrogram 1	1	1.730981789	1.731981789	2480.300	5254.300	3656.250	3656.250
19	Spectrogram 1	1	1.731981789	1.732981789	2480.300	5254.300	3656.250	3656.250
20	Spectrogram 1	1	1.732981789	1.733981789	2480.300	5254.300	3656.250	3656.250
21	Spectrogram 1	1	1.733981789	1.734981789	2480.300	5254.300	3656.250	3656.250
22	Spectrogram 1	1	1.734981789	1.735981789	2480.300	5254.300	3656.250	3656.250
23	Spectrogram 1	1	1.735981789	1.736981789	2480.300	5254.300	3750.000	3750.000
24	Spectrogram 1	1	1.736981789	1.737981789	2480.300	5254.300	3750.000	3750.000
25	Spectrogram 1	1	1.737981789	1.738981789	2480.300	5254.300	3750.000	3750.000
26	Spectrogram 1	1	1.738981789	1.739981789	2480.300	5254.300	3750.000	3750.000
27	Spectrogram 1	1	1.739981789	1.740981789	2480.300	5254.300	3750.000	3750.000
28	Spectrogram 1	1	1.740981789	1.741981789	2480.300	5254.300	3750.000	3750.000
29	Spectrogram 1	1	1.741981789	1.742981789	2480.300	5254.300	3750.000	3750.000
30	Spectrogram 1	1	1.742981789	1.743981789	2480.300	5254.300	3750.000	3750.000
31	Spectrogram 1	1	1.743981789	1.744981789	2480.300	5254.300	3750.000	3750.000
32	Spectrogram 1	1	1.744981789	1.745981789	2480.300	5254.300	3750.000	3750.000
33	Spectrogram 1	1	1.745981789	1.746981789	2480.300	5254.300	3750.000	3750.000
34	Spectrogram 1	1	1.746981789	1.747981789	2480.300	5254.300	3750.000	3750.000
35	Spectrogram 1	1	1.747981789	1.748981789	2480.300	5254.300	3750.000	3750.000
36	Spectrogram 1	1	1.748981789	1.749981789	2480.300	5254.300	3750.000	3750.000
37	Spectrogram 1	1	1.749981789	1.750981789	2480.300	5254.300	3750.000	3750.000
38	Spectrogram 1	1	1.750981789	1.751981789	2480.300	5254.300	3750.000	3750.000
39	Spectrogram 1	1	1.751981789	1.752981789	2480.300	5254.300	3843.750	3843.750
40	Spectrogram 1	1	1.752981789	1.753981789	2480.300	5254.300	3843.750	3843.750
41	Spectrogram 1	1	1.753981789	1.754981789	2480.300	5254.300	3843.750	3843.750
42	Spectrogram 1	1	1.754981789	1.755981789	2480.300	5254.300	3843.750	3843.750
43	Spectrogram 1	1	1.755981789	1.756981789	2480.300	5254.300	3843.750	3843.750
44	Spectrogram 1	1	1.756981789	1.757981789	2480.300	5254.300	3843.750	3843.750
45	Spectrogram 1	1	1.757981789	1.758981789	2480.300	5254.300	3843.750	3843.750
46	Spectrogram 1	1	1.758981789	1.759981789	2480.300	5254.300	3843.750	3843.750
47	Spectrogram 1	1	1.759981789	1.760981789	2480.300	5254.300	3843.750	3843.750
48	Spectrogram 1	1	1.760981789	1.761981789	2480.300	5254.300	3843.750	3843.750
49	Spectrogram 1	1	1.761981789	1.762981789	2480.300	5254.300	3843.750	3843.750
50	Spectrogram 1	1	1.762981789	1.763981789	2480.300	5254.300	3937.500	3937.500
51	Spectrogram 1	1	1.763981789	1.764981789	2480.300	5254.300	3937.500	3937.500
52	Spectrogram 1	1	1.764981789	1.765981789	2480.300	5254.300	3937.500	3937.500
53	Spectrogram 1	1	1.765981789	1.766981789	2480.300	5254.300	3937.500	3937.500
54	Spectrogram 1	1	1.766981789	1.767981789	2480.300	5254.300	3937.500	3937.500
55	Spectrogram 1	1	1.767981789	1.768981789	2480.300	5254.300	3937.500	3937.500
56	Spectrogram 1	1	1.768981789	1.769981789	2480.300	5254.300	3937.500	3937.500
57	Spectrogram 1	1	1.769981789	1.770981789	2480.300	5254.300	3937.500	3937.500
58	Spectrogram 1	1	1.770981789	1.771981789	2480.300	5254.300	3937.500	3937.500
59	Spectrogram 1	1	1.771981789	1.772981789	2480.300	5254.300	3937.500	3937.500
60	Spectrogram 1	1	1.772981789	1.773981789	2480.300	5254.300	3937.500	3937.500
61	Spectrogram 1	1	1.773981789	1.774981789	2480.300	5254.300	3937.500	3937.500
62	Spectrogram 1	1	1.774981789	1.775981789	2480.300	5254.300	3937.500	3937.500
63	Spectrogram 1	1	1.775981789	1.776981789	2480.300	5254.300	3937.500	3937.500
64	Spectrogram 1	1	1.776981789	1.777981789	2480.300	5254.300	3937.500	3937.500
65	Spectrogram 1	1	1.777981789	1.778981789	2480.300	5254.300	3937.500	3937.500
66	Spectrogram 1	1	1.778981789	1.779981789	2480.300	5254.300	4031.250	4031.250
67	Spectrogram 1	1	1.779981789	1.780981789	2480.300	5254.300	4031.250	4031.250
68	Spectrogram 1	1	1.780981789	1.781981789	2480.300	5254.300	4031.250	4031.250
69	Spectrogram 1	1	1.781981789	1.782981789	2480.300	5254.300	4031.250	4031.250
70	Spectrogram 1	1	1.782981789	1.783981789	2480.300	5254.300	4031.250	4031.250
71	Spectrogram 1	1	1.783981789	1.784981789	2480.300	5254.300	4218.750	4218.750
72	Spectrogram 1	1	1.784981789	1.785981789	2480.300	5254.300	4218.750	4218.750
73	Spectrogram 1	1	1.785981789	1.786981789	2480.300	5254.300	4218.750	4218.750
74	Spectrogram 1	1	1.786981789	1.787981789	2480.300	5254.300	4218.750	4218.750
75	Spectrogram 1	1	1.787981789	1.788981789	2480.300	5254.300	4218.750	4218.750
76	Spectrogram 1	1	1.788981789	1.789981789	2480.300	5254.300	4312.500	4312.500
77	Spectrogram 1	1	1.789981789	1.790981789	2480.300	5254.300	4312.500	4312.500
78	Spectrogram 1	1	1.790981789	1.791981789	2480.300	5254.300	4312.500	4312.500
79	Spectrogram 1	1	1.791981789	1.792981789	2480.300	5254.300	4312.500	4312.500
80	Spectrogram 1	1	1.792981789	1.793981789	2480.300	5254.300	4312.500	4312.500
81	Spectrogram 1	1	1.793981789	1.794981789	2480.300	5254.300	4312.500	4312.500
82	Spectrogram 1	1	1.794981789	1.795981789	2480.300	5254.300	4593.750	4593.750
83	Spectrogram 1	1	1.795981789	1.796981789	2480.300	5254.300	4593.750	4593.750
84	Spectrogram 1	1	1.796981789	1.797981789	2480.300	5254.300	4593.750	4593.750
85	Spectrogram 1	1	1.797981789	1.798981789	2480.300	5254.300	4593.750	4593.750
86	Spectrogram 1	1	1.798981789	1.799981789	2480.300	5254.300	4593.750	4593.750
87	Spectrogram 1	1	1.799981789	1.800981789	2480.300	5254.300	4968.750	4968.750
88	Spectrogram 1	1	1.800981789	1.801981789	2480.300	5254.300	4968.750	4968.750
89	Spectrogram 1	1	1.801981789	1.802981789	2480.300	5254.300	4968.750	4968.750
90	Spectrogram 1	1	1.802981789	1.803981789	2480.300	5254.300	4968.750	4968.750
91	Spectrogram 1	1	1.803981789	1.804981789	2480.300	5254.300	4968.750	4968.750
92	Spectrogram 1	1	1.804981789	1.805981789	2480.300	5254.300	4687.500	4875.000
93	Spectrogram 1	1	1.805981789	1.806981789	2480.300	5254.300	4687.500	4875.000
94	Spectrogram 1	1	1.806981789	1.807981789	2480.300	5254.300	4687.500	4875.000
95	Spectrogram 1	1	1.807981789	1.808981789	2480.300	5254.300	4687.500	4875.000
96	Spectrogram 1	1	1.808981789	1.809981789	2480.300	5254.300	4687.500	4875.000
97	Spectrogram 1	1	1.809981789	1.810981789	2480.300	5254.300	4687.500	4875.000
98	Spectrogram 1	1	1.810981789	1.811981789	2480.300	5254.300	3937.500	3562.500
99	Spectrogram 1	1	1.811981789	1.812981789	2480.300	5254.300	3937.500	3562.500
100	Spectrogram 1	1	1.812981789	1.813981789	2480.300	5254.300	3937.500	3562.500
101	Spectrogram 1	1	1.813981789	1.814981789	2480.300	5254.300	3937.500	3562.500
102	Spectrogram 1	1	1.814981789	1.815981789	2480.300	5254.300	3937.500	3562.500
103	Spectrogram 1	1	1.815981789	1.816981789	2480.300	5254.300	4500.000	3375.000
104	Spectrogram 1	1	1.816981789	1.817981789	2480.300	5254.300	4500.000	3375.000
105	Spectrogram 1	1	1.817981789	1.818981789	2480.300	5254.300	4500.000	3375.000
106	Spectrogram 1	1	1.818981789	1.819981789	2480.300	5254.300	4500.000	3375.000
107	Spectrogram 1	1	1.819981789	1.820981789	2480.300	5254.300	4500.000	3375.000
108	Spectrogram 1	1	1.820981789	1.821981789	2480.300	5254.300	3375.000	3375.000
109	Spectrogram 1	1	1.821981789	1.822981789	2480.300	5254.300	3375.000	3375.000
110	Spectrogram 1	1	1.822981789	1.823981789	2480.300	5254.300	3375.000	3375.000
111	Spectrogram 1	1	1.823981789	1.824981789	2480.300	5254.300	3375.000	3375.000
112	Spectrogram 1	1	1.824981789	1.825981789	2480.300	5254.300	3375.000	3375.000
113	Spectrogram 1	1	1.825981789	1.826981789	2480.300	5254.300	3375.000	3375.000
114	Spectrogram 1	1	1.826981789	1.827981789	2480.300	5254.300	3468.750	3468.750
115	Spectrogram 1	1	1.827981789	1.828981789	2480.300	5254.300	3468.750	3468.750
116	Spectrogram 1	1	1.828981789	1.829981789	2480.300	5254.300	3468.750	3468.750
117	Spectrogram 1	1	1.829981789	1.830981789	2480.300	5254.300	3468.750	3468.750
118	Spectrogram 1	1	1.830981789	1.831981789	2480.300	5254.300	3468.750	3468.750
119	Spectrogram 1	1	1.831981789	1.832981789	2480.300	5254.300	3562.500	3562.500
120	Spectrogram 1	1	1.832981789	1.833981789	2480.300	5254.300	3562.500	3562.500
121	Spectrogram 1	1	1.833981789	1.834981789	2480.300	5254.300	3562.500	3562.500
122	Spectrogram 1	1	1.834981789	1.835981789	2480.300	5254.300	3562.500	3562.500
123	Spectrogram 1	1	1.835981789	1.836981789	2480.300	5254.300	3562.500	3562.500
124	Spectrogram 1	1	1.836981789	1.837981789	2480.300	5254.300	3656.250	3562.500
125	Spectrogram 1	1	1.837981789	1.838981789	2480.300	5254.300	3656.250	3562.500
126	Spectrogram 1	1	1.838981789	1.839981789	2480.300	5254.300	3656.250	3562.500
127	Spectrogram 1	1	1.839981789	1.840981789	2480.300	5254.300	3656.250	3562.500
128	Spectrogram 1	1	1.840981789	1.841981789	2480.300	5254.300	3656.250	3562.500
129	Spectrogram 1	1	1.841981789	1.842981789	2480.300	5254.300	3656.250	3562.500
130	Spectrogram 1	1	1.842981789	1.843981789	2480.300	5254.300	3656.250	3656.250
131	Spectrogram 1	1	1.843981789	1.844981789	2480.300	5254.300	3656.250	3656.250
132	Spectrogram 1	1	1.844981789	1.845981789	2480.300	5254.300	3656.250	3656.250
133	Spectrogram 1	1	1.845981789	1.846981789	2480.300	5254.300	3656.250	3656.250
134	Spectrogram 1	1	1.846981789	1.847981789	2480.300	5254.300	3656.250	3656.250
135	Spectrogram 1	1	1.847981789	1.848981789	2480.300	5254.300	3562.500	3562.500
136	Spectrogram 1	1	1.848981789	1.849981789	2480.300	5254.300	3562.500	3562.500
137	Spectrogram 1	1	1.849981789	1.850981789	2480.300	5254.300	3562.500	3562.500
138	Spectrogram 1	1	1.850981789	1.851981789	2480.300	5254.300	3562.500	3562.500
139	Spectrogram 1	1	1.851981789	1.852981789	2480.300	5254.300	3562.500	3562.500
140	Spectrogram 1	1	1.852981789	1.853981789	2480.300	5254.300	3656.250	3656.250
141	Spectrogram 1	1	1.853981789	1.854981789	2480.300	5254.300	3656.250	3656.250
142	Spectrogram 1	1	1.854981789	1.855981789	2480.300	5254.300	3656.250	3656.250
143	Spectrogram 1	1	1.855981789	1.856981789	2480.300	5254.300	3656.250	3656.250
144	Spectrogram 1	1	1.856981789	1.857981789	2480.300	5254.300	3656.250	3656.250
145	Spectrogram 1	1	1.857981789	1.858981789	2480.300	5254.300	3656.250	3656.250
146	Spectrogram 1	1	1.858981789	1.859981789	2480.300	5254.300	4031.250	3562.500
147	Spectrogram 1	1	1.859981789	1.860981789	2480.300	5254.300	4031.250	3562.500
148	Spectrogram 1	1	1.860981789	1.861981789	2480.300	5254.300	4031.250	3562.500
149	Spectrogram 1	1	1.861981789	1.862981789	2480.300	5254.300	4031.250	3562.500
150	Spectrogram 1	1	1.862981789	1.863981789	2480.300	5254.300	4031.250	3562.500
151	Spectrogram 1	1	1.863981789	1.864981789	2480.300	5254.300	3375.000	3375.000
152	Spectrogram 1	1	1.864981789	1.865981789	2480.300	5254.300	3375.000	3375.000
153	Spectrogram 1	1	1.865981789	1.866981789	2480.300	5254.300	3375.000	3375.000
154	Spectrogram 1	1	1.866981789	1.867981789	2480.300	5254.300	3375.000	3375.000
155	Spectrogram 1	1	1.867981789	1.868981789	2480.300	5254.300	3375.000	3375.000
156	Spectrogram 1	1	1.868981789	1.869981789	2480.300	5254.300	3187.500	3093.750
157	Spectrogram 1	1	1.869981789	1.870981789	2480.300	5254.300	3187.500	3093.750
158	Spectrogram 1	1	1.870981789	1.871981789	2480.300	5254.300	3187.500	3093.750
159	Spectrogram 1	1	1.871981789	1.872981789	2480.300	5254.300	3187.500	3093.750
160	Spectrogram 1	1	1.872981789	1.873981789	2480.300	5254.300	3187.500	3093.750
161	Spectrogram 1	1	1.873981789	1.874981789	2480.300	5254.300	3187.500	3093.750
162	Spectrogram 1	1	1.874981789	1.875981789	2480.300	5254.300	3281.250	3187.500
163	Spectrogram 1	1	1.875981789	1.876981789	2480.300	5254.300	3281.250	3187.500
164	Spectrogram 1	1	1.876981789	1.877981789	2480.300	5254.300	3281.250	3187.500
165	Spectrogram 1	1	1.877981789	1.878981789	2480.300	5254.300	3281.250	3187.500
166	Spectrogram 1	1	1.878981789	1.879981789	2480.300	5254.300	3281.250	3187.500
167	Spectrogram 1	1	1.879981789	1.880981789	2480.300	5254.300	3750.000	3750.000
168	Spectrogram 1	1	1.880981789	1.881981789	2480.300	5254.300	3750.000	3750.000
169	Spectrogram 1	1	1.881981789	1.882981789	2480.300	5254.300	3750.000	3750.000
170	Spectrogram 1	1	1.882981789	1.883981789	2480.300	5254.300	3750.000	3750.000
171	Spectrogram 1	1	1.883981789	1.884981789	2480.300	5254.300	3750.000	3750.000
172	Spectrogram 1	1	1.884981789	1.885981789	2480.300	5254.300	3937.500	3937.500
173	Spectrogram 1	1	1.885981789	1.886981789	2480.300	5254.300	3937.500	3937.500
174	Spectrogram 1	1	1.886981789	1.887981789	2480.300	5254.300	3937.500	3937.500
175	Spectrogram 1	1	1.887981789	1.888981789	2480.300	5254.300	3937.500	3937.500
176	Spectrogram 1	1	1.888981789	1.889981789	2480.300	5254.300	3937.500	3937.500
177	Spectrogram 1	1	1.889981789	1.890981789	2480.300	5254.300	3937.500	3937.500
178	Spectrogram 1	1	1.890981789	1.891981789	2480.300	5254.300	3937.500	3843.750
179	Spectrogram 1	1	1.891981789	1.892981789	2480.300	5254.300	3937.500	3843.750
180	Spectrogram 1	1	1.892981789	1.893981789	2480.300	5254.300	3937.500	3843.750
181	Spectrogram 1	1	1.893981789	1.894981789	2480.300	5254.300	3937.500	3843.750
182	Spectrogram 1	1	1.894981789	1.895981789	2480.300	5254.300	3937.500	3843.750
183	Spectrogram 1	1	1.895981789	1.896981789	2480.300	5254.300	3656.250	3656.250
184	Spectrogram 1	1	1.896981789	1.897981789	2480.300	5254.300	3656.250	3656.250
185	Spectrogram 1	1	1.897981789	1.898981789	2480.300	5254.300	3656.250	3656.250
186	Spectrogram 1	1	1.898981789	1.899981789	2480.300	5254.300	3656.250	3656.250
187	Spectrogram 1	1	1.899981789	1.900981789	2480.300	5254.300	3656.250	3656.250
188	Spectrogram 1	1	1.900981789	1.901981789	2480.300	5254.300	3375.000	3187.500
189	Spectrogram 1	1	1.901981789	1.902981789	2480.300	5254.300	3375.000	3187.500
190	Spectrogram 1	1	1.902981789	1.903981789	2480.300	5254.300	3375.000	3187.500
