Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	1.272536412	1.273536412	1894.737	6804.500	6281.250	6281.250
2	Spectrogram 1	1	1.273536412	1.274536412	1894.737	6804.500	6281.250	6281.250
3	Spectrogram 1	1	1.274536412	1.275536412	1894.737	6804.500	6281.250	6281.250
4	Spectrogram 1	1	1.275536412	1.276536412	1894.737	6804.500	6281.250	6281.250
5	Spectrogram 1	1	1.276536412	1.277536412	1894.737	6804.500	6281.250	6281.250
6	Spectrogram 1	1	1.277536412	1.278536412	1894.737	6804.500	6375.000	6468.750
7	Spectrogram 1	1	1.278536412	1.279536412	1894.737	6804.500	6375.000	6468.750
8	Spectrogram 1	1	1.279536412	1.280536412	1894.737	6804.500	6375.000	6468.750
9	Spectrogram 1	1	1.280536412	1.281536412	1894.737	6804.500	6375.000	6468.750
10	Spectrogram 1	1	1.281536412	1.282536412	1894.737	6804.500	6375.000	6468.750
11	Spectrogram 1	1	1.282536412	1.283536412	1894.737	6804.500	4781.250	4875.000
12	Spectrogram 1	1	1.283536412	1.284536412	1894.737	6804.500	4781.250	4875.000
13	Spectrogram 1	1	1.284536412	1.285536412	1894.737	6804.500	4781.250	4875.000
14	Spectrogram 1	1	1.285536412	1.286536412	1894.737	6804.500	4781.250	4875.000
15	Spectrogram 1	1	1.286536412	1.287536412	1894.737	6804.500	4781.250	4875.000
16	Spectrogram 1	1	1.287536412	1.288536412	1894.737	6804.500	5343.750	5343.750
17	Spectrogram 1	1	1.288536412	1.289536412	1894.737	6804.500	5343.750	5343.750
18	Spectrogram 1	1	1.289536412	1.290536412	1894.737	6804.500	5343.750	5343.750
19	Spectrogram 1	1	1.290536412	1.291536412	1894.737	6804.500	5343.750	5343.750
20	Spectrogram 1	1	1.291536412	1.292536412	1894.737	6804.500	5343.750	5343.750
21	Spectrogram 1	1	1.292536412	1.293536412	1894.737	6804.500	5343.750	5343.750
22	Spectrogram 1	1	1.293536412	1.294536412	1894.737	6804.500	5812.500	6281.250
23	Spectrogram 1	1	1.294536412	1.295536412	1894.737	6804.500	5812.500	6281.250
24	Spectrogram 1	1	1.295536412	1.296536412	1894.737	6804.500	5812.500	6281.250
25	Spectrogram 1	1	1.296536412	1.297536412	1894.737	6804.500	5812.500	6281.250
26	Spectrogram 1	1	1.297536412	1.298536412	1894.737	6804.500	5812.500	6281.250
27	Spectrogram 1	1	1.298536412	1.299536412	1894.737	6804.500	3562.500	3562.500
28	Spectrogram 1	1	1.299536412	1.300536412	1894.737	6804.500	3562.500	3562.500
29	Spectrogram 1	1	1.300536412	1.301536412	1894.737	6804.500	3562.500	3562.500
30	Spectrogram 1	1	1.301536412	1.302536412	1894.737	6804.500	3562.500	3562.500
31	Spectrogram 1	1	1.302536412	1.303536412	1894.737	6804.500	3562.500	3562.500
32	Spectrogram 1	1	1.303536412	1.304536412	1894.737	6804.500	3562.500	3562.500
33	Spectrogram 1	1	1.304536412	1.305536412	1894.737	6804.500	3562.500	3562.500
34	Spectrogram 1	1	1.305536412	1.306536412	1894.737	6804.500	3562.500	3562.500
35	Spectrogram 1	1	1.306536412	1.307536412	1894.737	6804.500	3562.500	3562.500
36	Spectrogram 1	1	1.307536412	1.308536412	1894.737	6804.500	3562.500	3562.500
37	Spectrogram 1	1	1.308536412	1.309536412	1894.737	6804.500	3562.500	3562.500
38	Spectrogram 1	1	1.309536412	1.310536412	1894.737	6804.500	3656.250	3656.250
39	Spectrogram 1	1	1.310536412	1.311536412	1894.737	6804.500	3656.250	3656.250
40	Spectrogram 1	1	1.311536412	1.312536412	1894.737	6804.500	3656.250	3656.250
41	Spectrogram 1	1	1.312536412	1.313536412	1894.737	6804.500	3656.250	3656.250
42	Spectrogram 1	1	1.313536412	1.314536412	1894.737	6804.500	3656.250	3656.250
43	Spectrogram 1	1	1.314536412	1.315536412	1894.737	6804.500	3656.250	3656.250
44	Spectrogram 1	1	1.315536412	1.316536412	1894.737	6804.500	3656.250	3656.250
45	Spectrogram 1	1	1.316536412	1.317536412	1894.737	6804.500	3656.250	3656.250
46	Spectrogram 1	1	1.317536412	1.318536412	1894.737	6804.500	3656.250	3656.250
47	Spectrogram 1	1	1.318536412	1.319536412	1894.737	6804.500	3656.250	3656.250
48	Spectrogram 1	1	1.319536412	1.320536412	1894.737	6804.500	3656.250	3656.250
49	Spectrogram 1	1	1.320536412	1.321536412	1894.737	6804.500	3656.250	3656.250
50	Spectrogram 1	1	1.321536412	1.322536412	1894.737	6804.500	3656.250	3656.250
