Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	29.114499347	29.115499347	1825.095	5657.795	3937.500	4125.000
2	Spectrogram 1	1	29.115499347	29.116499347	1825.095	5657.795	3937.500	4125.000
3	Spectrogram 1	1	29.116499347	29.117499347	1825.095	5657.795	3937.500	4125.000
4	Spectrogram 1	1	29.117499347	29.118499347	1825.095	5657.795	4312.500	4312.500
5	Spectrogram 1	1	29.118499347	29.119499347	1825.095	5657.795	4312.500	4312.500
6	Spectrogram 1	1	29.119499347	29.120499347	1825.095	5657.795	4312.500	4312.500
7	Spectrogram 1	1	29.120499347	29.121499347	1825.095	5657.795	4312.500	4312.500
8	Spectrogram 1	1	29.121499347	29.122499347	1825.095	5657.795	4312.500	4312.500
9	Spectrogram 1	1	29.122499347	29.123499347	1825.095	5657.795	4500.000	4593.750
10	Spectrogram 1	1	29.123499347	29.124499347	1825.095	5657.795	4500.000	4593.750
11	Spectrogram 1	1	29.124499347	29.125499347	1825.095	5657.795	4500.000	4593.750
12	Spectrogram 1	1	29.125499347	29.126499347	1825.095	5657.795	4500.000	4593.750
13	Spectrogram 1	1	29.126499347	29.127499347	1825.095	5657.795	4500.000	4593.750
14	Spectrogram 1	1	29.127499347	29.128499347	1825.095	5657.795	5250.000	5437.500
15	Spectrogram 1	1	29.128499347	29.129499347	1825.095	5657.795	5250.000	5437.500
16	Spectrogram 1	1	29.129499347	29.130499347	1825.095	5657.795	5250.000	5437.500
17	Spectrogram 1	1	29.130499347	29.131499347	1825.095	5657.795	5250.000	5437.500
18	Spectrogram 1	1	29.131499347	29.132499347	1825.095	5657.795	5250.000	5437.500
19	Spectrogram 1	1	29.132499347	29.133499347	1825.095	5657.795	5250.000	5437.500
20	Spectrogram 1	1	29.133499347	29.134499347	1825.095	5657.795	3281.250	3281.250
21	Spectrogram 1	1	29.134499347	29.135499347	1825.095	5657.795	3281.250	3281.250
22	Spectrogram 1	1	29.135499347	29.136499347	1825.095	5657.795	3281.250	3281.250
23	Spectrogram 1	1	29.136499347	29.137499347	1825.095	5657.795	3281.250	3281.250
24	Spectrogram 1	1	29.137499347	29.138499347	1825.095	5657.795	3281.250	3281.250
25	Spectrogram 1	1	29.138499347	29.139499347	1825.095	5657.795	3468.750	3468.750
26	Spectrogram 1	1	29.139499347	29.140499347	1825.095	5657.795	3468.750	3468.750
27	Spectrogram 1	1	29.140499347	29.141499347	1825.095	5657.795	3468.750	3468.750
28	Spectrogram 1	1	29.141499347	29.142499347	1825.095	5657.795	3468.750	3468.750
29	Spectrogram 1	1	29.142499347	29.143499347	1825.095	5657.795	3468.750	3468.750
30	Spectrogram 1	1	29.143499347	29.144499347	1825.095	5657.795	3562.500	3562.500
31	Spectrogram 1	1	29.144499347	29.145499347	1825.095	5657.795	3562.500	3562.500
32	Spectrogram 1	1	29.145499347	29.146499347	1825.095	5657.795	3562.500	3562.500
33	Spectrogram 1	1	29.146499347	29.147499347	1825.095	5657.795	3562.500	3562.500
34	Spectrogram 1	1	29.147499347	29.148499347	1825.095	5657.795	3562.500	3562.500
35	Spectrogram 1	1	29.148499347	29.149499347	1825.095	5657.795	3562.500	3562.500
36	Spectrogram 1	1	29.149499347	29.150499347	1825.095	5657.795	3656.250	3656.250
37	Spectrogram 1	1	29.150499347	29.151499347	1825.095	5657.795	3656.250	3656.250
38	Spectrogram 1	1	29.151499347	29.152499347	1825.095	5657.795	3656.250	3656.250
39	Spectrogram 1	1	29.152499347	29.153499347	1825.095	5657.795	3656.250	3656.250
40	Spectrogram 1	1	29.153499347	29.154499347	1825.095	5657.795	3656.250	3656.250
41	Spectrogram 1	1	29.154499347	29.155499347	1825.095	5657.795	3750.000	3750.000
42	Spectrogram 1	1	29.155499347	29.156499347	1825.095	5657.795	3750.000	3750.000
43	Spectrogram 1	1	29.156499347	29.157499347	1825.095	5657.795	3750.000	3750.000
