Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	42.847325291	42.848323023	2638.462	5015.100	2842.383	2756.250
2	Spectrogram 1	2	42.848323023	42.849320756	2638.462	5015.100	2842.383	2756.250
3	Spectrogram 1	2	42.849320756	42.850318488	2638.462	5015.100	3014.648	2928.516
4	Spectrogram 1	2	42.850318488	42.851316221	2638.462	5015.100	3014.648	2928.516
5	Spectrogram 1	2	42.851316221	42.852313953	2638.462	5015.100	3014.648	2928.516
6	Spectrogram 1	2	42.852313953	42.853311686	2638.462	5015.100	3014.648	2928.516
7	Spectrogram 1	2	42.853311686	42.854309418	2638.462	5015.100	3014.648	2928.516
8	Spectrogram 1	2	42.854309418	42.855307150	2638.462	5015.100	3014.648	2928.516
9	Spectrogram 1	2	42.855307150	42.856304883	2638.462	5015.100	3273.047	3273.047
10	Spectrogram 1	2	42.856304883	42.857302615	2638.462	5015.100	3273.047	3273.047
11	Spectrogram 1	2	42.857302615	42.858300348	2638.462	5015.100	3273.047	3273.047
12	Spectrogram 1	2	42.858300348	42.859298080	2638.462	5015.100	3273.047	3273.047
13	Spectrogram 1	2	42.859298080	42.860295813	2638.462	5015.100	3273.047	3273.047
14	Spectrogram 1	2	42.860295813	42.861293545	2638.462	5015.100	3273.047	3273.047
15	Spectrogram 1	2	42.861293545	42.862291277	2638.462	5015.100	3531.445	3531.445
16	Spectrogram 1	2	42.862291277	42.863289010	2638.462	5015.100	3531.445	3531.445
17	Spectrogram 1	2	42.863289010	42.864286742	2638.462	5015.100	3531.445	3531.445
18	Spectrogram 1	2	42.864286742	42.865284475	2638.462	5015.100	3531.445	3531.445
19	Spectrogram 1	2	42.865284475	42.866282207	2638.462	5015.100	3531.445	3531.445
20	Spectrogram 1	2	42.866282207	42.867279940	2638.462	5015.100	3531.445	3531.445
21	Spectrogram 1	2	42.867279940	42.868277672	2638.462	5015.100	3531.445	3531.445
22	Spectrogram 1	2	42.868277672	42.869275404	2638.462	5015.100	3531.445	3531.445
23	Spectrogram 1	2	42.869275404	42.870273137	2638.462	5015.100	3531.445	3531.445
24	Spectrogram 1	2	42.870273137	42.871270869	2638.462	5015.100	3531.445	3531.445
25	Spectrogram 1	2	42.871270869	42.872268602	2638.462	5015.100	3531.445	3531.445
26	Spectrogram 1	2	42.872268602	42.873266334	2638.462	5015.100	3531.445	3531.445
27	Spectrogram 1	2	42.873266334	42.874264067	2638.462	5015.100	3531.445	3531.445
28	Spectrogram 1	2	42.874264067	42.875261799	2638.462	5015.100	3531.445	3531.445
29	Spectrogram 1	2	42.875261799	42.876259531	2638.462	5015.100	3531.445	3531.445
30	Spectrogram 1	2	42.876259531	42.877257264	2638.462	5015.100	3531.445	3531.445
31	Spectrogram 1	2	42.877257264	42.878254996	2638.462	5015.100	3531.445	3531.445
32	Spectrogram 1	2	42.878254996	42.879252729	2638.462	5015.100	3617.578	3617.578
33	Spectrogram 1	2	42.879252729	42.880250461	2638.462	5015.100	3617.578	3617.578
34	Spectrogram 1	2	42.880250461	42.881248193	2638.462	5015.100	3617.578	3617.578
35	Spectrogram 1	2	42.881248193	42.882245926	2638.462	5015.100	3617.578	3617.578
36	Spectrogram 1	2	42.882245926	42.883243658	2638.462	5015.100	3617.578	3617.578
37	Spectrogram 1	2	42.883243658	42.884241391	2638.462	5015.100	3617.578	3617.578
38	Spectrogram 1	2	42.884241391	42.885239123	2638.462	5015.100	3617.578	3617.578
39	Spectrogram 1	2	42.885239123	42.886236856	2638.462	5015.100	3617.578	3617.578
40	Spectrogram 1	2	42.886236856	42.887234588	2638.462	5015.100	3617.578	3617.578
41	Spectrogram 1	2	42.887234588	42.888232320	2638.462	5015.100	3617.578	3617.578
42	Spectrogram 1	2	42.888232320	42.889230053	2638.462	5015.100	3617.578	3617.578
43	Spectrogram 1	2	42.889230053	42.890227785	2638.462	5015.100	3617.578	3617.578
44	Spectrogram 1	2	42.890227785	42.891225518	2638.462	5015.100	3703.711	3703.711
45	Spectrogram 1	2	42.891225518	42.892223250	2638.462	5015.100	3703.711	3703.711
46	Spectrogram 1	2	42.892223250	42.893220983	2638.462	5015.100	3703.711	3703.711
47	Spectrogram 1	2	42.893220983	42.894218715	2638.462	5015.100	3703.711	3703.711
48	Spectrogram 1	2	42.894218715	42.895216447	2638.462	5015.100	3703.711	3703.711
49	Spectrogram 1	2	42.895216447	42.896214180	2638.462	5015.100	3703.711	3703.711
50	Spectrogram 1	2	42.896214180	42.897211912	2638.462	5015.100	3789.844	3789.844
51	Spectrogram 1	2	42.897211912	42.898209645	2638.462	5015.100	3789.844	3789.844
52	Spectrogram 1	2	42.898209645	42.899207377	2638.462	5015.100	3789.844	3789.844
53	Spectrogram 1	2	42.899207377	42.900205110	2638.462	5015.100	3789.844	3789.844
54	Spectrogram 1	2	42.900205110	42.901202842	2638.462	5015.100	3789.844	3789.844
55	Spectrogram 1	2	42.901202842	42.902200574	2638.462	5015.100	3789.844	3789.844
56	Spectrogram 1	2	42.902200574	42.903198307	2638.462	5015.100	3789.844	3789.844
57	Spectrogram 1	2	42.903198307	42.904196039	2638.462	5015.100	3789.844	3789.844
58	Spectrogram 1	2	42.904196039	42.905193772	2638.462	5015.100	3789.844	3789.844
59	Spectrogram 1	2	42.905193772	42.906191504	2638.462	5015.100	3789.844	3789.844
60	Spectrogram 1	2	42.906191504	42.907189237	2638.462	5015.100	3789.844	3789.844
61	Spectrogram 1	2	42.907189237	42.908186969	2638.462	5015.100	3875.977	3875.977
62	Spectrogram 1	2	42.908186969	42.909184701	2638.462	5015.100	3875.977	3875.977
63	Spectrogram 1	2	42.909184701	42.910182434	2638.462	5015.100	3875.977	3875.977
64	Spectrogram 1	2	42.910182434	42.911180166	2638.462	5015.100	3875.977	3875.977
65	Spectrogram 1	2	42.911180166	42.912177899	2638.462	5015.100	3875.977	3875.977
66	Spectrogram 1	2	42.912177899	42.913175631	2638.462	5015.100	3875.977	3875.977
67	Spectrogram 1	2	42.913175631	42.914173364	2638.462	5015.100	3962.109	3962.109
68	Spectrogram 1	2	42.914173364	42.915171096	2638.462	5015.100	3962.109	3962.109
69	Spectrogram 1	2	42.915171096	42.916168828	2638.462	5015.100	3962.109	3962.109
70	Spectrogram 1	2	42.916168828	42.917166561	2638.462	5015.100	3962.109	3962.109
71	Spectrogram 1	2	42.917166561	42.918164293	2638.462	5015.100	3962.109	3962.109
72	Spectrogram 1	2	42.918164293	42.919162026	2638.462	5015.100	3962.109	3962.109
73	Spectrogram 1	2	42.919162026	42.920159758	2638.462	5015.100	4048.242	4048.242
74	Spectrogram 1	2	42.920159758	42.921157491	2638.462	5015.100	4048.242	4048.242
75	Spectrogram 1	2	42.921157491	42.922155223	2638.462	5015.100	4048.242	4048.242
76	Spectrogram 1	2	42.922155223	42.923152955	2638.462	5015.100	4048.242	4048.242
77	Spectrogram 1	2	42.923152955	42.924150688	2638.462	5015.100	4048.242	4048.242
78	Spectrogram 1	2	42.924150688	42.925148420	2638.462	5015.100	4048.242	4048.242
79	Spectrogram 1	2	42.925148420	42.926146153	2638.462	5015.100	4134.375	4134.375
80	Spectrogram 1	2	42.926146153	42.927143885	2638.462	5015.100	4134.375	4134.375
81	Spectrogram 1	2	42.927143885	42.928141618	2638.462	5015.100	4134.375	4134.375
82	Spectrogram 1	2	42.928141618	42.929139350	2638.462	5015.100	4134.375	4134.375
83	Spectrogram 1	2	42.929139350	42.930137082	2638.462	5015.100	4134.375	4134.375
84	Spectrogram 1	2	42.930137082	42.931134815	2638.462	5015.100	4134.375	4134.375
85	Spectrogram 1	2	42.931134815	42.932132547	2638.462	5015.100	4306.641	4306.641
86	Spectrogram 1	2	42.932132547	42.933130280	2638.462	5015.100	4306.641	4306.641
87	Spectrogram 1	2	42.933130280	42.934128012	2638.462	5015.100	4306.641	4306.641
88	Spectrogram 1	2	42.934128012	42.935125745	2638.462	5015.100	4306.641	4306.641
89	Spectrogram 1	2	42.935125745	42.936123477	2638.462	5015.100	4306.641	4306.641
90	Spectrogram 1	2	42.936123477	42.937121209	2638.462	5015.100	4392.773	4478.906
91	Spectrogram 1	2	42.937121209	42.938118942	2638.462	5015.100	4392.773	4478.906
92	Spectrogram 1	2	42.938118942	42.939116674	2638.462	5015.100	4392.773	4478.906
93	Spectrogram 1	2	42.939116674	42.940114407	2638.462	5015.100	4392.773	4478.906
94	Spectrogram 1	2	42.940114407	42.941112139	2638.462	5015.100	4392.773	4478.906
95	Spectrogram 1	2	42.941112139	42.942109871	2638.462	5015.100	4392.773	4478.906
96	Spectrogram 1	2	42.942109871	42.943107604	2638.462	5015.100	4565.039	4565.039
97	Spectrogram 1	2	42.943107604	42.944105336	2638.462	5015.100	4565.039	4565.039
98	Spectrogram 1	2	42.944105336	42.945103069	2638.462	5015.100	4565.039	4565.039
99	Spectrogram 1	2	42.945103069	42.946100801	2638.462	5015.100	4565.039	4565.039
100	Spectrogram 1	2	42.946100801	42.947098534	2638.462	5015.100	4565.039	4565.039
