Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	90.741786968	90.742786968	2132.231	5671.200	2812.500	2250.000
2	Spectrogram 1	1	90.742786968	90.743786968	2132.231	5671.200	2625.000	2437.500
3	Spectrogram 1	1	90.743786968	90.744786968	2132.231	5671.200	2625.000	2437.500
4	Spectrogram 1	1	90.744786968	90.745786968	2132.231	5671.200	2625.000	2437.500
5	Spectrogram 1	1	90.745786968	90.746786968	2132.231	5671.200	3562.500	2437.500
6	Spectrogram 1	1	90.746786968	90.747786968	2132.231	5671.200	3562.500	2437.500
7	Spectrogram 1	1	90.747786968	90.748786968	2132.231	5671.200	3750.000	3750.000
8	Spectrogram 1	1	90.748786968	90.749786968	2132.231	5671.200	3750.000	3750.000
9	Spectrogram 1	1	90.749786968	90.750786968	2132.231	5671.200	3750.000	3750.000
10	Spectrogram 1	1	90.750786968	90.751786968	2132.231	5671.200	3937.500	3937.500
11	Spectrogram 1	1	90.751786968	90.752786968	2132.231	5671.200	3937.500	3937.500
12	Spectrogram 1	1	90.752786968	90.753786968	2132.231	5671.200	3937.500	3937.500
13	Spectrogram 1	1	90.753786968	90.754786968	2132.231	5671.200	4125.000	4312.500
14	Spectrogram 1	1	90.754786968	90.755786968	2132.231	5671.200	4125.000	4312.500
15	Spectrogram 1	1	90.755786968	90.756786968	2132.231	5671.200	4125.000	2437.500
16	Spectrogram 1	1	90.756786968	90.757786968	2132.231	5671.200	4125.000	2437.500
17	Spectrogram 1	1	90.757786968	90.758786968	2132.231	5671.200	4125.000	2437.500
18	Spectrogram 1	1	90.758786968	90.759786968	2132.231	5671.200	3187.500	2812.500
19	Spectrogram 1	1	90.759786968	90.760786968	2132.231	5671.200	3187.500	2812.500
20	Spectrogram 1	1	90.760786968	90.761786968	2132.231	5671.200	3187.500	2812.500
21	Spectrogram 1	1	90.761786968	90.762786968	2132.231	5671.200	3187.500	3187.500
22	Spectrogram 1	1	90.762786968	90.763786968	2132.231	5671.200	3187.500	3187.500
23	Spectrogram 1	1	90.763786968	90.764786968	2132.231	5671.200	3375.000	3375.000
24	Spectrogram 1	1	90.764786968	90.765786968	2132.231	5671.200	3375.000	3375.000
25	Spectrogram 1	1	90.765786968	90.766786968	2132.231	5671.200	3375.000	3375.000
26	Spectrogram 1	1	90.766786968	90.767786968	2132.231	5671.200	3375.000	3562.500
27	Spectrogram 1	1	90.767786968	90.768786968	2132.231	5671.200	3375.000	3562.500
28	Spectrogram 1	1	90.768786968	90.769786968	2132.231	5671.200	3375.000	3562.500
29	Spectrogram 1	1	90.769786968	90.770786968	2132.231	5671.200	3562.500	3562.500
30	Spectrogram 1	1	90.770786968	90.771786968	2132.231	5671.200	3562.500	3562.500
31	Spectrogram 1	1	90.771786968	90.772786968	2132.231	5671.200	3562.500	3562.500
32	Spectrogram 1	1	90.772786968	90.773786968	2132.231	5671.200	3562.500	3562.500
33	Spectrogram 1	1	90.773786968	90.774786968	2132.231	5671.200	3562.500	3562.500
34	Spectrogram 1	1	90.774786968	90.775786968	2132.231	5671.200	3562.500	3562.500
35	Spectrogram 1	1	90.775786968	90.776786968	2132.231	5671.200	3562.500	3562.500
36	Spectrogram 1	1	90.776786968	90.777786968	2132.231	5671.200	3562.500	3562.500
37	Spectrogram 1	1	90.777786968	90.778786968	2132.231	5671.200	3562.500	3562.500
38	Spectrogram 1	1	90.778786968	90.779786968	2132.231	5671.200	3562.500	3562.500
39	Spectrogram 1	1	90.779786968	90.780786968	2132.231	5671.200	3750.000	3750.000
40	Spectrogram 1	1	90.780786968	90.781786968	2132.231	5671.200	3750.000	3750.000
41	Spectrogram 1	1	90.781786968	90.782786968	2132.231	5671.200	3750.000	3750.000
42	Spectrogram 1	1	90.782786968	90.783786968	2132.231	5671.200	3750.000	3750.000
43	Spectrogram 1	1	90.783786968	90.784786968	2132.231	5671.200	3750.000	3750.000
44	Spectrogram 1	1	90.784786968	90.785786968	2132.231	5671.200	3750.000	3750.000
45	Spectrogram 1	1	90.785786968	90.786786968	2132.231	5671.200	3750.000	3750.000
46	Spectrogram 1	1	90.786786968	90.787786968	2132.231	5671.200	3750.000	3750.000
47	Spectrogram 1	1	90.787786968	90.788786968	2132.231	5671.200	3750.000	3750.000
48	Spectrogram 1	1	90.788786968	90.789786968	2132.231	5671.200	3750.000	3750.000
49	Spectrogram 1	1	90.789786968	90.790786968	2132.231	5671.200	3750.000	3750.000
50	Spectrogram 1	1	90.790786968	90.791786968	2132.231	5671.200	3750.000	3750.000
51	Spectrogram 1	1	90.791786968	90.792786968	2132.231	5671.200	3750.000	3750.000
52	Spectrogram 1	1	90.792786968	90.793786968	2132.231	5671.200	3750.000	3750.000
53	Spectrogram 1	1	90.793786968	90.794786968	2132.231	5671.200	3937.500	3937.500
54	Spectrogram 1	1	90.794786968	90.795786968	2132.231	5671.200	3937.500	3937.500
55	Spectrogram 1	1	90.795786968	90.796786968	2132.231	5671.200	3750.000	3750.000
56	Spectrogram 1	1	90.796786968	90.797786968	2132.231	5671.200	3750.000	3750.000
57	Spectrogram 1	1	90.797786968	90.798786968	2132.231	5671.200	3750.000	3750.000
58	Spectrogram 1	1	90.798786968	90.799786968	2132.231	5671.200	3750.000	3750.000
59	Spectrogram 1	1	90.799786968	90.800786968	2132.231	5671.200	3750.000	3750.000
