Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.229123865	0.230123865	2014.800	5251.000	4218.750	4125.000
2	Spectrogram 1	1	0.230123865	0.231123865	2014.800	5251.000	4218.750	4125.000
3	Spectrogram 1	1	0.231123865	0.232123865	2014.800	5251.000	4218.750	4125.000
4	Spectrogram 1	1	0.232123865	0.233123865	2014.800	5251.000	4593.750	4687.500
5	Spectrogram 1	1	0.233123865	0.234123865	2014.800	5251.000	4593.750	4687.500
6	Spectrogram 1	1	0.234123865	0.235123865	2014.800	5251.000	4593.750	4687.500
7	Spectrogram 1	1	0.235123865	0.236123865	2014.800	5251.000	4593.750	4687.500
8	Spectrogram 1	1	0.236123865	0.237123865	2014.800	5251.000	4593.750	4687.500
9	Spectrogram 1	1	0.237123865	0.238123865	2014.800	5251.000	3187.500	3187.500
10	Spectrogram 1	1	0.238123865	0.239123865	2014.800	5251.000	3187.500	3187.500
11	Spectrogram 1	1	0.239123865	0.240123865	2014.800	5251.000	3187.500	3187.500
12	Spectrogram 1	1	0.240123865	0.241123865	2014.800	5251.000	3187.500	3187.500
13	Spectrogram 1	1	0.241123865	0.242123865	2014.800	5251.000	3187.500	3187.500
14	Spectrogram 1	1	0.242123865	0.243123865	2014.800	5251.000	3187.500	3187.500
15	Spectrogram 1	1	0.243123865	0.244123865	2014.800	5251.000	3562.500	3656.250
16	Spectrogram 1	1	0.244123865	0.245123865	2014.800	5251.000	3562.500	3656.250
17	Spectrogram 1	1	0.245123865	0.246123865	2014.800	5251.000	3562.500	3656.250
18	Spectrogram 1	1	0.246123865	0.247123865	2014.800	5251.000	3562.500	3656.250
19	Spectrogram 1	1	0.247123865	0.248123865	2014.800	5251.000	3562.500	3656.250
20	Spectrogram 1	1	0.248123865	0.249123865	2014.800	5251.000	3750.000	3750.000
21	Spectrogram 1	1	0.249123865	0.250123865	2014.800	5251.000	3750.000	3750.000
22	Spectrogram 1	1	0.250123865	0.251123865	2014.800	5251.000	3750.000	3750.000
23	Spectrogram 1	1	0.251123865	0.252123865	2014.800	5251.000	3750.000	3750.000
