Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	120.403765355	120.404765355	1710.742	6432.391	5062.500	5062.500
2	Spectrogram 1	1	120.404765355	120.405765355	1710.742	6432.391	5062.500	5062.500
3	Spectrogram 1	1	120.405765355	120.406765355	1710.742	6432.391	5062.500	5062.500
4	Spectrogram 1	1	120.406765355	120.407765355	1710.742	6432.391	4500.000	4500.000
5	Spectrogram 1	1	120.407765355	120.408765355	1710.742	6432.391	4500.000	4500.000
6	Spectrogram 1	1	120.408765355	120.409765355	1710.742	6432.391	4500.000	4500.000
7	Spectrogram 1	1	120.409765355	120.410765355	1710.742	6432.391	4875.000	4875.000
8	Spectrogram 1	1	120.410765355	120.411765355	1710.742	6432.391	4875.000	4875.000
9	Spectrogram 1	1	120.411765355	120.412765355	1710.742	6432.391	5437.500	5437.500
10	Spectrogram 1	1	120.412765355	120.413765355	1710.742	6432.391	5437.500	5437.500
11	Spectrogram 1	1	120.413765355	120.414765355	1710.742	6432.391	5437.500	5437.500
12	Spectrogram 1	1	120.414765355	120.415765355	1710.742	6432.391	4875.000	3000.000
13	Spectrogram 1	1	120.415765355	120.416765355	1710.742	6432.391	4875.000	3000.000
14	Spectrogram 1	1	120.416765355	120.417765355	1710.742	6432.391	4875.000	3000.000
15	Spectrogram 1	1	120.417765355	120.418765355	1710.742	6432.391	3375.000	3187.500
16	Spectrogram 1	1	120.418765355	120.419765355	1710.742	6432.391	3375.000	3187.500
17	Spectrogram 1	1	120.419765355	120.420765355	1710.742	6432.391	5062.500	3375.000
18	Spectrogram 1	1	120.420765355	120.421765355	1710.742	6432.391	5062.500	3375.000
19	Spectrogram 1	1	120.421765355	120.422765355	1710.742	6432.391	5062.500	3375.000
20	Spectrogram 1	1	120.422765355	120.423765355	1710.742	6432.391	3375.000	3375.000
21	Spectrogram 1	1	120.423765355	120.424765355	1710.742	6432.391	3375.000	3375.000
22	Spectrogram 1	1	120.424765355	120.425765355	1710.742	6432.391	3375.000	3375.000
23	Spectrogram 1	1	120.425765355	120.426765355	1710.742	6432.391	3375.000	3375.000
24	Spectrogram 1	1	120.426765355	120.427765355	1710.742	6432.391	3375.000	3375.000
25	Spectrogram 1	1	120.427765355	120.428765355	1710.742	6432.391	3375.000	3375.000
26	Spectrogram 1	1	120.428765355	120.429765355	1710.742	6432.391	3375.000	3375.000
27	Spectrogram 1	1	120.429765355	120.430765355	1710.742	6432.391	3375.000	3375.000
28	Spectrogram 1	1	120.430765355	120.431765355	1710.742	6432.391	3375.000	3375.000
29	Spectrogram 1	1	120.431765355	120.432765355	1710.742	6432.391	3375.000	3375.000
30	Spectrogram 1	1	120.432765355	120.433765355	1710.742	6432.391	3375.000	3375.000
31	Spectrogram 1	1	120.433765355	120.434765355	1710.742	6432.391	3562.500	3562.500
32	Spectrogram 1	1	120.434765355	120.435765355	1710.742	6432.391	3562.500	3562.500
33	Spectrogram 1	1	120.435765355	120.436765355	1710.742	6432.391	3562.500	3562.500
34	Spectrogram 1	1	120.436765355	120.437765355	1710.742	6432.391	3562.500	3562.500
35	Spectrogram 1	1	120.437765355	120.438765355	1710.742	6432.391	3562.500	3562.500
36	Spectrogram 1	1	120.438765355	120.439765355	1710.742	6432.391	3562.500	3562.500
37	Spectrogram 1	1	120.439765355	120.440765355	1710.742	6432.391	3562.500	3562.500
38	Spectrogram 1	1	120.440765355	120.441765355	1710.742	6432.391	3562.500	3562.500
39	Spectrogram 1	1	120.441765355	120.442765355	1710.742	6432.391	3562.500	3562.500
40	Spectrogram 1	1	120.442765355	120.443765355	1710.742	6432.391	3562.500	3562.500
41	Spectrogram 1	1	120.443765355	120.444765355	1710.742	6432.391	3562.500	3562.500
42	Spectrogram 1	1	120.444765355	120.445765355	1710.742	6432.391	3562.500	3562.500
43	Spectrogram 1	1	120.445765355	120.446765355	1710.742	6432.391	3562.500	3562.500
44	Spectrogram 1	1	120.446765355	120.447765355	1710.742	6432.391	3562.500	3562.500
45	Spectrogram 1	1	120.447765355	120.448765355	1710.742	6432.391	3562.500	3562.500
46	Spectrogram 1	1	120.448765355	120.449765355	1710.742	6432.391	3562.500	3562.500
47	Spectrogram 1	1	120.449765355	120.450765355	1710.742	6432.391	3562.500	3562.500
48	Spectrogram 1	1	120.450765355	120.451765355	1710.742	6432.391	3562.500	3562.500
49	Spectrogram 1	1	120.451765355	120.452765355	1710.742	6432.391	3562.500	3562.500
50	Spectrogram 1	1	120.452765355	120.453765355	1710.742	6432.391	3562.500	3562.500
