Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	37.331869939	37.332869939	2013.700	6767.773	5437.500	4500.000
2	Spectrogram 1	1	37.332869939	37.333869939	2013.700	6767.773	5437.500	4500.000
3	Spectrogram 1	1	37.333869939	37.334869939	2013.700	6767.773	5437.500	4500.000
4	Spectrogram 1	1	37.334869939	37.335869939	2013.700	6767.773	5062.500	5062.500
5	Spectrogram 1	1	37.335869939	37.336869939	2013.700	6767.773	5062.500	5062.500
6	Spectrogram 1	1	37.336869939	37.337869939	2013.700	6767.773	5625.000	5625.000
7	Spectrogram 1	1	37.337869939	37.338869939	2013.700	6767.773	5625.000	5625.000
8	Spectrogram 1	1	37.338869939	37.339869939	2013.700	6767.773	5625.000	5625.000
9	Spectrogram 1	1	37.339869939	37.340869939	2013.700	6767.773	5812.500	6000.000
10	Spectrogram 1	1	37.340869939	37.341869939	2013.700	6767.773	5812.500	6000.000
11	Spectrogram 1	1	37.341869939	37.342869939	2013.700	6767.773	5812.500	6000.000
12	Spectrogram 1	1	37.342869939	37.343869939	2013.700	6767.773	6187.500	6187.500
13	Spectrogram 1	1	37.343869939	37.344869939	2013.700	6767.773	6187.500	6187.500
14	Spectrogram 1	1	37.344869939	37.345869939	2013.700	6767.773	6375.000	6375.000
15	Spectrogram 1	1	37.345869939	37.346869939	2013.700	6767.773	6375.000	6375.000
16	Spectrogram 1	1	37.346869939	37.347869939	2013.700	6767.773	6375.000	6375.000
17	Spectrogram 1	1	37.347869939	37.348869939	2013.700	6767.773	6375.000	6375.000
18	Spectrogram 1	1	37.348869939	37.349869939	2013.700	6767.773	6375.000	6375.000
19	Spectrogram 1	1	37.349869939	37.350869939	2013.700	6767.773	6375.000	6375.000
20	Spectrogram 1	1	37.350869939	37.351869939	2013.700	6767.773	6375.000	6375.000
21	Spectrogram 1	1	37.351869939	37.352869939	2013.700	6767.773	6375.000	6375.000
22	Spectrogram 1	1	37.352869939	37.353869939	2013.700	6767.773	6562.500	6562.500
23	Spectrogram 1	1	37.353869939	37.354869939	2013.700	6767.773	6562.500	6562.500
24	Spectrogram 1	1	37.354869939	37.355869939	2013.700	6767.773	6562.500	6562.500
25	Spectrogram 1	1	37.355869939	37.356869939	2013.700	6767.773	6562.500	6562.500
26	Spectrogram 1	1	37.356869939	37.357869939	2013.700	6767.773	6562.500	6562.500
27	Spectrogram 1	1	37.357869939	37.358869939	2013.700	6767.773	6562.500	6562.500
28	Spectrogram 1	1	37.358869939	37.359869939	2013.700	6767.773	6562.500	6750.000
29	Spectrogram 1	1	37.359869939	37.360869939	2013.700	6767.773	6562.500	6750.000
30	Spectrogram 1	1	37.360869939	37.361869939	2013.700	6767.773	6750.000	6750.000
31	Spectrogram 1	1	37.361869939	37.362869939	2013.700	6767.773	6750.000	6750.000
32	Spectrogram 1	1	37.362869939	37.363869939	2013.700	6767.773	6750.000	6750.000
33	Spectrogram 1	1	37.363869939	37.364869939	2013.700	6767.773	6562.500	6750.000
34	Spectrogram 1	1	37.364869939	37.365869939	2013.700	6767.773	6562.500	6750.000
