Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	25.031149116	25.032149116	2117.647	7122.995	4687.500	4687.500
2	Spectrogram 1	1	25.032149116	25.033149116	2117.647	7122.995	4687.500	4687.500
3	Spectrogram 1	1	25.033149116	25.034149116	2117.647	7122.995	4875.000	5062.500
4	Spectrogram 1	1	25.034149116	25.035149116	2117.647	7122.995	4875.000	5062.500
5	Spectrogram 1	1	25.035149116	25.036149116	2117.647	7122.995	4875.000	5062.500
6	Spectrogram 1	1	25.036149116	25.037149116	2117.647	7122.995	5625.000	5812.500
7	Spectrogram 1	1	25.037149116	25.038149116	2117.647	7122.995	5625.000	5812.500
8	Spectrogram 1	1	25.038149116	25.039149116	2117.647	7122.995	5625.000	5812.500
9	Spectrogram 1	1	25.039149116	25.040149116	2117.647	7122.995	6187.500	6187.500
10	Spectrogram 1	1	25.040149116	25.041149116	2117.647	7122.995	6187.500	6187.500
11	Spectrogram 1	1	25.041149116	25.042149116	2117.647	7122.995	5812.500	6375.000
12	Spectrogram 1	1	25.042149116	25.043149116	2117.647	7122.995	5812.500	6375.000
13	Spectrogram 1	1	25.043149116	25.044149116	2117.647	7122.995	5812.500	6375.000
14	Spectrogram 1	1	25.044149116	25.045149116	2117.647	7122.995	3562.500	3375.000
15	Spectrogram 1	1	25.045149116	25.046149116	2117.647	7122.995	3562.500	3375.000
16	Spectrogram 1	1	25.046149116	25.047149116	2117.647	7122.995	3562.500	3375.000
17	Spectrogram 1	1	25.047149116	25.048149116	2117.647	7122.995	3375.000	3375.000
18	Spectrogram 1	1	25.048149116	25.049149116	2117.647	7122.995	3375.000	3375.000
19	Spectrogram 1	1	25.049149116	25.050149116	2117.647	7122.995	3375.000	3375.000
20	Spectrogram 1	1	25.050149116	25.051149116	2117.647	7122.995	3375.000	3375.000
21	Spectrogram 1	1	25.051149116	25.052149116	2117.647	7122.995	3375.000	3375.000
22	Spectrogram 1	1	25.052149116	25.053149116	2117.647	7122.995	3562.500	3375.000
23	Spectrogram 1	1	25.053149116	25.054149116	2117.647	7122.995	3562.500	3375.000
24	Spectrogram 1	1	25.054149116	25.055149116	2117.647	7122.995	3562.500	3375.000
25	Spectrogram 1	1	25.055149116	25.056149116	2117.647	7122.995	3375.000	3375.000
26	Spectrogram 1	1	25.056149116	25.057149116	2117.647	7122.995	3375.000	3375.000
27	Spectrogram 1	1	25.057149116	25.058149116	2117.647	7122.995	3562.500	3562.500
28	Spectrogram 1	1	25.058149116	25.059149116	2117.647	7122.995	3562.500	3562.500
29	Spectrogram 1	1	25.059149116	25.060149116	2117.647	7122.995	3562.500	3562.500
30	Spectrogram 1	1	25.060149116	25.061149116	2117.647	7122.995	3562.500	3562.500
31	Spectrogram 1	1	25.061149116	25.062149116	2117.647	7122.995	3562.500	3562.500
32	Spectrogram 1	1	25.062149116	25.063149116	2117.647	7122.995	3562.500	3562.500
33	Spectrogram 1	1	25.063149116	25.064149116	2117.647	7122.995	3375.000	3375.000
34	Spectrogram 1	1	25.064149116	25.065149116	2117.647	7122.995	3375.000	3375.000
35	Spectrogram 1	1	25.065149116	25.066149116	2117.647	7122.995	3375.000	3375.000
36	Spectrogram 1	1	25.066149116	25.067149116	2117.647	7122.995	3375.000	3375.000
37	Spectrogram 1	1	25.067149116	25.068149116	2117.647	7122.995	3375.000	3375.000
38	Spectrogram 1	1	25.068149116	25.069149116	2117.647	7122.995	3375.000	3375.000
39	Spectrogram 1	1	25.069149116	25.070149116	2117.647	7122.995	3375.000	3375.000
40	Spectrogram 1	1	25.070149116	25.071149116	2117.647	7122.995	3375.000	3375.000
41	Spectrogram 1	1	25.071149116	25.072149116	2117.647	7122.995	3375.000	3375.000
42	Spectrogram 1	1	25.072149116	25.073149116	2117.647	7122.995	3375.000	3375.000
43	Spectrogram 1	1	25.073149116	25.074149116	2117.647	7122.995	3375.000	3375.000
44	Spectrogram 1	1	25.074149116	25.075149116	2117.647	7122.995	3375.000	3375.000
45	Spectrogram 1	1	25.075149116	25.076149116	2117.647	7122.995	3375.000	3375.000
46	Spectrogram 1	1	25.076149116	25.077149116	2117.647	7122.995	3375.000	3375.000
47	Spectrogram 1	1	25.077149116	25.078149116	2117.647	7122.995	3375.000	3375.000
48	Spectrogram 1	1	25.078149116	25.079149116	2117.647	7122.995	3375.000	3375.000
49	Spectrogram 1	1	25.079149116	25.080149116	2117.647	7122.995	3375.000	3375.000
