Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	24.904643897	24.905643897	2750.000	6500.000	3000.000	3000.000
2	Spectrogram 1	1	24.905643897	24.906643897	2750.000	6500.000	3000.000	3000.000
3	Spectrogram 1	1	24.906643897	24.907643897	2750.000	6500.000	3000.000	3000.000
4	Spectrogram 1	1	24.907643897	24.908643897	2750.000	6500.000	3187.500	3000.000
5	Spectrogram 1	1	24.908643897	24.909643897	2750.000	6500.000	3187.500	3000.000
6	Spectrogram 1	1	24.909643897	24.910643897	2750.000	6500.000	3187.500	3000.000
7	Spectrogram 1	1	24.910643897	24.911643897	2750.000	6500.000	3187.500	3375.000
8	Spectrogram 1	1	24.911643897	24.912643897	2750.000	6500.000	3187.500	3375.000
9	Spectrogram 1	1	24.912643897	24.913643897	2750.000	6500.000	3187.500	3375.000
10	Spectrogram 1	1	24.913643897	24.914643897	2750.000	6500.000	3375.000	3375.000
11	Spectrogram 1	1	24.914643897	24.915643897	2750.000	6500.000	3375.000	3375.000
12	Spectrogram 1	1	24.915643897	24.916643897	2750.000	6500.000	3562.500	3562.500
13	Spectrogram 1	1	24.916643897	24.917643897	2750.000	6500.000	3562.500	3562.500
14	Spectrogram 1	1	24.917643897	24.918643897	2750.000	6500.000	3562.500	3562.500
15	Spectrogram 1	1	24.918643897	24.919643897	2750.000	6500.000	3562.500	3562.500
16	Spectrogram 1	1	24.919643897	24.920643897	2750.000	6500.000	3562.500	3562.500
17	Spectrogram 1	1	24.920643897	24.921643897	2750.000	6500.000	3562.500	3562.500
18	Spectrogram 1	1	24.921643897	24.922643897	2750.000	6500.000	3562.500	3562.500
19	Spectrogram 1	1	24.922643897	24.923643897	2750.000	6500.000	3562.500	3562.500
20	Spectrogram 1	1	24.923643897	24.924643897	2750.000	6500.000	3562.500	3562.500
21	Spectrogram 1	1	24.924643897	24.925643897	2750.000	6500.000	3562.500	3562.500
22	Spectrogram 1	1	24.925643897	24.926643897	2750.000	6500.000	3562.500	3562.500
23	Spectrogram 1	1	24.926643897	24.927643897	2750.000	6500.000	3562.500	3562.500
24	Spectrogram 1	1	24.927643897	24.928643897	2750.000	6500.000	3562.500	3562.500
25	Spectrogram 1	1	24.928643897	24.929643897	2750.000	6500.000	3562.500	3562.500
26	Spectrogram 1	1	24.929643897	24.930643897	2750.000	6500.000	3562.500	3562.500
27	Spectrogram 1	1	24.930643897	24.931643897	2750.000	6500.000	3562.500	3562.500
28	Spectrogram 1	1	24.931643897	24.932643897	2750.000	6500.000	3562.500	3562.500
29	Spectrogram 1	1	24.932643897	24.933643897	2750.000	6500.000	3562.500	3562.500
30	Spectrogram 1	1	24.933643897	24.934643897	2750.000	6500.000	3562.500	3562.500
31	Spectrogram 1	1	24.934643897	24.935643897	2750.000	6500.000	3562.500	3562.500
32	Spectrogram 1	1	24.935643897	24.936643897	2750.000	6500.000	3562.500	3562.500
33	Spectrogram 1	1	24.936643897	24.937643897	2750.000	6500.000	3562.500	3562.500
34	Spectrogram 1	1	24.937643897	24.938643897	2750.000	6500.000	3562.500	3562.500
35	Spectrogram 1	1	24.938643897	24.939643897	2750.000	6500.000	3562.500	3562.500
36	Spectrogram 1	1	24.939643897	24.940643897	2750.000	6500.000	3562.500	3562.500
37	Spectrogram 1	1	24.940643897	24.941643897	2750.000	6500.000	3562.500	3562.500
38	Spectrogram 1	1	24.941643897	24.942643897	2750.000	6500.000	3562.500	3562.500
39	Spectrogram 1	1	24.942643897	24.943643897	2750.000	6500.000	3562.500	3562.500
40	Spectrogram 1	1	24.943643897	24.944643897	2750.000	6500.000	3562.500	3562.500
41	Spectrogram 1	1	24.944643897	24.945643897	2750.000	6500.000	3562.500	3562.500
