Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	61.825672215	61.826669947	3462.119	6621.723	5081.836	4909.570
2	Spectrogram 1	1	61.826669947	61.827667680	3462.119	6621.723	5081.836	4909.570
3	Spectrogram 1	1	61.827667680	61.828665412	3462.119	6621.723	5081.836	4909.570
4	Spectrogram 1	1	61.828665412	61.829663145	3462.119	6621.723	5081.836	4909.570
5	Spectrogram 1	1	61.829663145	61.830660877	3462.119	6621.723	5081.836	4909.570
6	Spectrogram 1	1	61.830660877	61.831658610	3462.119	6621.723	5081.836	4909.570
7	Spectrogram 1	1	61.831658610	61.832656342	3462.119	6621.723	4737.305	5167.969
8	Spectrogram 1	1	61.832656342	61.833654074	3462.119	6621.723	4737.305	5167.969
9	Spectrogram 1	1	61.833654074	61.834651807	3462.119	6621.723	4737.305	5167.969
10	Spectrogram 1	1	61.834651807	61.835649539	3462.119	6621.723	4737.305	5167.969
11	Spectrogram 1	1	61.835649539	61.836647272	3462.119	6621.723	4737.305	5167.969
12	Spectrogram 1	1	61.836647272	61.837645004	3462.119	6621.723	4737.305	5167.969
13	Spectrogram 1	1	61.837645004	61.838642737	3462.119	6621.723	4737.305	3617.578
14	Spectrogram 1	1	61.838642737	61.839640469	3462.119	6621.723	4737.305	3617.578
15	Spectrogram 1	1	61.839640469	61.840638201	3462.119	6621.723	4737.305	3617.578
16	Spectrogram 1	1	61.840638201	61.841635934	3462.119	6621.723	4737.305	3617.578
17	Spectrogram 1	1	61.841635934	61.842633666	3462.119	6621.723	4737.305	3617.578
18	Spectrogram 1	1	61.842633666	61.843631399	3462.119	6621.723	4737.305	3617.578
19	Spectrogram 1	1	61.843631399	61.844629131	3462.119	6621.723	4220.508	3617.578
20	Spectrogram 1	1	61.844629131	61.845626864	3462.119	6621.723	4220.508	3617.578
21	Spectrogram 1	1	61.845626864	61.846624596	3462.119	6621.723	4220.508	3617.578
22	Spectrogram 1	1	61.846624596	61.847622328	3462.119	6621.723	4220.508	3617.578
23	Spectrogram 1	1	61.847622328	61.848620061	3462.119	6621.723	4220.508	3617.578
24	Spectrogram 1	1	61.848620061	61.849617793	3462.119	6621.723	4220.508	3617.578
25	Spectrogram 1	1	61.849617793	61.850615526	3462.119	6621.723	3789.844	3703.711
26	Spectrogram 1	1	61.850615526	61.851613258	3462.119	6621.723	3789.844	3703.711
27	Spectrogram 1	1	61.851613258	61.852610991	3462.119	6621.723	3789.844	3703.711
28	Spectrogram 1	1	61.852610991	61.853608723	3462.119	6621.723	3789.844	3703.711
29	Spectrogram 1	1	61.853608723	61.854606455	3462.119	6621.723	3789.844	3703.711
30	Spectrogram 1	1	61.854606455	61.855604188	3462.119	6621.723	3875.977	3875.977
31	Spectrogram 1	1	61.855604188	61.856601920	3462.119	6621.723	3875.977	3875.977
32	Spectrogram 1	1	61.856601920	61.857599653	3462.119	6621.723	3875.977	3875.977
33	Spectrogram 1	1	61.857599653	61.858597385	3462.119	6621.723	3875.977	3875.977
34	Spectrogram 1	1	61.858597385	61.859595117	3462.119	6621.723	3875.977	3875.977
35	Spectrogram 1	1	61.859595117	61.860592850	3462.119	6621.723	3875.977	3875.977
36	Spectrogram 1	1	61.860592850	61.861590582	3462.119	6621.723	3875.977	3875.977
37	Spectrogram 1	1	61.861590582	61.862588315	3462.119	6621.723	3875.977	3875.977
38	Spectrogram 1	1	61.862588315	61.863586047	3462.119	6621.723	3875.977	3875.977
39	Spectrogram 1	1	61.863586047	61.864583780	3462.119	6621.723	3875.977	3875.977
40	Spectrogram 1	1	61.864583780	61.865581512	3462.119	6621.723	3875.977	3875.977
41	Spectrogram 1	1	61.865581512	61.866579244	3462.119	6621.723	3875.977	3875.977
42	Spectrogram 1	1	61.866579244	61.867576977	3462.119	6621.723	3875.977	3875.977
43	Spectrogram 1	1	61.867576977	61.868574709	3462.119	6621.723	3875.977	3875.977
44	Spectrogram 1	1	61.868574709	61.869572442	3462.119	6621.723	3875.977	3875.977
45	Spectrogram 1	1	61.869572442	61.870570174	3462.119	6621.723	3875.977	3875.977
46	Spectrogram 1	1	61.870570174	61.871567907	3462.119	6621.723	3875.977	3875.977
47	Spectrogram 1	1	61.871567907	61.872565639	3462.119	6621.723	3875.977	3875.977
48	Spectrogram 1	1	61.872565639	61.873563371	3462.119	6621.723	3875.977	3875.977
49	Spectrogram 1	1	61.873563371	61.874561104	3462.119	6621.723	3875.977	3875.977
50	Spectrogram 1	1	61.874561104	61.875558836	3462.119	6621.723	3875.977	3875.977
51	Spectrogram 1	1	61.875558836	61.876556569	3462.119	6621.723	3875.977	3875.977
52	Spectrogram 1	1	61.876556569	61.877554301	3462.119	6621.723	3875.977	3875.977
53	Spectrogram 1	1	61.877554301	61.878552034	3462.119	6621.723	3875.977	3875.977
54	Spectrogram 1	1	61.878552034	61.879549766	3462.119	6621.723	3962.109	3962.109
55	Spectrogram 1	1	61.879549766	61.880547498	3462.119	6621.723	3962.109	3962.109
56	Spectrogram 1	1	61.880547498	61.881545231	3462.119	6621.723	3962.109	3962.109
57	Spectrogram 1	1	61.881545231	61.882542963	3462.119	6621.723	3962.109	3962.109
58	Spectrogram 1	1	61.882542963	61.883540696	3462.119	6621.723	3962.109	3962.109
59	Spectrogram 1	1	61.883540696	61.884538428	3462.119	6621.723	3962.109	3962.109
60	Spectrogram 1	1	61.884538428	61.885536161	3462.119	6621.723	4134.375	4134.375
61	Spectrogram 1	1	61.885536161	61.886533893	3462.119	6621.723	4134.375	4134.375
62	Spectrogram 1	1	61.886533893	61.887531625	3462.119	6621.723	4134.375	4134.375
63	Spectrogram 1	1	61.887531625	61.888529358	3462.119	6621.723	4134.375	4134.375
64	Spectrogram 1	1	61.888529358	61.889527090	3462.119	6621.723	4134.375	4134.375
65	Spectrogram 1	1	61.889527090	61.890524823	3462.119	6621.723	4220.508	4220.508
66	Spectrogram 1	1	61.890524823	61.891522555	3462.119	6621.723	4220.508	4220.508
67	Spectrogram 1	1	61.891522555	61.892520288	3462.119	6621.723	4220.508	4220.508
68	Spectrogram 1	1	61.892520288	61.893518020	3462.119	6621.723	4220.508	4220.508
69	Spectrogram 1	1	61.893518020	61.894515752	3462.119	6621.723	4220.508	4220.508
70	Spectrogram 1	1	61.894515752	61.895513485	3462.119	6621.723	4220.508	4220.508
71	Spectrogram 1	1	61.895513485	61.896511217	3462.119	6621.723	4392.773	4392.773
72	Spectrogram 1	1	61.896511217	61.897508950	3462.119	6621.723	4392.773	4392.773
73	Spectrogram 1	1	61.897508950	61.898506682	3462.119	6621.723	4392.773	4392.773
74	Spectrogram 1	1	61.898506682	61.899504415	3462.119	6621.723	4392.773	4392.773
75	Spectrogram 1	1	61.899504415	61.900502147	3462.119	6621.723	4392.773	4392.773
76	Spectrogram 1	1	61.900502147	61.901499879	3462.119	6621.723	4392.773	4392.773
77	Spectrogram 1	1	61.901499879	61.902497612	3462.119	6621.723	4478.906	4478.906
78	Spectrogram 1	1	61.902497612	61.903495344	3462.119	6621.723	4478.906	4478.906
79	Spectrogram 1	1	61.903495344	61.904493077	3462.119	6621.723	4478.906	4478.906
80	Spectrogram 1	1	61.904493077	61.905490809	3462.119	6621.723	4478.906	4478.906
81	Spectrogram 1	1	61.905490809	61.906488542	3462.119	6621.723	4478.906	4478.906
82	Spectrogram 1	1	61.906488542	61.907486274	3462.119	6621.723	4478.906	4478.906
83	Spectrogram 1	1	61.907486274	61.908484006	3462.119	6621.723	4478.906	4478.906
84	Spectrogram 1	1	61.908484006	61.909481739	3462.119	6621.723	4478.906	4478.906
85	Spectrogram 1	1	61.909481739	61.910479471	3462.119	6621.723	4478.906	4478.906
86	Spectrogram 1	1	61.910479471	61.911477204	3462.119	6621.723	4478.906	4478.906
87	Spectrogram 1	1	61.911477204	61.912474936	3462.119	6621.723	4478.906	4478.906
88	Spectrogram 1	1	61.912474936	61.913472669	3462.119	6621.723	4478.906	4478.906
89	Spectrogram 1	1	61.913472669	61.914470401	3462.119	6621.723	4823.438	4823.438
90	Spectrogram 1	1	61.914470401	61.915468133	3462.119	6621.723	4823.438	4823.438
91	Spectrogram 1	1	61.915468133	61.916465866	3462.119	6621.723	4823.438	4823.438
92	Spectrogram 1	1	61.916465866	61.917463598	3462.119	6621.723	4823.438	4823.438
93	Spectrogram 1	1	61.917463598	61.918461331	3462.119	6621.723	4823.438	4823.438
94	Spectrogram 1	1	61.918461331	61.919459063	3462.119	6621.723	5167.969	5167.969
95	Spectrogram 1	1	61.919459063	61.920456795	3462.119	6621.723	5167.969	5167.969
96	Spectrogram 1	1	61.920456795	61.921454528	3462.119	6621.723	5167.969	5167.969
97	Spectrogram 1	1	61.921454528	61.922452260	3462.119	6621.723	5167.969	5167.969
98	Spectrogram 1	1	61.922452260	61.923449993	3462.119	6621.723	5167.969	5167.969
99	Spectrogram 1	1	61.923449993	61.924447725	3462.119	6621.723	5167.969	5167.969
100	Spectrogram 1	1	61.924447725	61.925445458	3462.119	6621.723	5167.969	5167.969
101	Spectrogram 1	1	61.925445458	61.926443190	3462.119	6621.723	5167.969	5167.969
102	Spectrogram 1	1	61.926443190	61.927440922	3462.119	6621.723	5167.969	5167.969
103	Spectrogram 1	1	61.927440922	61.928438655	3462.119	6621.723	5167.969	5167.969
104	Spectrogram 1	1	61.928438655	61.929436387	3462.119	6621.723	5167.969	5167.969
