Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	64.722598931	64.723596663	2508.057	6825.000	5512.500	5598.633
2	Spectrogram 1	1	64.723596663	64.724594396	2508.057	6825.000	5512.500	5598.633
3	Spectrogram 1	1	64.724594396	64.725592128	2508.057	6825.000	5512.500	5598.633
4	Spectrogram 1	1	64.725592128	64.726589861	2508.057	6825.000	5512.500	5598.633
5	Spectrogram 1	1	64.726589861	64.727587593	2508.057	6825.000	5512.500	5598.633
6	Spectrogram 1	1	64.727587593	64.728585326	2508.057	6825.000	5512.500	5598.633
7	Spectrogram 1	1	64.728585326	64.729583058	2508.057	6825.000	4478.906	4392.773
8	Spectrogram 1	1	64.729583058	64.730580790	2508.057	6825.000	4478.906	4392.773
9	Spectrogram 1	1	64.730580790	64.731578523	2508.057	6825.000	4478.906	4392.773
10	Spectrogram 1	1	64.731578523	64.732576255	2508.057	6825.000	4478.906	4392.773
11	Spectrogram 1	1	64.732576255	64.733573988	2508.057	6825.000	4478.906	4392.773
12	Spectrogram 1	1	64.733573988	64.734571720	2508.057	6825.000	4478.906	4392.773
13	Spectrogram 1	1	64.734571720	64.735569453	2508.057	6825.000	4306.641	4392.773
14	Spectrogram 1	1	64.735569453	64.736567185	2508.057	6825.000	4306.641	4392.773
15	Spectrogram 1	1	64.736567185	64.737564917	2508.057	6825.000	4306.641	4392.773
16	Spectrogram 1	1	64.737564917	64.738562650	2508.057	6825.000	4306.641	4392.773
17	Spectrogram 1	1	64.738562650	64.739560382	2508.057	6825.000	4306.641	4392.773
18	Spectrogram 1	1	64.739560382	64.740558115	2508.057	6825.000	4306.641	4392.773
19	Spectrogram 1	1	64.740558115	64.741555847	2508.057	6825.000	3875.977	3962.109
20	Spectrogram 1	1	64.741555847	64.742553580	2508.057	6825.000	3875.977	3962.109
21	Spectrogram 1	1	64.742553580	64.743551312	2508.057	6825.000	3875.977	3962.109
22	Spectrogram 1	1	64.743551312	64.744549044	2508.057	6825.000	3875.977	3962.109
23	Spectrogram 1	1	64.744549044	64.745546777	2508.057	6825.000	3875.977	3962.109
24	Spectrogram 1	1	64.745546777	64.746544509	2508.057	6825.000	3445.312	3445.312
25	Spectrogram 1	1	64.746544509	64.747542242	2508.057	6825.000	3445.312	3445.312
26	Spectrogram 1	1	64.747542242	64.748539974	2508.057	6825.000	3445.312	3445.312
27	Spectrogram 1	1	64.748539974	64.749537707	2508.057	6825.000	3445.312	3445.312
28	Spectrogram 1	1	64.749537707	64.750535439	2508.057	6825.000	3445.312	3445.312
29	Spectrogram 1	1	64.750535439	64.751533171	2508.057	6825.000	3445.312	3445.312
30	Spectrogram 1	1	64.751533171	64.752530904	2508.057	6825.000	3359.180	3359.180
31	Spectrogram 1	1	64.752530904	64.753528636	2508.057	6825.000	3359.180	3359.180
32	Spectrogram 1	1	64.753528636	64.754526369	2508.057	6825.000	3359.180	3359.180
33	Spectrogram 1	1	64.754526369	64.755524101	2508.057	6825.000	3359.180	3359.180
34	Spectrogram 1	1	64.755524101	64.756521833	2508.057	6825.000	3359.180	3359.180
35	Spectrogram 1	1	64.756521833	64.757519566	2508.057	6825.000	3359.180	3359.180
36	Spectrogram 1	1	64.757519566	64.758517298	2508.057	6825.000	3359.180	3186.914
37	Spectrogram 1	1	64.758517298	64.759515031	2508.057	6825.000	3359.180	3186.914
38	Spectrogram 1	1	64.759515031	64.760512763	2508.057	6825.000	3359.180	3186.914
39	Spectrogram 1	1	64.760512763	64.761510496	2508.057	6825.000	3359.180	3186.914
40	Spectrogram 1	1	64.761510496	64.762508228	2508.057	6825.000	3359.180	3186.914
41	Spectrogram 1	1	64.762508228	64.763505960	2508.057	6825.000	3359.180	3186.914
42	Spectrogram 1	1	64.763505960	64.764503693	2508.057	6825.000	6287.695	6287.695
43	Spectrogram 1	1	64.764503693	64.765501425	2508.057	6825.000	6287.695	6287.695
44	Spectrogram 1	1	64.765501425	64.766499158	2508.057	6825.000	6287.695	6287.695
45	Spectrogram 1	1	64.766499158	64.767496890	2508.057	6825.000	6287.695	6287.695
46	Spectrogram 1	1	64.767496890	64.768494623	2508.057	6825.000	6287.695	6287.695
47	Spectrogram 1	1	64.768494623	64.769492355	2508.057	6825.000	6287.695	6287.695
48	Spectrogram 1	1	64.769492355	64.770490087	2508.057	6825.000	6287.695	6287.695
49	Spectrogram 1	1	64.770490087	64.771487820	2508.057	6825.000	6287.695	6287.695
50	Spectrogram 1	1	64.771487820	64.772485552	2508.057	6825.000	6287.695	6287.695
51	Spectrogram 1	1	64.772485552	64.773483285	2508.057	6825.000	6287.695	6287.695
52	Spectrogram 1	1	64.773483285	64.774481017	2508.057	6825.000	6287.695	6287.695
53	Spectrogram 1	1	64.774481017	64.775478750	2508.057	6825.000	5770.898	5770.898
54	Spectrogram 1	1	64.775478750	64.776476482	2508.057	6825.000	5770.898	5770.898
55	Spectrogram 1	1	64.776476482	64.777474214	2508.057	6825.000	5770.898	5770.898
56	Spectrogram 1	1	64.777474214	64.778471947	2508.057	6825.000	5770.898	5770.898
57	Spectrogram 1	1	64.778471947	64.779469679	2508.057	6825.000	5770.898	5770.898
