Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	603.757416044	603.758413776	2317.100	7099.900	5512.500	5426.367
2	Spectrogram 1	1	603.758413776	603.759411509	2317.100	7099.900	5512.500	5426.367
3	Spectrogram 1	1	603.759411509	603.760409241	2317.100	7099.900	5512.500	5426.367
4	Spectrogram 1	1	603.760409241	603.761406974	2317.100	7099.900	5512.500	5426.367
5	Spectrogram 1	1	603.761406974	603.762404706	2317.100	7099.900	5512.500	5426.367
6	Spectrogram 1	1	603.762404706	603.763402439	2317.100	7099.900	3962.109	3875.977
7	Spectrogram 1	1	603.763402439	603.764400171	2317.100	7099.900	3962.109	3875.977
8	Spectrogram 1	1	603.764400171	603.765397903	2317.100	7099.900	3962.109	3875.977
9	Spectrogram 1	1	603.765397903	603.766395636	2317.100	7099.900	3962.109	3875.977
10	Spectrogram 1	1	603.766395636	603.767393368	2317.100	7099.900	3962.109	3875.977
11	Spectrogram 1	1	603.767393368	603.768391101	2317.100	7099.900	3962.109	3875.977
12	Spectrogram 1	1	603.768391101	603.769388833	2317.100	7099.900	3703.711	3703.711
13	Spectrogram 1	1	603.769388833	603.770386566	2317.100	7099.900	3703.711	3703.711
14	Spectrogram 1	1	603.770386566	603.771384298	2317.100	7099.900	3703.711	3703.711
15	Spectrogram 1	1	603.771384298	603.772382030	2317.100	7099.900	3703.711	3703.711
16	Spectrogram 1	1	603.772382030	603.773379763	2317.100	7099.900	3703.711	3703.711
17	Spectrogram 1	1	603.773379763	603.774377495	2317.100	7099.900	3703.711	3703.711
18	Spectrogram 1	1	603.774377495	603.775375228	2317.100	7099.900	3703.711	3359.180
19	Spectrogram 1	1	603.775375228	603.776372960	2317.100	7099.900	3703.711	3359.180
20	Spectrogram 1	1	603.776372960	603.777370693	2317.100	7099.900	3703.711	3359.180
21	Spectrogram 1	1	603.777370693	603.778368425	2317.100	7099.900	3703.711	3359.180
22	Spectrogram 1	1	603.778368425	603.779366157	2317.100	7099.900	3703.711	3359.180
23	Spectrogram 1	1	603.779366157	603.780363890	2317.100	7099.900	3789.844	3186.914
24	Spectrogram 1	1	603.780363890	603.781361622	2317.100	7099.900	3789.844	3186.914
25	Spectrogram 1	1	603.781361622	603.782359355	2317.100	7099.900	3789.844	3186.914
26	Spectrogram 1	1	603.782359355	603.783357087	2317.100	7099.900	3789.844	3186.914
27	Spectrogram 1	1	603.783357087	603.784354820	2317.100	7099.900	3789.844	3186.914
28	Spectrogram 1	1	603.784354820	603.785352552	2317.100	7099.900	3789.844	3186.914
29	Spectrogram 1	1	603.785352552	603.786350284	2317.100	7099.900	3273.047	3273.047
30	Spectrogram 1	1	603.786350284	603.787348017	2317.100	7099.900	3273.047	3273.047
31	Spectrogram 1	1	603.787348017	603.788345749	2317.100	7099.900	3273.047	3273.047
32	Spectrogram 1	1	603.788345749	603.789343482	2317.100	7099.900	3273.047	3273.047
33	Spectrogram 1	1	603.789343482	603.790341214	2317.100	7099.900	3273.047	3273.047
34	Spectrogram 1	1	603.790341214	603.791338946	2317.100	7099.900	3273.047	3273.047
35	Spectrogram 1	1	603.791338946	603.792336679	2317.100	7099.900	3186.914	3186.914
36	Spectrogram 1	1	603.792336679	603.793334411	2317.100	7099.900	3186.914	3186.914
37	Spectrogram 1	1	603.793334411	603.794332144	2317.100	7099.900	3186.914	3186.914
38	Spectrogram 1	1	603.794332144	603.795329876	2317.100	7099.900	3186.914	3186.914
39	Spectrogram 1	1	603.795329876	603.796327609	2317.100	7099.900	3186.914	3186.914
40	Spectrogram 1	1	603.796327609	603.797325341	2317.100	7099.900	3186.914	3186.914
