Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	12.064919978	12.065917710	2654.167	6527.300	3531.445	2670.117
2	Spectrogram 1	1	12.065917710	12.066915443	2654.167	6527.300	3359.180	3273.047
3	Spectrogram 1	1	12.066915443	12.067913175	2654.167	6527.300	3359.180	3273.047
4	Spectrogram 1	1	12.067913175	12.068910908	2654.167	6527.300	3359.180	3273.047
5	Spectrogram 1	1	12.068910908	12.069908640	2654.167	6527.300	3359.180	3273.047
6	Spectrogram 1	1	12.069908640	12.070906373	2654.167	6527.300	3359.180	3273.047
7	Spectrogram 1	1	12.070906373	12.071904105	2654.167	6527.300	3359.180	3273.047
8	Spectrogram 1	1	12.071904105	12.072901837	2654.167	6527.300	3273.047	3273.047
9	Spectrogram 1	1	12.072901837	12.073899570	2654.167	6527.300	3273.047	3273.047
10	Spectrogram 1	1	12.073899570	12.074897302	2654.167	6527.300	3273.047	3273.047
11	Spectrogram 1	1	12.074897302	12.075895035	2654.167	6527.300	3273.047	3273.047
12	Spectrogram 1	1	12.075895035	12.076892767	2654.167	6527.300	3273.047	3273.047
13	Spectrogram 1	1	12.076892767	12.077890500	2654.167	6527.300	3186.914	3186.914
14	Spectrogram 1	1	12.077890500	12.078888232	2654.167	6527.300	3186.914	3186.914
15	Spectrogram 1	1	12.078888232	12.079885964	2654.167	6527.300	3186.914	3186.914
16	Spectrogram 1	1	12.079885964	12.080883697	2654.167	6527.300	3186.914	3186.914
17	Spectrogram 1	1	12.080883697	12.081881429	2654.167	6527.300	3186.914	3186.914
18	Spectrogram 1	1	12.081881429	12.082879162	2654.167	6527.300	3186.914	3186.914
19	Spectrogram 1	1	12.082879162	12.083876894	2654.167	6527.300	3014.648	2928.516
20	Spectrogram 1	1	12.083876894	12.084874627	2654.167	6527.300	3014.648	2928.516
21	Spectrogram 1	1	12.084874627	12.085872359	2654.167	6527.300	3014.648	2928.516
22	Spectrogram 1	1	12.085872359	12.086870091	2654.167	6527.300	3014.648	2928.516
23	Spectrogram 1	1	12.086870091	12.087867824	2654.167	6527.300	3014.648	2928.516
24	Spectrogram 1	1	12.087867824	12.088865556	2654.167	6527.300	3014.648	2928.516
25	Spectrogram 1	1	12.088865556	12.089863289	2654.167	6527.300	2928.516	2842.383
26	Spectrogram 1	1	12.089863289	12.090861021	2654.167	6527.300	2928.516	2842.383
27	Spectrogram 1	1	12.090861021	12.091858754	2654.167	6527.300	2928.516	2842.383
28	Spectrogram 1	1	12.091858754	12.092856486	2654.167	6527.300	2928.516	2842.383
29	Spectrogram 1	1	12.092856486	12.093854218	2654.167	6527.300	2928.516	2842.383
30	Spectrogram 1	1	12.093854218	12.094851951	2654.167	6527.300	2928.516	2842.383
31	Spectrogram 1	1	12.094851951	12.095849683	2654.167	6527.300	2928.516	2842.383
32	Spectrogram 1	1	12.095849683	12.096847416	2654.167	6527.300	2928.516	2842.383
33	Spectrogram 1	1	12.096847416	12.097845148	2654.167	6527.300	2928.516	2842.383
34	Spectrogram 1	1	12.097845148	12.098842880	2654.167	6527.300	2928.516	2842.383
35	Spectrogram 1	1	12.098842880	12.099840613	2654.167	6527.300	2928.516	2842.383
36	Spectrogram 1	1	12.099840613	12.100838345	2654.167	6527.300	2928.516	2842.383
37	Spectrogram 1	1	12.100838345	12.101836078	2654.167	6527.300	3531.445	2928.516
38	Spectrogram 1	1	12.101836078	12.102833810	2654.167	6527.300	3531.445	2928.516
39	Spectrogram 1	1	12.102833810	12.103831543	2654.167	6527.300	3531.445	2928.516
40	Spectrogram 1	1	12.103831543	12.104829275	2654.167	6527.300	3531.445	2928.516
41	Spectrogram 1	1	12.104829275	12.105827007	2654.167	6527.300	3531.445	2928.516
42	Spectrogram 1	1	12.105827007	12.106824740	2654.167	6527.300	3273.047	2842.383
43	Spectrogram 1	1	12.106824740	12.107822472	2654.167	6527.300	3273.047	2842.383
44	Spectrogram 1	1	12.107822472	12.108820205	2654.167	6527.300	3273.047	2842.383
45	Spectrogram 1	1	12.108820205	12.109817937	2654.167	6527.300	3273.047	2842.383
46	Spectrogram 1	1	12.109817937	12.110815670	2654.167	6527.300	3273.047	2842.383
47	Spectrogram 1	1	12.110815670	12.111813402	2654.167	6527.300	3273.047	2842.383
48	Spectrogram 1	1	12.111813402	12.112811134	2654.167	6527.300	3445.312	3531.445
49	Spectrogram 1	1	12.112811134	12.113808867	2654.167	6527.300	3445.312	3531.445
50	Spectrogram 1	1	12.113808867	12.114806599	2654.167	6527.300	3445.312	3531.445
51	Spectrogram 1	1	12.114806599	12.115804332	2654.167	6527.300	3445.312	3531.445
52	Spectrogram 1	1	12.115804332	12.116802064	2654.167	6527.300	3445.312	3531.445
53	Spectrogram 1	1	12.116802064	12.117799797	2654.167	6527.300	3445.312	3531.445
54	Spectrogram 1	1	12.117799797	12.118797529	2654.167	6527.300	2928.516	2842.383
55	Spectrogram 1	1	12.118797529	12.119795261	2654.167	6527.300	2928.516	2842.383
56	Spectrogram 1	1	12.119795261	12.120792994	2654.167	6527.300	2928.516	2842.383
57	Spectrogram 1	1	12.120792994	12.121790726	2654.167	6527.300	2928.516	2842.383
58	Spectrogram 1	1	12.121790726	12.122788459	2654.167	6527.300	2928.516	2842.383
59	Spectrogram 1	1	12.122788459	12.123786191	2654.167	6527.300	2928.516	2842.383
60	Spectrogram 1	1	12.123786191	12.124783924	2654.167	6527.300	3359.180	3445.312
61	Spectrogram 1	1	12.124783924	12.125781656	2654.167	6527.300	3359.180	3445.312
62	Spectrogram 1	1	12.125781656	12.126779388	2654.167	6527.300	3359.180	3445.312
63	Spectrogram 1	1	12.126779388	12.127777121	2654.167	6527.300	3359.180	3445.312
64	Spectrogram 1	1	12.127777121	12.128774853	2654.167	6527.300	3359.180	3445.312
65	Spectrogram 1	1	12.128774853	12.129772586	2654.167	6527.300	3359.180	3445.312
66	Spectrogram 1	1	12.129772586	12.130770318	2654.167	6527.300	3100.781	3100.781
67	Spectrogram 1	1	12.130770318	12.131768051	2654.167	6527.300	3100.781	3100.781
68	Spectrogram 1	1	12.131768051	12.132765783	2654.167	6527.300	3100.781	3100.781
69	Spectrogram 1	1	12.132765783	12.133763515	2654.167	6527.300	3100.781	3100.781
70	Spectrogram 1	1	12.133763515	12.134761248	2654.167	6527.300	3100.781	3100.781
71	Spectrogram 1	1	12.134761248	12.135758980	2654.167	6527.300	3100.781	3100.781
