Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	11.447008557	11.448006289	2931.700	6524.200	5254.102	5254.102
2	Spectrogram 1	1	11.448006289	11.449004022	2931.700	6524.200	5254.102	5254.102
3	Spectrogram 1	1	11.449004022	11.450001754	2931.700	6524.200	5254.102	5254.102
4	Spectrogram 1	1	11.450001754	11.450999487	2931.700	6524.200	4565.039	4478.906
5	Spectrogram 1	1	11.450999487	11.451997219	2931.700	6524.200	4565.039	4478.906
6	Spectrogram 1	1	11.451997219	11.452994952	2931.700	6524.200	4565.039	4478.906
7	Spectrogram 1	1	11.452994952	11.453992684	2931.700	6524.200	4565.039	4478.906
8	Spectrogram 1	1	11.453992684	11.454990416	2931.700	6524.200	4565.039	4478.906
9	Spectrogram 1	1	11.454990416	11.455988149	2931.700	6524.200	4565.039	4478.906
10	Spectrogram 1	1	11.455988149	11.456985881	2931.700	6524.200	5167.969	4478.906
11	Spectrogram 1	1	11.456985881	11.457983614	2931.700	6524.200	5167.969	4478.906
12	Spectrogram 1	1	11.457983614	11.458981346	2931.700	6524.200	5167.969	4478.906
13	Spectrogram 1	1	11.458981346	11.459979079	2931.700	6524.200	5167.969	4478.906
14	Spectrogram 1	1	11.459979079	11.460976811	2931.700	6524.200	5167.969	4478.906
15	Spectrogram 1	1	11.460976811	11.461974543	2931.700	6524.200	5167.969	4478.906
16	Spectrogram 1	1	11.461974543	11.462972276	2931.700	6524.200	4823.438	3359.180
17	Spectrogram 1	1	11.462972276	11.463970008	2931.700	6524.200	4823.438	3359.180
18	Spectrogram 1	1	11.463970008	11.464967741	2931.700	6524.200	4823.438	3359.180
19	Spectrogram 1	1	11.464967741	11.465965473	2931.700	6524.200	4823.438	3359.180
20	Spectrogram 1	1	11.465965473	11.466963206	2931.700	6524.200	4823.438	3359.180
21	Spectrogram 1	1	11.466963206	11.467960938	2931.700	6524.200	4823.438	3359.180
22	Spectrogram 1	1	11.467960938	11.468958670	2931.700	6524.200	3359.180	3359.180
23	Spectrogram 1	1	11.468958670	11.469956403	2931.700	6524.200	3359.180	3359.180
24	Spectrogram 1	1	11.469956403	11.470954135	2931.700	6524.200	3359.180	3359.180
25	Spectrogram 1	1	11.470954135	11.471951868	2931.700	6524.200	3359.180	3359.180
26	Spectrogram 1	1	11.471951868	11.472949600	2931.700	6524.200	3359.180	3359.180
27	Spectrogram 1	1	11.472949600	11.473947333	2931.700	6524.200	3359.180	3359.180
28	Spectrogram 1	1	11.473947333	11.474945065	2931.700	6524.200	3273.047	3014.648
29	Spectrogram 1	1	11.474945065	11.475942797	2931.700	6524.200	3273.047	3014.648
30	Spectrogram 1	1	11.475942797	11.476940530	2931.700	6524.200	3273.047	3014.648
31	Spectrogram 1	1	11.476940530	11.477938262	2931.700	6524.200	3273.047	3014.648
32	Spectrogram 1	1	11.477938262	11.478935995	2931.700	6524.200	3273.047	3014.648
33	Spectrogram 1	1	11.478935995	11.479933727	2931.700	6524.200	3014.648	3014.648
34	Spectrogram 1	1	11.479933727	11.480931459	2931.700	6524.200	3014.648	3014.648
35	Spectrogram 1	1	11.480931459	11.481929192	2931.700	6524.200	3014.648	3014.648
36	Spectrogram 1	1	11.481929192	11.482926924	2931.700	6524.200	3014.648	3014.648
37	Spectrogram 1	1	11.482926924	11.483924657	2931.700	6524.200	3014.648	3014.648
38	Spectrogram 1	1	11.483924657	11.484922389	2931.700	6524.200	3014.648	3014.648
39	Spectrogram 1	1	11.484922389	11.485920122	2931.700	6524.200	3100.781	3014.648
40	Spectrogram 1	1	11.485920122	11.486917854	2931.700	6524.200	3100.781	3014.648
41	Spectrogram 1	1	11.486917854	11.487915586	2931.700	6524.200	3100.781	3014.648
42	Spectrogram 1	1	11.487915586	11.488913319	2931.700	6524.200	3100.781	3014.648
43	Spectrogram 1	1	11.488913319	11.489911051	2931.700	6524.200	3100.781	3014.648
44	Spectrogram 1	1	11.489911051	11.490908784	2931.700	6524.200	3100.781	3014.648
45	Spectrogram 1	1	11.490908784	11.491906516	2931.700	6524.200	5857.031	6029.297
46	Spectrogram 1	1	11.491906516	11.492904249	2931.700	6524.200	5857.031	6029.297
47	Spectrogram 1	1	11.492904249	11.493901981	2931.700	6524.200	5857.031	6029.297
48	Spectrogram 1	1	11.493901981	11.494899713	2931.700	6524.200	5857.031	6029.297
49	Spectrogram 1	1	11.494899713	11.495897446	2931.700	6524.200	5857.031	6029.297
50	Spectrogram 1	1	11.495897446	11.496895178	2931.700	6524.200	5857.031	6029.297
51	Spectrogram 1	1	11.496895178	11.497892911	2931.700	6524.200	5943.164	6029.297
52	Spectrogram 1	1	11.497892911	11.498890643	2931.700	6524.200	5943.164	6029.297
53	Spectrogram 1	1	11.498890643	11.499888376	2931.700	6524.200	5943.164	6029.297
54	Spectrogram 1	1	11.499888376	11.500886108	2931.700	6524.200	5943.164	6029.297
55	Spectrogram 1	1	11.500886108	11.501883840	2931.700	6524.200	5943.164	6029.297
56	Spectrogram 1	1	11.501883840	11.502881573	2931.700	6524.200	5943.164	6029.297
57	Spectrogram 1	1	11.502881573	11.503879305	2931.700	6524.200	5340.234	6029.297
58	Spectrogram 1	1	11.503879305	11.504877038	2931.700	6524.200	5340.234	6029.297
59	Spectrogram 1	1	11.504877038	11.505874770	2931.700	6524.200	5340.234	6029.297
60	Spectrogram 1	1	11.505874770	11.506872503	2931.700	6524.200	5340.234	6029.297
61	Spectrogram 1	1	11.506872503	11.507870235	2931.700	6524.200	5340.234	6029.297
62	Spectrogram 1	1	11.507870235	11.508867967	2931.700	6524.200	5340.234	6029.297
63	Spectrogram 1	1	11.508867967	11.509865700	2931.700	6524.200	5167.969	3445.312
64	Spectrogram 1	1	11.509865700	11.510863432	2931.700	6524.200	5167.969	3445.312
65	Spectrogram 1	1	11.510863432	11.511861165	2931.700	6524.200	5167.969	3445.312
66	Spectrogram 1	1	11.511861165	11.512858897	2931.700	6524.200	5167.969	3445.312
67	Spectrogram 1	1	11.512858897	11.513856630	2931.700	6524.200	5167.969	3445.312
68	Spectrogram 1	1	11.513856630	11.514854362	2931.700	6524.200	3617.578	3531.445
69	Spectrogram 1	1	11.514854362	11.515852094	2931.700	6524.200	3617.578	3531.445
70	Spectrogram 1	1	11.515852094	11.516849827	2931.700	6524.200	3617.578	3531.445
71	Spectrogram 1	1	11.516849827	11.517847559	2931.700	6524.200	3617.578	3531.445
72	Spectrogram 1	1	11.517847559	11.518845292	2931.700	6524.200	3617.578	3531.445
73	Spectrogram 1	1	11.518845292	11.519843024	2931.700	6524.200	3617.578	3531.445
74	Spectrogram 1	1	11.519843024	11.520840757	2931.700	6524.200	3789.844	3789.844
75	Spectrogram 1	1	11.520840757	11.521838489	2931.700	6524.200	3789.844	3789.844
76	Spectrogram 1	1	11.521838489	11.522836221	2931.700	6524.200	3789.844	3789.844
77	Spectrogram 1	1	11.522836221	11.523833954	2931.700	6524.200	3789.844	3789.844
78	Spectrogram 1	1	11.523833954	11.524831686	2931.700	6524.200	3789.844	3789.844
79	Spectrogram 1	1	11.524831686	11.525829419	2931.700	6524.200	3789.844	3789.844
80	Spectrogram 1	1	11.525829419	11.526827151	2931.700	6524.200	3789.844	3789.844
81	Spectrogram 1	1	11.526827151	11.527824884	2931.700	6524.200	3789.844	3789.844
82	Spectrogram 1	1	11.527824884	11.528822616	2931.700	6524.200	3789.844	3789.844
83	Spectrogram 1	1	11.528822616	11.529820348	2931.700	6524.200	3789.844	3789.844
84	Spectrogram 1	1	11.529820348	11.530818081	2931.700	6524.200	3789.844	3789.844
85	Spectrogram 1	1	11.530818081	11.531815813	2931.700	6524.200	3789.844	3789.844
86	Spectrogram 1	1	11.531815813	11.532813546	2931.700	6524.200	3789.844	3789.844
87	Spectrogram 1	1	11.532813546	11.533811278	2931.700	6524.200	3789.844	3789.844
88	Spectrogram 1	1	11.533811278	11.534809011	2931.700	6524.200	3789.844	3789.844
89	Spectrogram 1	1	11.534809011	11.535806743	2931.700	6524.200	3789.844	3789.844
90	Spectrogram 1	1	11.535806743	11.536804475	2931.700	6524.200	3789.844	3789.844
91	Spectrogram 1	1	11.536804475	11.537802208	2931.700	6524.200	3789.844	3789.844
92	Spectrogram 1	1	11.537802208	11.538799940	2931.700	6524.200	3962.109	3962.109
93	Spectrogram 1	1	11.538799940	11.539797673	2931.700	6524.200	3962.109	3962.109
94	Spectrogram 1	1	11.539797673	11.540795405	2931.700	6524.200	3962.109	3962.109
95	Spectrogram 1	1	11.540795405	11.541793137	2931.700	6524.200	3962.109	3962.109
96	Spectrogram 1	1	11.541793137	11.542790870	2931.700	6524.200	3962.109	3962.109
97	Spectrogram 1	1	11.542790870	11.543788602	2931.700	6524.200	4048.242	4048.242
98	Spectrogram 1	1	11.543788602	11.544786335	2931.700	6524.200	4048.242	4048.242
99	Spectrogram 1	1	11.544786335	11.545784067	2931.700	6524.200	4048.242	4048.242
100	Spectrogram 1	1	11.545784067	11.546781800	2931.700	6524.200	4048.242	4048.242
101	Spectrogram 1	1	11.546781800	11.547779532	2931.700	6524.200	4048.242	4048.242
102	Spectrogram 1	1	11.547779532	11.548777264	2931.700	6524.200	4048.242	4048.242
103	Spectrogram 1	1	11.548777264	11.549774997	2931.700	6524.200	4306.641	4306.641
104	Spectrogram 1	1	11.549774997	11.550772729	2931.700	6524.200	4306.641	4306.641
105	Spectrogram 1	1	11.550772729	11.551770462	2931.700	6524.200	4306.641	4306.641
106	Spectrogram 1	1	11.551770462	11.552768194	2931.700	6524.200	4306.641	4306.641
107	Spectrogram 1	1	11.552768194	11.553765927	2931.700	6524.200	4306.641	4306.641
108	Spectrogram 1	1	11.553765927	11.554763659	2931.700	6524.200	4306.641	4306.641
109	Spectrogram 1	1	11.554763659	11.555761391	2931.700	6524.200	4478.906	4478.906
110	Spectrogram 1	1	11.555761391	11.556759124	2931.700	6524.200	4478.906	4478.906
111	Spectrogram 1	1	11.556759124	11.557756856	2931.700	6524.200	4478.906	4478.906
112	Spectrogram 1	1	11.557756856	11.558754589	2931.700	6524.200	4478.906	4478.906
113	Spectrogram 1	1	11.558754589	11.559752321	2931.700	6524.200	4478.906	4478.906
114	Spectrogram 1	1	11.559752321	11.560750054	2931.700	6524.200	4478.906	4478.906
115	Spectrogram 1	1	11.560750054	11.561747786	2931.700	6524.200	4651.172	4651.172
116	Spectrogram 1	1	11.561747786	11.562745518	2931.700	6524.200	4651.172	4651.172
117	Spectrogram 1	1	11.562745518	11.563743251	2931.700	6524.200	4651.172	4651.172
118	Spectrogram 1	1	11.563743251	11.564740983	2931.700	6524.200	4651.172	4651.172
119	Spectrogram 1	1	11.564740983	11.565738716	2931.700	6524.200	4651.172	4651.172
120	Spectrogram 1	1	11.565738716	11.566736448	2931.700	6524.200	4651.172	4651.172
121	Spectrogram 1	1	11.566736448	11.567734181	2931.700	6524.200	4565.039	4651.172
122	Spectrogram 1	1	11.567734181	11.568731913	2931.700	6524.200	4565.039	4651.172
123	Spectrogram 1	1	11.568731913	11.569729645	2931.700	6524.200	4565.039	4651.172
124	Spectrogram 1	1	11.569729645	11.570727378	2931.700	6524.200	4565.039	4651.172
125	Spectrogram 1	1	11.570727378	11.571725110	2931.700	6524.200	4565.039	4651.172
126	Spectrogram 1	1	11.571725110	11.572722843	2931.700	6524.200	4565.039	4651.172
127	Spectrogram 1	1	11.572722843	11.573720575	2931.700	6524.200	4392.773	4392.773
128	Spectrogram 1	1	11.573720575	11.574718308	2931.700	6524.200	4392.773	4392.773
129	Spectrogram 1	1	11.574718308	11.575716040	2931.700	6524.200	4392.773	4392.773
130	Spectrogram 1	1	11.575716040	11.576713772	2931.700	6524.200	4392.773	4392.773
131	Spectrogram 1	1	11.576713772	11.577711505	2931.700	6524.200	4392.773	4392.773
132	Spectrogram 1	1	11.577711505	11.578709237	2931.700	6524.200	4220.508	3962.109
133	Spectrogram 1	1	11.578709237	11.579706970	2931.700	6524.200	4220.508	3962.109
134	Spectrogram 1	1	11.579706970	11.580704702	2931.700	6524.200	4220.508	3962.109
135	Spectrogram 1	1	11.580704702	11.581702435	2931.700	6524.200	4220.508	3962.109
136	Spectrogram 1	1	11.581702435	11.582700167	2931.700	6524.200	4220.508	3962.109
137	Spectrogram 1	1	11.582700167	11.583697899	2931.700	6524.200	4220.508	3962.109
