Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	59.650624326	59.651622058	2015.000	6571.552	3962.109	3962.109
2	Spectrogram 1	1	59.651622058	59.652619791	2015.000	6571.552	3962.109	3962.109
3	Spectrogram 1	1	59.652619791	59.653617523	2015.000	6571.552	3962.109	3962.109
4	Spectrogram 1	1	59.653617523	59.654615256	2015.000	6571.552	3962.109	3962.109
5	Spectrogram 1	1	59.654615256	59.655612988	2015.000	6571.552	4565.039	4306.641
6	Spectrogram 1	1	59.655612988	59.656610721	2015.000	6571.552	4565.039	4306.641
7	Spectrogram 1	1	59.656610721	59.657608453	2015.000	6571.552	4565.039	4306.641
8	Spectrogram 1	1	59.657608453	59.658606185	2015.000	6571.552	4565.039	4306.641
9	Spectrogram 1	1	59.658606185	59.659603918	2015.000	6571.552	4565.039	4306.641
10	Spectrogram 1	1	59.659603918	59.660601650	2015.000	6571.552	4565.039	4306.641
11	Spectrogram 1	1	59.660601650	59.661599383	2015.000	6571.552	3875.977	3875.977
12	Spectrogram 1	1	59.661599383	59.662597115	2015.000	6571.552	3875.977	3875.977
13	Spectrogram 1	1	59.662597115	59.663594848	2015.000	6571.552	3875.977	3875.977
14	Spectrogram 1	1	59.663594848	59.664592580	2015.000	6571.552	3875.977	3875.977
15	Spectrogram 1	1	59.664592580	59.665590312	2015.000	6571.552	3875.977	3875.977
16	Spectrogram 1	1	59.665590312	59.666588045	2015.000	6571.552	3875.977	3875.977
17	Spectrogram 1	1	59.666588045	59.667585777	2015.000	6571.552	3789.844	3789.844
18	Spectrogram 1	1	59.667585777	59.668583510	2015.000	6571.552	3789.844	3789.844
19	Spectrogram 1	1	59.668583510	59.669581242	2015.000	6571.552	3789.844	3789.844
20	Spectrogram 1	1	59.669581242	59.670578975	2015.000	6571.552	3789.844	3789.844
21	Spectrogram 1	1	59.670578975	59.671576707	2015.000	6571.552	3789.844	3789.844
22	Spectrogram 1	1	59.671576707	59.672574439	2015.000	6571.552	3789.844	3789.844
23	Spectrogram 1	1	59.672574439	59.673572172	2015.000	6571.552	3445.312	3445.312
24	Spectrogram 1	1	59.673572172	59.674569904	2015.000	6571.552	3445.312	3445.312
25	Spectrogram 1	1	59.674569904	59.675567637	2015.000	6571.552	3445.312	3445.312
26	Spectrogram 1	1	59.675567637	59.676565369	2015.000	6571.552	3445.312	3445.312
27	Spectrogram 1	1	59.676565369	59.677563102	2015.000	6571.552	3445.312	3445.312
28	Spectrogram 1	1	59.677563102	59.678560834	2015.000	6571.552	3445.312	3445.312
29	Spectrogram 1	1	59.678560834	59.679558566	2015.000	6571.552	3273.047	3273.047
30	Spectrogram 1	1	59.679558566	59.680556299	2015.000	6571.552	3273.047	3273.047
31	Spectrogram 1	1	59.680556299	59.681554031	2015.000	6571.552	3273.047	3273.047
32	Spectrogram 1	1	59.681554031	59.682551764	2015.000	6571.552	3273.047	3273.047
33	Spectrogram 1	1	59.682551764	59.683549496	2015.000	6571.552	3273.047	3273.047
34	Spectrogram 1	1	59.683549496	59.684547228	2015.000	6571.552	3186.914	3186.914
35	Spectrogram 1	1	59.684547228	59.685544961	2015.000	6571.552	3186.914	3186.914
36	Spectrogram 1	1	59.685544961	59.686542693	2015.000	6571.552	3186.914	3186.914
37	Spectrogram 1	1	59.686542693	59.687540426	2015.000	6571.552	3186.914	3186.914
38	Spectrogram 1	1	59.687540426	59.688538158	2015.000	6571.552	3186.914	3186.914
39	Spectrogram 1	1	59.688538158	59.689535891	2015.000	6571.552	3186.914	3186.914
40	Spectrogram 1	1	59.689535891	59.690533623	2015.000	6571.552	3100.781	3100.781
41	Spectrogram 1	1	59.690533623	59.691531355	2015.000	6571.552	3100.781	3100.781
42	Spectrogram 1	1	59.691531355	59.692529088	2015.000	6571.552	3100.781	3100.781
43	Spectrogram 1	1	59.692529088	59.693526820	2015.000	6571.552	3100.781	3100.781
44	Spectrogram 1	1	59.693526820	59.694524553	2015.000	6571.552	3100.781	3100.781
45	Spectrogram 1	1	59.694524553	59.695522285	2015.000	6571.552	3100.781	3100.781
46	Spectrogram 1	1	59.695522285	59.696520018	2015.000	6571.552	3100.781	3100.781
47	Spectrogram 1	1	59.696520018	59.697517750	2015.000	6571.552	3100.781	3100.781
48	Spectrogram 1	1	59.697517750	59.698515482	2015.000	6571.552	3100.781	3100.781
49	Spectrogram 1	1	59.698515482	59.699513215	2015.000	6571.552	3100.781	3100.781
50	Spectrogram 1	1	59.699513215	59.700510947	2015.000	6571.552	3100.781	3100.781
51	Spectrogram 1	1	59.700510947	59.701508680	2015.000	6571.552	3100.781	3100.781
52	Spectrogram 1	1	59.701508680	59.702506412	2015.000	6571.552	3014.648	3014.648
53	Spectrogram 1	1	59.702506412	59.703504145	2015.000	6571.552	3014.648	3014.648
54	Spectrogram 1	1	59.703504145	59.704501877	2015.000	6571.552	3014.648	3014.648
55	Spectrogram 1	1	59.704501877	59.705499609	2015.000	6571.552	3014.648	3014.648
56	Spectrogram 1	1	59.705499609	59.706497342	2015.000	6571.552	3014.648	3014.648
57	Spectrogram 1	1	59.706497342	59.707495074	2015.000	6571.552	3014.648	3014.648
58	Spectrogram 1	1	59.707495074	59.708492807	2015.000	6571.552	3014.648	3014.648
59	Spectrogram 1	1	59.708492807	59.709490539	2015.000	6571.552	3014.648	3014.648
60	Spectrogram 1	1	59.709490539	59.710488272	2015.000	6571.552	3014.648	3014.648
61	Spectrogram 1	1	59.710488272	59.711486004	2015.000	6571.552	3014.648	3014.648
62	Spectrogram 1	1	59.711486004	59.712483736	2015.000	6571.552	3014.648	3014.648
63	Spectrogram 1	1	59.712483736	59.713481469	2015.000	6571.552	3014.648	3014.648
64	Spectrogram 1	1	59.713481469	59.714479201	2015.000	6571.552	3186.914	3186.914
65	Spectrogram 1	1	59.714479201	59.715476934	2015.000	6571.552	3186.914	3186.914
66	Spectrogram 1	1	59.715476934	59.716474666	2015.000	6571.552	3186.914	3186.914
67	Spectrogram 1	1	59.716474666	59.717472399	2015.000	6571.552	3186.914	3186.914
68	Spectrogram 1	1	59.717472399	59.718470131	2015.000	6571.552	3186.914	3186.914
69	Spectrogram 1	1	59.718470131	59.719467863	2015.000	6571.552	3186.914	3186.914
70	Spectrogram 1	1	59.719467863	59.720465596	2015.000	6571.552	3186.914	3186.914
71	Spectrogram 1	1	59.720465596	59.721463328	2015.000	6571.552	3186.914	3186.914
72	Spectrogram 1	1	59.721463328	59.722461061	2015.000	6571.552	3186.914	3186.914
73	Spectrogram 1	1	59.722461061	59.723458793	2015.000	6571.552	3186.914	3186.914
74	Spectrogram 1	1	59.723458793	59.724456526	2015.000	6571.552	3186.914	3186.914
75	Spectrogram 1	1	59.724456526	59.725454258	2015.000	6571.552	3273.047	3273.047
76	Spectrogram 1	1	59.725454258	59.726451990	2015.000	6571.552	3273.047	3273.047
77	Spectrogram 1	1	59.726451990	59.727449723	2015.000	6571.552	3273.047	3273.047
78	Spectrogram 1	1	59.727449723	59.728447455	2015.000	6571.552	3273.047	3273.047
79	Spectrogram 1	1	59.728447455	59.729445188	2015.000	6571.552	3273.047	3273.047
80	Spectrogram 1	1	59.729445188	59.730442920	2015.000	6571.552	3273.047	3273.047
81	Spectrogram 1	1	59.730442920	59.731440653	2015.000	6571.552	3273.047	3273.047
82	Spectrogram 1	1	59.731440653	59.732438385	2015.000	6571.552	3273.047	3273.047
83	Spectrogram 1	1	59.732438385	59.733436117	2015.000	6571.552	3273.047	3273.047
84	Spectrogram 1	1	59.733436117	59.734433850	2015.000	6571.552	3273.047	3273.047
85	Spectrogram 1	1	59.734433850	59.735431582	2015.000	6571.552	3273.047	3273.047
86	Spectrogram 1	1	59.735431582	59.736429315	2015.000	6571.552	3273.047	3273.047
87	Spectrogram 1	1	59.736429315	59.737427047	2015.000	6571.552	3445.312	3445.312
88	Spectrogram 1	1	59.737427047	59.738424780	2015.000	6571.552	3445.312	3445.312
89	Spectrogram 1	1	59.738424780	59.739422512	2015.000	6571.552	3445.312	3445.312
90	Spectrogram 1	1	59.739422512	59.740420244	2015.000	6571.552	3445.312	3445.312
91	Spectrogram 1	1	59.740420244	59.741417977	2015.000	6571.552	3445.312	3445.312
92	Spectrogram 1	1	59.741417977	59.742415709	2015.000	6571.552	3445.312	3445.312
93	Spectrogram 1	1	59.742415709	59.743413442	2015.000	6571.552	3531.445	3531.445
94	Spectrogram 1	1	59.743413442	59.744411174	2015.000	6571.552	3531.445	3531.445
