Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	108.715163777	108.716161509	3024.600	6439.400	3875.977	3962.109
2	Spectrogram 1	1	108.716161509	108.717159242	3024.600	6439.400	3875.977	3962.109
3	Spectrogram 1	1	108.717159242	108.718156974	3024.600	6439.400	3875.977	3962.109
4	Spectrogram 1	1	108.718156974	108.719154707	3024.600	6439.400	3875.977	3962.109
5	Spectrogram 1	1	108.719154707	108.720152439	3024.600	6439.400	4909.570	4909.570
6	Spectrogram 1	1	108.720152439	108.721150172	3024.600	6439.400	4909.570	4909.570
7	Spectrogram 1	1	108.721150172	108.722147904	3024.600	6439.400	4909.570	4909.570
8	Spectrogram 1	1	108.722147904	108.723145636	3024.600	6439.400	4909.570	4909.570
9	Spectrogram 1	1	108.723145636	108.724143369	3024.600	6439.400	4909.570	4909.570
10	Spectrogram 1	1	108.724143369	108.725141101	3024.600	6439.400	5426.367	5598.633
11	Spectrogram 1	1	108.725141101	108.726138834	3024.600	6439.400	5426.367	5598.633
12	Spectrogram 1	1	108.726138834	108.727136566	3024.600	6439.400	5426.367	5598.633
13	Spectrogram 1	1	108.727136566	108.728134299	3024.600	6439.400	5426.367	5598.633
14	Spectrogram 1	1	108.728134299	108.729132031	3024.600	6439.400	5426.367	5598.633
15	Spectrogram 1	1	108.729132031	108.730129763	3024.600	6439.400	5426.367	5598.633
16	Spectrogram 1	1	108.730129763	108.731127496	3024.600	6439.400	4909.570	4909.570
17	Spectrogram 1	1	108.731127496	108.732125228	3024.600	6439.400	4909.570	4909.570
18	Spectrogram 1	1	108.732125228	108.733122961	3024.600	6439.400	4909.570	4909.570
19	Spectrogram 1	1	108.733122961	108.734120693	3024.600	6439.400	4909.570	4909.570
20	Spectrogram 1	1	108.734120693	108.735118426	3024.600	6439.400	4909.570	4909.570
21	Spectrogram 1	1	108.735118426	108.736116158	3024.600	6439.400	4909.570	4909.570
22	Spectrogram 1	1	108.736116158	108.737113890	3024.600	6439.400	4220.508	4220.508
23	Spectrogram 1	1	108.737113890	108.738111623	3024.600	6439.400	4220.508	4220.508
24	Spectrogram 1	1	108.738111623	108.739109355	3024.600	6439.400	4220.508	4220.508
25	Spectrogram 1	1	108.739109355	108.740107088	3024.600	6439.400	4220.508	4220.508
26	Spectrogram 1	1	108.740107088	108.741104820	3024.600	6439.400	4220.508	4220.508
27	Spectrogram 1	1	108.741104820	108.742102553	3024.600	6439.400	4220.508	4220.508
28	Spectrogram 1	1	108.742102553	108.743100285	3024.600	6439.400	3962.109	3962.109
29	Spectrogram 1	1	108.743100285	108.744098017	3024.600	6439.400	3962.109	3962.109
30	Spectrogram 1	1	108.744098017	108.745095750	3024.600	6439.400	3962.109	3962.109
31	Spectrogram 1	1	108.745095750	108.746093482	3024.600	6439.400	3962.109	3962.109
32	Spectrogram 1	1	108.746093482	108.747091215	3024.600	6439.400	3962.109	3962.109
33	Spectrogram 1	1	108.747091215	108.748088947	3024.600	6439.400	3962.109	3962.109
34	Spectrogram 1	1	108.748088947	108.749086679	3024.600	6439.400	3703.711	3703.711
35	Spectrogram 1	1	108.749086679	108.750084412	3024.600	6439.400	3703.711	3703.711
36	Spectrogram 1	1	108.750084412	108.751082144	3024.600	6439.400	3703.711	3703.711
37	Spectrogram 1	1	108.751082144	108.752079877	3024.600	6439.400	3703.711	3703.711
38	Spectrogram 1	1	108.752079877	108.753077609	3024.600	6439.400	3703.711	3703.711
39	Spectrogram 1	1	108.753077609	108.754075342	3024.600	6439.400	3703.711	3617.578
40	Spectrogram 1	1	108.754075342	108.755073074	3024.600	6439.400	3703.711	3617.578
41	Spectrogram 1	1	108.755073074	108.756070806	3024.600	6439.400	3703.711	3617.578
42	Spectrogram 1	1	108.756070806	108.757068539	3024.600	6439.400	3703.711	3617.578
43	Spectrogram 1	1	108.757068539	108.758066271	3024.600	6439.400	3703.711	3617.578
44	Spectrogram 1	1	108.758066271	108.759064004	3024.600	6439.400	3703.711	3617.578
45	Spectrogram 1	1	108.759064004	108.760061736	3024.600	6439.400	3531.445	3531.445
46	Spectrogram 1	1	108.760061736	108.761059469	3024.600	6439.400	3531.445	3531.445
47	Spectrogram 1	1	108.761059469	108.762057201	3024.600	6439.400	3531.445	3531.445
48	Spectrogram 1	1	108.762057201	108.763054933	3024.600	6439.400	3531.445	3531.445
49	Spectrogram 1	1	108.763054933	108.764052666	3024.600	6439.400	3531.445	3531.445
50	Spectrogram 1	1	108.764052666	108.765050398	3024.600	6439.400	3531.445	3531.445
51	Spectrogram 1	1	108.765050398	108.766048131	3024.600	6439.400	3531.445	3445.312
52	Spectrogram 1	1	108.766048131	108.767045863	3024.600	6439.400	3531.445	3445.312
53	Spectrogram 1	1	108.767045863	108.768043596	3024.600	6439.400	3531.445	3445.312
54	Spectrogram 1	1	108.768043596	108.769041328	3024.600	6439.400	3531.445	3445.312
55	Spectrogram 1	1	108.769041328	108.770039060	3024.600	6439.400	3531.445	3445.312
56	Spectrogram 1	1	108.770039060	108.771036793	3024.600	6439.400	3531.445	3445.312
57	Spectrogram 1	1	108.771036793	108.772034525	3024.600	6439.400	3962.109	4048.242
58	Spectrogram 1	1	108.772034525	108.773032258	3024.600	6439.400	3962.109	4048.242
59	Spectrogram 1	1	108.773032258	108.774029990	3024.600	6439.400	3962.109	4048.242
60	Spectrogram 1	1	108.774029990	108.775027723	3024.600	6439.400	3962.109	4048.242
61	Spectrogram 1	1	108.775027723	108.776025455	3024.600	6439.400	3962.109	4048.242
62	Spectrogram 1	1	108.776025455	108.777023187	3024.600	6439.400	3962.109	4048.242
