Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	19.524900000	19.525897732	2140.700	6334.239	2756.250	2756.250
2	Spectrogram 1	1	19.525897732	19.526895465	2140.700	6334.239	2756.250	2756.250
3	Spectrogram 1	1	19.526895465	19.527893197	2140.700	6334.239	2756.250	2756.250
4	Spectrogram 1	1	19.527893197	19.528890930	2140.700	6334.239	2756.250	2756.250
5	Spectrogram 1	1	19.528890930	19.529888662	2140.700	6334.239	2756.250	2756.250
6	Spectrogram 1	1	19.529888662	19.530886395	2140.700	6334.239	2756.250	2756.250
7	Spectrogram 1	1	19.530886395	19.531884127	2140.700	6334.239	3445.312	3445.312
8	Spectrogram 1	1	19.531884127	19.532881859	2140.700	6334.239	3445.312	3445.312
9	Spectrogram 1	1	19.532881859	19.533879592	2140.700	6334.239	3445.312	3445.312
10	Spectrogram 1	1	19.533879592	19.534877324	2140.700	6334.239	3445.312	3445.312
11	Spectrogram 1	1	19.534877324	19.535875057	2140.700	6334.239	3445.312	3445.312
12	Spectrogram 1	1	19.535875057	19.536872789	2140.700	6334.239	3445.312	3445.312
13	Spectrogram 1	1	19.536872789	19.537870522	2140.700	6334.239	3445.312	3445.312
14	Spectrogram 1	1	19.537870522	19.538868254	2140.700	6334.239	3445.312	3445.312
15	Spectrogram 1	1	19.538868254	19.539865986	2140.700	6334.239	3445.312	3445.312
16	Spectrogram 1	1	19.539865986	19.540863719	2140.700	6334.239	3445.312	3445.312
17	Spectrogram 1	1	19.540863719	19.541861451	2140.700	6334.239	3445.312	3445.312
18	Spectrogram 1	1	19.541861451	19.542859184	2140.700	6334.239	3445.312	3445.312
19	Spectrogram 1	1	19.542859184	19.543856916	2140.700	6334.239	3273.047	3273.047
20	Spectrogram 1	1	19.543856916	19.544854649	2140.700	6334.239	3273.047	3273.047
21	Spectrogram 1	1	19.544854649	19.545852381	2140.700	6334.239	3273.047	3273.047
22	Spectrogram 1	1	19.545852381	19.546850113	2140.700	6334.239	3273.047	3273.047
23	Spectrogram 1	1	19.546850113	19.547847846	2140.700	6334.239	3273.047	3273.047
24	Spectrogram 1	1	19.547847846	19.548845578	2140.700	6334.239	3273.047	3273.047
25	Spectrogram 1	1	19.548845578	19.549843311	2140.700	6334.239	3273.047	3273.047
26	Spectrogram 1	1	19.549843311	19.550841043	2140.700	6334.239	3273.047	3273.047
27	Spectrogram 1	1	19.550841043	19.551838776	2140.700	6334.239	3273.047	3273.047
28	Spectrogram 1	1	19.551838776	19.552836508	2140.700	6334.239	3273.047	3273.047
29	Spectrogram 1	1	19.552836508	19.553834240	2140.700	6334.239	3273.047	3273.047
30	Spectrogram 1	1	19.553834240	19.554831973	2140.700	6334.239	3273.047	3273.047
31	Spectrogram 1	1	19.554831973	19.555829705	2140.700	6334.239	3273.047	3273.047
32	Spectrogram 1	1	19.555829705	19.556827438	2140.700	6334.239	3273.047	3273.047
33	Spectrogram 1	1	19.556827438	19.557825170	2140.700	6334.239	3273.047	3273.047
34	Spectrogram 1	1	19.557825170	19.558822902	2140.700	6334.239	3273.047	3273.047
35	Spectrogram 1	1	19.558822902	19.559820635	2140.700	6334.239	3273.047	3273.047
36	Spectrogram 1	1	19.559820635	19.560818367	2140.700	6334.239	3186.914	3186.914
37	Spectrogram 1	1	19.560818367	19.561816100	2140.700	6334.239	3186.914	3186.914
38	Spectrogram 1	1	19.561816100	19.562813832	2140.700	6334.239	3186.914	3186.914
39	Spectrogram 1	1	19.562813832	19.563811565	2140.700	6334.239	3186.914	3186.914
40	Spectrogram 1	1	19.563811565	19.564809297	2140.700	6334.239	3186.914	3186.914
41	Spectrogram 1	1	19.564809297	19.565807029	2140.700	6334.239	3186.914	3186.914
42	Spectrogram 1	1	19.565807029	19.566804762	2140.700	6334.239	3273.047	3273.047
43	Spectrogram 1	1	19.566804762	19.567802494	2140.700	6334.239	3273.047	3273.047
44	Spectrogram 1	1	19.567802494	19.568800227	2140.700	6334.239	3273.047	3273.047
45	Spectrogram 1	1	19.568800227	19.569797959	2140.700	6334.239	3273.047	3273.047
46	Spectrogram 1	1	19.569797959	19.570795692	2140.700	6334.239	3273.047	3273.047
47	Spectrogram 1	1	19.570795692	19.571793424	2140.700	6334.239	3273.047	3273.047
48	Spectrogram 1	1	19.571793424	19.572791156	2140.700	6334.239	3273.047	3273.047
49	Spectrogram 1	1	19.572791156	19.573788889	2140.700	6334.239	3273.047	3273.047
50	Spectrogram 1	1	19.573788889	19.574786621	2140.700	6334.239	3273.047	3273.047
51	Spectrogram 1	1	19.574786621	19.575784354	2140.700	6334.239	3273.047	3273.047
52	Spectrogram 1	1	19.575784354	19.576782086	2140.700	6334.239	3273.047	3273.047
53	Spectrogram 1	1	19.576782086	19.577779819	2140.700	6334.239	3273.047	3273.047
54	Spectrogram 1	1	19.577779819	19.578777551	2140.700	6334.239	3100.781	3100.781
55	Spectrogram 1	1	19.578777551	19.579775283	2140.700	6334.239	3100.781	3100.781
56	Spectrogram 1	1	19.579775283	19.580773016	2140.700	6334.239	3100.781	3100.781
57	Spectrogram 1	1	19.580773016	19.581770748	2140.700	6334.239	3100.781	3100.781
58	Spectrogram 1	1	19.581770748	19.582768481	2140.700	6334.239	3100.781	3100.781
59	Spectrogram 1	1	19.582768481	19.583766213	2140.700	6334.239	3014.648	2153.320
60	Spectrogram 1	1	19.583766213	19.584763946	2140.700	6334.239	3014.648	2153.320
61	Spectrogram 1	1	19.584763946	19.585761678	2140.700	6334.239	3014.648	2153.320
62	Spectrogram 1	1	19.585761678	19.586759410	2140.700	6334.239	3014.648	2153.320
63	Spectrogram 1	1	19.586759410	19.587757143	2140.700	6334.239	3014.648	2153.320
64	Spectrogram 1	1	19.587757143	19.588754875	2140.700	6334.239	3014.648	2153.320
65	Spectrogram 1	1	19.588754875	19.589752608	2140.700	6334.239	3186.914	3186.914
66	Spectrogram 1	1	19.589752608	19.590750340	2140.700	6334.239	3186.914	3186.914
67	Spectrogram 1	1	19.590750340	19.591748073	2140.700	6334.239	3186.914	3186.914
68	Spectrogram 1	1	19.591748073	19.592745805	2140.700	6334.239	3186.914	3186.914
69	Spectrogram 1	1	19.592745805	19.593743537	2140.700	6334.239	3186.914	3186.914
70	Spectrogram 1	1	19.593743537	19.594741270	2140.700	6334.239	3186.914	3186.914
71	Spectrogram 1	1	19.594741270	19.595739002	2140.700	6334.239	3273.047	3273.047
72	Spectrogram 1	1	19.595739002	19.596736735	2140.700	6334.239	3273.047	3273.047
