Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.805452270	0.806450002	1655.200	6827.800	5340.234	5426.367
2	Spectrogram 1	1	0.806450002	0.807447735	1655.200	6827.800	5340.234	5426.367
3	Spectrogram 1	1	0.807447735	0.808445467	1655.200	6827.800	5340.234	5426.367
4	Spectrogram 1	1	0.808445467	0.809443200	1655.200	6827.800	5340.234	5426.367
5	Spectrogram 1	1	0.809443200	0.810440932	1655.200	6827.800	5254.102	5340.234
6	Spectrogram 1	1	0.810440932	0.811438665	1655.200	6827.800	5254.102	5340.234
7	Spectrogram 1	1	0.811438665	0.812436397	1655.200	6827.800	5254.102	5340.234
8	Spectrogram 1	1	0.812436397	0.813434129	1655.200	6827.800	5254.102	5340.234
9	Spectrogram 1	1	0.813434129	0.814431862	1655.200	6827.800	5254.102	5340.234
10	Spectrogram 1	1	0.814431862	0.815429594	1655.200	6827.800	5254.102	5340.234
11	Spectrogram 1	1	0.815429594	0.816427327	1655.200	6827.800	6115.430	6287.695
12	Spectrogram 1	1	0.816427327	0.817425059	1655.200	6827.800	6115.430	6287.695
13	Spectrogram 1	1	0.817425059	0.818422792	1655.200	6827.800	6115.430	6287.695
14	Spectrogram 1	1	0.818422792	0.819420524	1655.200	6827.800	6115.430	6287.695
15	Spectrogram 1	1	0.819420524	0.820418256	1655.200	6827.800	6115.430	6287.695
16	Spectrogram 1	1	0.820418256	0.821415989	1655.200	6827.800	6115.430	6287.695
17	Spectrogram 1	1	0.821415989	0.822413721	1655.200	6827.800	3531.445	3445.312
18	Spectrogram 1	1	0.822413721	0.823411454	1655.200	6827.800	3531.445	3445.312
19	Spectrogram 1	1	0.823411454	0.824409186	1655.200	6827.800	3531.445	3445.312
20	Spectrogram 1	1	0.824409186	0.825406919	1655.200	6827.800	3531.445	3445.312
21	Spectrogram 1	1	0.825406919	0.826404651	1655.200	6827.800	3531.445	3445.312
22	Spectrogram 1	1	0.826404651	0.827402383	1655.200	6827.800	3531.445	3445.312
23	Spectrogram 1	1	0.827402383	0.828400116	1655.200	6827.800	3273.047	3273.047
24	Spectrogram 1	1	0.828400116	0.829397848	1655.200	6827.800	3273.047	3273.047
25	Spectrogram 1	1	0.829397848	0.830395581	1655.200	6827.800	3273.047	3273.047
26	Spectrogram 1	1	0.830395581	0.831393313	1655.200	6827.800	3273.047	3273.047
27	Spectrogram 1	1	0.831393313	0.832391046	1655.200	6827.800	3273.047	3273.047
28	Spectrogram 1	1	0.832391046	0.833388778	1655.200	6827.800	3273.047	3273.047
29	Spectrogram 1	1	0.833388778	0.834386510	1655.200	6827.800	3100.781	3100.781
30	Spectrogram 1	1	0.834386510	0.835384243	1655.200	6827.800	3100.781	3100.781
31	Spectrogram 1	1	0.835384243	0.836381975	1655.200	6827.800	3100.781	3100.781
32	Spectrogram 1	1	0.836381975	0.837379708	1655.200	6827.800	3100.781	3100.781
33	Spectrogram 1	1	0.837379708	0.838377440	1655.200	6827.800	3100.781	3100.781
34	Spectrogram 1	1	0.838377440	0.839375172	1655.200	6827.800	3100.781	3100.781
35	Spectrogram 1	1	0.839375172	0.840372905	1655.200	6827.800	3100.781	3100.781
36	Spectrogram 1	1	0.840372905	0.841370637	1655.200	6827.800	3100.781	3100.781
37	Spectrogram 1	1	0.841370637	0.842368370	1655.200	6827.800	3100.781	3100.781
38	Spectrogram 1	1	0.842368370	0.843366102	1655.200	6827.800	3100.781	3100.781
39	Spectrogram 1	1	0.843366102	0.844363835	1655.200	6827.800	3100.781	3100.781
40	Spectrogram 1	1	0.844363835	0.845361567	1655.200	6827.800	3014.648	3014.648
41	Spectrogram 1	1	0.845361567	0.846359299	1655.200	6827.800	3014.648	3014.648
42	Spectrogram 1	1	0.846359299	0.847357032	1655.200	6827.800	3014.648	3014.648
43	Spectrogram 1	1	0.847357032	0.848354764	1655.200	6827.800	3014.648	3014.648
44	Spectrogram 1	1	0.848354764	0.849352497	1655.200	6827.800	3014.648	3014.648
45	Spectrogram 1	1	0.849352497	0.850350229	1655.200	6827.800	3014.648	3014.648
46	Spectrogram 1	1	0.850350229	0.851347962	1655.200	6827.800	3014.648	3014.648
47	Spectrogram 1	1	0.851347962	0.852345694	1655.200	6827.800	3014.648	3014.648
48	Spectrogram 1	1	0.852345694	0.853343426	1655.200	6827.800	3014.648	3014.648
49	Spectrogram 1	1	0.853343426	0.854341159	1655.200	6827.800	3014.648	3014.648
50	Spectrogram 1	1	0.854341159	0.855338891	1655.200	6827.800	3014.648	3014.648
51	Spectrogram 1	1	0.855338891	0.856336624	1655.200	6827.800	3014.648	3014.648
52	Spectrogram 1	1	0.856336624	0.857334356	1655.200	6827.800	3014.648	3014.648
53	Spectrogram 1	1	0.857334356	0.858332089	1655.200	6827.800	3014.648	3014.648
54	Spectrogram 1	1	0.858332089	0.859329821	1655.200	6827.800	3014.648	3014.648
55	Spectrogram 1	1	0.859329821	0.860327553	1655.200	6827.800	3014.648	3014.648
56	Spectrogram 1	1	0.860327553	0.861325286	1655.200	6827.800	3014.648	3014.648
57	Spectrogram 1	1	0.861325286	0.862323018	1655.200	6827.800	3014.648	3014.648
58	Spectrogram 1	1	0.862323018	0.863320751	1655.200	6827.800	3014.648	3014.648
