Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	45.914399288	45.915397020	1528.218	7615.750	5770.898	5857.031
2	Spectrogram 1	1	45.915397020	45.916394753	1528.218	7615.750	5770.898	5857.031
3	Spectrogram 1	1	45.916394753	45.917392485	1528.218	7615.750	5770.898	5857.031
4	Spectrogram 1	1	45.917392485	45.918390218	1528.218	7615.750	5770.898	5857.031
5	Spectrogram 1	1	45.918390218	45.919387950	1528.218	7615.750	5770.898	5857.031
6	Spectrogram 1	1	45.919387950	45.920385683	1528.218	7615.750	5770.898	5857.031
7	Spectrogram 1	1	45.920385683	45.921383415	1528.218	7615.750	5770.898	5857.031
8	Spectrogram 1	1	45.921383415	45.922381147	1528.218	7615.750	5770.898	5857.031
9	Spectrogram 1	1	45.922381147	45.923378880	1528.218	7615.750	5770.898	5857.031
10	Spectrogram 1	1	45.923378880	45.924376612	1528.218	7615.750	5770.898	5857.031
11	Spectrogram 1	1	45.924376612	45.925374345	1528.218	7615.750	5770.898	5857.031
12	Spectrogram 1	1	45.925374345	45.926372077	1528.218	7615.750	5770.898	5857.031
13	Spectrogram 1	1	45.926372077	45.927369810	1528.218	7615.750	5857.031	5857.031
14	Spectrogram 1	1	45.927369810	45.928367542	1528.218	7615.750	5857.031	5857.031
15	Spectrogram 1	1	45.928367542	45.929365274	1528.218	7615.750	5857.031	5857.031
16	Spectrogram 1	1	45.929365274	45.930363007	1528.218	7615.750	5857.031	5857.031
17	Spectrogram 1	1	45.930363007	45.931360739	1528.218	7615.750	5857.031	5857.031
18	Spectrogram 1	1	45.931360739	45.932358472	1528.218	7615.750	5857.031	5857.031
19	Spectrogram 1	1	45.932358472	45.933356204	1528.218	7615.750	3617.578	3617.578
20	Spectrogram 1	1	45.933356204	45.934353937	1528.218	7615.750	3617.578	3617.578
21	Spectrogram 1	1	45.934353937	45.935351669	1528.218	7615.750	3617.578	3617.578
22	Spectrogram 1	1	45.935351669	45.936349401	1528.218	7615.750	3617.578	3617.578
23	Spectrogram 1	1	45.936349401	45.937347134	1528.218	7615.750	3617.578	3617.578
24	Spectrogram 1	1	45.937347134	45.938344866	1528.218	7615.750	3359.180	3273.047
25	Spectrogram 1	1	45.938344866	45.939342599	1528.218	7615.750	3359.180	3273.047
26	Spectrogram 1	1	45.939342599	45.940340331	1528.218	7615.750	3359.180	3273.047
27	Spectrogram 1	1	45.940340331	45.941338064	1528.218	7615.750	3359.180	3273.047
28	Spectrogram 1	1	45.941338064	45.942335796	1528.218	7615.750	3359.180	3273.047
29	Spectrogram 1	1	45.942335796	45.943333528	1528.218	7615.750	3359.180	3273.047
30	Spectrogram 1	1	45.943333528	45.944331261	1528.218	7615.750	5943.164	5943.164
31	Spectrogram 1	1	45.944331261	45.945328993	1528.218	7615.750	5943.164	5943.164
32	Spectrogram 1	1	45.945328993	45.946326726	1528.218	7615.750	5943.164	5943.164
33	Spectrogram 1	1	45.946326726	45.947324458	1528.218	7615.750	5943.164	5943.164
34	Spectrogram 1	1	45.947324458	45.948322190	1528.218	7615.750	5943.164	5943.164
35	Spectrogram 1	1	45.948322190	45.949319923	1528.218	7615.750	5943.164	5943.164
36	Spectrogram 1	1	45.949319923	45.950317655	1528.218	7615.750	5857.031	5857.031
37	Spectrogram 1	1	45.950317655	45.951315388	1528.218	7615.750	5857.031	5857.031
38	Spectrogram 1	1	45.951315388	45.952313120	1528.218	7615.750	5857.031	5857.031
39	Spectrogram 1	1	45.952313120	45.953310853	1528.218	7615.750	5857.031	5857.031
40	Spectrogram 1	1	45.953310853	45.954308585	1528.218	7615.750	5857.031	5857.031
41	Spectrogram 1	1	45.954308585	45.955306317	1528.218	7615.750	5857.031	5857.031
42	Spectrogram 1	1	45.955306317	45.956304050	1528.218	7615.750	5684.766	5684.766
