Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	13.632852585	13.633850317	2650.240	6572.596	5254.102	5684.766
2	Spectrogram 1	1	13.633850317	13.634848050	2650.240	6572.596	5254.102	5684.766
3	Spectrogram 1	1	13.634848050	13.635845782	2650.240	6572.596	5254.102	5684.766
4	Spectrogram 1	1	13.635845782	13.636843515	2650.240	6572.596	5254.102	5684.766
5	Spectrogram 1	1	13.636843515	13.637841247	2650.240	6572.596	5254.102	5684.766
6	Spectrogram 1	1	13.637841247	13.638838980	2650.240	6572.596	5254.102	5684.766
7	Spectrogram 1	1	13.638838980	13.639836712	2650.240	6572.596	4909.570	4651.172
8	Spectrogram 1	1	13.639836712	13.640834444	2650.240	6572.596	4909.570	4651.172
9	Spectrogram 1	1	13.640834444	13.641832177	2650.240	6572.596	4909.570	4651.172
10	Spectrogram 1	1	13.641832177	13.642829909	2650.240	6572.596	4909.570	4651.172
11	Spectrogram 1	1	13.642829909	13.643827642	2650.240	6572.596	4909.570	4651.172
12	Spectrogram 1	1	13.643827642	13.644825374	2650.240	6572.596	4909.570	4651.172
13	Spectrogram 1	1	13.644825374	13.645823107	2650.240	6572.596	5426.367	5770.898
14	Spectrogram 1	1	13.645823107	13.646820839	2650.240	6572.596	5426.367	5770.898
15	Spectrogram 1	1	13.646820839	13.647818571	2650.240	6572.596	5426.367	5770.898
16	Spectrogram 1	1	13.647818571	13.648816304	2650.240	6572.596	5426.367	5770.898
17	Spectrogram 1	1	13.648816304	13.649814036	2650.240	6572.596	5426.367	5770.898
18	Spectrogram 1	1	13.649814036	13.650811769	2650.240	6572.596	5426.367	5770.898
19	Spectrogram 1	1	13.650811769	13.651809501	2650.240	6572.596	4737.305	5770.898
20	Spectrogram 1	1	13.651809501	13.652807234	2650.240	6572.596	4737.305	5770.898
21	Spectrogram 1	1	13.652807234	13.653804966	2650.240	6572.596	4737.305	5770.898
22	Spectrogram 1	1	13.653804966	13.654802698	2650.240	6572.596	4737.305	5770.898
23	Spectrogram 1	1	13.654802698	13.655800431	2650.240	6572.596	4737.305	5770.898
24	Spectrogram 1	1	13.655800431	13.656798163	2650.240	6572.596	3100.781	3100.781
25	Spectrogram 1	1	13.656798163	13.657795896	2650.240	6572.596	3100.781	3100.781
26	Spectrogram 1	1	13.657795896	13.658793628	2650.240	6572.596	3100.781	3100.781
27	Spectrogram 1	1	13.658793628	13.659791361	2650.240	6572.596	3100.781	3100.781
28	Spectrogram 1	1	13.659791361	13.660789093	2650.240	6572.596	3100.781	3100.781
29	Spectrogram 1	1	13.660789093	13.661786825	2650.240	6572.596	3100.781	3100.781
30	Spectrogram 1	1	13.661786825	13.662784558	2650.240	6572.596	3014.648	3014.648
31	Spectrogram 1	1	13.662784558	13.663782290	2650.240	6572.596	3014.648	3014.648
32	Spectrogram 1	1	13.663782290	13.664780023	2650.240	6572.596	3014.648	3014.648
33	Spectrogram 1	1	13.664780023	13.665777755	2650.240	6572.596	3014.648	3014.648
34	Spectrogram 1	1	13.665777755	13.666775487	2650.240	6572.596	3014.648	3014.648
35	Spectrogram 1	1	13.666775487	13.667773220	2650.240	6572.596	3014.648	3014.648
36	Spectrogram 1	1	13.667773220	13.668770952	2650.240	6572.596	3014.648	2842.383
37	Spectrogram 1	1	13.668770952	13.669768685	2650.240	6572.596	3014.648	2842.383
38	Spectrogram 1	1	13.669768685	13.670766417	2650.240	6572.596	3014.648	2842.383
39	Spectrogram 1	1	13.670766417	13.671764150	2650.240	6572.596	3014.648	2842.383
40	Spectrogram 1	1	13.671764150	13.672761882	2650.240	6572.596	3014.648	2842.383
41	Spectrogram 1	1	13.672761882	13.673759614	2650.240	6572.596	3014.648	2842.383
42	Spectrogram 1	1	13.673759614	13.674757347	2650.240	6572.596	2928.516	2928.516
43	Spectrogram 1	1	13.674757347	13.675755079	2650.240	6572.596	2928.516	2928.516
44	Spectrogram 1	1	13.675755079	13.676752812	2650.240	6572.596	2928.516	2928.516
45	Spectrogram 1	1	13.676752812	13.677750544	2650.240	6572.596	2928.516	2928.516
46	Spectrogram 1	1	13.677750544	13.678748277	2650.240	6572.596	2928.516	2928.516
47	Spectrogram 1	1	13.678748277	13.679746009	2650.240	6572.596	2928.516	2928.516
48	Spectrogram 1	1	13.679746009	13.680743741	2650.240	6572.596	3014.648	2928.516
49	Spectrogram 1	1	13.680743741	13.681741474	2650.240	6572.596	3014.648	2928.516
50	Spectrogram 1	1	13.681741474	13.682739206	2650.240	6572.596	3014.648	2928.516
51	Spectrogram 1	1	13.682739206	13.683736939	2650.240	6572.596	3014.648	2928.516
52	Spectrogram 1	1	13.683736939	13.684734671	2650.240	6572.596	3014.648	2928.516
53	Spectrogram 1	1	13.684734671	13.685732404	2650.240	6572.596	3014.648	2928.516
54	Spectrogram 1	1	13.685732404	13.686730136	2650.240	6572.596	2928.516	2928.516
55	Spectrogram 1	1	13.686730136	13.687727868	2650.240	6572.596	2928.516	2928.516
56	Spectrogram 1	1	13.687727868	13.688725601	2650.240	6572.596	2928.516	2928.516
57	Spectrogram 1	1	13.688725601	13.689723333	2650.240	6572.596	2928.516	2928.516
58	Spectrogram 1	1	13.689723333	13.690721066	2650.240	6572.596	2928.516	2928.516
59	Spectrogram 1	1	13.690721066	13.691718798	2650.240	6572.596	3789.844	2928.516
60	Spectrogram 1	1	13.691718798	13.692716531	2650.240	6572.596	3789.844	2928.516
61	Spectrogram 1	1	13.692716531	13.693714263	2650.240	6572.596	3789.844	2928.516
62	Spectrogram 1	1	13.693714263	13.694711995	2650.240	6572.596	3789.844	2928.516
63	Spectrogram 1	1	13.694711995	13.695709728	2650.240	6572.596	3789.844	2928.516
64	Spectrogram 1	1	13.695709728	13.696707460	2650.240	6572.596	3789.844	2928.516
