Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	50.568353035	50.569350767	2841.495	6674.000	4909.570	3703.711
2	Spectrogram 1	1	50.569350767	50.570348500	2841.495	6674.000	4909.570	3703.711
3	Spectrogram 1	1	50.570348500	50.571346232	2841.495	6674.000	5426.367	5426.367
4	Spectrogram 1	1	50.571346232	50.572343965	2841.495	6674.000	5426.367	5426.367
5	Spectrogram 1	1	50.572343965	50.573341697	2841.495	6674.000	5426.367	5426.367
6	Spectrogram 1	1	50.573341697	50.574339430	2841.495	6674.000	5426.367	5426.367
7	Spectrogram 1	1	50.574339430	50.575337162	2841.495	6674.000	5426.367	5426.367
8	Spectrogram 1	1	50.575337162	50.576334894	2841.495	6674.000	5426.367	5426.367
9	Spectrogram 1	1	50.576334894	50.577332627	2841.495	6674.000	5167.969	5167.969
10	Spectrogram 1	1	50.577332627	50.578330359	2841.495	6674.000	5167.969	5167.969
11	Spectrogram 1	1	50.578330359	50.579328092	2841.495	6674.000	5167.969	5167.969
12	Spectrogram 1	1	50.579328092	50.580325824	2841.495	6674.000	5167.969	5167.969
13	Spectrogram 1	1	50.580325824	50.581323557	2841.495	6674.000	5167.969	5167.969
14	Spectrogram 1	1	50.581323557	50.582321289	2841.495	6674.000	3789.844	3703.711
15	Spectrogram 1	1	50.582321289	50.583319021	2841.495	6674.000	3789.844	3703.711
16	Spectrogram 1	1	50.583319021	50.584316754	2841.495	6674.000	3789.844	3703.711
17	Spectrogram 1	1	50.584316754	50.585314486	2841.495	6674.000	3789.844	3703.711
18	Spectrogram 1	1	50.585314486	50.586312219	2841.495	6674.000	3789.844	3703.711
19	Spectrogram 1	1	50.586312219	50.587309951	2841.495	6674.000	3789.844	3703.711
20	Spectrogram 1	1	50.587309951	50.588307684	2841.495	6674.000	3359.180	3273.047
21	Spectrogram 1	1	50.588307684	50.589305416	2841.495	6674.000	3359.180	3273.047
22	Spectrogram 1	1	50.589305416	50.590303148	2841.495	6674.000	3359.180	3273.047
23	Spectrogram 1	1	50.590303148	50.591300881	2841.495	6674.000	3359.180	3273.047
24	Spectrogram 1	1	50.591300881	50.592298613	2841.495	6674.000	3359.180	3273.047
25	Spectrogram 1	1	50.592298613	50.593296346	2841.495	6674.000	3359.180	3273.047
26	Spectrogram 1	1	50.593296346	50.594294078	2841.495	6674.000	3186.914	3100.781
27	Spectrogram 1	1	50.594294078	50.595291811	2841.495	6674.000	3186.914	3100.781
28	Spectrogram 1	1	50.595291811	50.596289543	2841.495	6674.000	3186.914	3100.781
29	Spectrogram 1	1	50.596289543	50.597287275	2841.495	6674.000	3186.914	3100.781
30	Spectrogram 1	1	50.597287275	50.598285008	2841.495	6674.000	3186.914	3100.781
31	Spectrogram 1	1	50.598285008	50.599282740	2841.495	6674.000	3186.914	3100.781
32	Spectrogram 1	1	50.599282740	50.600280473	2841.495	6674.000	3100.781	3100.781
33	Spectrogram 1	1	50.600280473	50.601278205	2841.495	6674.000	3100.781	3100.781
34	Spectrogram 1	1	50.601278205	50.602275937	2841.495	6674.000	3100.781	3100.781
35	Spectrogram 1	1	50.602275937	50.603273670	2841.495	6674.000	3100.781	3100.781
36	Spectrogram 1	1	50.603273670	50.604271402	2841.495	6674.000	3100.781	3100.781
37	Spectrogram 1	1	50.604271402	50.605269135	2841.495	6674.000	3100.781	3100.781
38	Spectrogram 1	1	50.605269135	50.606266867	2841.495	6674.000	3100.781	3100.781
39	Spectrogram 1	1	50.606266867	50.607264600	2841.495	6674.000	3100.781	3100.781
40	Spectrogram 1	1	50.607264600	50.608262332	2841.495	6674.000	3100.781	3100.781
41	Spectrogram 1	1	50.608262332	50.609260064	2841.495	6674.000	3100.781	3100.781
42	Spectrogram 1	1	50.609260064	50.610257797	2841.495	6674.000	3100.781	3100.781
43	Spectrogram 1	1	50.610257797	50.611255529	2841.495	6674.000	3100.781	3100.781
44	Spectrogram 1	1	50.611255529	50.612253262	2841.495	6674.000	5426.367	3100.781
45	Spectrogram 1	1	50.612253262	50.613250994	2841.495	6674.000	5426.367	3100.781
46	Spectrogram 1	1	50.613250994	50.614248727	2841.495	6674.000	5426.367	3100.781
47	Spectrogram 1	1	50.614248727	50.615246459	2841.495	6674.000	5426.367	3100.781
48	Spectrogram 1	1	50.615246459	50.616244191	2841.495	6674.000	5426.367	3100.781
49	Spectrogram 1	1	50.616244191	50.617241924	2841.495	6674.000	3789.844	3703.711
50	Spectrogram 1	1	50.617241924	50.618239656	2841.495	6674.000	3789.844	3703.711
51	Spectrogram 1	1	50.618239656	50.619237389	2841.495	6674.000	3789.844	3703.711
52	Spectrogram 1	1	50.619237389	50.620235121	2841.495	6674.000	3789.844	3703.711
53	Spectrogram 1	1	50.620235121	50.621232854	2841.495	6674.000	3789.844	3703.711
54	Spectrogram 1	1	50.621232854	50.622230586	2841.495	6674.000	3789.844	3703.711
55	Spectrogram 1	1	50.622230586	50.623228318	2841.495	6674.000	3617.578	3359.180
56	Spectrogram 1	1	50.623228318	50.624226051	2841.495	6674.000	3617.578	3359.180
57	Spectrogram 1	1	50.624226051	50.625223783	2841.495	6674.000	3617.578	3359.180
58	Spectrogram 1	1	50.625223783	50.626221516	2841.495	6674.000	3617.578	3359.180
59	Spectrogram 1	1	50.626221516	50.627219248	2841.495	6674.000	3617.578	3359.180
60	Spectrogram 1	1	50.627219248	50.628216981	2841.495	6674.000	3617.578	3359.180
61	Spectrogram 1	1	50.628216981	50.629214713	2841.495	6674.000	5426.367	5512.500
62	Spectrogram 1	1	50.629214713	50.630212445	2841.495	6674.000	5426.367	5512.500
