Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	9.160735363	9.161733095	1935.239	6514.800	4823.438	4823.438
2	Spectrogram 1	1	9.161733095	9.162730828	1935.239	6514.800	4823.438	4823.438
3	Spectrogram 1	1	9.162730828	9.163728560	1935.239	6514.800	4909.570	5081.836
4	Spectrogram 1	1	9.163728560	9.164726293	1935.239	6514.800	4909.570	5081.836
5	Spectrogram 1	1	9.164726293	9.165724025	1935.239	6514.800	4909.570	5081.836
6	Spectrogram 1	1	9.165724025	9.166721758	1935.239	6514.800	4909.570	5081.836
7	Spectrogram 1	1	9.166721758	9.167719490	1935.239	6514.800	4909.570	5081.836
8	Spectrogram 1	1	9.167719490	9.168717222	1935.239	6514.800	4909.570	5081.836
9	Spectrogram 1	1	9.168717222	9.169714955	1935.239	6514.800	4995.703	4995.703
10	Spectrogram 1	1	9.169714955	9.170712687	1935.239	6514.800	4995.703	4995.703
11	Spectrogram 1	1	9.170712687	9.171710420	1935.239	6514.800	4995.703	4995.703
12	Spectrogram 1	1	9.171710420	9.172708152	1935.239	6514.800	4995.703	4995.703
13	Spectrogram 1	1	9.172708152	9.173705885	1935.239	6514.800	4995.703	4995.703
14	Spectrogram 1	1	9.173705885	9.174703617	1935.239	6514.800	4995.703	4995.703
15	Spectrogram 1	1	9.174703617	9.175701349	1935.239	6514.800	3531.445	3531.445
16	Spectrogram 1	1	9.175701349	9.176699082	1935.239	6514.800	3531.445	3531.445
17	Spectrogram 1	1	9.176699082	9.177696814	1935.239	6514.800	3531.445	3531.445
18	Spectrogram 1	1	9.177696814	9.178694547	1935.239	6514.800	3531.445	3531.445
19	Spectrogram 1	1	9.178694547	9.179692279	1935.239	6514.800	3531.445	3531.445
20	Spectrogram 1	1	9.179692279	9.180690012	1935.239	6514.800	3531.445	3531.445
21	Spectrogram 1	1	9.180690012	9.181687744	1935.239	6514.800	3186.914	3186.914
22	Spectrogram 1	1	9.181687744	9.182685476	1935.239	6514.800	3186.914	3186.914
23	Spectrogram 1	1	9.182685476	9.183683209	1935.239	6514.800	3186.914	3186.914
24	Spectrogram 1	1	9.183683209	9.184680941	1935.239	6514.800	3186.914	3186.914
25	Spectrogram 1	1	9.184680941	9.185678674	1935.239	6514.800	3186.914	3186.914
26	Spectrogram 1	1	9.185678674	9.186676406	1935.239	6514.800	3186.914	3186.914
27	Spectrogram 1	1	9.186676406	9.187674139	1935.239	6514.800	3014.648	3014.648
28	Spectrogram 1	1	9.187674139	9.188671871	1935.239	6514.800	3014.648	3014.648
29	Spectrogram 1	1	9.188671871	9.189669603	1935.239	6514.800	3014.648	3014.648
30	Spectrogram 1	1	9.189669603	9.190667336	1935.239	6514.800	3014.648	3014.648
31	Spectrogram 1	1	9.190667336	9.191665068	1935.239	6514.800	3014.648	3014.648
32	Spectrogram 1	1	9.191665068	9.192662801	1935.239	6514.800	3014.648	3014.648
33	Spectrogram 1	1	9.192662801	9.193660533	1935.239	6514.800	2928.516	2928.516
34	Spectrogram 1	1	9.193660533	9.194658265	1935.239	6514.800	2928.516	2928.516
35	Spectrogram 1	1	9.194658265	9.195655998	1935.239	6514.800	2928.516	2928.516
36	Spectrogram 1	1	9.195655998	9.196653730	1935.239	6514.800	2928.516	2928.516
37	Spectrogram 1	1	9.196653730	9.197651463	1935.239	6514.800	2928.516	2928.516
38	Spectrogram 1	1	9.197651463	9.198649195	1935.239	6514.800	2928.516	2928.516
39	Spectrogram 1	1	9.198649195	9.199646928	1935.239	6514.800	2928.516	2928.516
40	Spectrogram 1	1	9.199646928	9.200644660	1935.239	6514.800	2928.516	2928.516
41	Spectrogram 1	1	9.200644660	9.201642392	1935.239	6514.800	2928.516	2928.516
42	Spectrogram 1	1	9.201642392	9.202640125	1935.239	6514.800	2928.516	2928.516
43	Spectrogram 1	1	9.202640125	9.203637857	1935.239	6514.800	2928.516	2928.516
44	Spectrogram 1	1	9.203637857	9.204635590	1935.239	6514.800	2928.516	2928.516
45	Spectrogram 1	1	9.204635590	9.205633322	1935.239	6514.800	2928.516	2928.516
46	Spectrogram 1	1	9.205633322	9.206631055	1935.239	6514.800	2928.516	2928.516
47	Spectrogram 1	1	9.206631055	9.207628787	1935.239	6514.800	2928.516	2928.516
48	Spectrogram 1	1	9.207628787	9.208626519	1935.239	6514.800	2928.516	2928.516
