Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	6.127826112	6.128823844	1503.400	7151.400	5167.969	5167.969
2	Spectrogram 1	1	6.128823844	6.129821577	1503.400	7151.400	5167.969	5167.969
3	Spectrogram 1	1	6.129821577	6.130819309	1503.400	7151.400	5167.969	5167.969
4	Spectrogram 1	1	6.130819309	6.131817042	1503.400	7151.400	5167.969	5167.969
5	Spectrogram 1	1	6.131817042	6.132814774	1503.400	7151.400	5167.969	5167.969
6	Spectrogram 1	1	6.132814774	6.133812507	1503.400	7151.400	4995.703	5167.969
7	Spectrogram 1	1	6.133812507	6.134810239	1503.400	7151.400	4995.703	5167.969
8	Spectrogram 1	1	6.134810239	6.135807971	1503.400	7151.400	4995.703	5167.969
9	Spectrogram 1	1	6.135807971	6.136805704	1503.400	7151.400	4995.703	5167.969
10	Spectrogram 1	1	6.136805704	6.137803436	1503.400	7151.400	4995.703	5167.969
11	Spectrogram 1	1	6.137803436	6.138801169	1503.400	7151.400	4995.703	5167.969
12	Spectrogram 1	1	6.138801169	6.139798901	1503.400	7151.400	5254.102	5167.969
13	Spectrogram 1	1	6.139798901	6.140796634	1503.400	7151.400	5254.102	5167.969
14	Spectrogram 1	1	6.140796634	6.141794366	1503.400	7151.400	5254.102	5167.969
15	Spectrogram 1	1	6.141794366	6.142792098	1503.400	7151.400	5254.102	5167.969
16	Spectrogram 1	1	6.142792098	6.143789831	1503.400	7151.400	5254.102	5167.969
17	Spectrogram 1	1	6.143789831	6.144787563	1503.400	7151.400	5254.102	5167.969
18	Spectrogram 1	1	6.144787563	6.145785296	1503.400	7151.400	3617.578	3617.578
19	Spectrogram 1	1	6.145785296	6.146783028	1503.400	7151.400	3617.578	3617.578
20	Spectrogram 1	1	6.146783028	6.147780761	1503.400	7151.400	3617.578	3617.578
21	Spectrogram 1	1	6.147780761	6.148778493	1503.400	7151.400	3617.578	3617.578
22	Spectrogram 1	1	6.148778493	6.149776225	1503.400	7151.400	3617.578	3617.578
23	Spectrogram 1	1	6.149776225	6.150773958	1503.400	7151.400	3617.578	3617.578
24	Spectrogram 1	1	6.150773958	6.151771690	1503.400	7151.400	3445.312	3531.445
25	Spectrogram 1	1	6.151771690	6.152769423	1503.400	7151.400	3445.312	3531.445
26	Spectrogram 1	1	6.152769423	6.153767155	1503.400	7151.400	3445.312	3531.445
27	Spectrogram 1	1	6.153767155	6.154764888	1503.400	7151.400	3445.312	3531.445
28	Spectrogram 1	1	6.154764888	6.155762620	1503.400	7151.400	3445.312	3531.445
29	Spectrogram 1	1	6.155762620	6.156760352	1503.400	7151.400	3186.914	3186.914
30	Spectrogram 1	1	6.156760352	6.157758085	1503.400	7151.400	3186.914	3186.914
31	Spectrogram 1	1	6.157758085	6.158755817	1503.400	7151.400	3186.914	3186.914
32	Spectrogram 1	1	6.158755817	6.159753550	1503.400	7151.400	3186.914	3186.914
33	Spectrogram 1	1	6.159753550	6.160751282	1503.400	7151.400	3186.914	3186.914
34	Spectrogram 1	1	6.160751282	6.161749014	1503.400	7151.400	3186.914	3186.914
35	Spectrogram 1	1	6.161749014	6.162746747	1503.400	7151.400	3186.914	3186.914
36	Spectrogram 1	1	6.162746747	6.163744479	1503.400	7151.400	3186.914	3186.914
37	Spectrogram 1	1	6.163744479	6.164742212	1503.400	7151.400	3186.914	3186.914
38	Spectrogram 1	1	6.164742212	6.165739944	1503.400	7151.400	3186.914	3186.914
39	Spectrogram 1	1	6.165739944	6.166737677	1503.400	7151.400	3186.914	3186.914
40	Spectrogram 1	1	6.166737677	6.167735409	1503.400	7151.400	3186.914	3186.914
41	Spectrogram 1	1	6.167735409	6.168733141	1503.400	7151.400	3186.914	3186.914
42	Spectrogram 1	1	6.168733141	6.169730874	1503.400	7151.400	3186.914	3186.914
43	Spectrogram 1	1	6.169730874	6.170728606	1503.400	7151.400	3186.914	3186.914
44	Spectrogram 1	1	6.170728606	6.171726339	1503.400	7151.400	3186.914	3186.914
45	Spectrogram 1	1	6.171726339	6.172724071	1503.400	7151.400	3186.914	3186.914
46	Spectrogram 1	1	6.172724071	6.173721804	1503.400	7151.400	3186.914	3186.914
47	Spectrogram 1	1	6.173721804	6.174719536	1503.400	7151.400	3186.914	3186.914
48	Spectrogram 1	1	6.174719536	6.175717268	1503.400	7151.400	3186.914	3186.914
49	Spectrogram 1	1	6.175717268	6.176715001	1503.400	7151.400	3186.914	3186.914
50	Spectrogram 1	1	6.176715001	6.177712733	1503.400	7151.400	3186.914	3186.914
51	Spectrogram 1	1	6.177712733	6.178710466	1503.400	7151.400	3186.914	3186.914
52	Spectrogram 1	1	6.178710466	6.179708198	1503.400	7151.400	3186.914	3186.914
53	Spectrogram 1	1	6.179708198	6.180705931	1503.400	7151.400	3014.648	3014.648
54	Spectrogram 1	1	6.180705931	6.181703663	1503.400	7151.400	3014.648	3014.648
55	Spectrogram 1	1	6.181703663	6.182701395	1503.400	7151.400	3014.648	3014.648
56	Spectrogram 1	1	6.182701395	6.183699128	1503.400	7151.400	3014.648	3014.648
57	Spectrogram 1	1	6.183699128	6.184696860	1503.400	7151.400	3014.648	3014.648
58	Spectrogram 1	1	6.184696860	6.185694593	1503.400	7151.400	3014.648	3014.648
59	Spectrogram 1	1	6.185694593	6.186692325	1503.400	7151.400	2928.516	2928.516
60	Spectrogram 1	1	6.186692325	6.187690058	1503.400	7151.400	2928.516	2928.516
61	Spectrogram 1	1	6.187690058	6.188687790	1503.400	7151.400	2928.516	2928.516
62	Spectrogram 1	1	6.188687790	6.189685522	1503.400	7151.400	2928.516	2928.516
63	Spectrogram 1	1	6.189685522	6.190683255	1503.400	7151.400	2928.516	2928.516
64	Spectrogram 1	1	6.190683255	6.191680987	1503.400	7151.400	3014.648	3014.648
65	Spectrogram 1	1	6.191680987	6.192678720	1503.400	7151.400	3014.648	3014.648
66	Spectrogram 1	1	6.192678720	6.193676452	1503.400	7151.400	3014.648	3014.648
67	Spectrogram 1	1	6.193676452	6.194674185	1503.400	7151.400	3014.648	3014.648
68	Spectrogram 1	1	6.194674185	6.195671917	1503.400	7151.400	3014.648	3014.648
69	Spectrogram 1	1	6.195671917	6.196669649	1503.400	7151.400	3014.648	3014.648
70	Spectrogram 1	1	6.196669649	6.197667382	1503.400	7151.400	3186.914	3186.914
71	Spectrogram 1	1	6.197667382	6.198665114	1503.400	7151.400	3186.914	3186.914
72	Spectrogram 1	1	6.198665114	6.199662847	1503.400	7151.400	3186.914	3186.914
73	Spectrogram 1	1	6.199662847	6.200660579	1503.400	7151.400	3186.914	3186.914
74	Spectrogram 1	1	6.200660579	6.201658312	1503.400	7151.400	3186.914	3186.914
75	Spectrogram 1	1	6.201658312	6.202656044	1503.400	7151.400	3186.914	3186.914
76	Spectrogram 1	1	6.202656044	6.203653776	1503.400	7151.400	3359.180	3359.180
77	Spectrogram 1	1	6.203653776	6.204651509	1503.400	7151.400	3359.180	3359.180
78	Spectrogram 1	1	6.204651509	6.205649241	1503.400	7151.400	3359.180	3359.180
79	Spectrogram 1	1	6.205649241	6.206646974	1503.400	7151.400	3359.180	3359.180
80	Spectrogram 1	1	6.206646974	6.207644706	1503.400	7151.400	3359.180	3359.180
81	Spectrogram 1	1	6.207644706	6.208642439	1503.400	7151.400	3359.180	3359.180
82	Spectrogram 1	1	6.208642439	6.209640171	1503.400	7151.400	3531.445	3531.445
83	Spectrogram 1	1	6.209640171	6.210637903	1503.400	7151.400	3531.445	3531.445
84	Spectrogram 1	1	6.210637903	6.211635636	1503.400	7151.400	3531.445	3531.445
85	Spectrogram 1	1	6.211635636	6.212633368	1503.400	7151.400	3531.445	3531.445
86	Spectrogram 1	1	6.212633368	6.213631101	1503.400	7151.400	3531.445	3531.445
87	Spectrogram 1	1	6.213631101	6.214628833	1503.400	7151.400	3531.445	3531.445
88	Spectrogram 1	1	6.214628833	6.215626566	1503.400	7151.400	3789.844	3789.844
89	Spectrogram 1	1	6.215626566	6.216624298	1503.400	7151.400	3789.844	3789.844
90	Spectrogram 1	1	6.216624298	6.217622030	1503.400	7151.400	3789.844	3789.844
91	Spectrogram 1	1	6.217622030	6.218619763	1503.400	7151.400	3789.844	3789.844
92	Spectrogram 1	1	6.218619763	6.219617495	1503.400	7151.400	3789.844	3789.844
93	Spectrogram 1	1	6.219617495	6.220615228	1503.400	7151.400	4134.375	4134.375
94	Spectrogram 1	1	6.220615228	6.221612960	1503.400	7151.400	4134.375	4134.375
95	Spectrogram 1	1	6.221612960	6.222610692	1503.400	7151.400	4134.375	4134.375
96	Spectrogram 1	1	6.222610692	6.223608425	1503.400	7151.400	4134.375	4134.375
97	Spectrogram 1	1	6.223608425	6.224606157	1503.400	7151.400	4134.375	4134.375
98	Spectrogram 1	1	6.224606157	6.225603890	1503.400	7151.400	4134.375	4134.375
99	Spectrogram 1	1	6.225603890	6.226601622	1503.400	7151.400	4220.508	4220.508
100	Spectrogram 1	1	6.226601622	6.227599355	1503.400	7151.400	4220.508	4220.508
101	Spectrogram 1	1	6.227599355	6.228597087	1503.400	7151.400	4220.508	4220.508
102	Spectrogram 1	1	6.228597087	6.229594819	1503.400	7151.400	4220.508	4220.508
103	Spectrogram 1	1	6.229594819	6.230592552	1503.400	7151.400	4220.508	4220.508
104	Spectrogram 1	1	6.230592552	6.231590284	1503.400	7151.400	4220.508	4220.508
105	Spectrogram 1	1	6.231590284	6.232588017	1503.400	7151.400	4306.641	4306.641
106	Spectrogram 1	1	6.232588017	6.233585749	1503.400	7151.400	4306.641	4306.641
107	Spectrogram 1	1	6.233585749	6.234583482	1503.400	7151.400	4306.641	4306.641
108	Spectrogram 1	1	6.234583482	6.235581214	1503.400	7151.400	4306.641	4306.641
109	Spectrogram 1	1	6.235581214	6.236578946	1503.400	7151.400	4306.641	4306.641
110	Spectrogram 1	1	6.236578946	6.237576679	1503.400	7151.400	4306.641	4306.641
111	Spectrogram 1	1	6.237576679	6.238574411	1503.400	7151.400	4306.641	4306.641
112	Spectrogram 1	1	6.238574411	6.239572144	1503.400	7151.400	4306.641	4306.641
113	Spectrogram 1	1	6.239572144	6.240569876	1503.400	7151.400	4306.641	4306.641
114	Spectrogram 1	1	6.240569876	6.241567609	1503.400	7151.400	4306.641	4306.641
115	Spectrogram 1	1	6.241567609	6.242565341	1503.400	7151.400	4306.641	4306.641
116	Spectrogram 1	1	6.242565341	6.243563073	1503.400	7151.400	4306.641	4306.641
117	Spectrogram 1	1	6.243563073	6.244560806	1503.400	7151.400	4478.906	4478.906
118	Spectrogram 1	1	6.244560806	6.245558538	1503.400	7151.400	4478.906	4478.906
119	Spectrogram 1	1	6.245558538	6.246556271	1503.400	7151.400	4478.906	4478.906
120	Spectrogram 1	1	6.246556271	6.247554003	1503.400	7151.400	4478.906	4478.906
