Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	89.182954357	89.183952089	2240.854	6588.110	5340.234	5857.031
2	Spectrogram 1	1	89.183952089	89.184949822	2240.854	6588.110	5340.234	5857.031
3	Spectrogram 1	1	89.184949822	89.185947554	2240.854	6588.110	5426.367	5943.164
4	Spectrogram 1	1	89.185947554	89.186945287	2240.854	6588.110	5426.367	5943.164
5	Spectrogram 1	1	89.186945287	89.187943019	2240.854	6588.110	5426.367	5943.164
6	Spectrogram 1	1	89.187943019	89.188940752	2240.854	6588.110	5426.367	5943.164
7	Spectrogram 1	1	89.188940752	89.189938484	2240.854	6588.110	5426.367	5943.164
8	Spectrogram 1	1	89.189938484	89.190936216	2240.854	6588.110	5426.367	5943.164
9	Spectrogram 1	1	89.190936216	89.191933949	2240.854	6588.110	3703.711	3617.578
10	Spectrogram 1	1	89.191933949	89.192931681	2240.854	6588.110	3703.711	3617.578
11	Spectrogram 1	1	89.192931681	89.193929414	2240.854	6588.110	3703.711	3617.578
12	Spectrogram 1	1	89.193929414	89.194927146	2240.854	6588.110	3703.711	3617.578
13	Spectrogram 1	1	89.194927146	89.195924879	2240.854	6588.110	3703.711	3617.578
14	Spectrogram 1	1	89.195924879	89.196922611	2240.854	6588.110	3703.711	3617.578
15	Spectrogram 1	1	89.196922611	89.197920343	2240.854	6588.110	3703.711	3703.711
16	Spectrogram 1	1	89.197920343	89.198918076	2240.854	6588.110	3703.711	3703.711
17	Spectrogram 1	1	89.198918076	89.199915808	2240.854	6588.110	3703.711	3703.711
18	Spectrogram 1	1	89.199915808	89.200913541	2240.854	6588.110	3703.711	3703.711
19	Spectrogram 1	1	89.200913541	89.201911273	2240.854	6588.110	3703.711	3703.711
20	Spectrogram 1	1	89.201911273	89.202909006	2240.854	6588.110	3531.445	3531.445
21	Spectrogram 1	1	89.202909006	89.203906738	2240.854	6588.110	3531.445	3531.445
22	Spectrogram 1	1	89.203906738	89.204904470	2240.854	6588.110	3531.445	3531.445
23	Spectrogram 1	1	89.204904470	89.205902203	2240.854	6588.110	3531.445	3531.445
24	Spectrogram 1	1	89.205902203	89.206899935	2240.854	6588.110	3531.445	3531.445
25	Spectrogram 1	1	89.206899935	89.207897668	2240.854	6588.110	3531.445	3531.445
26	Spectrogram 1	1	89.207897668	89.208895400	2240.854	6588.110	3359.180	3359.180
27	Spectrogram 1	1	89.208895400	89.209893133	2240.854	6588.110	3359.180	3359.180
28	Spectrogram 1	1	89.209893133	89.210890865	2240.854	6588.110	3359.180	3359.180
29	Spectrogram 1	1	89.210890865	89.211888597	2240.854	6588.110	3359.180	3359.180
30	Spectrogram 1	1	89.211888597	89.212886330	2240.854	6588.110	3359.180	3359.180
31	Spectrogram 1	1	89.212886330	89.213884062	2240.854	6588.110	3359.180	3359.180
32	Spectrogram 1	1	89.213884062	89.214881795	2240.854	6588.110	3359.180	3359.180
33	Spectrogram 1	1	89.214881795	89.215879527	2240.854	6588.110	3359.180	3359.180
34	Spectrogram 1	1	89.215879527	89.216877259	2240.854	6588.110	3359.180	3359.180
35	Spectrogram 1	1	89.216877259	89.217874992	2240.854	6588.110	3359.180	3359.180
36	Spectrogram 1	1	89.217874992	89.218872724	2240.854	6588.110	3359.180	3359.180
37	Spectrogram 1	1	89.218872724	89.219870457	2240.854	6588.110	3359.180	3359.180
