Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	59.178189482	59.179187214	2214.700	6910.000	3703.711	2411.719
2	Spectrogram 1	1	59.179187214	59.180184947	2214.700	6910.000	4134.375	3445.312
3	Spectrogram 1	1	59.180184947	59.181182679	2214.700	6910.000	4134.375	3445.312
4	Spectrogram 1	1	59.181182679	59.182180412	2214.700	6910.000	4134.375	3445.312
5	Spectrogram 1	1	59.182180412	59.183178144	2214.700	6910.000	4134.375	3445.312
6	Spectrogram 1	1	59.183178144	59.184175877	2214.700	6910.000	4134.375	3445.312
7	Spectrogram 1	1	59.184175877	59.185173609	2214.700	6910.000	4134.375	3445.312
8	Spectrogram 1	1	59.185173609	59.186171341	2214.700	6910.000	4306.641	4306.641
9	Spectrogram 1	1	59.186171341	59.187169074	2214.700	6910.000	4306.641	4306.641
10	Spectrogram 1	1	59.187169074	59.188166806	2214.700	6910.000	4306.641	4306.641
11	Spectrogram 1	1	59.188166806	59.189164539	2214.700	6910.000	4306.641	4306.641
12	Spectrogram 1	1	59.189164539	59.190162271	2214.700	6910.000	4306.641	4306.641
13	Spectrogram 1	1	59.190162271	59.191160004	2214.700	6910.000	4134.375	4220.508
14	Spectrogram 1	1	59.191160004	59.192157736	2214.700	6910.000	4134.375	4220.508
15	Spectrogram 1	1	59.192157736	59.193155468	2214.700	6910.000	4134.375	4220.508
16	Spectrogram 1	1	59.193155468	59.194153201	2214.700	6910.000	4134.375	4220.508
17	Spectrogram 1	1	59.194153201	59.195150933	2214.700	6910.000	4134.375	4220.508
18	Spectrogram 1	1	59.195150933	59.196148666	2214.700	6910.000	4134.375	4220.508
19	Spectrogram 1	1	59.196148666	59.197146398	2214.700	6910.000	3531.445	3531.445
20	Spectrogram 1	1	59.197146398	59.198144131	2214.700	6910.000	3531.445	3531.445
21	Spectrogram 1	1	59.198144131	59.199141863	2214.700	6910.000	3531.445	3531.445
22	Spectrogram 1	1	59.199141863	59.200139595	2214.700	6910.000	3531.445	3531.445
23	Spectrogram 1	1	59.200139595	59.201137328	2214.700	6910.000	3531.445	3531.445
24	Spectrogram 1	1	59.201137328	59.202135060	2214.700	6910.000	3531.445	3531.445
25	Spectrogram 1	1	59.202135060	59.203132793	2214.700	6910.000	3445.312	3100.781
26	Spectrogram 1	1	59.203132793	59.204130525	2214.700	6910.000	3445.312	3100.781
27	Spectrogram 1	1	59.204130525	59.205128258	2214.700	6910.000	3445.312	3100.781
28	Spectrogram 1	1	59.205128258	59.206125990	2214.700	6910.000	3445.312	3100.781
29	Spectrogram 1	1	59.206125990	59.207123722	2214.700	6910.000	3445.312	3100.781
30	Spectrogram 1	1	59.207123722	59.208121455	2214.700	6910.000	3445.312	3100.781
31	Spectrogram 1	1	59.208121455	59.209119187	2214.700	6910.000	3100.781	3100.781
32	Spectrogram 1	1	59.209119187	59.210116920	2214.700	6910.000	3100.781	3100.781
33	Spectrogram 1	1	59.210116920	59.211114652	2214.700	6910.000	3100.781	3100.781
34	Spectrogram 1	1	59.211114652	59.212112384	2214.700	6910.000	3100.781	3100.781
35	Spectrogram 1	1	59.212112384	59.213110117	2214.700	6910.000	3100.781	3100.781
36	Spectrogram 1	1	59.213110117	59.214107849	2214.700	6910.000	3100.781	3100.781
37	Spectrogram 1	1	59.214107849	59.215105582	2214.700	6910.000	3186.914	3100.781
38	Spectrogram 1	1	59.215105582	59.216103314	2214.700	6910.000	3186.914	3100.781
39	Spectrogram 1	1	59.216103314	59.217101047	2214.700	6910.000	3186.914	3100.781
40	Spectrogram 1	1	59.217101047	59.218098779	2214.700	6910.000	3186.914	3100.781
41	Spectrogram 1	1	59.218098779	59.219096511	2214.700	6910.000	3186.914	3100.781
42	Spectrogram 1	1	59.219096511	59.220094244	2214.700	6910.000	3100.781	3100.781
43	Spectrogram 1	1	59.220094244	59.221091976	2214.700	6910.000	3100.781	3100.781
44	Spectrogram 1	1	59.221091976	59.222089709	2214.700	6910.000	3100.781	3100.781
45	Spectrogram 1	1	59.222089709	59.223087441	2214.700	6910.000	3100.781	3100.781
46	Spectrogram 1	1	59.223087441	59.224085174	2214.700	6910.000	3100.781	3100.781
47	Spectrogram 1	1	59.224085174	59.225082906	2214.700	6910.000	3100.781	3100.781
48	Spectrogram 1	1	59.225082906	59.226080638	2214.700	6910.000	3014.648	3014.648
49	Spectrogram 1	1	59.226080638	59.227078371	2214.700	6910.000	3014.648	3014.648
50	Spectrogram 1	1	59.227078371	59.228076103	2214.700	6910.000	3014.648	3014.648
51	Spectrogram 1	1	59.228076103	59.229073836	2214.700	6910.000	3014.648	3014.648
52	Spectrogram 1	1	59.229073836	59.230071568	2214.700	6910.000	3014.648	3014.648
53	Spectrogram 1	1	59.230071568	59.231069301	2214.700	6910.000	3014.648	3014.648
54	Spectrogram 1	1	59.231069301	59.232067033	2214.700	6910.000	5770.898	5943.164
55	Spectrogram 1	1	59.232067033	59.233064765	2214.700	6910.000	5770.898	5943.164
56	Spectrogram 1	1	59.233064765	59.234062498	2214.700	6910.000	5770.898	5943.164
57	Spectrogram 1	1	59.234062498	59.235060230	2214.700	6910.000	5770.898	5943.164
58	Spectrogram 1	1	59.235060230	59.236057963	2214.700	6910.000	5770.898	5943.164
59	Spectrogram 1	1	59.236057963	59.237055695	2214.700	6910.000	5770.898	5943.164
60	Spectrogram 1	1	59.237055695	59.238053428	2214.700	6910.000	5512.500	5512.500
61	Spectrogram 1	1	59.238053428	59.239051160	2214.700	6910.000	5512.500	5512.500
62	Spectrogram 1	1	59.239051160	59.240048892	2214.700	6910.000	5512.500	5512.500
63	Spectrogram 1	1	59.240048892	59.241046625	2214.700	6910.000	5512.500	5512.500
64	Spectrogram 1	1	59.241046625	59.242044357	2214.700	6910.000	5512.500	5512.500
65	Spectrogram 1	1	59.242044357	59.243042090	2214.700	6910.000	5512.500	5512.500
66	Spectrogram 1	1	59.243042090	59.244039822	2214.700	6910.000	5426.367	5684.766
67	Spectrogram 1	1	59.244039822	59.245037555	2214.700	6910.000	5426.367	5684.766
68	Spectrogram 1	1	59.245037555	59.246035287	2214.700	6910.000	5426.367	5684.766
69	Spectrogram 1	1	59.246035287	59.247033019	2214.700	6910.000	5426.367	5684.766
70	Spectrogram 1	1	59.247033019	59.248030752	2214.700	6910.000	5426.367	5684.766
71	Spectrogram 1	1	59.248030752	59.249028484	2214.700	6910.000	5426.367	5684.766
72	Spectrogram 1	1	59.249028484	59.250026217	2214.700	6910.000	3445.312	3014.648
73	Spectrogram 1	1	59.250026217	59.251023949	2214.700	6910.000	3445.312	3014.648
74	Spectrogram 1	1	59.251023949	59.252021682	2214.700	6910.000	3445.312	3014.648
75	Spectrogram 1	1	59.252021682	59.253019414	2214.700	6910.000	3445.312	3014.648
76	Spectrogram 1	1	59.253019414	59.254017146	2214.700	6910.000	3445.312	3014.648
77	Spectrogram 1	1	59.254017146	59.255014879	2214.700	6910.000	3186.914	3100.781
78	Spectrogram 1	1	59.255014879	59.256012611	2214.700	6910.000	3186.914	3100.781
79	Spectrogram 1	1	59.256012611	59.257010344	2214.700	6910.000	3186.914	3100.781
80	Spectrogram 1	1	59.257010344	59.258008076	2214.700	6910.000	3186.914	3100.781
81	Spectrogram 1	1	59.258008076	59.259005809	2214.700	6910.000	3186.914	3100.781
