Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	33.744541226	33.745538958	2115.900	6307.326	5426.367	5943.164
2	Spectrogram 1	1	33.745538958	33.746536691	2115.900	6307.326	5426.367	5943.164
3	Spectrogram 1	1	33.746536691	33.747534423	2115.900	6307.326	5426.367	5943.164
4	Spectrogram 1	1	33.747534423	33.748532156	2115.900	6307.326	5340.234	5684.766
5	Spectrogram 1	1	33.748532156	33.749529888	2115.900	6307.326	5340.234	5684.766
6	Spectrogram 1	1	33.749529888	33.750527621	2115.900	6307.326	5340.234	5684.766
7	Spectrogram 1	1	33.750527621	33.751525353	2115.900	6307.326	5340.234	5684.766
8	Spectrogram 1	1	33.751525353	33.752523085	2115.900	6307.326	5340.234	5684.766
9	Spectrogram 1	1	33.752523085	33.753520818	2115.900	6307.326	5340.234	5684.766
10	Spectrogram 1	1	33.753520818	33.754518550	2115.900	6307.326	3617.578	3617.578
11	Spectrogram 1	1	33.754518550	33.755516283	2115.900	6307.326	3617.578	3617.578
12	Spectrogram 1	1	33.755516283	33.756514015	2115.900	6307.326	3617.578	3617.578
13	Spectrogram 1	1	33.756514015	33.757511748	2115.900	6307.326	3617.578	3617.578
14	Spectrogram 1	1	33.757511748	33.758509480	2115.900	6307.326	3617.578	3617.578
15	Spectrogram 1	1	33.758509480	33.759507212	2115.900	6307.326	3617.578	3617.578
16	Spectrogram 1	1	33.759507212	33.760504945	2115.900	6307.326	3617.578	3617.578
17	Spectrogram 1	1	33.760504945	33.761502677	2115.900	6307.326	3617.578	3617.578
18	Spectrogram 1	1	33.761502677	33.762500410	2115.900	6307.326	3617.578	3617.578
19	Spectrogram 1	1	33.762500410	33.763498142	2115.900	6307.326	3617.578	3617.578
20	Spectrogram 1	1	33.763498142	33.764495875	2115.900	6307.326	3617.578	3617.578
21	Spectrogram 1	1	33.764495875	33.765493607	2115.900	6307.326	3445.312	3445.312
22	Spectrogram 1	1	33.765493607	33.766491339	2115.900	6307.326	3445.312	3445.312
23	Spectrogram 1	1	33.766491339	33.767489072	2115.900	6307.326	3445.312	3445.312
24	Spectrogram 1	1	33.767489072	33.768486804	2115.900	6307.326	3445.312	3445.312
25	Spectrogram 1	1	33.768486804	33.769484537	2115.900	6307.326	3445.312	3445.312
26	Spectrogram 1	1	33.769484537	33.770482269	2115.900	6307.326	3445.312	3445.312
27	Spectrogram 1	1	33.770482269	33.771480002	2115.900	6307.326	3359.180	3359.180
28	Spectrogram 1	1	33.771480002	33.772477734	2115.900	6307.326	3359.180	3359.180
29	Spectrogram 1	1	33.772477734	33.773475466	2115.900	6307.326	3359.180	3359.180
30	Spectrogram 1	1	33.773475466	33.774473199	2115.900	6307.326	3359.180	3359.180
31	Spectrogram 1	1	33.774473199	33.775470931	2115.900	6307.326	3359.180	3359.180
32	Spectrogram 1	1	33.775470931	33.776468664	2115.900	6307.326	3359.180	3359.180
33	Spectrogram 1	1	33.776468664	33.777466396	2115.900	6307.326	3359.180	3273.047
34	Spectrogram 1	1	33.777466396	33.778464128	2115.900	6307.326	3359.180	3273.047
35	Spectrogram 1	1	33.778464128	33.779461861	2115.900	6307.326	3359.180	3273.047
36	Spectrogram 1	1	33.779461861	33.780459593	2115.900	6307.326	3359.180	3273.047
37	Spectrogram 1	1	33.780459593	33.781457326	2115.900	6307.326	3359.180	3273.047
38	Spectrogram 1	1	33.781457326	33.782455058	2115.900	6307.326	3359.180	3273.047
39	Spectrogram 1	1	33.782455058	33.783452791	2115.900	6307.326	3273.047	3273.047
40	Spectrogram 1	1	33.783452791	33.784450523	2115.900	6307.326	3273.047	3273.047
41	Spectrogram 1	1	33.784450523	33.785448255	2115.900	6307.326	3273.047	3273.047
42	Spectrogram 1	1	33.785448255	33.786445988	2115.900	6307.326	3273.047	3273.047
43	Spectrogram 1	1	33.786445988	33.787443720	2115.900	6307.326	3273.047	3273.047
44	Spectrogram 1	1	33.787443720	33.788441453	2115.900	6307.326	3186.914	3186.914
45	Spectrogram 1	1	33.788441453	33.789439185	2115.900	6307.326	3186.914	3186.914
46	Spectrogram 1	1	33.789439185	33.790436918	2115.900	6307.326	3186.914	3186.914
47	Spectrogram 1	1	33.790436918	33.791434650	2115.900	6307.326	3186.914	3186.914
48	Spectrogram 1	1	33.791434650	33.792432382	2115.900	6307.326	3186.914	3186.914
49	Spectrogram 1	1	33.792432382	33.793430115	2115.900	6307.326	3186.914	3186.914
50	Spectrogram 1	1	33.793430115	33.794427847	2115.900	6307.326	2411.719	2153.320
51	Spectrogram 1	1	33.794427847	33.795425580	2115.900	6307.326	2411.719	2153.320
52	Spectrogram 1	1	33.795425580	33.796423312	2115.900	6307.326	2411.719	2153.320
53	Spectrogram 1	1	33.796423312	33.797421045	2115.900	6307.326	2411.719	2153.320
54	Spectrogram 1	1	33.797421045	33.798418777	2115.900	6307.326	2411.719	2153.320
