Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	25.434659925	25.435657657	2490.833	6452.600	3014.648	3014.648
2	Spectrogram 1	1	25.435657657	25.436655390	2490.833	6452.600	3014.648	3014.648
3	Spectrogram 1	1	25.436655390	25.437653122	2490.833	6452.600	3014.648	3014.648
4	Spectrogram 1	1	25.437653122	25.438650855	2490.833	6452.600	3014.648	3014.648
5	Spectrogram 1	1	25.438650855	25.439648587	2490.833	6452.600	3014.648	3014.648
6	Spectrogram 1	1	25.439648587	25.440646320	2490.833	6452.600	3014.648	3014.648
7	Spectrogram 1	1	25.440646320	25.441644052	2490.833	6452.600	4134.375	4134.375
8	Spectrogram 1	1	25.441644052	25.442641784	2490.833	6452.600	4134.375	4134.375
9	Spectrogram 1	1	25.442641784	25.443639517	2490.833	6452.600	4134.375	4134.375
10	Spectrogram 1	1	25.443639517	25.444637249	2490.833	6452.600	4134.375	4134.375
11	Spectrogram 1	1	25.444637249	25.445634982	2490.833	6452.600	4134.375	4134.375
12	Spectrogram 1	1	25.445634982	25.446632714	2490.833	6452.600	4134.375	4134.375
13	Spectrogram 1	1	25.446632714	25.447630447	2490.833	6452.600	4909.570	4995.703
14	Spectrogram 1	1	25.447630447	25.448628179	2490.833	6452.600	4909.570	4995.703
15	Spectrogram 1	1	25.448628179	25.449625911	2490.833	6452.600	4909.570	4995.703
16	Spectrogram 1	1	25.449625911	25.450623644	2490.833	6452.600	4909.570	4995.703
17	Spectrogram 1	1	25.450623644	25.451621376	2490.833	6452.600	4909.570	4995.703
18	Spectrogram 1	1	25.451621376	25.452619109	2490.833	6452.600	5081.836	5167.969
19	Spectrogram 1	1	25.452619109	25.453616841	2490.833	6452.600	5081.836	5167.969
20	Spectrogram 1	1	25.453616841	25.454614574	2490.833	6452.600	5081.836	5167.969
21	Spectrogram 1	1	25.454614574	25.455612306	2490.833	6452.600	5081.836	5167.969
22	Spectrogram 1	1	25.455612306	25.456610038	2490.833	6452.600	5081.836	5167.969
23	Spectrogram 1	1	25.456610038	25.457607771	2490.833	6452.600	5081.836	5167.969
24	Spectrogram 1	1	25.457607771	25.458605503	2490.833	6452.600	5167.969	5254.102
25	Spectrogram 1	1	25.458605503	25.459603236	2490.833	6452.600	5167.969	5254.102
26	Spectrogram 1	1	25.459603236	25.460600968	2490.833	6452.600	5167.969	5254.102
27	Spectrogram 1	1	25.460600968	25.461598701	2490.833	6452.600	5167.969	5254.102
28	Spectrogram 1	1	25.461598701	25.462596433	2490.833	6452.600	5167.969	5254.102
29	Spectrogram 1	1	25.462596433	25.463594165	2490.833	6452.600	5167.969	5254.102
30	Spectrogram 1	1	25.463594165	25.464591898	2490.833	6452.600	5167.969	5167.969
31	Spectrogram 1	1	25.464591898	25.465589630	2490.833	6452.600	5167.969	5167.969
32	Spectrogram 1	1	25.465589630	25.466587363	2490.833	6452.600	5167.969	5167.969
33	Spectrogram 1	1	25.466587363	25.467585095	2490.833	6452.600	5167.969	5167.969
34	Spectrogram 1	1	25.467585095	25.468582827	2490.833	6452.600	5167.969	5167.969
35	Spectrogram 1	1	25.468582827	25.469580560	2490.833	6452.600	5167.969	5167.969
36	Spectrogram 1	1	25.469580560	25.470578292	2490.833	6452.600	5340.234	5340.234
37	Spectrogram 1	1	25.470578292	25.471576025	2490.833	6452.600	5340.234	5340.234
38	Spectrogram 1	1	25.471576025	25.472573757	2490.833	6452.600	5340.234	5340.234
39	Spectrogram 1	1	25.472573757	25.473571490	2490.833	6452.600	5340.234	5340.234
40	Spectrogram 1	1	25.473571490	25.474569222	2490.833	6452.600	5340.234	5340.234
41	Spectrogram 1	1	25.474569222	25.475566954	2490.833	6452.600	5340.234	5340.234
42	Spectrogram 1	1	25.475566954	25.476564687	2490.833	6452.600	5167.969	5167.969
43	Spectrogram 1	1	25.476564687	25.477562419	2490.833	6452.600	5167.969	5167.969
44	Spectrogram 1	1	25.477562419	25.478560152	2490.833	6452.600	5167.969	5167.969
45	Spectrogram 1	1	25.478560152	25.479557884	2490.833	6452.600	5167.969	5167.969
46	Spectrogram 1	1	25.479557884	25.480555617	2490.833	6452.600	5167.969	5167.969
47	Spectrogram 1	1	25.480555617	25.481553349	2490.833	6452.600	5081.836	5081.836
48	Spectrogram 1	1	25.481553349	25.482551081	2490.833	6452.600	5081.836	5081.836
49	Spectrogram 1	1	25.482551081	25.483548814	2490.833	6452.600	5081.836	5081.836
50	Spectrogram 1	1	25.483548814	25.484546546	2490.833	6452.600	5081.836	5081.836
51	Spectrogram 1	1	25.484546546	25.485544279	2490.833	6452.600	5081.836	5081.836
52	Spectrogram 1	1	25.485544279	25.486542011	2490.833	6452.600	5081.836	5081.836
53	Spectrogram 1	1	25.486542011	25.487539744	2490.833	6452.600	4995.703	4995.703
54	Spectrogram 1	1	25.487539744	25.488537476	2490.833	6452.600	4995.703	4995.703
