Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	48.528194978	48.529192710	2229.775	6246.400	4565.039	4565.039
2	Spectrogram 1	1	48.529192710	48.530190443	2229.775	6246.400	4565.039	4565.039
3	Spectrogram 1	1	48.530190443	48.531188175	2229.775	6246.400	4565.039	4565.039
4	Spectrogram 1	1	48.531188175	48.532185908	2229.775	6246.400	4565.039	4565.039
5	Spectrogram 1	1	48.532185908	48.533183640	2229.775	6246.400	5340.234	5770.898
6	Spectrogram 1	1	48.533183640	48.534181373	2229.775	6246.400	5340.234	5770.898
7	Spectrogram 1	1	48.534181373	48.535179105	2229.775	6246.400	5340.234	5770.898
8	Spectrogram 1	1	48.535179105	48.536176837	2229.775	6246.400	5340.234	5770.898
9	Spectrogram 1	1	48.536176837	48.537174570	2229.775	6246.400	5340.234	5770.898
10	Spectrogram 1	1	48.537174570	48.538172302	2229.775	6246.400	5340.234	5770.898
11	Spectrogram 1	1	48.538172302	48.539170035	2229.775	6246.400	4565.039	4737.305
12	Spectrogram 1	1	48.539170035	48.540167767	2229.775	6246.400	4565.039	4737.305
13	Spectrogram 1	1	48.540167767	48.541165500	2229.775	6246.400	4565.039	4737.305
14	Spectrogram 1	1	48.541165500	48.542163232	2229.775	6246.400	4565.039	4737.305
15	Spectrogram 1	1	48.542163232	48.543160964	2229.775	6246.400	4565.039	4737.305
16	Spectrogram 1	1	48.543160964	48.544158697	2229.775	6246.400	4565.039	4737.305
17	Spectrogram 1	1	48.544158697	48.545156429	2229.775	6246.400	4995.703	4995.703
18	Spectrogram 1	1	48.545156429	48.546154162	2229.775	6246.400	4995.703	4995.703
19	Spectrogram 1	1	48.546154162	48.547151894	2229.775	6246.400	4995.703	4995.703
20	Spectrogram 1	1	48.547151894	48.548149627	2229.775	6246.400	4995.703	4995.703
21	Spectrogram 1	1	48.548149627	48.549147359	2229.775	6246.400	4995.703	4995.703
22	Spectrogram 1	1	48.549147359	48.550145091	2229.775	6246.400	4995.703	4995.703
23	Spectrogram 1	1	48.550145091	48.551142824	2229.775	6246.400	4823.438	4909.570
24	Spectrogram 1	1	48.551142824	48.552140556	2229.775	6246.400	4823.438	4909.570
25	Spectrogram 1	1	48.552140556	48.553138289	2229.775	6246.400	4823.438	4909.570
26	Spectrogram 1	1	48.553138289	48.554136021	2229.775	6246.400	4823.438	4909.570
27	Spectrogram 1	1	48.554136021	48.555133754	2229.775	6246.400	4823.438	4909.570
28	Spectrogram 1	1	48.555133754	48.556131486	2229.775	6246.400	4823.438	4909.570
29	Spectrogram 1	1	48.556131486	48.557129218	2229.775	6246.400	4995.703	4995.703
30	Spectrogram 1	1	48.557129218	48.558126951	2229.775	6246.400	4995.703	4995.703
31	Spectrogram 1	1	48.558126951	48.559124683	2229.775	6246.400	4995.703	4995.703
32	Spectrogram 1	1	48.559124683	48.560122416	2229.775	6246.400	4995.703	4995.703
33	Spectrogram 1	1	48.560122416	48.561120148	2229.775	6246.400	4995.703	4995.703
34	Spectrogram 1	1	48.561120148	48.562117880	2229.775	6246.400	4995.703	4995.703
35	Spectrogram 1	1	48.562117880	48.563115613	2229.775	6246.400	4737.305	4737.305
36	Spectrogram 1	1	48.563115613	48.564113345	2229.775	6246.400	4737.305	4737.305
37	Spectrogram 1	1	48.564113345	48.565111078	2229.775	6246.400	4737.305	4737.305
38	Spectrogram 1	1	48.565111078	48.566108810	2229.775	6246.400	4737.305	4737.305
39	Spectrogram 1	1	48.566108810	48.567106543	2229.775	6246.400	4737.305	4737.305
40	Spectrogram 1	1	48.567106543	48.568104275	2229.775	6246.400	4651.172	4651.172
41	Spectrogram 1	1	48.568104275	48.569102007	2229.775	6246.400	4651.172	4651.172
42	Spectrogram 1	1	48.569102007	48.570099740	2229.775	6246.400	4651.172	4651.172
43	Spectrogram 1	1	48.570099740	48.571097472	2229.775	6246.400	4651.172	4651.172
44	Spectrogram 1	1	48.571097472	48.572095205	2229.775	6246.400	4651.172	4651.172
45	Spectrogram 1	1	48.572095205	48.573092937	2229.775	6246.400	4651.172	4651.172
46	Spectrogram 1	1	48.573092937	48.574090670	2229.775	6246.400	4737.305	4737.305
47	Spectrogram 1	1	48.574090670	48.575088402	2229.775	6246.400	4737.305	4737.305
48	Spectrogram 1	1	48.575088402	48.576086134	2229.775	6246.400	4737.305	4737.305
49	Spectrogram 1	1	48.576086134	48.577083867	2229.775	6246.400	4737.305	4737.305
50	Spectrogram 1	1	48.577083867	48.578081599	2229.775	6246.400	4737.305	4737.305
51	Spectrogram 1	1	48.578081599	48.579079332	2229.775	6246.400	4737.305	4737.305
52	Spectrogram 1	1	48.579079332	48.580077064	2229.775	6246.400	4823.438	4823.438
53	Spectrogram 1	1	48.580077064	48.581074797	2229.775	6246.400	4823.438	4823.438
54	Spectrogram 1	1	48.581074797	48.582072529	2229.775	6246.400	4823.438	4823.438
55	Spectrogram 1	1	48.582072529	48.583070261	2229.775	6246.400	4823.438	4823.438
56	Spectrogram 1	1	48.583070261	48.584067994	2229.775	6246.400	4823.438	4823.438
57	Spectrogram 1	1	48.584067994	48.585065726	2229.775	6246.400	4823.438	4823.438
58	Spectrogram 1	1	48.585065726	48.586063459	2229.775	6246.400	4909.570	4909.570
59	Spectrogram 1	1	48.586063459	48.587061191	2229.775	6246.400	4909.570	4909.570
60	Spectrogram 1	1	48.587061191	48.588058924	2229.775	6246.400	4909.570	4909.570
61	Spectrogram 1	1	48.588058924	48.589056656	2229.775	6246.400	4909.570	4909.570
62	Spectrogram 1	1	48.589056656	48.590054388	2229.775	6246.400	4909.570	4909.570
63	Spectrogram 1	1	48.590054388	48.591052121	2229.775	6246.400	4909.570	4909.570
64	Spectrogram 1	1	48.591052121	48.592049853	2229.775	6246.400	4909.570	4909.570
65	Spectrogram 1	1	48.592049853	48.593047586	2229.775	6246.400	4909.570	4909.570
66	Spectrogram 1	1	48.593047586	48.594045318	2229.775	6246.400	4909.570	4909.570
67	Spectrogram 1	1	48.594045318	48.595043051	2229.775	6246.400	4909.570	4909.570
68	Spectrogram 1	1	48.595043051	48.596040783	2229.775	6246.400	4909.570	4909.570
69	Spectrogram 1	1	48.596040783	48.597038515	2229.775	6246.400	4823.438	4651.172
70	Spectrogram 1	1	48.597038515	48.598036248	2229.775	6246.400	4823.438	4651.172
71	Spectrogram 1	1	48.598036248	48.599033980	2229.775	6246.400	4823.438	4651.172
72	Spectrogram 1	1	48.599033980	48.600031713	2229.775	6246.400	4823.438	4651.172
73	Spectrogram 1	1	48.600031713	48.601029445	2229.775	6246.400	4823.438	4651.172
74	Spectrogram 1	1	48.601029445	48.602027178	2229.775	6246.400	4823.438	4651.172
75	Spectrogram 1	1	48.602027178	48.603024910	2229.775	6246.400	4392.773	4306.641
76	Spectrogram 1	1	48.603024910	48.604022642	2229.775	6246.400	4392.773	4306.641
77	Spectrogram 1	1	48.604022642	48.605020375	2229.775	6246.400	4392.773	4306.641
78	Spectrogram 1	1	48.605020375	48.606018107	2229.775	6246.400	4392.773	4306.641
79	Spectrogram 1	1	48.606018107	48.607015840	2229.775	6246.400	4392.773	4306.641
80	Spectrogram 1	1	48.607015840	48.608013572	2229.775	6246.400	4392.773	4306.641
81	Spectrogram 1	1	48.608013572	48.609011305	2229.775	6246.400	4737.305	4823.438
82	Spectrogram 1	1	48.609011305	48.610009037	2229.775	6246.400	4737.305	4823.438
83	Spectrogram 1	1	48.610009037	48.611006769	2229.775	6246.400	4737.305	4823.438
84	Spectrogram 1	1	48.611006769	48.612004502	2229.775	6246.400	4737.305	4823.438
85	Spectrogram 1	1	48.612004502	48.613002234	2229.775	6246.400	4737.305	4823.438
86	Spectrogram 1	1	48.613002234	48.613999967	2229.775	6246.400	4737.305	4823.438
87	Spectrogram 1	1	48.613999967	48.614997699	2229.775	6246.400	4478.906	4478.906
88	Spectrogram 1	1	48.614997699	48.615995432	2229.775	6246.400	4478.906	4478.906
89	Spectrogram 1	1	48.615995432	48.616993164	2229.775	6246.400	4478.906	4478.906
90	Spectrogram 1	1	48.616993164	48.617990896	2229.775	6246.400	4478.906	4478.906
91	Spectrogram 1	1	48.617990896	48.618988629	2229.775	6246.400	4478.906	4478.906
92	Spectrogram 1	1	48.618988629	48.619986361	2229.775	6246.400	4478.906	4478.906
93	Spectrogram 1	1	48.619986361	48.620984094	2229.775	6246.400	4909.570	4995.703
94	Spectrogram 1	1	48.620984094	48.621981826	2229.775	6246.400	4909.570	4995.703
95	Spectrogram 1	1	48.621981826	48.622979558	2229.775	6246.400	4909.570	4995.703
96	Spectrogram 1	1	48.622979558	48.623977291	2229.775	6246.400	4909.570	4995.703
97	Spectrogram 1	1	48.623977291	48.624975023	2229.775	6246.400	4909.570	4995.703
98	Spectrogram 1	1	48.624975023	48.625972756	2229.775	6246.400	4909.570	4995.703
99	Spectrogram 1	1	48.625972756	48.626970488	2229.775	6246.400	5254.102	5254.102
100	Spectrogram 1	1	48.626970488	48.627968221	2229.775	6246.400	5254.102	5254.102
101	Spectrogram 1	1	48.627968221	48.628965953	2229.775	6246.400	5254.102	5254.102
102	Spectrogram 1	1	48.628965953	48.629963685	2229.775	6246.400	5254.102	5254.102
103	Spectrogram 1	1	48.629963685	48.630961418	2229.775	6246.400	5254.102	5254.102
104	Spectrogram 1	1	48.630961418	48.631959150	2229.775	6246.400	5426.367	2842.383
105	Spectrogram 1	1	48.631959150	48.632956883	2229.775	6246.400	5426.367	2842.383
106	Spectrogram 1	1	48.632956883	48.633954615	2229.775	6246.400	5426.367	2842.383
107	Spectrogram 1	1	48.633954615	48.634952348	2229.775	6246.400	5426.367	2842.383
108	Spectrogram 1	1	48.634952348	48.635950080	2229.775	6246.400	5426.367	2842.383
109	Spectrogram 1	1	48.635950080	48.636947812	2229.775	6246.400	5426.367	2842.383
110	Spectrogram 1	1	48.636947812	48.637945545	2229.775	6246.400	3014.648	3014.648
111	Spectrogram 1	1	48.637945545	48.638943277	2229.775	6246.400	3014.648	3014.648
112	Spectrogram 1	1	48.638943277	48.639941010	2229.775	6246.400	3014.648	3014.648
113	Spectrogram 1	1	48.639941010	48.640938742	2229.775	6246.400	3014.648	3014.648
114	Spectrogram 1	1	48.640938742	48.641936475	2229.775	6246.400	3014.648	3014.648
115	Spectrogram 1	1	48.641936475	48.642934207	2229.775	6246.400	3014.648	3014.648
116	Spectrogram 1	1	48.642934207	48.643931939	2229.775	6246.400	3273.047	3186.914
117	Spectrogram 1	1	48.643931939	48.644929672	2229.775	6246.400	3273.047	3186.914
118	Spectrogram 1	1	48.644929672	48.645927404	2229.775	6246.400	3273.047	3186.914
119	Spectrogram 1	1	48.645927404	48.646925137	2229.775	6246.400	3273.047	3186.914
120	Spectrogram 1	1	48.646925137	48.647922869	2229.775	6246.400	3273.047	3186.914
121	Spectrogram 1	1	48.647922869	48.648920602	2229.775	6246.400	3273.047	3186.914
122	Spectrogram 1	1	48.648920602	48.649918334	2229.775	6246.400	3789.844	3789.844
123	Spectrogram 1	1	48.649918334	48.650916066	2229.775	6246.400	3789.844	3789.844
124	Spectrogram 1	1	48.650916066	48.651913799	2229.775	6246.400	3789.844	3789.844
125	Spectrogram 1	1	48.651913799	48.652911531	2229.775	6246.400	3789.844	3789.844
126	Spectrogram 1	1	48.652911531	48.653909264	2229.775	6246.400	3789.844	3789.844
127	Spectrogram 1	1	48.653909264	48.654906996	2229.775	6246.400	3789.844	3789.844
128	Spectrogram 1	1	48.654906996	48.655904729	2229.775	6246.400	3703.711	3703.711
129	Spectrogram 1	1	48.655904729	48.656902461	2229.775	6246.400	3703.711	3703.711
130	Spectrogram 1	1	48.656902461	48.657900193	2229.775	6246.400	3703.711	3703.711
131	Spectrogram 1	1	48.657900193	48.658897926	2229.775	6246.400	3703.711	3703.711
132	Spectrogram 1	1	48.658897926	48.659895658	2229.775	6246.400	3703.711	3703.711
133	Spectrogram 1	1	48.659895658	48.660893391	2229.775	6246.400	3617.578	3617.578
134	Spectrogram 1	1	48.660893391	48.661891123	2229.775	6246.400	3617.578	3617.578
135	Spectrogram 1	1	48.661891123	48.662888856	2229.775	6246.400	3617.578	3617.578
136	Spectrogram 1	1	48.662888856	48.663886588	2229.775	6246.400	3617.578	3617.578
137	Spectrogram 1	1	48.663886588	48.664884320	2229.775	6246.400	3617.578	3617.578
138	Spectrogram 1	1	48.664884320	48.665882053	2229.775	6246.400	3617.578	3617.578
139	Spectrogram 1	1	48.665882053	48.666879785	2229.775	6246.400	3617.578	3617.578
140	Spectrogram 1	1	48.666879785	48.667877518	2229.775	6246.400	3617.578	3617.578
141	Spectrogram 1	1	48.667877518	48.668875250	2229.775	6246.400	3617.578	3617.578
142	Spectrogram 1	1	48.668875250	48.669872983	2229.775	6246.400	3617.578	3617.578
143	Spectrogram 1	1	48.669872983	48.670870715	2229.775	6246.400	3617.578	3617.578
144	Spectrogram 1	1	48.670870715	48.671868447	2229.775	6246.400	3617.578	3617.578
145	Spectrogram 1	1	48.671868447	48.672866180	2229.775	6246.400	3531.445	3531.445
146	Spectrogram 1	1	48.672866180	48.673863912	2229.775	6246.400	3531.445	3531.445
147	Spectrogram 1	1	48.673863912	48.674861645	2229.775	6246.400	3531.445	3531.445
148	Spectrogram 1	1	48.674861645	48.675859377	2229.775	6246.400	3531.445	3531.445
149	Spectrogram 1	1	48.675859377	48.676857110	2229.775	6246.400	3531.445	3531.445
150	Spectrogram 1	1	48.676857110	48.677854842	2229.775	6246.400	3531.445	3531.445
151	Spectrogram 1	1	48.677854842	48.678852574	2229.775	6246.400	3617.578	3617.578
152	Spectrogram 1	1	48.678852574	48.679850307	2229.775	6246.400	3617.578	3617.578
153	Spectrogram 1	1	48.679850307	48.680848039	2229.775	6246.400	3617.578	3617.578
154	Spectrogram 1	1	48.680848039	48.681845772	2229.775	6246.400	3617.578	3617.578
155	Spectrogram 1	1	48.681845772	48.682843504	2229.775	6246.400	3617.578	3617.578
156	Spectrogram 1	1	48.682843504	48.683841237	2229.775	6246.400	3617.578	3617.578
157	Spectrogram 1	1	48.683841237	48.684838969	2229.775	6246.400	3703.711	3703.711
158	Spectrogram 1	1	48.684838969	48.685836701	2229.775	6246.400	3703.711	3703.711
159	Spectrogram 1	1	48.685836701	48.686834434	2229.775	6246.400	3703.711	3703.711
160	Spectrogram 1	1	48.686834434	48.687832166	2229.775	6246.400	3703.711	3703.711
161	Spectrogram 1	1	48.687832166	48.688829899	2229.775	6246.400	3703.711	3703.711
162	Spectrogram 1	1	48.688829899	48.689827631	2229.775	6246.400	3703.711	3703.711
163	Spectrogram 1	1	48.689827631	48.690825363	2229.775	6246.400	3789.844	3789.844
164	Spectrogram 1	1	48.690825363	48.691823096	2229.775	6246.400	3789.844	3789.844
165	Spectrogram 1	1	48.691823096	48.692820828	2229.775	6246.400	3789.844	3789.844
166	Spectrogram 1	1	48.692820828	48.693818561	2229.775	6246.400	3789.844	3789.844
167	Spectrogram 1	1	48.693818561	48.694816293	2229.775	6246.400	3789.844	3789.844
168	Spectrogram 1	1	48.694816293	48.695814026	2229.775	6246.400	3875.977	3875.977
169	Spectrogram 1	1	48.695814026	48.696811758	2229.775	6246.400	3875.977	3875.977
170	Spectrogram 1	1	48.696811758	48.697809490	2229.775	6246.400	3875.977	3875.977
171	Spectrogram 1	1	48.697809490	48.698807223	2229.775	6246.400	3875.977	3875.977
172	Spectrogram 1	1	48.698807223	48.699804955	2229.775	6246.400	3875.977	3875.977
173	Spectrogram 1	1	48.699804955	48.700802688	2229.775	6246.400	3875.977	3875.977
174	Spectrogram 1	1	48.700802688	48.701800420	2229.775	6246.400	3962.109	3962.109
175	Spectrogram 1	1	48.701800420	48.702798153	2229.775	6246.400	3962.109	3962.109
176	Spectrogram 1	1	48.702798153	48.703795885	2229.775	6246.400	3962.109	3962.109
177	Spectrogram 1	1	48.703795885	48.704793617	2229.775	6246.400	3962.109	3962.109
178	Spectrogram 1	1	48.704793617	48.705791350	2229.775	6246.400	3962.109	3962.109
179	Spectrogram 1	1	48.705791350	48.706789082	2229.775	6246.400	3962.109	3962.109
180	Spectrogram 1	1	48.706789082	48.707786815	2229.775	6246.400	4220.508	4220.508
181	Spectrogram 1	1	48.707786815	48.708784547	2229.775	6246.400	4220.508	4220.508
182	Spectrogram 1	1	48.708784547	48.709782280	2229.775	6246.400	4220.508	4220.508
183	Spectrogram 1	1	48.709782280	48.710780012	2229.775	6246.400	4220.508	4220.508
184	Spectrogram 1	1	48.710780012	48.711777744	2229.775	6246.400	4220.508	4220.508
185	Spectrogram 1	1	48.711777744	48.712775477	2229.775	6246.400	4220.508	4220.508
186	Spectrogram 1	1	48.712775477	48.713773209	2229.775	6246.400	4823.438	4823.438
187	Spectrogram 1	1	48.713773209	48.714770942	2229.775	6246.400	4823.438	4823.438
188	Spectrogram 1	1	48.714770942	48.715768674	2229.775	6246.400	4823.438	4823.438
189	Spectrogram 1	1	48.715768674	48.716766407	2229.775	6246.400	4823.438	4823.438
190	Spectrogram 1	1	48.716766407	48.717764139	2229.775	6246.400	4823.438	4823.438
191	Spectrogram 1	1	48.717764139	48.718761871	2229.775	6246.400	4823.438	4823.438
192	Spectrogram 1	1	48.718761871	48.719759604	2229.775	6246.400	5426.367	5426.367
193	Spectrogram 1	1	48.719759604	48.720757336	2229.775	6246.400	5426.367	5426.367
194	Spectrogram 1	1	48.720757336	48.721755069	2229.775	6246.400	5426.367	5426.367
195	Spectrogram 1	1	48.721755069	48.722752801	2229.775	6246.400	5426.367	5426.367
196	Spectrogram 1	1	48.722752801	48.723750534	2229.775	6246.400	5426.367	5426.367
197	Spectrogram 1	1	48.723750534	48.724748266	2229.775	6246.400	5857.031	5857.031
198	Spectrogram 1	1	48.724748266	48.725745998	2229.775	6246.400	5857.031	5857.031
199	Spectrogram 1	1	48.725745998	48.726743731	2229.775	6246.400	5857.031	5857.031
200	Spectrogram 1	1	48.726743731	48.727741463	2229.775	6246.400	5857.031	5857.031
201	Spectrogram 1	1	48.727741463	48.728739196	2229.775	6246.400	5857.031	5857.031
202	Spectrogram 1	1	48.728739196	48.729736928	2229.775	6246.400	5857.031	5857.031
203	Spectrogram 1	1	48.729736928	48.730734661	2229.775	6246.400	6029.297	6029.297
204	Spectrogram 1	1	48.730734661	48.731732393	2229.775	6246.400	6029.297	6029.297
205	Spectrogram 1	1	48.731732393	48.732730125	2229.775	6246.400	6029.297	6029.297
206	Spectrogram 1	1	48.732730125	48.733727858	2229.775	6246.400	6029.297	6029.297
207	Spectrogram 1	1	48.733727858	48.734725590	2229.775	6246.400	6029.297	6029.297
208	Spectrogram 1	1	48.734725590	48.735723323	2229.775	6246.400	6029.297	6029.297
209	Spectrogram 1	1	48.735723323	48.736721055	2229.775	6246.400	5770.898	5857.031
210	Spectrogram 1	1	48.736721055	48.737718788	2229.775	6246.400	5770.898	5857.031
211	Spectrogram 1	1	48.737718788	48.738716520	2229.775	6246.400	5770.898	5857.031
212	Spectrogram 1	1	48.738716520	48.739714252	2229.775	6246.400	5770.898	5857.031
213	Spectrogram 1	1	48.739714252	48.740711985	2229.775	6246.400	5770.898	5857.031
214	Spectrogram 1	1	48.740711985	48.741709717	2229.775	6246.400	5770.898	5857.031
215	Spectrogram 1	1	48.741709717	48.742707450	2229.775	6246.400	5081.836	5081.836
216	Spectrogram 1	1	48.742707450	48.743705182	2229.775	6246.400	5081.836	5081.836
217	Spectrogram 1	1	48.743705182	48.744702915	2229.775	6246.400	5081.836	5081.836
218	Spectrogram 1	1	48.744702915	48.745700647	2229.775	6246.400	5081.836	5081.836
219	Spectrogram 1	1	48.745700647	48.746698379	2229.775	6246.400	5081.836	5081.836
220	Spectrogram 1	1	48.746698379	48.747696112	2229.775	6246.400	5081.836	5081.836
221	Spectrogram 1	1	48.747696112	48.748693844	2229.775	6246.400	4651.172	4651.172
222	Spectrogram 1	1	48.748693844	48.749691577	2229.775	6246.400	4651.172	4651.172
223	Spectrogram 1	1	48.749691577	48.750689309	2229.775	6246.400	4651.172	4651.172
224	Spectrogram 1	1	48.750689309	48.751687041	2229.775	6246.400	4651.172	4651.172
225	Spectrogram 1	1	48.751687041	48.752684774	2229.775	6246.400	4651.172	4651.172
226	Spectrogram 1	1	48.752684774	48.753682506	2229.775	6246.400	4651.172	4651.172
227	Spectrogram 1	1	48.753682506	48.754680239	2229.775	6246.400	4306.641	4306.641
228	Spectrogram 1	1	48.754680239	48.755677971	2229.775	6246.400	4306.641	4306.641
229	Spectrogram 1	1	48.755677971	48.756675704	2229.775	6246.400	4306.641	4306.641
230	Spectrogram 1	1	48.756675704	48.757673436	2229.775	6246.400	4306.641	4306.641
231	Spectrogram 1	1	48.757673436	48.758671168	2229.775	6246.400	4306.641	4306.641
232	Spectrogram 1	1	48.758671168	48.759668901	2229.775	6246.400	4478.906	4392.773
233	Spectrogram 1	1	48.759668901	48.760666633	2229.775	6246.400	4478.906	4392.773
234	Spectrogram 1	1	48.760666633	48.760730053	2229.775	6246.400	4478.906	4392.773
