Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	1.734403929	1.735403929	2448.200	6343.100	4750.000	5312.500
2	Spectrogram 1	1	1.735403929	1.736403929	2448.200	6343.100	4750.000	5312.500
3	Spectrogram 1	1	1.736403929	1.737403929	2448.200	6343.100	4750.000	5312.500
4	Spectrogram 1	1	1.737403929	1.738403929	2448.200	6343.100	4750.000	5312.500
5	Spectrogram 1	1	1.738403929	1.739403929	2448.200	6343.100	4750.000	5312.500
6	Spectrogram 1	1	1.739403929	1.740403929	2448.200	6343.100	4750.000	5312.500
7	Spectrogram 1	1	1.740403929	1.741403929	2448.200	6343.100	5312.500	5312.500
8	Spectrogram 1	1	1.741403929	1.742403929	2448.200	6343.100	5312.500	5312.500
9	Spectrogram 1	1	1.742403929	1.743403929	2448.200	6343.100	5312.500	5312.500
10	Spectrogram 1	1	1.743403929	1.744403929	2448.200	6343.100	5312.500	5312.500
11	Spectrogram 1	1	1.744403929	1.745403929	2448.200	6343.100	5312.500	5312.500
12	Spectrogram 1	1	1.745403929	1.746403929	2448.200	6343.100	5312.500	5312.500
13	Spectrogram 1	1	1.746403929	1.747403929	2448.200	6343.100	5312.500	5312.500
14	Spectrogram 1	1	1.747403929	1.748403929	2448.200	6343.100	5312.500	5312.500
15	Spectrogram 1	1	1.748403929	1.749403929	2448.200	6343.100	4687.500	4875.000
16	Spectrogram 1	1	1.749403929	1.750403929	2448.200	6343.100	4687.500	4875.000
17	Spectrogram 1	1	1.750403929	1.751403929	2448.200	6343.100	4687.500	4875.000
18	Spectrogram 1	1	1.751403929	1.752403929	2448.200	6343.100	4687.500	4875.000
19	Spectrogram 1	1	1.752403929	1.753403929	2448.200	6343.100	4687.500	4875.000
20	Spectrogram 1	1	1.753403929	1.754403929	2448.200	6343.100	4687.500	4875.000
21	Spectrogram 1	1	1.754403929	1.755403929	2448.200	6343.100	4687.500	4875.000
22	Spectrogram 1	1	1.755403929	1.756403929	2448.200	6343.100	4687.500	4875.000
23	Spectrogram 1	1	1.756403929	1.757403929	2448.200	6343.100	5562.500	5562.500
24	Spectrogram 1	1	1.757403929	1.758403929	2448.200	6343.100	5562.500	5562.500
25	Spectrogram 1	1	1.758403929	1.759403929	2448.200	6343.100	5562.500	5562.500
26	Spectrogram 1	1	1.759403929	1.760403929	2448.200	6343.100	5562.500	5562.500
27	Spectrogram 1	1	1.760403929	1.761403929	2448.200	6343.100	5562.500	5562.500
28	Spectrogram 1	1	1.761403929	1.762403929	2448.200	6343.100	5562.500	5562.500
29	Spectrogram 1	1	1.762403929	1.763403929	2448.200	6343.100	5562.500	5562.500
30	Spectrogram 1	1	1.763403929	1.764403929	2448.200	6343.100	5562.500	5562.500
31	Spectrogram 1	1	1.764403929	1.765403929	2448.200	6343.100	5562.500	5562.500
32	Spectrogram 1	1	1.765403929	1.766403929	2448.200	6343.100	5562.500	5562.500
33	Spectrogram 1	1	1.766403929	1.767403929	2448.200	6343.100	5562.500	5562.500
34	Spectrogram 1	1	1.767403929	1.768403929	2448.200	6343.100	5562.500	5562.500
35	Spectrogram 1	1	1.768403929	1.769403929	2448.200	6343.100	5562.500	5562.500
36	Spectrogram 1	1	1.769403929	1.770403929	2448.200	6343.100	5562.500	5562.500
37	Spectrogram 1	1	1.770403929	1.771403929	2448.200	6343.100	5562.500	5562.500
