Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	12.537128274	12.538126006	2687.700	6009.868	3962.109	3962.109
2	Spectrogram 1	1	12.538126006	12.539123739	2687.700	6009.868	3962.109	3962.109
3	Spectrogram 1	1	12.539123739	12.540121471	2687.700	6009.868	3962.109	3962.109
4	Spectrogram 1	1	12.540121471	12.541119204	2687.700	6009.868	3962.109	3962.109
5	Spectrogram 1	1	12.541119204	12.542116936	2687.700	6009.868	3962.109	3962.109
6	Spectrogram 1	1	12.542116936	12.543114669	2687.700	6009.868	4823.438	4823.438
7	Spectrogram 1	1	12.543114669	12.544112401	2687.700	6009.868	4823.438	4823.438
8	Spectrogram 1	1	12.544112401	12.545110133	2687.700	6009.868	4823.438	4823.438
9	Spectrogram 1	1	12.545110133	12.546107866	2687.700	6009.868	4823.438	4823.438
10	Spectrogram 1	1	12.546107866	12.547105598	2687.700	6009.868	4823.438	4823.438
11	Spectrogram 1	1	12.547105598	12.548103331	2687.700	6009.868	4737.305	4909.570
12	Spectrogram 1	1	12.548103331	12.549101063	2687.700	6009.868	4737.305	4909.570
13	Spectrogram 1	1	12.549101063	12.550098796	2687.700	6009.868	4737.305	4909.570
14	Spectrogram 1	1	12.550098796	12.551096528	2687.700	6009.868	4737.305	4909.570
15	Spectrogram 1	1	12.551096528	12.552094260	2687.700	6009.868	4737.305	4909.570
16	Spectrogram 1	1	12.552094260	12.553091993	2687.700	6009.868	4737.305	4909.570
17	Spectrogram 1	1	12.553091993	12.554089725	2687.700	6009.868	4823.438	4823.438
18	Spectrogram 1	1	12.554089725	12.555087458	2687.700	6009.868	4823.438	4823.438
19	Spectrogram 1	1	12.555087458	12.556085190	2687.700	6009.868	4823.438	4823.438
20	Spectrogram 1	1	12.556085190	12.557082923	2687.700	6009.868	4823.438	4823.438
21	Spectrogram 1	1	12.557082923	12.558080655	2687.700	6009.868	4823.438	4823.438
22	Spectrogram 1	1	12.558080655	12.559078387	2687.700	6009.868	4823.438	4823.438
