Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	39.913047343	39.914045075	2627.300	5925.000	4306.641	5598.633
2	Spectrogram 1	1	39.914045075	39.915042808	2627.300	5925.000	4306.641	5598.633
3	Spectrogram 1	1	39.915042808	39.916040540	2627.300	5925.000	4306.641	5598.633
4	Spectrogram 1	1	39.916040540	39.917038273	2627.300	5925.000	4306.641	5598.633
5	Spectrogram 1	1	39.917038273	39.918036005	2627.300	5925.000	4306.641	5598.633
6	Spectrogram 1	1	39.918036005	39.919033738	2627.300	5925.000	4995.703	4823.438
7	Spectrogram 1	1	39.919033738	39.920031470	2627.300	5925.000	4995.703	4823.438
8	Spectrogram 1	1	39.920031470	39.921029202	2627.300	5925.000	4995.703	4823.438
9	Spectrogram 1	1	39.921029202	39.922026935	2627.300	5925.000	4995.703	4823.438
10	Spectrogram 1	1	39.922026935	39.923024667	2627.300	5925.000	4995.703	4823.438
11	Spectrogram 1	1	39.923024667	39.924022400	2627.300	5925.000	4995.703	4823.438
12	Spectrogram 1	1	39.924022400	39.925020132	2627.300	5925.000	5512.500	5512.500
13	Spectrogram 1	1	39.925020132	39.926017865	2627.300	5925.000	5512.500	5512.500
14	Spectrogram 1	1	39.926017865	39.927015597	2627.300	5925.000	5512.500	5512.500
15	Spectrogram 1	1	39.927015597	39.928013329	2627.300	5925.000	5512.500	5512.500
16	Spectrogram 1	1	39.928013329	39.929011062	2627.300	5925.000	5512.500	5512.500
17	Spectrogram 1	1	39.929011062	39.930008794	2627.300	5925.000	5512.500	5512.500
18	Spectrogram 1	1	39.930008794	39.931006527	2627.300	5925.000	5081.836	4909.570
19	Spectrogram 1	1	39.931006527	39.932004259	2627.300	5925.000	5081.836	4909.570
20	Spectrogram 1	1	39.932004259	39.933001992	2627.300	5925.000	5081.836	4909.570
21	Spectrogram 1	1	39.933001992	39.933999724	2627.300	5925.000	5081.836	4909.570
22	Spectrogram 1	1	39.933999724	39.934997456	2627.300	5925.000	5081.836	4909.570
23	Spectrogram 1	1	39.934997456	39.935995189	2627.300	5925.000	4737.305	4737.305
24	Spectrogram 1	1	39.935995189	39.936992921	2627.300	5925.000	4737.305	4737.305
25	Spectrogram 1	1	39.936992921	39.937990654	2627.300	5925.000	4737.305	4737.305
26	Spectrogram 1	1	39.937990654	39.938988386	2627.300	5925.000	4737.305	4737.305
27	Spectrogram 1	1	39.938988386	39.939986119	2627.300	5925.000	4737.305	4737.305
28	Spectrogram 1	1	39.939986119	39.940983851	2627.300	5925.000	4737.305	4737.305
29	Spectrogram 1	1	39.940983851	39.941981583	2627.300	5925.000	5167.969	5167.969
30	Spectrogram 1	1	39.941981583	39.942979316	2627.300	5925.000	5167.969	5167.969
31	Spectrogram 1	1	39.942979316	39.943977048	2627.300	5925.000	5167.969	5167.969
32	Spectrogram 1	1	39.943977048	39.944974781	2627.300	5925.000	5167.969	5167.969
33	Spectrogram 1	1	39.944974781	39.945972513	2627.300	5925.000	5167.969	5167.969
34	Spectrogram 1	1	39.945972513	39.946970245	2627.300	5925.000	5167.969	5167.969
35	Spectrogram 1	1	39.946970245	39.947967978	2627.300	5925.000	5254.102	5254.102
