Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.497795755	5.498793487	2258.100	6162.000	4651.172	4565.039
2	Spectrogram 1	1	5.498793487	5.499791220	2258.100	6162.000	4651.172	4565.039
3	Spectrogram 1	1	5.499791220	5.500788952	2258.100	6162.000	4220.508	4134.375
4	Spectrogram 1	1	5.500788952	5.501786685	2258.100	6162.000	4220.508	4134.375
5	Spectrogram 1	1	5.501786685	5.502784417	2258.100	6162.000	4220.508	4134.375
6	Spectrogram 1	1	5.502784417	5.503782150	2258.100	6162.000	4220.508	4134.375
7	Spectrogram 1	1	5.503782150	5.504779882	2258.100	6162.000	4220.508	4134.375
8	Spectrogram 1	1	5.504779882	5.505777614	2258.100	6162.000	4220.508	4134.375
9	Spectrogram 1	1	5.505777614	5.506775347	2258.100	6162.000	4995.703	5081.836
10	Spectrogram 1	1	5.506775347	5.507773079	2258.100	6162.000	4995.703	5081.836
11	Spectrogram 1	1	5.507773079	5.508770812	2258.100	6162.000	4995.703	5081.836
12	Spectrogram 1	1	5.508770812	5.509768544	2258.100	6162.000	4995.703	5081.836
13	Spectrogram 1	1	5.509768544	5.510766277	2258.100	6162.000	4995.703	5081.836
14	Spectrogram 1	1	5.510766277	5.511764009	2258.100	6162.000	4995.703	5081.836
15	Spectrogram 1	1	5.511764009	5.512761741	2258.100	6162.000	5426.367	5426.367
16	Spectrogram 1	1	5.512761741	5.513759474	2258.100	6162.000	5426.367	5426.367
17	Spectrogram 1	1	5.513759474	5.514757206	2258.100	6162.000	5426.367	5426.367
18	Spectrogram 1	1	5.514757206	5.515754939	2258.100	6162.000	5426.367	5426.367
19	Spectrogram 1	1	5.515754939	5.516752671	2258.100	6162.000	5426.367	5426.367
20	Spectrogram 1	1	5.516752671	5.517750404	2258.100	6162.000	5426.367	5426.367
21	Spectrogram 1	1	5.517750404	5.518748136	2258.100	6162.000	4909.570	4909.570
22	Spectrogram 1	1	5.518748136	5.519745868	2258.100	6162.000	4909.570	4909.570
23	Spectrogram 1	1	5.519745868	5.520743601	2258.100	6162.000	4909.570	4909.570
24	Spectrogram 1	1	5.520743601	5.521741333	2258.100	6162.000	4909.570	4909.570
25	Spectrogram 1	1	5.521741333	5.522739066	2258.100	6162.000	4909.570	4909.570
26	Spectrogram 1	1	5.522739066	5.523736798	2258.100	6162.000	4909.570	4909.570
27	Spectrogram 1	1	5.523736798	5.524734531	2258.100	6162.000	4909.570	4909.570
28	Spectrogram 1	1	5.524734531	5.525732263	2258.100	6162.000	4909.570	4909.570
