Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.610599144	5.611596876	2370.400	6134.879	5081.836	5684.766
2	Spectrogram 1	1	5.611596876	5.612594609	2370.400	6134.879	5081.836	5684.766
3	Spectrogram 1	1	5.612594609	5.613592341	2370.400	6134.879	5081.836	5684.766
4	Spectrogram 1	1	5.613592341	5.614590074	2370.400	6134.879	5081.836	5684.766
5	Spectrogram 1	1	5.614590074	5.615587806	2370.400	6134.879	5081.836	5684.766
6	Spectrogram 1	1	5.615587806	5.616585539	2370.400	6134.879	5081.836	5684.766
7	Spectrogram 1	1	5.616585539	5.617583271	2370.400	6134.879	4995.703	4995.703
8	Spectrogram 1	1	5.617583271	5.618581003	2370.400	6134.879	4995.703	4995.703
9	Spectrogram 1	1	5.618581003	5.619578736	2370.400	6134.879	4995.703	4995.703
10	Spectrogram 1	1	5.619578736	5.620576468	2370.400	6134.879	4995.703	4995.703
11	Spectrogram 1	1	5.620576468	5.621574201	2370.400	6134.879	4995.703	4995.703
12	Spectrogram 1	1	5.621574201	5.622571933	2370.400	6134.879	4995.703	4995.703
13	Spectrogram 1	1	5.622571933	5.623569666	2370.400	6134.879	5081.836	5081.836
14	Spectrogram 1	1	5.623569666	5.624567398	2370.400	6134.879	5081.836	5081.836
15	Spectrogram 1	1	5.624567398	5.625565130	2370.400	6134.879	5081.836	5081.836
16	Spectrogram 1	1	5.625565130	5.626562863	2370.400	6134.879	5081.836	5081.836
17	Spectrogram 1	1	5.626562863	5.627560595	2370.400	6134.879	5081.836	5081.836
18	Spectrogram 1	1	5.627560595	5.628558328	2370.400	6134.879	4823.438	4909.570
19	Spectrogram 1	1	5.628558328	5.629556060	2370.400	6134.879	4823.438	4909.570
20	Spectrogram 1	1	5.629556060	5.630553793	2370.400	6134.879	4823.438	4909.570
21	Spectrogram 1	1	5.630553793	5.631551525	2370.400	6134.879	4823.438	4909.570
22	Spectrogram 1	1	5.631551525	5.632549257	2370.400	6134.879	4823.438	4909.570
23	Spectrogram 1	1	5.632549257	5.633546990	2370.400	6134.879	4823.438	4909.570
24	Spectrogram 1	1	5.633546990	5.634544722	2370.400	6134.879	4823.438	4823.438
25	Spectrogram 1	1	5.634544722	5.635542455	2370.400	6134.879	4823.438	4823.438
26	Spectrogram 1	1	5.635542455	5.636540187	2370.400	6134.879	4823.438	4823.438
27	Spectrogram 1	1	5.636540187	5.637537920	2370.400	6134.879	4823.438	4823.438
28	Spectrogram 1	1	5.637537920	5.638535652	2370.400	6134.879	4823.438	4823.438
29	Spectrogram 1	1	5.638535652	5.639533384	2370.400	6134.879	4823.438	4823.438
30	Spectrogram 1	1	5.639533384	5.640531117	2370.400	6134.879	5081.836	5081.836
31	Spectrogram 1	1	5.640531117	5.641528849	2370.400	6134.879	5081.836	5081.836
32	Spectrogram 1	1	5.641528849	5.642526582	2370.400	6134.879	5081.836	5081.836
33	Spectrogram 1	1	5.642526582	5.643524314	2370.400	6134.879	5081.836	5081.836
34	Spectrogram 1	1	5.643524314	5.644522046	2370.400	6134.879	5081.836	5081.836
35	Spectrogram 1	1	5.644522046	5.645519779	2370.400	6134.879	5081.836	5081.836
36	Spectrogram 1	1	5.645519779	5.646517511	2370.400	6134.879	4995.703	4995.703
37	Spectrogram 1	1	5.646517511	5.647515244	2370.400	6134.879	4995.703	4995.703
38	Spectrogram 1	1	5.647515244	5.648512976	2370.400	6134.879	4995.703	4995.703
39	Spectrogram 1	1	5.648512976	5.649510709	2370.400	6134.879	4995.703	4995.703
40	Spectrogram 1	1	5.649510709	5.650508441	2370.400	6134.879	4995.703	4995.703
41	Spectrogram 1	1	5.650508441	5.651506173	2370.400	6134.879	4995.703	4995.703
42	Spectrogram 1	1	5.651506173	5.652503906	2370.400	6134.879	4995.703	4995.703
43	Spectrogram 1	1	5.652503906	5.653501638	2370.400	6134.879	4995.703	4995.703
44	Spectrogram 1	1	5.653501638	5.654499371	2370.400	6134.879	4995.703	4995.703
45	Spectrogram 1	1	5.654499371	5.655497103	2370.400	6134.879	4995.703	4995.703
46	Spectrogram 1	1	5.655497103	5.656494836	2370.400	6134.879	4995.703	4995.703
47	Spectrogram 1	1	5.656494836	5.657492568	2370.400	6134.879	4909.570	4909.570
48	Spectrogram 1	1	5.657492568	5.658490300	2370.400	6134.879	4909.570	4909.570
49	Spectrogram 1	1	5.658490300	5.659488033	2370.400	6134.879	4909.570	4909.570
50	Spectrogram 1	1	5.659488033	5.660485765	2370.400	6134.879	4909.570	4909.570
51	Spectrogram 1	1	5.660485765	5.661483498	2370.400	6134.879	4909.570	4909.570
52	Spectrogram 1	1	5.661483498	5.662481230	2370.400	6134.879	4909.570	4909.570
53	Spectrogram 1	1	5.662481230	5.663478963	2370.400	6134.879	4909.570	4909.570
54	Spectrogram 1	1	5.663478963	5.664476695	2370.400	6134.879	4909.570	4909.570
55	Spectrogram 1	1	5.664476695	5.665474427	2370.400	6134.879	4909.570	4909.570
56	Spectrogram 1	1	5.665474427	5.666472160	2370.400	6134.879	4909.570	4909.570
57	Spectrogram 1	1	5.666472160	5.667469892	2370.400	6134.879	4909.570	4909.570
58	Spectrogram 1	1	5.667469892	5.668467625	2370.400	6134.879	4909.570	4909.570
59	Spectrogram 1	1	5.668467625	5.669465357	2370.400	6134.879	4823.438	4823.438
60	Spectrogram 1	1	5.669465357	5.670463090	2370.400	6134.879	4823.438	4823.438
61	Spectrogram 1	1	5.670463090	5.671460822	2370.400	6134.879	4823.438	4823.438
62	Spectrogram 1	1	5.671460822	5.672458554	2370.400	6134.879	4823.438	4823.438
63	Spectrogram 1	1	5.672458554	5.673456287	2370.400	6134.879	4823.438	4823.438
64	Spectrogram 1	1	5.673456287	5.674454019	2370.400	6134.879	4823.438	4823.438
65	Spectrogram 1	1	5.674454019	5.675451752	2370.400	6134.879	4909.570	4909.570
66	Spectrogram 1	1	5.675451752	5.676449484	2370.400	6134.879	4909.570	4909.570
67	Spectrogram 1	1	5.676449484	5.677447217	2370.400	6134.879	4909.570	4909.570
68	Spectrogram 1	1	5.677447217	5.678444949	2370.400	6134.879	4909.570	4909.570
69	Spectrogram 1	1	5.678444949	5.679442681	2370.400	6134.879	4909.570	4909.570
70	Spectrogram 1	1	5.679442681	5.680440414	2370.400	6134.879	4909.570	4909.570
71	Spectrogram 1	1	5.680440414	5.681438146	2370.400	6134.879	4909.570	4909.570
72	Spectrogram 1	1	5.681438146	5.682435879	2370.400	6134.879	4909.570	4909.570
73	Spectrogram 1	1	5.682435879	5.683433611	2370.400	6134.879	4909.570	4909.570
74	Spectrogram 1	1	5.683433611	5.684431344	2370.400	6134.879	4909.570	4909.570
75	Spectrogram 1	1	5.684431344	5.685429076	2370.400	6134.879	4909.570	4909.570
76	Spectrogram 1	1	5.685429076	5.686426808	2370.400	6134.879	4909.570	4909.570
77	Spectrogram 1	1	5.686426808	5.687424541	2370.400	6134.879	4909.570	4909.570
78	Spectrogram 1	1	5.687424541	5.688422273	2370.400	6134.879	4909.570	4909.570
79	Spectrogram 1	1	5.688422273	5.689420006	2370.400	6134.879	4909.570	4909.570
80	Spectrogram 1	1	5.689420006	5.690417738	2370.400	6134.879	4909.570	4909.570
81	Spectrogram 1	1	5.690417738	5.691415471	2370.400	6134.879	4909.570	4909.570
82	Spectrogram 1	1	5.691415471	5.692413203	2370.400	6134.879	4909.570	4909.570
83	Spectrogram 1	1	5.692413203	5.693410935	2370.400	6134.879	4909.570	4909.570
84	Spectrogram 1	1	5.693410935	5.694408668	2370.400	6134.879	4909.570	4909.570
85	Spectrogram 1	1	5.694408668	5.695406400	2370.400	6134.879	4909.570	4909.570
86	Spectrogram 1	1	5.695406400	5.696404133	2370.400	6134.879	4909.570	4909.570
87	Spectrogram 1	1	5.696404133	5.697401865	2370.400	6134.879	4909.570	4909.570
88	Spectrogram 1	1	5.697401865	5.698399598	2370.400	6134.879	4909.570	4909.570
89	Spectrogram 1	1	5.698399598	5.699397330	2370.400	6134.879	4909.570	4909.570
90	Spectrogram 1	1	5.699397330	5.700395062	2370.400	6134.879	4909.570	4909.570
91	Spectrogram 1	1	5.700395062	5.701392795	2370.400	6134.879	4909.570	4909.570
92	Spectrogram 1	1	5.701392795	5.702390527	2370.400	6134.879	4909.570	4909.570
93	Spectrogram 1	1	5.702390527	5.703388260	2370.400	6134.879	4909.570	4909.570
94	Spectrogram 1	1	5.703388260	5.704385992	2370.400	6134.879	4823.438	4909.570
95	Spectrogram 1	1	5.704385992	5.705383724	2370.400	6134.879	4823.438	4909.570
96	Spectrogram 1	1	5.705383724	5.706381457	2370.400	6134.879	4823.438	4909.570
97	Spectrogram 1	1	5.706381457	5.707379189	2370.400	6134.879	4823.438	4909.570
98	Spectrogram 1	1	5.707379189	5.708376922	2370.400	6134.879	4823.438	4909.570
99	Spectrogram 1	1	5.708376922	5.709374654	2370.400	6134.879	4823.438	4909.570
100	Spectrogram 1	1	5.709374654	5.710372387	2370.400	6134.879	3186.914	3186.914
101	Spectrogram 1	1	5.710372387	5.711370119	2370.400	6134.879	3186.914	3186.914
102	Spectrogram 1	1	5.711370119	5.712367851	2370.400	6134.879	3186.914	3186.914
103	Spectrogram 1	1	5.712367851	5.713365584	2370.400	6134.879	3186.914	3186.914
104	Spectrogram 1	1	5.713365584	5.714363316	2370.400	6134.879	3186.914	3186.914
105	Spectrogram 1	1	5.714363316	5.715361049	2370.400	6134.879	3186.914	3186.914
106	Spectrogram 1	1	5.715361049	5.716358781	2370.400	6134.879	3359.180	3359.180
107	Spectrogram 1	1	5.716358781	5.717356514	2370.400	6134.879	3359.180	3359.180
108	Spectrogram 1	1	5.717356514	5.718354246	2370.400	6134.879	3359.180	3359.180
109	Spectrogram 1	1	5.718354246	5.719351978	2370.400	6134.879	3359.180	3359.180
