Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	11.087791992	11.088789724	2605.223	6017.900	4737.305	4823.438
2	Spectrogram 1	1	11.088789724	11.089787457	2605.223	6017.900	4737.305	4823.438
3	Spectrogram 1	1	11.089787457	11.090785189	2605.223	6017.900	4737.305	4823.438
4	Spectrogram 1	1	11.090785189	11.091782922	2605.223	6017.900	4478.906	4737.305
5	Spectrogram 1	1	11.091782922	11.092780654	2605.223	6017.900	4478.906	4737.305
6	Spectrogram 1	1	11.092780654	11.093778387	2605.223	6017.900	4478.906	4737.305
7	Spectrogram 1	1	11.093778387	11.094776119	2605.223	6017.900	4478.906	4737.305
8	Spectrogram 1	1	11.094776119	11.095773851	2605.223	6017.900	4478.906	4737.305
9	Spectrogram 1	1	11.095773851	11.096771584	2605.223	6017.900	5081.836	5081.836
10	Spectrogram 1	1	11.096771584	11.097769316	2605.223	6017.900	5081.836	5081.836
11	Spectrogram 1	1	11.097769316	11.098767049	2605.223	6017.900	5081.836	5081.836
12	Spectrogram 1	1	11.098767049	11.099764781	2605.223	6017.900	5081.836	5081.836
13	Spectrogram 1	1	11.099764781	11.100762514	2605.223	6017.900	5081.836	5081.836
14	Spectrogram 1	1	11.100762514	11.101760246	2605.223	6017.900	5081.836	5081.836
15	Spectrogram 1	1	11.101760246	11.102757978	2605.223	6017.900	4823.438	4995.703
16	Spectrogram 1	1	11.102757978	11.103755711	2605.223	6017.900	4823.438	4995.703
17	Spectrogram 1	1	11.103755711	11.104753443	2605.223	6017.900	4823.438	4995.703
18	Spectrogram 1	1	11.104753443	11.105751176	2605.223	6017.900	4823.438	4995.703
19	Spectrogram 1	1	11.105751176	11.106748908	2605.223	6017.900	4823.438	4995.703
20	Spectrogram 1	1	11.106748908	11.107746641	2605.223	6017.900	4823.438	4995.703
21	Spectrogram 1	1	11.107746641	11.108744373	2605.223	6017.900	5081.836	5081.836
22	Spectrogram 1	1	11.108744373	11.109742105	2605.223	6017.900	5081.836	5081.836
23	Spectrogram 1	1	11.109742105	11.110739838	2605.223	6017.900	5081.836	5081.836
24	Spectrogram 1	1	11.110739838	11.111737570	2605.223	6017.900	5081.836	5081.836
25	Spectrogram 1	1	11.111737570	11.112735303	2605.223	6017.900	5081.836	5081.836
26	Spectrogram 1	1	11.112735303	11.113733035	2605.223	6017.900	5081.836	5081.836
27	Spectrogram 1	1	11.113733035	11.114730768	2605.223	6017.900	5081.836	5081.836
28	Spectrogram 1	1	11.114730768	11.115728500	2605.223	6017.900	5081.836	5081.836
29	Spectrogram 1	1	11.115728500	11.116726232	2605.223	6017.900	5081.836	5081.836
30	Spectrogram 1	1	11.116726232	11.117723965	2605.223	6017.900	5081.836	5081.836
31	Spectrogram 1	1	11.117723965	11.118721697	2605.223	6017.900	5081.836	5081.836
32	Spectrogram 1	1	11.118721697	11.119719430	2605.223	6017.900	5081.836	5081.836
33	Spectrogram 1	1	11.119719430	11.120717162	2605.223	6017.900	5081.836	5081.836
34	Spectrogram 1	1	11.120717162	11.121714894	2605.223	6017.900	5081.836	5081.836
35	Spectrogram 1	1	11.121714894	11.122712627	2605.223	6017.900	5081.836	5081.836
36	Spectrogram 1	1	11.122712627	11.123710359	2605.223	6017.900	5081.836	5081.836
37	Spectrogram 1	1	11.123710359	11.124708092	2605.223	6017.900	5081.836	5081.836
38	Spectrogram 1	1	11.124708092	11.125705824	2605.223	6017.900	5081.836	5081.836
39	Spectrogram 1	1	11.125705824	11.126703557	2605.223	6017.900	4995.703	4995.703
40	Spectrogram 1	1	11.126703557	11.127701289	2605.223	6017.900	4995.703	4995.703
41	Spectrogram 1	1	11.127701289	11.128699021	2605.223	6017.900	4995.703	4995.703
42	Spectrogram 1	1	11.128699021	11.129696754	2605.223	6017.900	4995.703	4995.703
43	Spectrogram 1	1	11.129696754	11.130694486	2605.223	6017.900	4995.703	4995.703
44	Spectrogram 1	1	11.130694486	11.131692219	2605.223	6017.900	4909.570	4909.570
45	Spectrogram 1	1	11.131692219	11.132689951	2605.223	6017.900	4909.570	4909.570
46	Spectrogram 1	1	11.132689951	11.133687684	2605.223	6017.900	4909.570	4909.570
47	Spectrogram 1	1	11.133687684	11.134685416	2605.223	6017.900	4909.570	4909.570
48	Spectrogram 1	1	11.134685416	11.135683148	2605.223	6017.900	4909.570	4909.570
49	Spectrogram 1	1	11.135683148	11.136680881	2605.223	6017.900	4909.570	4909.570
50	Spectrogram 1	1	11.136680881	11.137678613	2605.223	6017.900	4823.438	4823.438
51	Spectrogram 1	1	11.137678613	11.138676346	2605.223	6017.900	4823.438	4823.438
52	Spectrogram 1	1	11.138676346	11.139674078	2605.223	6017.900	4823.438	4823.438
53	Spectrogram 1	1	11.139674078	11.140671811	2605.223	6017.900	4823.438	4823.438
54	Spectrogram 1	1	11.140671811	11.141669543	2605.223	6017.900	4823.438	4823.438
55	Spectrogram 1	1	11.141669543	11.142667275	2605.223	6017.900	4823.438	4823.438
56	Spectrogram 1	1	11.142667275	11.143665008	2605.223	6017.900	4909.570	4823.438
57	Spectrogram 1	1	11.143665008	11.144662740	2605.223	6017.900	4909.570	4823.438
58	Spectrogram 1	1	11.144662740	11.145660473	2605.223	6017.900	4909.570	4823.438
59	Spectrogram 1	1	11.145660473	11.146658205	2605.223	6017.900	4909.570	4823.438
60	Spectrogram 1	1	11.146658205	11.147655938	2605.223	6017.900	4909.570	4823.438
61	Spectrogram 1	1	11.147655938	11.148653670	2605.223	6017.900	4909.570	4823.438
62	Spectrogram 1	1	11.148653670	11.149651402	2605.223	6017.900	4995.703	5167.969
63	Spectrogram 1	1	11.149651402	11.150649135	2605.223	6017.900	4995.703	5167.969
64	Spectrogram 1	1	11.150649135	11.151646867	2605.223	6017.900	4995.703	5167.969
65	Spectrogram 1	1	11.151646867	11.152644600	2605.223	6017.900	4995.703	5167.969
66	Spectrogram 1	1	11.152644600	11.153642332	2605.223	6017.900	4995.703	5167.969
67	Spectrogram 1	1	11.153642332	11.154640065	2605.223	6017.900	4995.703	5167.969
68	Spectrogram 1	1	11.154640065	11.155637797	2605.223	6017.900	4995.703	4995.703
69	Spectrogram 1	1	11.155637797	11.156635529	2605.223	6017.900	4995.703	4995.703
70	Spectrogram 1	1	11.156635529	11.157633262	2605.223	6017.900	4995.703	4995.703
71	Spectrogram 1	1	11.157633262	11.158630994	2605.223	6017.900	4995.703	4995.703
72	Spectrogram 1	1	11.158630994	11.159628727	2605.223	6017.900	4995.703	4995.703
73	Spectrogram 1	1	11.159628727	11.160626459	2605.223	6017.900	4909.570	4995.703
74	Spectrogram 1	1	11.160626459	11.161624192	2605.223	6017.900	4909.570	4995.703
75	Spectrogram 1	1	11.161624192	11.162621924	2605.223	6017.900	4909.570	4995.703
76	Spectrogram 1	1	11.162621924	11.163619656	2605.223	6017.900	4909.570	4995.703
77	Spectrogram 1	1	11.163619656	11.164617389	2605.223	6017.900	4909.570	4995.703
78	Spectrogram 1	1	11.164617389	11.165615121	2605.223	6017.900	4909.570	4995.703
79	Spectrogram 1	1	11.165615121	11.166612854	2605.223	6017.900	4909.570	4909.570
80	Spectrogram 1	1	11.166612854	11.167610586	2605.223	6017.900	4909.570	4909.570
81	Spectrogram 1	1	11.167610586	11.168608319	2605.223	6017.900	4909.570	4909.570
82	Spectrogram 1	1	11.168608319	11.169606051	2605.223	6017.900	4909.570	4909.570
83	Spectrogram 1	1	11.169606051	11.170603783	2605.223	6017.900	4909.570	4909.570
84	Spectrogram 1	1	11.170603783	11.171601516	2605.223	6017.900	4909.570	4909.570
85	Spectrogram 1	1	11.171601516	11.172599248	2605.223	6017.900	4995.703	5081.836
86	Spectrogram 1	1	11.172599248	11.173596981	2605.223	6017.900	4995.703	5081.836
87	Spectrogram 1	1	11.173596981	11.174594713	2605.223	6017.900	4995.703	5081.836
88	Spectrogram 1	1	11.174594713	11.175592446	2605.223	6017.900	4995.703	5081.836
89	Spectrogram 1	1	11.175592446	11.176590178	2605.223	6017.900	4995.703	5081.836
90	Spectrogram 1	1	11.176590178	11.177587910	2605.223	6017.900	4995.703	5081.836
91	Spectrogram 1	1	11.177587910	11.178585643	2605.223	6017.900	4995.703	4995.703
92	Spectrogram 1	1	11.178585643	11.179583375	2605.223	6017.900	4995.703	4995.703
93	Spectrogram 1	1	11.179583375	11.180581108	2605.223	6017.900	4995.703	4995.703
94	Spectrogram 1	1	11.180581108	11.181578840	2605.223	6017.900	4995.703	4995.703
95	Spectrogram 1	1	11.181578840	11.182576572	2605.223	6017.900	4995.703	4995.703
96	Spectrogram 1	1	11.182576572	11.183574305	2605.223	6017.900	4995.703	4995.703
97	Spectrogram 1	1	11.183574305	11.184572037	2605.223	6017.900	4909.570	5081.836
98	Spectrogram 1	1	11.184572037	11.185569770	2605.223	6017.900	4909.570	5081.836
99	Spectrogram 1	1	11.185569770	11.186567502	2605.223	6017.900	4909.570	5081.836
100	Spectrogram 1	1	11.186567502	11.187565235	2605.223	6017.900	4909.570	5081.836
101	Spectrogram 1	1	11.187565235	11.188562967	2605.223	6017.900	4909.570	5081.836
102	Spectrogram 1	1	11.188562967	11.189560699	2605.223	6017.900	4909.570	5081.836
103	Spectrogram 1	1	11.189560699	11.190558432	2605.223	6017.900	3359.180	3359.180
104	Spectrogram 1	1	11.190558432	11.191556164	2605.223	6017.900	3359.180	3359.180
105	Spectrogram 1	1	11.191556164	11.192553897	2605.223	6017.900	3359.180	3359.180
106	Spectrogram 1	1	11.192553897	11.193551629	2605.223	6017.900	3359.180	3359.180
107	Spectrogram 1	1	11.193551629	11.194549362	2605.223	6017.900	3359.180	3359.180
108	Spectrogram 1	1	11.194549362	11.195547094	2605.223	6017.900	3531.445	3531.445
109	Spectrogram 1	1	11.195547094	11.196544826	2605.223	6017.900	3531.445	3531.445
110	Spectrogram 1	1	11.196544826	11.197542559	2605.223	6017.900	3531.445	3531.445
111	Spectrogram 1	1	11.197542559	11.198540291	2605.223	6017.900	3531.445	3531.445
112	Spectrogram 1	1	11.198540291	11.199538024	2605.223	6017.900	3531.445	3531.445
113	Spectrogram 1	1	11.199538024	11.200535756	2605.223	6017.900	3531.445	3531.445
114	Spectrogram 1	1	11.200535756	11.201533489	2605.223	6017.900	3617.578	3617.578
115	Spectrogram 1	1	11.201533489	11.202531221	2605.223	6017.900	3617.578	3617.578
116	Spectrogram 1	1	11.202531221	11.203528953	2605.223	6017.900	3617.578	3617.578
117	Spectrogram 1	1	11.203528953	11.204526686	2605.223	6017.900	3617.578	3617.578
118	Spectrogram 1	1	11.204526686	11.205524418	2605.223	6017.900	3617.578	3617.578
119	Spectrogram 1	1	11.205524418	11.206522151	2605.223	6017.900	3617.578	3617.578
120	Spectrogram 1	1	11.206522151	11.207519883	2605.223	6017.900	3703.711	3703.711
121	Spectrogram 1	1	11.207519883	11.208517616	2605.223	6017.900	3703.711	3703.711
122	Spectrogram 1	1	11.208517616	11.209515348	2605.223	6017.900	3703.711	3703.711
123	Spectrogram 1	1	11.209515348	11.210513080	2605.223	6017.900	3703.711	3703.711
124	Spectrogram 1	1	11.210513080	11.211510813	2605.223	6017.900	3703.711	3703.711
125	Spectrogram 1	1	11.211510813	11.212508545	2605.223	6017.900	3703.711	3703.711
126	Spectrogram 1	1	11.212508545	11.213506278	2605.223	6017.900	3789.844	3789.844
127	Spectrogram 1	1	11.213506278	11.214504010	2605.223	6017.900	3789.844	3789.844
128	Spectrogram 1	1	11.214504010	11.215501743	2605.223	6017.900	3789.844	3789.844
129	Spectrogram 1	1	11.215501743	11.216499475	2605.223	6017.900	3789.844	3789.844
130	Spectrogram 1	1	11.216499475	11.217497207	2605.223	6017.900	3789.844	3789.844
131	Spectrogram 1	1	11.217497207	11.218494940	2605.223	6017.900	3789.844	3789.844
132	Spectrogram 1	1	11.218494940	11.219492672	2605.223	6017.900	3875.977	3875.977
133	Spectrogram 1	1	11.219492672	11.220490405	2605.223	6017.900	3875.977	3875.977
134	Spectrogram 1	1	11.220490405	11.221488137	2605.223	6017.900	3875.977	3875.977
135	Spectrogram 1	1	11.221488137	11.222485870	2605.223	6017.900	3875.977	3875.977
136	Spectrogram 1	1	11.222485870	11.223483602	2605.223	6017.900	3875.977	3875.977
137	Spectrogram 1	1	11.223483602	11.224481334	2605.223	6017.900	3875.977	3875.977
138	Spectrogram 1	1	11.224481334	11.225479067	2605.223	6017.900	3875.977	3875.977
139	Spectrogram 1	1	11.225479067	11.226476799	2605.223	6017.900	3875.977	3875.977
140	Spectrogram 1	1	11.226476799	11.227474532	2605.223	6017.900	3875.977	3875.977
141	Spectrogram 1	1	11.227474532	11.228472264	2605.223	6017.900	3875.977	3875.977
142	Spectrogram 1	1	11.228472264	11.229469997	2605.223	6017.900	3875.977	3875.977
143	Spectrogram 1	1	11.229469997	11.230467729	2605.223	6017.900	3962.109	3962.109
144	Spectrogram 1	1	11.230467729	11.231465461	2605.223	6017.900	3962.109	3962.109
145	Spectrogram 1	1	11.231465461	11.232463194	2605.223	6017.900	3962.109	3962.109
146	Spectrogram 1	1	11.232463194	11.233460926	2605.223	6017.900	3962.109	3962.109
147	Spectrogram 1	1	11.233460926	11.234458659	2605.223	6017.900	3962.109	3962.109
148	Spectrogram 1	1	11.234458659	11.235456391	2605.223	6017.900	3962.109	3962.109
149	Spectrogram 1	1	11.235456391	11.236454124	2605.223	6017.900	3875.977	3875.977
150	Spectrogram 1	1	11.236454124	11.237451856	2605.223	6017.900	3875.977	3875.977
151	Spectrogram 1	1	11.237451856	11.238449588	2605.223	6017.900	3875.977	3875.977
152	Spectrogram 1	1	11.238449588	11.239447321	2605.223	6017.900	3875.977	3875.977
153	Spectrogram 1	1	11.239447321	11.240445053	2605.223	6017.900	3875.977	3875.977
154	Spectrogram 1	1	11.240445053	11.241442786	2605.223	6017.900	3875.977	3875.977
155	Spectrogram 1	1	11.241442786	11.242440518	2605.223	6017.900	3703.711	3703.711
156	Spectrogram 1	1	11.242440518	11.243438251	2605.223	6017.900	3703.711	3703.711
