Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	3.941512540	3.942510272	2862.100	5666.700	4565.039	4651.172
2	Spectrogram 1	2	3.942510272	3.943508005	2862.100	5666.700	4565.039	4651.172
3	Spectrogram 1	2	3.943508005	3.944505737	2862.100	5666.700	4565.039	4651.172
4	Spectrogram 1	2	3.944505737	3.945503470	2862.100	5666.700	4478.906	4565.039
5	Spectrogram 1	2	3.945503470	3.946501202	2862.100	5666.700	4478.906	4565.039
6	Spectrogram 1	2	3.946501202	3.947498935	2862.100	5666.700	4478.906	4565.039
7	Spectrogram 1	2	3.947498935	3.948496667	2862.100	5666.700	4478.906	4565.039
8	Spectrogram 1	2	3.948496667	3.949494399	2862.100	5666.700	4478.906	4565.039
9	Spectrogram 1	2	3.949494399	3.950492132	2862.100	5666.700	4478.906	4565.039
10	Spectrogram 1	2	3.950492132	3.951489864	2862.100	5666.700	4565.039	4565.039
11	Spectrogram 1	2	3.951489864	3.952487597	2862.100	5666.700	4565.039	4565.039
12	Spectrogram 1	2	3.952487597	3.953485329	2862.100	5666.700	4565.039	4565.039
13	Spectrogram 1	2	3.953485329	3.954483062	2862.100	5666.700	4565.039	4565.039
14	Spectrogram 1	2	3.954483062	3.955480794	2862.100	5666.700	4565.039	4565.039
15	Spectrogram 1	2	3.955480794	3.956478526	2862.100	5666.700	4565.039	4565.039
16	Spectrogram 1	2	3.956478526	3.957476259	2862.100	5666.700	5340.234	5340.234
17	Spectrogram 1	2	3.957476259	3.958473991	2862.100	5666.700	5340.234	5340.234
18	Spectrogram 1	2	3.958473991	3.959471724	2862.100	5666.700	5340.234	5340.234
19	Spectrogram 1	2	3.959471724	3.960469456	2862.100	5666.700	5340.234	5340.234
20	Spectrogram 1	2	3.960469456	3.961467189	2862.100	5666.700	5340.234	5340.234
21	Spectrogram 1	2	3.961467189	3.962464921	2862.100	5666.700	5254.102	5254.102
22	Spectrogram 1	2	3.962464921	3.963462653	2862.100	5666.700	5254.102	5254.102
23	Spectrogram 1	2	3.963462653	3.964460386	2862.100	5666.700	5254.102	5254.102
24	Spectrogram 1	2	3.964460386	3.965458118	2862.100	5666.700	5254.102	5254.102
25	Spectrogram 1	2	3.965458118	3.966455851	2862.100	5666.700	5254.102	5254.102
26	Spectrogram 1	2	3.966455851	3.967453583	2862.100	5666.700	5254.102	5254.102
27	Spectrogram 1	2	3.967453583	3.968451316	2862.100	5666.700	5167.969	5167.969
28	Spectrogram 1	2	3.968451316	3.969449048	2862.100	5666.700	5167.969	5167.969
29	Spectrogram 1	2	3.969449048	3.970446780	2862.100	5666.700	5167.969	5167.969
30	Spectrogram 1	2	3.970446780	3.971444513	2862.100	5666.700	5167.969	5167.969
31	Spectrogram 1	2	3.971444513	3.972442245	2862.100	5666.700	5167.969	5167.969
32	Spectrogram 1	2	3.972442245	3.973439978	2862.100	5666.700	5167.969	5167.969
33	Spectrogram 1	2	3.973439978	3.974437710	2862.100	5666.700	5167.969	5167.969
34	Spectrogram 1	2	3.974437710	3.975435442	2862.100	5666.700	5167.969	5167.969
35	Spectrogram 1	2	3.975435442	3.976433175	2862.100	5666.700	5167.969	5167.969
36	Spectrogram 1	2	3.976433175	3.977430907	2862.100	5666.700	5167.969	5167.969
37	Spectrogram 1	2	3.977430907	3.978428640	2862.100	5666.700	5167.969	5167.969
38	Spectrogram 1	2	3.978428640	3.979426372	2862.100	5666.700	5167.969	5167.969
39	Spectrogram 1	2	3.979426372	3.980424105	2862.100	5666.700	5167.969	5167.969
40	Spectrogram 1	2	3.980424105	3.981421837	2862.100	5666.700	5167.969	5167.969
41	Spectrogram 1	2	3.981421837	3.982419569	2862.100	5666.700	5167.969	5167.969
42	Spectrogram 1	2	3.982419569	3.983417302	2862.100	5666.700	5167.969	5167.969
43	Spectrogram 1	2	3.983417302	3.984415034	2862.100	5666.700	5167.969	5167.969
44	Spectrogram 1	2	3.984415034	3.985412767	2862.100	5666.700	5167.969	5167.969
45	Spectrogram 1	2	3.985412767	3.986410499	2862.100	5666.700	5081.836	5167.969
46	Spectrogram 1	2	3.986410499	3.987408232	2862.100	5666.700	5081.836	5167.969
47	Spectrogram 1	2	3.987408232	3.988405964	2862.100	5666.700	5081.836	5167.969
48	Spectrogram 1	2	3.988405964	3.989403696	2862.100	5666.700	5081.836	5167.969
49	Spectrogram 1	2	3.989403696	3.990401429	2862.100	5666.700	5081.836	5167.969
50	Spectrogram 1	2	3.990401429	3.991399161	2862.100	5666.700	5081.836	5167.969
51	Spectrogram 1	2	3.991399161	3.992396894	2862.100	5666.700	4909.570	4823.438
52	Spectrogram 1	2	3.992396894	3.993394626	2862.100	5666.700	4909.570	4823.438
53	Spectrogram 1	2	3.993394626	3.994392359	2862.100	5666.700	4909.570	4823.438
54	Spectrogram 1	2	3.994392359	3.995390091	2862.100	5666.700	4909.570	4823.438
55	Spectrogram 1	2	3.995390091	3.996387823	2862.100	5666.700	4909.570	4823.438
