Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	16.781198474	16.782196206	2114.400	6494.200	4306.641	4306.641
2	Spectrogram 1	1	16.782196206	16.783193939	2114.400	6494.200	4306.641	4306.641
3	Spectrogram 1	1	16.783193939	16.784191671	2114.400	6494.200	4306.641	4306.641
4	Spectrogram 1	1	16.784191671	16.785189404	2114.400	6494.200	4306.641	4306.641
5	Spectrogram 1	1	16.785189404	16.786187136	2114.400	6494.200	4478.906	4995.703
6	Spectrogram 1	1	16.786187136	16.787184869	2114.400	6494.200	4478.906	4995.703
7	Spectrogram 1	1	16.787184869	16.788182601	2114.400	6494.200	4478.906	4995.703
8	Spectrogram 1	1	16.788182601	16.789180333	2114.400	6494.200	4478.906	4995.703
9	Spectrogram 1	1	16.789180333	16.790178066	2114.400	6494.200	4478.906	4995.703
10	Spectrogram 1	1	16.790178066	16.791175798	2114.400	6494.200	4478.906	4995.703
11	Spectrogram 1	1	16.791175798	16.792173531	2114.400	6494.200	4995.703	4995.703
12	Spectrogram 1	1	16.792173531	16.793171263	2114.400	6494.200	4995.703	4995.703
13	Spectrogram 1	1	16.793171263	16.794168996	2114.400	6494.200	4995.703	4995.703
14	Spectrogram 1	1	16.794168996	16.795166728	2114.400	6494.200	4995.703	4995.703
15	Spectrogram 1	1	16.795166728	16.796164460	2114.400	6494.200	4995.703	4995.703
16	Spectrogram 1	1	16.796164460	16.797162193	2114.400	6494.200	4995.703	4995.703
17	Spectrogram 1	1	16.797162193	16.798159925	2114.400	6494.200	5426.367	5426.367
18	Spectrogram 1	1	16.798159925	16.799157658	2114.400	6494.200	5426.367	5426.367
19	Spectrogram 1	1	16.799157658	16.800155390	2114.400	6494.200	5426.367	5426.367
20	Spectrogram 1	1	16.800155390	16.801153123	2114.400	6494.200	5426.367	5426.367
21	Spectrogram 1	1	16.801153123	16.802150855	2114.400	6494.200	5426.367	5426.367
22	Spectrogram 1	1	16.802150855	16.803148587	2114.400	6494.200	4995.703	4995.703
23	Spectrogram 1	1	16.803148587	16.804146320	2114.400	6494.200	4995.703	4995.703
24	Spectrogram 1	1	16.804146320	16.805144052	2114.400	6494.200	4995.703	4995.703
25	Spectrogram 1	1	16.805144052	16.806141785	2114.400	6494.200	4995.703	4995.703
26	Spectrogram 1	1	16.806141785	16.807139517	2114.400	6494.200	4995.703	4995.703
27	Spectrogram 1	1	16.807139517	16.808137250	2114.400	6494.200	4995.703	4995.703
28	Spectrogram 1	1	16.808137250	16.809134982	2114.400	6494.200	4995.703	4995.703
29	Spectrogram 1	1	16.809134982	16.810132714	2114.400	6494.200	4995.703	4995.703
30	Spectrogram 1	1	16.810132714	16.811130447	2114.400	6494.200	4995.703	4995.703
31	Spectrogram 1	1	16.811130447	16.812128179	2114.400	6494.200	4995.703	4995.703
32	Spectrogram 1	1	16.812128179	16.813125912	2114.400	6494.200	4995.703	4995.703
33	Spectrogram 1	1	16.813125912	16.814123644	2114.400	6494.200	4995.703	4995.703
34	Spectrogram 1	1	16.814123644	16.815121376	2114.400	6494.200	4737.305	4737.305
35	Spectrogram 1	1	16.815121376	16.816119109	2114.400	6494.200	4737.305	4737.305
36	Spectrogram 1	1	16.816119109	16.817116841	2114.400	6494.200	4737.305	4737.305
37	Spectrogram 1	1	16.817116841	16.818114574	2114.400	6494.200	4737.305	4737.305
38	Spectrogram 1	1	16.818114574	16.819112306	2114.400	6494.200	4737.305	4737.305
39	Spectrogram 1	1	16.819112306	16.820110039	2114.400	6494.200	4737.305	4737.305
40	Spectrogram 1	1	16.820110039	16.821107771	2114.400	6494.200	4995.703	4995.703
41	Spectrogram 1	1	16.821107771	16.822105503	2114.400	6494.200	4995.703	4995.703
42	Spectrogram 1	1	16.822105503	16.823103236	2114.400	6494.200	4995.703	4995.703
43	Spectrogram 1	1	16.823103236	16.824100968	2114.400	6494.200	4995.703	4995.703
44	Spectrogram 1	1	16.824100968	16.825098701	2114.400	6494.200	4995.703	4995.703
45	Spectrogram 1	1	16.825098701	16.826096433	2114.400	6494.200	4995.703	4995.703
