Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	120.829437905	120.830435637	2318.700	6256.200	4478.906	4565.039
2	Spectrogram 1	1	120.830435637	120.831433370	2318.700	6256.200	4478.906	4565.039
3	Spectrogram 1	1	120.831433370	120.832431102	2318.700	6256.200	4478.906	4565.039
4	Spectrogram 1	1	120.832431102	120.833428835	2318.700	6256.200	4478.906	4565.039
5	Spectrogram 1	1	120.833428835	120.834426567	2318.700	6256.200	4392.773	3703.711
6	Spectrogram 1	1	120.834426567	120.835424300	2318.700	6256.200	4392.773	3703.711
7	Spectrogram 1	1	120.835424300	120.836422032	2318.700	6256.200	4392.773	3703.711
8	Spectrogram 1	1	120.836422032	120.837419764	2318.700	6256.200	4392.773	3703.711
9	Spectrogram 1	1	120.837419764	120.838417497	2318.700	6256.200	4392.773	3703.711
10	Spectrogram 1	1	120.838417497	120.839415229	2318.700	6256.200	4392.773	3703.711
11	Spectrogram 1	1	120.839415229	120.840412962	2318.700	6256.200	4909.570	4995.703
12	Spectrogram 1	1	120.840412962	120.841410694	2318.700	6256.200	4909.570	4995.703
13	Spectrogram 1	1	120.841410694	120.842408427	2318.700	6256.200	4909.570	4995.703
14	Spectrogram 1	1	120.842408427	120.843406159	2318.700	6256.200	4909.570	4995.703
15	Spectrogram 1	1	120.843406159	120.844403891	2318.700	6256.200	4909.570	4995.703
16	Spectrogram 1	1	120.844403891	120.845401624	2318.700	6256.200	4909.570	4995.703
17	Spectrogram 1	1	120.845401624	120.846399356	2318.700	6256.200	5081.836	4995.703
18	Spectrogram 1	1	120.846399356	120.847397089	2318.700	6256.200	5081.836	4995.703
19	Spectrogram 1	1	120.847397089	120.848394821	2318.700	6256.200	5081.836	4995.703
20	Spectrogram 1	1	120.848394821	120.849392554	2318.700	6256.200	5081.836	4995.703
21	Spectrogram 1	1	120.849392554	120.850390286	2318.700	6256.200	5081.836	4995.703
22	Spectrogram 1	1	120.850390286	120.851388018	2318.700	6256.200	5081.836	4995.703
23	Spectrogram 1	1	120.851388018	120.852385751	2318.700	6256.200	4909.570	4909.570
24	Spectrogram 1	1	120.852385751	120.853383483	2318.700	6256.200	4909.570	4909.570
25	Spectrogram 1	1	120.853383483	120.854381216	2318.700	6256.200	4909.570	4909.570
26	Spectrogram 1	1	120.854381216	120.855378948	2318.700	6256.200	4909.570	4909.570
27	Spectrogram 1	1	120.855378948	120.856376681	2318.700	6256.200	4909.570	4909.570
28	Spectrogram 1	1	120.856376681	120.857374413	2318.700	6256.200	4909.570	4909.570
29	Spectrogram 1	1	120.857374413	120.858372145	2318.700	6256.200	4909.570	5081.836
30	Spectrogram 1	1	120.858372145	120.859369878	2318.700	6256.200	4909.570	5081.836
31	Spectrogram 1	1	120.859369878	120.860367610	2318.700	6256.200	4909.570	5081.836
32	Spectrogram 1	1	120.860367610	120.861365343	2318.700	6256.200	4909.570	5081.836
33	Spectrogram 1	1	120.861365343	120.862363075	2318.700	6256.200	4909.570	5081.836
34	Spectrogram 1	1	120.862363075	120.863360807	2318.700	6256.200	4651.172	4651.172
35	Spectrogram 1	1	120.863360807	120.864358540	2318.700	6256.200	4651.172	4651.172
36	Spectrogram 1	1	120.864358540	120.865356272	2318.700	6256.200	4651.172	4651.172
37	Spectrogram 1	1	120.865356272	120.866354005	2318.700	6256.200	4651.172	4651.172
38	Spectrogram 1	1	120.866354005	120.867351737	2318.700	6256.200	4651.172	4651.172
39	Spectrogram 1	1	120.867351737	120.868349470	2318.700	6256.200	4651.172	4651.172
