Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	83.018016495	83.019014227	2858.500	6589.655	4995.703	5426.367
2	Spectrogram 1	1	83.019014227	83.020011960	2858.500	6589.655	4995.703	5426.367
3	Spectrogram 1	1	83.020011960	83.021009692	2858.500	6589.655	4909.570	5512.500
4	Spectrogram 1	1	83.021009692	83.022007425	2858.500	6589.655	4909.570	5512.500
5	Spectrogram 1	1	83.022007425	83.023005157	2858.500	6589.655	4909.570	5512.500
6	Spectrogram 1	1	83.023005157	83.024002890	2858.500	6589.655	4909.570	5512.500
7	Spectrogram 1	1	83.024002890	83.025000622	2858.500	6589.655	4909.570	5512.500
8	Spectrogram 1	1	83.025000622	83.025998354	2858.500	6589.655	4909.570	5512.500
9	Spectrogram 1	1	83.025998354	83.026996087	2858.500	6589.655	5512.500	5512.500
10	Spectrogram 1	1	83.026996087	83.027993819	2858.500	6589.655	5512.500	5512.500
11	Spectrogram 1	1	83.027993819	83.028991552	2858.500	6589.655	5512.500	5512.500
12	Spectrogram 1	1	83.028991552	83.029989284	2858.500	6589.655	5512.500	5512.500
13	Spectrogram 1	1	83.029989284	83.030987017	2858.500	6589.655	5512.500	5512.500
14	Spectrogram 1	1	83.030987017	83.031984749	2858.500	6589.655	5512.500	5512.500
15	Spectrogram 1	1	83.031984749	83.032982481	2858.500	6589.655	5770.898	5857.031
16	Spectrogram 1	1	83.032982481	83.033980214	2858.500	6589.655	5770.898	5857.031
17	Spectrogram 1	1	83.033980214	83.034977946	2858.500	6589.655	5770.898	5857.031
18	Spectrogram 1	1	83.034977946	83.035975679	2858.500	6589.655	5770.898	5857.031
19	Spectrogram 1	1	83.035975679	83.036973411	2858.500	6589.655	5770.898	5857.031
20	Spectrogram 1	1	83.036973411	83.037971144	2858.500	6589.655	5684.766	5770.898
21	Spectrogram 1	1	83.037971144	83.038968876	2858.500	6589.655	5684.766	5770.898
22	Spectrogram 1	1	83.038968876	83.039966608	2858.500	6589.655	5684.766	5770.898
23	Spectrogram 1	1	83.039966608	83.040964341	2858.500	6589.655	5684.766	5770.898
24	Spectrogram 1	1	83.040964341	83.041962073	2858.500	6589.655	5684.766	5770.898
25	Spectrogram 1	1	83.041962073	83.042959806	2858.500	6589.655	5684.766	5770.898
26	Spectrogram 1	1	83.042959806	83.043957538	2858.500	6589.655	5167.969	4823.438
27	Spectrogram 1	1	83.043957538	83.044955271	2858.500	6589.655	5167.969	4823.438
28	Spectrogram 1	1	83.044955271	83.045953003	2858.500	6589.655	5167.969	4823.438
29	Spectrogram 1	1	83.045953003	83.046950735	2858.500	6589.655	5167.969	4823.438
30	Spectrogram 1	1	83.046950735	83.047948468	2858.500	6589.655	5167.969	4823.438
31	Spectrogram 1	1	83.047948468	83.048946200	2858.500	6589.655	5167.969	4823.438
32	Spectrogram 1	1	83.048946200	83.049943933	2858.500	6589.655	5426.367	5426.367
33	Spectrogram 1	1	83.049943933	83.050941665	2858.500	6589.655	5426.367	5426.367
34	Spectrogram 1	1	83.050941665	83.051939397	2858.500	6589.655	5426.367	5426.367
35	Spectrogram 1	1	83.051939397	83.052937130	2858.500	6589.655	5426.367	5426.367
36	Spectrogram 1	1	83.052937130	83.053934862	2858.500	6589.655	5426.367	5426.367
37	Spectrogram 1	1	83.053934862	83.054932595	2858.500	6589.655	5426.367	5426.367
38	Spectrogram 1	1	83.054932595	83.055930327	2858.500	6589.655	5426.367	5426.367
39	Spectrogram 1	1	83.055930327	83.056928060	2858.500	6589.655	5426.367	5426.367
40	Spectrogram 1	1	83.056928060	83.057925792	2858.500	6589.655	5426.367	5426.367
41	Spectrogram 1	1	83.057925792	83.058923524	2858.500	6589.655	5426.367	5426.367
42	Spectrogram 1	1	83.058923524	83.059921257	2858.500	6589.655	5426.367	5426.367
43	Spectrogram 1	1	83.059921257	83.060918989	2858.500	6589.655	5426.367	5426.367
44	Spectrogram 1	1	83.060918989	83.061916722	2858.500	6589.655	5426.367	5426.367
45	Spectrogram 1	1	83.061916722	83.062914454	2858.500	6589.655	5426.367	5426.367
46	Spectrogram 1	1	83.062914454	83.063912187	2858.500	6589.655	5426.367	5426.367
47	Spectrogram 1	1	83.063912187	83.064909919	2858.500	6589.655	5426.367	5426.367
48	Spectrogram 1	1	83.064909919	83.065907651	2858.500	6589.655	5426.367	5426.367
49	Spectrogram 1	1	83.065907651	83.066905384	2858.500	6589.655	5426.367	5426.367
50	Spectrogram 1	1	83.066905384	83.067903116	2858.500	6589.655	5340.234	5340.234
51	Spectrogram 1	1	83.067903116	83.068900849	2858.500	6589.655	5340.234	5340.234
52	Spectrogram 1	1	83.068900849	83.069898581	2858.500	6589.655	5340.234	5340.234
53	Spectrogram 1	1	83.069898581	83.070896314	2858.500	6589.655	5340.234	5340.234
54	Spectrogram 1	1	83.070896314	83.071894046	2858.500	6589.655	5340.234	5340.234
55	Spectrogram 1	1	83.071894046	83.072891778	2858.500	6589.655	5254.102	5254.102
