Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	24.922635212	24.923632944	2685.800	5846.900	3703.711	3359.180
2	Spectrogram 1	1	24.923632944	24.924630677	2685.800	5846.900	4478.906	4478.906
3	Spectrogram 1	1	24.924630677	24.925628409	2685.800	5846.900	4478.906	4478.906
4	Spectrogram 1	1	24.925628409	24.926626142	2685.800	5846.900	4478.906	4478.906
5	Spectrogram 1	1	24.926626142	24.927623874	2685.800	5846.900	4478.906	4478.906
6	Spectrogram 1	1	24.927623874	24.928621607	2685.800	5846.900	4478.906	4478.906
7	Spectrogram 1	1	24.928621607	24.929619339	2685.800	5846.900	4478.906	4478.906
8	Spectrogram 1	1	24.929619339	24.930617071	2685.800	5846.900	4478.906	4478.906
9	Spectrogram 1	1	24.930617071	24.931614804	2685.800	5846.900	4478.906	4478.906
10	Spectrogram 1	1	24.931614804	24.932612536	2685.800	5846.900	4478.906	4478.906
11	Spectrogram 1	1	24.932612536	24.933610269	2685.800	5846.900	4478.906	4478.906
12	Spectrogram 1	1	24.933610269	24.934608001	2685.800	5846.900	4478.906	4478.906
13	Spectrogram 1	1	24.934608001	24.935605734	2685.800	5846.900	4478.906	4478.906
14	Spectrogram 1	1	24.935605734	24.936603466	2685.800	5846.900	4565.039	4565.039
15	Spectrogram 1	1	24.936603466	24.937601198	2685.800	5846.900	4565.039	4565.039
16	Spectrogram 1	1	24.937601198	24.938598931	2685.800	5846.900	4565.039	4565.039
17	Spectrogram 1	1	24.938598931	24.939596663	2685.800	5846.900	4565.039	4565.039
18	Spectrogram 1	1	24.939596663	24.940594396	2685.800	5846.900	4565.039	4565.039
19	Spectrogram 1	1	24.940594396	24.941592128	2685.800	5846.900	4565.039	4565.039
20	Spectrogram 1	1	24.941592128	24.942589861	2685.800	5846.900	4478.906	4478.906
21	Spectrogram 1	1	24.942589861	24.943587593	2685.800	5846.900	4478.906	4478.906
22	Spectrogram 1	1	24.943587593	24.944585325	2685.800	5846.900	4478.906	4478.906
23	Spectrogram 1	1	24.944585325	24.945583058	2685.800	5846.900	4478.906	4478.906
24	Spectrogram 1	1	24.945583058	24.946580790	2685.800	5846.900	4478.906	4478.906
25	Spectrogram 1	1	24.946580790	24.947578523	2685.800	5846.900	4392.773	4392.773
26	Spectrogram 1	1	24.947578523	24.948576255	2685.800	5846.900	4392.773	4392.773
27	Spectrogram 1	1	24.948576255	24.949573988	2685.800	5846.900	4392.773	4392.773
28	Spectrogram 1	1	24.949573988	24.950571720	2685.800	5846.900	4392.773	4392.773
29	Spectrogram 1	1	24.950571720	24.951569452	2685.800	5846.900	4392.773	4392.773
30	Spectrogram 1	1	24.951569452	24.952567185	2685.800	5846.900	4392.773	4392.773
31	Spectrogram 1	1	24.952567185	24.953564917	2685.800	5846.900	4478.906	4478.906
32	Spectrogram 1	1	24.953564917	24.954562650	2685.800	5846.900	4478.906	4478.906
33	Spectrogram 1	1	24.954562650	24.955560382	2685.800	5846.900	4478.906	4478.906
34	Spectrogram 1	1	24.955560382	24.956558114	2685.800	5846.900	4478.906	4478.906
35	Spectrogram 1	1	24.956558114	24.957555847	2685.800	5846.900	4478.906	4478.906
36	Spectrogram 1	1	24.957555847	24.958553579	2685.800	5846.900	4478.906	4478.906
37	Spectrogram 1	1	24.958553579	24.959551312	2685.800	5846.900	4565.039	4737.305
38	Spectrogram 1	1	24.959551312	24.960549044	2685.800	5846.900	4565.039	4737.305
39	Spectrogram 1	1	24.960549044	24.961546777	2685.800	5846.900	4565.039	4737.305
40	Spectrogram 1	1	24.961546777	24.962544509	2685.800	5846.900	4565.039	4737.305
41	Spectrogram 1	1	24.962544509	24.963542241	2685.800	5846.900	4565.039	4737.305
42	Spectrogram 1	1	24.963542241	24.964539974	2685.800	5846.900	4565.039	4737.305
43	Spectrogram 1	1	24.964539974	24.965537706	2685.800	5846.900	4565.039	4565.039
44	Spectrogram 1	1	24.965537706	24.966535439	2685.800	5846.900	4565.039	4565.039
45	Spectrogram 1	1	24.966535439	24.967533171	2685.800	5846.900	4565.039	4565.039
46	Spectrogram 1	1	24.967533171	24.968530904	2685.800	5846.900	4565.039	4565.039
47	Spectrogram 1	1	24.968530904	24.969528636	2685.800	5846.900	4565.039	4565.039
48	Spectrogram 1	1	24.969528636	24.970526368	2685.800	5846.900	4565.039	4565.039
49	Spectrogram 1	1	24.970526368	24.971524101	2685.800	5846.900	4478.906	4478.906
50	Spectrogram 1	1	24.971524101	24.972521833	2685.800	5846.900	4478.906	4478.906
51	Spectrogram 1	1	24.972521833	24.973519566	2685.800	5846.900	4478.906	4478.906
52	Spectrogram 1	1	24.973519566	24.974517298	2685.800	5846.900	4478.906	4478.906
53	Spectrogram 1	1	24.974517298	24.975515031	2685.800	5846.900	4478.906	4478.906
54	Spectrogram 1	1	24.975515031	24.976512763	2685.800	5846.900	5081.836	5167.969
55	Spectrogram 1	1	24.976512763	24.977510495	2685.800	5846.900	5081.836	5167.969
56	Spectrogram 1	1	24.977510495	24.978508228	2685.800	5846.900	5081.836	5167.969
57	Spectrogram 1	1	24.978508228	24.979505960	2685.800	5846.900	5081.836	5167.969
58	Spectrogram 1	1	24.979505960	24.980503693	2685.800	5846.900	5081.836	5167.969
59	Spectrogram 1	1	24.980503693	24.981501425	2685.800	5846.900	5081.836	5167.969
60	Spectrogram 1	1	24.981501425	24.982499158	2685.800	5846.900	4478.906	4392.773
61	Spectrogram 1	1	24.982499158	24.983496890	2685.800	5846.900	4478.906	4392.773
