Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.998894548	5.999892280	3254.232	5972.052	4220.508	4392.773
2	Spectrogram 1	1	5.999892280	6.000890013	3254.232	5972.052	4909.570	4995.703
3	Spectrogram 1	1	6.000890013	6.001887745	3254.232	5972.052	4909.570	4995.703
4	Spectrogram 1	1	6.001887745	6.002885478	3254.232	5972.052	4909.570	4995.703
5	Spectrogram 1	1	6.002885478	6.003883210	3254.232	5972.052	4909.570	4995.703
6	Spectrogram 1	1	6.003883210	6.004880943	3254.232	5972.052	4909.570	4995.703
7	Spectrogram 1	1	6.004880943	6.005878675	3254.232	5972.052	4823.438	4823.438
8	Spectrogram 1	1	6.005878675	6.006876407	3254.232	5972.052	4823.438	4823.438
9	Spectrogram 1	1	6.006876407	6.007874140	3254.232	5972.052	4823.438	4823.438
10	Spectrogram 1	1	6.007874140	6.008871872	3254.232	5972.052	4823.438	4823.438
11	Spectrogram 1	1	6.008871872	6.009869605	3254.232	5972.052	4823.438	4823.438
12	Spectrogram 1	1	6.009869605	6.010867337	3254.232	5972.052	4823.438	4823.438
13	Spectrogram 1	1	6.010867337	6.011865070	3254.232	5972.052	4823.438	4823.438
14	Spectrogram 1	1	6.011865070	6.012862802	3254.232	5972.052	4823.438	4823.438
15	Spectrogram 1	1	6.012862802	6.013860534	3254.232	5972.052	4823.438	4823.438
16	Spectrogram 1	1	6.013860534	6.014858267	3254.232	5972.052	4823.438	4823.438
17	Spectrogram 1	1	6.014858267	6.015855999	3254.232	5972.052	4823.438	4823.438
18	Spectrogram 1	1	6.015855999	6.016853732	3254.232	5972.052	4823.438	4823.438
19	Spectrogram 1	1	6.016853732	6.017851464	3254.232	5972.052	4823.438	4823.438
20	Spectrogram 1	1	6.017851464	6.018849197	3254.232	5972.052	4823.438	4823.438
21	Spectrogram 1	1	6.018849197	6.019846929	3254.232	5972.052	4823.438	4823.438
22	Spectrogram 1	1	6.019846929	6.020844661	3254.232	5972.052	4823.438	4823.438
23	Spectrogram 1	1	6.020844661	6.021842394	3254.232	5972.052	4823.438	4823.438
24	Spectrogram 1	1	6.021842394	6.022840126	3254.232	5972.052	4823.438	4823.438
25	Spectrogram 1	1	6.022840126	6.023837859	3254.232	5972.052	4995.703	4909.570
26	Spectrogram 1	1	6.023837859	6.024835591	3254.232	5972.052	4995.703	4909.570
27	Spectrogram 1	1	6.024835591	6.025833324	3254.232	5972.052	4995.703	4909.570
28	Spectrogram 1	1	6.025833324	6.026831056	3254.232	5972.052	4995.703	4909.570
29	Spectrogram 1	1	6.026831056	6.027828788	3254.232	5972.052	4995.703	4909.570
30	Spectrogram 1	1	6.027828788	6.028826521	3254.232	5972.052	4995.703	4909.570
31	Spectrogram 1	1	6.028826521	6.029824253	3254.232	5972.052	5167.969	5167.969
32	Spectrogram 1	1	6.029824253	6.030821986	3254.232	5972.052	5167.969	5167.969
33	Spectrogram 1	1	6.030821986	6.031819718	3254.232	5972.052	5167.969	5167.969
34	Spectrogram 1	1	6.031819718	6.032817450	3254.232	5972.052	5167.969	5167.969
35	Spectrogram 1	1	6.032817450	6.033815183	3254.232	5972.052	5167.969	5167.969
36	Spectrogram 1	1	6.033815183	6.034812915	3254.232	5972.052	5167.969	5167.969
37	Spectrogram 1	1	6.034812915	6.035810648	3254.232	5972.052	5167.969	5167.969
38	Spectrogram 1	1	6.035810648	6.036808380	3254.232	5972.052	5167.969	5167.969
39	Spectrogram 1	1	6.036808380	6.037806113	3254.232	5972.052	5167.969	5167.969
40	Spectrogram 1	1	6.037806113	6.038803845	3254.232	5972.052	5167.969	5167.969
41	Spectrogram 1	1	6.038803845	6.039801577	3254.232	5972.052	5167.969	5167.969
42	Spectrogram 1	1	6.039801577	6.040799310	3254.232	5972.052	5254.102	5254.102
43	Spectrogram 1	1	6.040799310	6.041797042	3254.232	5972.052	5254.102	5254.102
44	Spectrogram 1	1	6.041797042	6.042794775	3254.232	5972.052	5254.102	5254.102
45	Spectrogram 1	1	6.042794775	6.043792507	3254.232	5972.052	5254.102	5254.102
46	Spectrogram 1	1	6.043792507	6.044790240	3254.232	5972.052	5254.102	5254.102
47	Spectrogram 1	1	6.044790240	6.045787972	3254.232	5972.052	5254.102	5254.102
48	Spectrogram 1	1	6.045787972	6.046785704	3254.232	5972.052	5167.969	5167.969
49	Spectrogram 1	1	6.046785704	6.047783437	3254.232	5972.052	5167.969	5167.969
50	Spectrogram 1	1	6.047783437	6.048781169	3254.232	5972.052	5167.969	5167.969
51	Spectrogram 1	1	6.048781169	6.049778902	3254.232	5972.052	5167.969	5167.969
52	Spectrogram 1	1	6.049778902	6.050776634	3254.232	5972.052	5167.969	5167.969
53	Spectrogram 1	1	6.050776634	6.051774367	3254.232	5972.052	5167.969	5167.969
54	Spectrogram 1	1	6.051774367	6.052772099	3254.232	5972.052	5081.836	4995.703
55	Spectrogram 1	1	6.052772099	6.053769831	3254.232	5972.052	5081.836	4995.703
56	Spectrogram 1	1	6.053769831	6.054767564	3254.232	5972.052	5081.836	4995.703
57	Spectrogram 1	1	6.054767564	6.055765296	3254.232	5972.052	5081.836	4995.703
58	Spectrogram 1	1	6.055765296	6.056763029	3254.232	5972.052	5081.836	4995.703
59	Spectrogram 1	1	6.056763029	6.057760761	3254.232	5972.052	5081.836	4995.703
60	Spectrogram 1	1	6.057760761	6.058758494	3254.232	5972.052	5081.836	5081.836
61	Spectrogram 1	1	6.058758494	6.059756226	3254.232	5972.052	5081.836	5081.836
62	Spectrogram 1	1	6.059756226	6.060753958	3254.232	5972.052	5081.836	5081.836
63	Spectrogram 1	1	6.060753958	6.061751691	3254.232	5972.052	5081.836	5081.836
64	Spectrogram 1	1	6.061751691	6.062749423	3254.232	5972.052	5081.836	5081.836
65	Spectrogram 1	1	6.062749423	6.063747156	3254.232	5972.052	5081.836	5081.836
66	Spectrogram 1	1	6.063747156	6.064744888	3254.232	5972.052	5081.836	4909.570
67	Spectrogram 1	1	6.064744888	6.065742621	3254.232	5972.052	5081.836	4909.570
