Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	16.620000000	16.620997732	2938.913	6194.600	4306.641	4306.641
2	Spectrogram 1	1	16.620997732	16.621995465	2938.913	6194.600	4306.641	4306.641
3	Spectrogram 1	1	16.621995465	16.622993197	2938.913	6194.600	4306.641	4306.641
4	Spectrogram 1	1	16.622993197	16.623990930	2938.913	6194.600	4909.570	4823.438
5	Spectrogram 1	1	16.623990930	16.624988662	2938.913	6194.600	4909.570	4823.438
6	Spectrogram 1	1	16.624988662	16.625986395	2938.913	6194.600	4909.570	4823.438
7	Spectrogram 1	1	16.625986395	16.626984127	2938.913	6194.600	4909.570	4823.438
8	Spectrogram 1	1	16.626984127	16.627981859	2938.913	6194.600	4909.570	4823.438
9	Spectrogram 1	1	16.627981859	16.628979592	2938.913	6194.600	5512.500	5512.500
10	Spectrogram 1	1	16.628979592	16.629977324	2938.913	6194.600	5512.500	5512.500
11	Spectrogram 1	1	16.629977324	16.630975057	2938.913	6194.600	5512.500	5512.500
12	Spectrogram 1	1	16.630975057	16.631972789	2938.913	6194.600	5512.500	5512.500
13	Spectrogram 1	1	16.631972789	16.632970522	2938.913	6194.600	5512.500	5512.500
14	Spectrogram 1	1	16.632970522	16.633968254	2938.913	6194.600	5512.500	5512.500
15	Spectrogram 1	1	16.633968254	16.634965986	2938.913	6194.600	5426.367	5426.367
16	Spectrogram 1	1	16.634965986	16.635963719	2938.913	6194.600	5426.367	5426.367
17	Spectrogram 1	1	16.635963719	16.636961451	2938.913	6194.600	5426.367	5426.367
18	Spectrogram 1	1	16.636961451	16.637959184	2938.913	6194.600	5426.367	5426.367
19	Spectrogram 1	1	16.637959184	16.638956916	2938.913	6194.600	5426.367	5426.367
20	Spectrogram 1	1	16.638956916	16.639954649	2938.913	6194.600	5426.367	5426.367
21	Spectrogram 1	1	16.639954649	16.640952381	2938.913	6194.600	4823.438	4651.172
22	Spectrogram 1	1	16.640952381	16.641950113	2938.913	6194.600	4823.438	4651.172
23	Spectrogram 1	1	16.641950113	16.642947846	2938.913	6194.600	4823.438	4651.172
24	Spectrogram 1	1	16.642947846	16.643945578	2938.913	6194.600	4823.438	4651.172
25	Spectrogram 1	1	16.643945578	16.644943311	2938.913	6194.600	4823.438	4651.172
26	Spectrogram 1	1	16.644943311	16.645941043	2938.913	6194.600	4823.438	4651.172
27	Spectrogram 1	1	16.645941043	16.646938776	2938.913	6194.600	4909.570	4909.570
28	Spectrogram 1	1	16.646938776	16.647936508	2938.913	6194.600	4909.570	4909.570
