Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	43.642095774	43.643093506	2335.800	6318.700	4909.570	4306.641
2	Spectrogram 1	1	43.643093506	43.644091239	2335.800	6318.700	4909.570	4306.641
3	Spectrogram 1	1	43.644091239	43.645088971	2335.800	6318.700	4909.570	4306.641
4	Spectrogram 1	1	43.645088971	43.646086704	2335.800	6318.700	4737.305	4737.305
5	Spectrogram 1	1	43.646086704	43.647084436	2335.800	6318.700	4737.305	4737.305
6	Spectrogram 1	1	43.647084436	43.648082169	2335.800	6318.700	4737.305	4737.305
7	Spectrogram 1	1	43.648082169	43.649079901	2335.800	6318.700	4737.305	4737.305
8	Spectrogram 1	1	43.649079901	43.650077633	2335.800	6318.700	4737.305	4737.305
9	Spectrogram 1	1	43.650077633	43.651075366	2335.800	6318.700	4737.305	4737.305
10	Spectrogram 1	1	43.651075366	43.652073098	2335.800	6318.700	5081.836	5081.836
11	Spectrogram 1	1	43.652073098	43.653070831	2335.800	6318.700	5081.836	5081.836
12	Spectrogram 1	1	43.653070831	43.654068563	2335.800	6318.700	5081.836	5081.836
13	Spectrogram 1	1	43.654068563	43.655066296	2335.800	6318.700	5081.836	5081.836
14	Spectrogram 1	1	43.655066296	43.656064028	2335.800	6318.700	5081.836	5081.836
15	Spectrogram 1	1	43.656064028	43.657061760	2335.800	6318.700	5512.500	5512.500
16	Spectrogram 1	1	43.657061760	43.658059493	2335.800	6318.700	5512.500	5512.500
17	Spectrogram 1	1	43.658059493	43.659057225	2335.800	6318.700	5512.500	5512.500
18	Spectrogram 1	1	43.659057225	43.660054958	2335.800	6318.700	5512.500	5512.500
19	Spectrogram 1	1	43.660054958	43.661052690	2335.800	6318.700	5512.500	5512.500
20	Spectrogram 1	1	43.661052690	43.662050423	2335.800	6318.700	5512.500	5512.500
21	Spectrogram 1	1	43.662050423	43.663048155	2335.800	6318.700	5512.500	5512.500
22	Spectrogram 1	1	43.663048155	43.664045887	2335.800	6318.700	5512.500	5512.500
23	Spectrogram 1	1	43.664045887	43.665043620	2335.800	6318.700	5512.500	5512.500
24	Spectrogram 1	1	43.665043620	43.666041352	2335.800	6318.700	5512.500	5512.500
25	Spectrogram 1	1	43.666041352	43.667039085	2335.800	6318.700	5512.500	5512.500
26	Spectrogram 1	1	43.667039085	43.668036817	2335.800	6318.700	5512.500	5512.500
27	Spectrogram 1	1	43.668036817	43.669034550	2335.800	6318.700	5426.367	5426.367
28	Spectrogram 1	1	43.669034550	43.670032282	2335.800	6318.700	5426.367	5426.367
29	Spectrogram 1	1	43.670032282	43.671030014	2335.800	6318.700	5426.367	5426.367
30	Spectrogram 1	1	43.671030014	43.672027747	2335.800	6318.700	5426.367	5426.367
31	Spectrogram 1	1	43.672027747	43.673025479	2335.800	6318.700	5426.367	5426.367
32	Spectrogram 1	1	43.673025479	43.674023212	2335.800	6318.700	5426.367	5426.367
33	Spectrogram 1	1	43.674023212	43.675020944	2335.800	6318.700	5254.102	5254.102
34	Spectrogram 1	1	43.675020944	43.676018676	2335.800	6318.700	5254.102	5254.102
35	Spectrogram 1	1	43.676018676	43.677016409	2335.800	6318.700	5254.102	5254.102
36	Spectrogram 1	1	43.677016409	43.678014141	2335.800	6318.700	5254.102	5254.102
37	Spectrogram 1	1	43.678014141	43.679011874	2335.800	6318.700	5254.102	5254.102
38	Spectrogram 1	1	43.679011874	43.680009606	2335.800	6318.700	5254.102	5254.102
39	Spectrogram 1	1	43.680009606	43.681007339	2335.800	6318.700	5081.836	5081.836
40	Spectrogram 1	1	43.681007339	43.682005071	2335.800	6318.700	5081.836	5081.836
41	Spectrogram 1	1	43.682005071	43.683002803	2335.800	6318.700	5081.836	5081.836
42	Spectrogram 1	1	43.683002803	43.684000536	2335.800	6318.700	5081.836	5081.836
43	Spectrogram 1	1	43.684000536	43.684998268	2335.800	6318.700	5081.836	5081.836
44	Spectrogram 1	1	43.684998268	43.685996001	2335.800	6318.700	4995.703	4995.703
45	Spectrogram 1	1	43.685996001	43.686993733	2335.800	6318.700	4995.703	4995.703
46	Spectrogram 1	1	43.686993733	43.687991466	2335.800	6318.700	4995.703	4995.703
47	Spectrogram 1	1	43.687991466	43.688989198	2335.800	6318.700	4995.703	4995.703
48	Spectrogram 1	1	43.688989198	43.689986930	2335.800	6318.700	4995.703	4995.703
49	Spectrogram 1	1	43.689986930	43.690984663	2335.800	6318.700	4995.703	4995.703
50	Spectrogram 1	1	43.690984663	43.691982395	2335.800	6318.700	4909.570	4909.570
51	Spectrogram 1	1	43.691982395	43.692980128	2335.800	6318.700	4909.570	4909.570
52	Spectrogram 1	1	43.692980128	43.693977860	2335.800	6318.700	4909.570	4909.570
53	Spectrogram 1	1	43.693977860	43.694975593	2335.800	6318.700	4909.570	4909.570
54	Spectrogram 1	1	43.694975593	43.695973325	2335.800	6318.700	4909.570	4909.570
55	Spectrogram 1	1	43.695973325	43.696971057	2335.800	6318.700	4909.570	4909.570
56	Spectrogram 1	1	43.696971057	43.697968790	2335.800	6318.700	4995.703	4995.703
57	Spectrogram 1	1	43.697968790	43.698966522	2335.800	6318.700	4995.703	4995.703
58	Spectrogram 1	1	43.698966522	43.699964255	2335.800	6318.700	4995.703	4995.703
59	Spectrogram 1	1	43.699964255	43.700961987	2335.800	6318.700	4995.703	4995.703
60	Spectrogram 1	1	43.700961987	43.701959720	2335.800	6318.700	4995.703	4995.703
61	Spectrogram 1	1	43.701959720	43.702957452	2335.800	6318.700	4995.703	4995.703
62	Spectrogram 1	1	43.702957452	43.703955184	2335.800	6318.700	4909.570	4909.570
63	Spectrogram 1	1	43.703955184	43.704952917	2335.800	6318.700	4909.570	4909.570
64	Spectrogram 1	1	43.704952917	43.705950649	2335.800	6318.700	4909.570	4909.570
65	Spectrogram 1	1	43.705950649	43.706948382	2335.800	6318.700	4909.570	4909.570
66	Spectrogram 1	1	43.706948382	43.707946114	2335.800	6318.700	4909.570	4909.570
67	Spectrogram 1	1	43.707946114	43.708943847	2335.800	6318.700	4909.570	4909.570
