Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	5.192597277	5.193595009	2665.385	6504.300	5426.367	5340.234
2	Spectrogram 1	2	5.193595009	5.194592742	2665.385	6504.300	5426.367	5340.234
3	Spectrogram 1	2	5.194592742	5.195590474	2665.385	6504.300	5426.367	5340.234
4	Spectrogram 1	2	5.195590474	5.196588207	2665.385	6504.300	5426.367	5340.234
5	Spectrogram 1	2	5.196588207	5.197585939	2665.385	6504.300	5426.367	5340.234
6	Spectrogram 1	2	5.197585939	5.198583672	2665.385	6504.300	5426.367	5340.234
7	Spectrogram 1	2	5.198583672	5.199581404	2665.385	6504.300	5340.234	5340.234
8	Spectrogram 1	2	5.199581404	5.200579136	2665.385	6504.300	5340.234	5340.234
9	Spectrogram 1	2	5.200579136	5.201576869	2665.385	6504.300	5340.234	5340.234
10	Spectrogram 1	2	5.201576869	5.202574601	2665.385	6504.300	5340.234	5340.234
11	Spectrogram 1	2	5.202574601	5.203572334	2665.385	6504.300	5340.234	5340.234
12	Spectrogram 1	2	5.203572334	5.204570066	2665.385	6504.300	5340.234	5340.234
13	Spectrogram 1	2	5.204570066	5.205567799	2665.385	6504.300	5254.102	5254.102
14	Spectrogram 1	2	5.205567799	5.206565531	2665.385	6504.300	5254.102	5254.102
15	Spectrogram 1	2	5.206565531	5.207563263	2665.385	6504.300	5254.102	5254.102
16	Spectrogram 1	2	5.207563263	5.208560996	2665.385	6504.300	5254.102	5254.102
17	Spectrogram 1	2	5.208560996	5.209558728	2665.385	6504.300	5254.102	5254.102
18	Spectrogram 1	2	5.209558728	5.210556461	2665.385	6504.300	5254.102	5254.102
19	Spectrogram 1	2	5.210556461	5.211554193	2665.385	6504.300	5254.102	5254.102
20	Spectrogram 1	2	5.211554193	5.212551926	2665.385	6504.300	5254.102	5254.102
21	Spectrogram 1	2	5.212551926	5.213549658	2665.385	6504.300	5254.102	5254.102
22	Spectrogram 1	2	5.213549658	5.214547390	2665.385	6504.300	5254.102	5254.102
23	Spectrogram 1	2	5.214547390	5.215545123	2665.385	6504.300	5254.102	5254.102
24	Spectrogram 1	2	5.215545123	5.216542855	2665.385	6504.300	5426.367	5426.367
25	Spectrogram 1	2	5.216542855	5.217540588	2665.385	6504.300	5426.367	5426.367
26	Spectrogram 1	2	5.217540588	5.218538320	2665.385	6504.300	5426.367	5426.367
27	Spectrogram 1	2	5.218538320	5.219536053	2665.385	6504.300	5426.367	5426.367
28	Spectrogram 1	2	5.219536053	5.220533785	2665.385	6504.300	5426.367	5426.367
29	Spectrogram 1	2	5.220533785	5.221531517	2665.385	6504.300	5426.367	5426.367
30	Spectrogram 1	2	5.221531517	5.222529250	2665.385	6504.300	5598.633	5598.633
31	Spectrogram 1	2	5.222529250	5.223526982	2665.385	6504.300	5598.633	5598.633
32	Spectrogram 1	2	5.223526982	5.224524715	2665.385	6504.300	5598.633	5598.633
33	Spectrogram 1	2	5.224524715	5.225522447	2665.385	6504.300	5598.633	5598.633
34	Spectrogram 1	2	5.225522447	5.226520179	2665.385	6504.300	5598.633	5598.633
35	Spectrogram 1	2	5.226520179	5.227517912	2665.385	6504.300	5598.633	5598.633
36	Spectrogram 1	2	5.227517912	5.228515644	2665.385	6504.300	5254.102	5254.102
37	Spectrogram 1	2	5.228515644	5.229513377	2665.385	6504.300	5254.102	5254.102
38	Spectrogram 1	2	5.229513377	5.230511109	2665.385	6504.300	5254.102	5254.102
39	Spectrogram 1	2	5.230511109	5.231508842	2665.385	6504.300	5254.102	5254.102
40	Spectrogram 1	2	5.231508842	5.232506574	2665.385	6504.300	5254.102	5254.102
41	Spectrogram 1	2	5.232506574	5.233504306	2665.385	6504.300	5254.102	5254.102
42	Spectrogram 1	2	5.233504306	5.234502039	2665.385	6504.300	5254.102	5254.102
43	Spectrogram 1	2	5.234502039	5.235499771	2665.385	6504.300	5254.102	5254.102
44	Spectrogram 1	2	5.235499771	5.236497504	2665.385	6504.300	5254.102	5254.102
45	Spectrogram 1	2	5.236497504	5.237495236	2665.385	6504.300	5254.102	5254.102
46	Spectrogram 1	2	5.237495236	5.238492969	2665.385	6504.300	5254.102	5254.102
47	Spectrogram 1	2	5.238492969	5.239490701	2665.385	6504.300	5254.102	5254.102
48	Spectrogram 1	2	5.239490701	5.240488433	2665.385	6504.300	5254.102	5254.102
49	Spectrogram 1	2	5.240488433	5.241486166	2665.385	6504.300	5254.102	5254.102
50	Spectrogram 1	2	5.241486166	5.242483898	2665.385	6504.300	5254.102	5254.102
51	Spectrogram 1	2	5.242483898	5.243481631	2665.385	6504.300	5254.102	5254.102
52	Spectrogram 1	2	5.243481631	5.244479363	2665.385	6504.300	5254.102	5254.102
53	Spectrogram 1	2	5.244479363	5.245477096	2665.385	6504.300	5167.969	5167.969
54	Spectrogram 1	2	5.245477096	5.246474828	2665.385	6504.300	5167.969	5167.969
55	Spectrogram 1	2	5.246474828	5.247472560	2665.385	6504.300	5167.969	5167.969
56	Spectrogram 1	2	5.247472560	5.248470293	2665.385	6504.300	5167.969	5167.969
57	Spectrogram 1	2	5.248470293	5.249468025	2665.385	6504.300	5167.969	5167.969
58	Spectrogram 1	2	5.249468025	5.250465758	2665.385	6504.300	5167.969	5167.969
59	Spectrogram 1	2	5.250465758	5.251463490	2665.385	6504.300	5081.836	5081.836
60	Spectrogram 1	2	5.251463490	5.252461223	2665.385	6504.300	5081.836	5081.836
61	Spectrogram 1	2	5.252461223	5.253458955	2665.385	6504.300	5081.836	5081.836
62	Spectrogram 1	2	5.253458955	5.254456687	2665.385	6504.300	5081.836	5081.836
63	Spectrogram 1	2	5.254456687	5.255454420	2665.385	6504.300	5081.836	5081.836
64	Spectrogram 1	2	5.255454420	5.256452152	2665.385	6504.300	5081.836	5081.836
65	Spectrogram 1	2	5.256452152	5.257449885	2665.385	6504.300	5081.836	5081.836
66	Spectrogram 1	2	5.257449885	5.258447617	2665.385	6504.300	5081.836	5081.836
67	Spectrogram 1	2	5.258447617	5.259445350	2665.385	6504.300	5081.836	5081.836
68	Spectrogram 1	2	5.259445350	5.260443082	2665.385	6504.300	5081.836	5081.836
69	Spectrogram 1	2	5.260443082	5.261440814	2665.385	6504.300	5081.836	5081.836
70	Spectrogram 1	2	5.261440814	5.262438547	2665.385	6504.300	5081.836	5081.836
71	Spectrogram 1	2	5.262438547	5.263436279	2665.385	6504.300	5684.766	5684.766
72	Spectrogram 1	2	5.263436279	5.264434012	2665.385	6504.300	5684.766	5684.766
73	Spectrogram 1	2	5.264434012	5.265431744	2665.385	6504.300	5684.766	5684.766
74	Spectrogram 1	2	5.265431744	5.266429477	2665.385	6504.300	5684.766	5684.766
75	Spectrogram 1	2	5.266429477	5.267427209	2665.385	6504.300	5684.766	5684.766
76	Spectrogram 1	2	5.267427209	5.268424941	2665.385	6504.300	5684.766	5684.766
77	Spectrogram 1	2	5.268424941	5.269422674	2665.385	6504.300	5512.500	5598.633
78	Spectrogram 1	2	5.269422674	5.270420406	2665.385	6504.300	5512.500	5598.633
79	Spectrogram 1	2	5.270420406	5.271418139	2665.385	6504.300	5512.500	5598.633
80	Spectrogram 1	2	5.271418139	5.272415871	2665.385	6504.300	5512.500	5598.633
81	Spectrogram 1	2	5.272415871	5.273413604	2665.385	6504.300	5512.500	5598.633
82	Spectrogram 1	2	5.273413604	5.274411336	2665.385	6504.300	5254.102	5167.969
83	Spectrogram 1	2	5.274411336	5.275409068	2665.385	6504.300	5254.102	5167.969
84	Spectrogram 1	2	5.275409068	5.276406801	2665.385	6504.300	5254.102	5167.969
85	Spectrogram 1	2	5.276406801	5.277404533	2665.385	6504.300	5254.102	5167.969
86	Spectrogram 1	2	5.277404533	5.278402266	2665.385	6504.300	5254.102	5167.969
87	Spectrogram 1	2	5.278402266	5.279399998	2665.385	6504.300	5254.102	5167.969
88	Spectrogram 1	2	5.279399998	5.280397731	2665.385	6504.300	4995.703	4995.703
89	Spectrogram 1	2	5.280397731	5.281395463	2665.385	6504.300	4995.703	4995.703
90	Spectrogram 1	2	5.281395463	5.282393195	2665.385	6504.300	4995.703	4995.703
91	Spectrogram 1	2	5.282393195	5.283390928	2665.385	6504.300	4995.703	4995.703
92	Spectrogram 1	2	5.283390928	5.284388660	2665.385	6504.300	4995.703	4995.703
93	Spectrogram 1	2	5.284388660	5.285386393	2665.385	6504.300	4995.703	4995.703
94	Spectrogram 1	2	5.285386393	5.286384125	2665.385	6504.300	4909.570	4909.570
