Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.734683259	0.735680991	2894.300	6115.300	4478.906	4565.039
2	Spectrogram 1	1	0.735680991	0.736678724	2894.300	6115.300	4478.906	4565.039
3	Spectrogram 1	1	0.736678724	0.737676456	2894.300	6115.300	4478.906	4565.039
4	Spectrogram 1	1	0.737676456	0.738674189	2894.300	6115.300	4478.906	4565.039
5	Spectrogram 1	1	0.738674189	0.739671921	2894.300	6115.300	4478.906	4565.039
6	Spectrogram 1	1	0.739671921	0.740669654	2894.300	6115.300	5167.969	5167.969
7	Spectrogram 1	1	0.740669654	0.741667386	2894.300	6115.300	5167.969	5167.969
8	Spectrogram 1	1	0.741667386	0.742665118	2894.300	6115.300	5167.969	5167.969
9	Spectrogram 1	1	0.742665118	0.743662851	2894.300	6115.300	5167.969	5167.969
10	Spectrogram 1	1	0.743662851	0.744660583	2894.300	6115.300	5167.969	5167.969
11	Spectrogram 1	1	0.744660583	0.745658316	2894.300	6115.300	5167.969	5167.969
12	Spectrogram 1	1	0.745658316	0.746656048	2894.300	6115.300	5254.102	5254.102
13	Spectrogram 1	1	0.746656048	0.747653781	2894.300	6115.300	5254.102	5254.102
14	Spectrogram 1	1	0.747653781	0.748651513	2894.300	6115.300	5254.102	5254.102
15	Spectrogram 1	1	0.748651513	0.749649245	2894.300	6115.300	5254.102	5254.102
16	Spectrogram 1	1	0.749649245	0.750646978	2894.300	6115.300	5254.102	5254.102
17	Spectrogram 1	1	0.750646978	0.751644710	2894.300	6115.300	5254.102	5254.102
18	Spectrogram 1	1	0.751644710	0.752642443	2894.300	6115.300	5254.102	5254.102
19	Spectrogram 1	1	0.752642443	0.753640175	2894.300	6115.300	5254.102	5254.102
20	Spectrogram 1	1	0.753640175	0.754637908	2894.300	6115.300	5254.102	5254.102
21	Spectrogram 1	1	0.754637908	0.755635640	2894.300	6115.300	5254.102	5254.102
22	Spectrogram 1	1	0.755635640	0.756633372	2894.300	6115.300	5254.102	5254.102
23	Spectrogram 1	1	0.756633372	0.757631105	2894.300	6115.300	5254.102	5254.102
24	Spectrogram 1	1	0.757631105	0.758628837	2894.300	6115.300	5081.836	5081.836
25	Spectrogram 1	1	0.758628837	0.759626570	2894.300	6115.300	5081.836	5081.836
26	Spectrogram 1	1	0.759626570	0.760624302	2894.300	6115.300	5081.836	5081.836
27	Spectrogram 1	1	0.760624302	0.761622035	2894.300	6115.300	5081.836	5081.836
28	Spectrogram 1	1	0.761622035	0.762619767	2894.300	6115.300	5081.836	5081.836
29	Spectrogram 1	1	0.762619767	0.763617499	2894.300	6115.300	5081.836	5081.836
30	Spectrogram 1	1	0.763617499	0.764615232	2894.300	6115.300	4995.703	4995.703
31	Spectrogram 1	1	0.764615232	0.765612964	2894.300	6115.300	4995.703	4995.703
32	Spectrogram 1	1	0.765612964	0.766610697	2894.300	6115.300	4995.703	4995.703
33	Spectrogram 1	1	0.766610697	0.767608429	2894.300	6115.300	4995.703	4995.703
34	Spectrogram 1	1	0.767608429	0.768606161	2894.300	6115.300	4995.703	4995.703
35	Spectrogram 1	1	0.768606161	0.769603894	2894.300	6115.300	4995.703	4995.703
36	Spectrogram 1	1	0.769603894	0.770601626	2894.300	6115.300	4737.305	4737.305
37	Spectrogram 1	1	0.770601626	0.771599359	2894.300	6115.300	4737.305	4737.305
38	Spectrogram 1	1	0.771599359	0.772597091	2894.300	6115.300	4737.305	4737.305
39	Spectrogram 1	1	0.772597091	0.773594824	2894.300	6115.300	4737.305	4737.305
40	Spectrogram 1	1	0.773594824	0.774592556	2894.300	6115.300	4737.305	4737.305
41	Spectrogram 1	1	0.774592556	0.775590288	2894.300	6115.300	4392.773	4392.773
42	Spectrogram 1	1	0.775590288	0.776588021	2894.300	6115.300	4392.773	4392.773
43	Spectrogram 1	1	0.776588021	0.777585753	2894.300	6115.300	4392.773	4392.773
44	Spectrogram 1	1	0.777585753	0.778583486	2894.300	6115.300	4392.773	4392.773
45	Spectrogram 1	1	0.778583486	0.779581218	2894.300	6115.300	4392.773	4392.773
46	Spectrogram 1	1	0.779581218	0.780578951	2894.300	6115.300	4392.773	4392.773
47	Spectrogram 1	1	0.780578951	0.781576683	2894.300	6115.300	4220.508	4134.375
48	Spectrogram 1	1	0.781576683	0.782574415	2894.300	6115.300	4220.508	4134.375
49	Spectrogram 1	1	0.782574415	0.783572148	2894.300	6115.300	4220.508	4134.375
50	Spectrogram 1	1	0.783572148	0.784569880	2894.300	6115.300	4220.508	4134.375
