Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	3.071901091	3.072898823	2683.000	6024.100	3531.445	3445.312
2	Spectrogram 1	1	3.072898823	3.073896556	2683.000	6024.100	3531.445	3445.312
3	Spectrogram 1	1	3.073896556	3.074894288	2683.000	6024.100	4478.906	4478.906
4	Spectrogram 1	1	3.074894288	3.075892021	2683.000	6024.100	4478.906	4478.906
5	Spectrogram 1	1	3.075892021	3.076889753	2683.000	6024.100	4478.906	4478.906
6	Spectrogram 1	1	3.076889753	3.077887486	2683.000	6024.100	4478.906	4478.906
7	Spectrogram 1	1	3.077887486	3.078885218	2683.000	6024.100	4478.906	4478.906
8	Spectrogram 1	1	3.078885218	3.079882950	2683.000	6024.100	4478.906	4478.906
9	Spectrogram 1	1	3.079882950	3.080880683	2683.000	6024.100	4737.305	4823.438
10	Spectrogram 1	1	3.080880683	3.081878415	2683.000	6024.100	4737.305	4823.438
11	Spectrogram 1	1	3.081878415	3.082876148	2683.000	6024.100	4737.305	4823.438
12	Spectrogram 1	1	3.082876148	3.083873880	2683.000	6024.100	4737.305	4823.438
13	Spectrogram 1	1	3.083873880	3.084871613	2683.000	6024.100	4737.305	4823.438
14	Spectrogram 1	1	3.084871613	3.085869345	2683.000	6024.100	4651.172	4651.172
15	Spectrogram 1	1	3.085869345	3.086867077	2683.000	6024.100	4651.172	4651.172
16	Spectrogram 1	1	3.086867077	3.087864810	2683.000	6024.100	4651.172	4651.172
17	Spectrogram 1	1	3.087864810	3.088862542	2683.000	6024.100	4651.172	4651.172
18	Spectrogram 1	1	3.088862542	3.089860275	2683.000	6024.100	4651.172	4651.172
19	Spectrogram 1	1	3.089860275	3.090858007	2683.000	6024.100	4651.172	4651.172
20	Spectrogram 1	1	3.090858007	3.091855740	2683.000	6024.100	4823.438	4823.438
21	Spectrogram 1	1	3.091855740	3.092853472	2683.000	6024.100	4823.438	4823.438
22	Spectrogram 1	1	3.092853472	3.093851204	2683.000	6024.100	4823.438	4823.438
23	Spectrogram 1	1	3.093851204	3.094848937	2683.000	6024.100	4823.438	4823.438
24	Spectrogram 1	1	3.094848937	3.095846669	2683.000	6024.100	4823.438	4823.438
25	Spectrogram 1	1	3.095846669	3.096844402	2683.000	6024.100	4823.438	4823.438
26	Spectrogram 1	1	3.096844402	3.097842134	2683.000	6024.100	4909.570	4909.570
27	Spectrogram 1	1	3.097842134	3.098839867	2683.000	6024.100	4909.570	4909.570
28	Spectrogram 1	1	3.098839867	3.099837599	2683.000	6024.100	4909.570	4909.570
29	Spectrogram 1	1	3.099837599	3.100835331	2683.000	6024.100	4909.570	4909.570
30	Spectrogram 1	1	3.100835331	3.101833064	2683.000	6024.100	4909.570	4909.570
31	Spectrogram 1	1	3.101833064	3.102830796	2683.000	6024.100	4909.570	4909.570
32	Spectrogram 1	1	3.102830796	3.103828529	2683.000	6024.100	4995.703	4995.703
33	Spectrogram 1	1	3.103828529	3.104826261	2683.000	6024.100	4995.703	4995.703
34	Spectrogram 1	1	3.104826261	3.105823993	2683.000	6024.100	4995.703	4995.703
35	Spectrogram 1	1	3.105823993	3.106821726	2683.000	6024.100	4995.703	4995.703
36	Spectrogram 1	1	3.106821726	3.107819458	2683.000	6024.100	4995.703	4995.703
37	Spectrogram 1	1	3.107819458	3.108817191	2683.000	6024.100	4995.703	4995.703
38	Spectrogram 1	1	3.108817191	3.109814923	2683.000	6024.100	4909.570	4909.570
39	Spectrogram 1	1	3.109814923	3.110812656	2683.000	6024.100	4909.570	4909.570
40	Spectrogram 1	1	3.110812656	3.111810388	2683.000	6024.100	4909.570	4909.570
41	Spectrogram 1	1	3.111810388	3.112808120	2683.000	6024.100	4909.570	4909.570
