Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	113.769405813	113.770403545	2243.684	5793.500	3273.047	2928.516
2	Spectrogram 1	1	113.770403545	113.771401278	2243.684	5793.500	3273.047	2928.516
3	Spectrogram 1	1	113.771401278	113.772399010	2243.684	5793.500	3273.047	2928.516
4	Spectrogram 1	1	113.772399010	113.773396743	2243.684	5793.500	3273.047	2928.516
5	Spectrogram 1	1	113.773396743	113.774394475	2243.684	5793.500	3273.047	2928.516
6	Spectrogram 1	1	113.774394475	113.775392208	2243.684	5793.500	3531.445	3445.312
7	Spectrogram 1	1	113.775392208	113.776389940	2243.684	5793.500	3531.445	3445.312
8	Spectrogram 1	1	113.776389940	113.777387672	2243.684	5793.500	3531.445	3445.312
9	Spectrogram 1	1	113.777387672	113.778385405	2243.684	5793.500	3531.445	3445.312
10	Spectrogram 1	1	113.778385405	113.779383137	2243.684	5793.500	3531.445	3445.312
11	Spectrogram 1	1	113.779383137	113.780380870	2243.684	5793.500	3531.445	3445.312
12	Spectrogram 1	1	113.780380870	113.781378602	2243.684	5793.500	4134.375	4220.508
13	Spectrogram 1	1	113.781378602	113.782376335	2243.684	5793.500	4134.375	4220.508
14	Spectrogram 1	1	113.782376335	113.783374067	2243.684	5793.500	4134.375	4220.508
15	Spectrogram 1	1	113.783374067	113.784371799	2243.684	5793.500	4134.375	4220.508
16	Spectrogram 1	1	113.784371799	113.785369532	2243.684	5793.500	4134.375	4220.508
17	Spectrogram 1	1	113.785369532	113.786367264	2243.684	5793.500	4134.375	4220.508
18	Spectrogram 1	1	113.786367264	113.787364997	2243.684	5793.500	4134.375	4134.375
19	Spectrogram 1	1	113.787364997	113.788362729	2243.684	5793.500	4134.375	4134.375
20	Spectrogram 1	1	113.788362729	113.789360462	2243.684	5793.500	4134.375	4134.375
21	Spectrogram 1	1	113.789360462	113.790358194	2243.684	5793.500	4134.375	4134.375
22	Spectrogram 1	1	113.790358194	113.791355926	2243.684	5793.500	4134.375	4134.375
23	Spectrogram 1	1	113.791355926	113.792353659	2243.684	5793.500	4134.375	4134.375
24	Spectrogram 1	1	113.792353659	113.793351391	2243.684	5793.500	4220.508	4220.508
25	Spectrogram 1	1	113.793351391	113.794349124	2243.684	5793.500	4220.508	4220.508
26	Spectrogram 1	1	113.794349124	113.795346856	2243.684	5793.500	4220.508	4220.508
27	Spectrogram 1	1	113.795346856	113.796344589	2243.684	5793.500	4220.508	4220.508
28	Spectrogram 1	1	113.796344589	113.797342321	2243.684	5793.500	4220.508	4220.508
29	Spectrogram 1	1	113.797342321	113.798340053	2243.684	5793.500	4220.508	4220.508
30	Spectrogram 1	1	113.798340053	113.799337786	2243.684	5793.500	4392.773	4392.773
31	Spectrogram 1	1	113.799337786	113.800335518	2243.684	5793.500	4392.773	4392.773
32	Spectrogram 1	1	113.800335518	113.801333251	2243.684	5793.500	4392.773	4392.773
33	Spectrogram 1	1	113.801333251	113.802330983	2243.684	5793.500	4392.773	4392.773
34	Spectrogram 1	1	113.802330983	113.803328715	2243.684	5793.500	4392.773	4392.773
35	Spectrogram 1	1	113.803328715	113.804326448	2243.684	5793.500	4392.773	4392.773
36	Spectrogram 1	1	113.804326448	113.805324180	2243.684	5793.500	4478.906	4478.906
37	Spectrogram 1	1	113.805324180	113.806321913	2243.684	5793.500	4478.906	4478.906
38	Spectrogram 1	1	113.806321913	113.807319645	2243.684	5793.500	4478.906	4478.906
39	Spectrogram 1	1	113.807319645	113.808317378	2243.684	5793.500	4478.906	4478.906
40	Spectrogram 1	1	113.808317378	113.809315110	2243.684	5793.500	4478.906	4478.906
41	Spectrogram 1	1	113.809315110	113.810312842	2243.684	5793.500	4565.039	4565.039
42	Spectrogram 1	1	113.810312842	113.811310575	2243.684	5793.500	4565.039	4565.039
43	Spectrogram 1	1	113.811310575	113.812308307	2243.684	5793.500	4565.039	4565.039
44	Spectrogram 1	1	113.812308307	113.813306040	2243.684	5793.500	4565.039	4565.039
45	Spectrogram 1	1	113.813306040	113.814303772	2243.684	5793.500	4565.039	4565.039
46	Spectrogram 1	1	113.814303772	113.815301505	2243.684	5793.500	4565.039	4565.039
47	Spectrogram 1	1	113.815301505	113.816299237	2243.684	5793.500	4565.039	4565.039
48	Spectrogram 1	1	113.816299237	113.817296969	2243.684	5793.500	4565.039	4565.039
49	Spectrogram 1	1	113.817296969	113.818294702	2243.684	5793.500	4565.039	4565.039
50	Spectrogram 1	1	113.818294702	113.819292434	2243.684	5793.500	4565.039	4565.039
51	Spectrogram 1	1	113.819292434	113.820290167	2243.684	5793.500	4565.039	4565.039
52	Spectrogram 1	1	113.820290167	113.821287899	2243.684	5793.500	4565.039	4565.039
53	Spectrogram 1	1	113.821287899	113.822285632	2243.684	5793.500	4565.039	4565.039
54	Spectrogram 1	1	113.822285632	113.823283364	2243.684	5793.500	4565.039	4565.039
55	Spectrogram 1	1	113.823283364	113.824281096	2243.684	5793.500	4565.039	4565.039
56	Spectrogram 1	1	113.824281096	113.825278829	2243.684	5793.500	4565.039	4565.039
57	Spectrogram 1	1	113.825278829	113.826276561	2243.684	5793.500	4565.039	4565.039
58	Spectrogram 1	1	113.826276561	113.827274294	2243.684	5793.500	4565.039	4565.039
59	Spectrogram 1	1	113.827274294	113.828272026	2243.684	5793.500	4565.039	4565.039
60	Spectrogram 1	1	113.828272026	113.829269759	2243.684	5793.500	4565.039	4565.039
61	Spectrogram 1	1	113.829269759	113.830267491	2243.684	5793.500	4565.039	4565.039
62	Spectrogram 1	1	113.830267491	113.831265223	2243.684	5793.500	4565.039	4565.039
63	Spectrogram 1	1	113.831265223	113.832262956	2243.684	5793.500	4565.039	4565.039
64	Spectrogram 1	1	113.832262956	113.833260688	2243.684	5793.500	4565.039	4565.039
65	Spectrogram 1	1	113.833260688	113.834258421	2243.684	5793.500	4565.039	4565.039
66	Spectrogram 1	1	113.834258421	113.835256153	2243.684	5793.500	4565.039	4565.039
67	Spectrogram 1	1	113.835256153	113.836253886	2243.684	5793.500	4565.039	4565.039
68	Spectrogram 1	1	113.836253886	113.837251618	2243.684	5793.500	4565.039	4565.039
69	Spectrogram 1	1	113.837251618	113.838249350	2243.684	5793.500	4565.039	4565.039
70	Spectrogram 1	1	113.838249350	113.839247083	2243.684	5793.500	4565.039	4565.039
71	Spectrogram 1	1	113.839247083	113.840244815	2243.684	5793.500	4565.039	4565.039
72	Spectrogram 1	1	113.840244815	113.841242548	2243.684	5793.500	4565.039	4565.039
73	Spectrogram 1	1	113.841242548	113.842240280	2243.684	5793.500	4565.039	4565.039
74	Spectrogram 1	1	113.842240280	113.843238013	2243.684	5793.500	4565.039	4565.039
75	Spectrogram 1	1	113.843238013	113.844235745	2243.684	5793.500	4565.039	4565.039
76	Spectrogram 1	1	113.844235745	113.845233477	2243.684	5793.500	4565.039	4565.039
77	Spectrogram 1	1	113.845233477	113.846231210	2243.684	5793.500	4565.039	4565.039
78	Spectrogram 1	1	113.846231210	113.847228942	2243.684	5793.500	4565.039	4565.039
79	Spectrogram 1	1	113.847228942	113.848226675	2243.684	5793.500	4565.039	4565.039
80	Spectrogram 1	1	113.848226675	113.849224407	2243.684	5793.500	4565.039	4565.039
81	Spectrogram 1	1	113.849224407	113.850222140	2243.684	5793.500	4565.039	4565.039
82	Spectrogram 1	1	113.850222140	113.851219872	2243.684	5793.500	4565.039	4565.039
83	Spectrogram 1	1	113.851219872	113.852217604	2243.684	5793.500	4565.039	4565.039
84	Spectrogram 1	1	113.852217604	113.853215337	2243.684	5793.500	4565.039	4565.039
85	Spectrogram 1	1	113.853215337	113.854213069	2243.684	5793.500	4565.039	4565.039
86	Spectrogram 1	1	113.854213069	113.855210802	2243.684	5793.500	4565.039	4565.039
87	Spectrogram 1	1	113.855210802	113.856208534	2243.684	5793.500	4565.039	4565.039
88	Spectrogram 1	1	113.856208534	113.857206267	2243.684	5793.500	4478.906	4478.906
89	Spectrogram 1	1	113.857206267	113.858203999	2243.684	5793.500	4478.906	4478.906
90	Spectrogram 1	1	113.858203999	113.859201731	2243.684	5793.500	4478.906	4478.906
91	Spectrogram 1	1	113.859201731	113.860199464	2243.684	5793.500	4478.906	4478.906
92	Spectrogram 1	1	113.860199464	113.861197196	2243.684	5793.500	4478.906	4478.906
93	Spectrogram 1	1	113.861197196	113.862194929	2243.684	5793.500	4478.906	4478.906
94	Spectrogram 1	1	113.862194929	113.863192661	2243.684	5793.500	4478.906	4478.906
95	Spectrogram 1	1	113.863192661	113.864190393	2243.684	5793.500	4478.906	4478.906
96	Spectrogram 1	1	113.864190393	113.865188126	2243.684	5793.500	4478.906	4478.906
97	Spectrogram 1	1	113.865188126	113.866185858	2243.684	5793.500	4478.906	4478.906
98	Spectrogram 1	1	113.866185858	113.867183591	2243.684	5793.500	4478.906	4478.906
99	Spectrogram 1	1	113.867183591	113.868181323	2243.684	5793.500	4478.906	4478.906
100	Spectrogram 1	1	113.868181323	113.869179056	2243.684	5793.500	4565.039	4565.039
101	Spectrogram 1	1	113.869179056	113.870176788	2243.684	5793.500	4565.039	4565.039
102	Spectrogram 1	1	113.870176788	113.871174520	2243.684	5793.500	4565.039	4565.039
103	Spectrogram 1	1	113.871174520	113.872172253	2243.684	5793.500	4565.039	4565.039
104	Spectrogram 1	1	113.872172253	113.873169985	2243.684	5793.500	4565.039	4565.039
105	Spectrogram 1	1	113.873169985	113.874167718	2243.684	5793.500	4565.039	4565.039
106	Spectrogram 1	1	113.874167718	113.875165450	2243.684	5793.500	4565.039	4565.039
107	Spectrogram 1	1	113.875165450	113.876163183	2243.684	5793.500	4565.039	4565.039
108	Spectrogram 1	1	113.876163183	113.877160915	2243.684	5793.500	4565.039	4565.039
109	Spectrogram 1	1	113.877160915	113.878158647	2243.684	5793.500	4565.039	4565.039
110	Spectrogram 1	1	113.878158647	113.879156380	2243.684	5793.500	4565.039	4565.039
111	Spectrogram 1	1	113.879156380	113.880154112	2243.684	5793.500	4392.773	4392.773
112	Spectrogram 1	1	113.880154112	113.881151845	2243.684	5793.500	4392.773	4392.773
113	Spectrogram 1	1	113.881151845	113.882149577	2243.684	5793.500	4392.773	4392.773
114	Spectrogram 1	1	113.882149577	113.883147310	2243.684	5793.500	4392.773	4392.773
115	Spectrogram 1	1	113.883147310	113.884145042	2243.684	5793.500	4392.773	4392.773
116	Spectrogram 1	1	113.884145042	113.885142774	2243.684	5793.500	4392.773	4392.773
117	Spectrogram 1	1	113.885142774	113.886140507	2243.684	5793.500	4478.906	4565.039
118	Spectrogram 1	1	113.886140507	113.887138239	2243.684	5793.500	4478.906	4565.039
119	Spectrogram 1	1	113.887138239	113.888135972	2243.684	5793.500	4478.906	4565.039
120	Spectrogram 1	1	113.888135972	113.889133704	2243.684	5793.500	4478.906	4565.039
121	Spectrogram 1	1	113.889133704	113.890131437	2243.684	5793.500	4478.906	4565.039
122	Spectrogram 1	1	113.890131437	113.891129169	2243.684	5793.500	4478.906	4565.039
123	Spectrogram 1	1	113.891129169	113.892126901	2243.684	5793.500	4565.039	4565.039
124	Spectrogram 1	1	113.892126901	113.893124634	2243.684	5793.500	4565.039	4565.039
125	Spectrogram 1	1	113.893124634	113.894122366	2243.684	5793.500	4565.039	4565.039
126	Spectrogram 1	1	113.894122366	113.895120099	2243.684	5793.500	4565.039	4565.039
127	Spectrogram 1	1	113.895120099	113.896117831	2243.684	5793.500	4565.039	4565.039
128	Spectrogram 1	1	113.896117831	113.897115564	2243.684	5793.500	4565.039	4565.039
129	Spectrogram 1	1	113.897115564	113.898113296	2243.684	5793.500	4565.039	4565.039
130	Spectrogram 1	1	113.898113296	113.899111028	2243.684	5793.500	4565.039	4565.039
131	Spectrogram 1	1	113.899111028	113.900108761	2243.684	5793.500	4565.039	4565.039
132	Spectrogram 1	1	113.900108761	113.901106493	2243.684	5793.500	4565.039	4565.039
133	Spectrogram 1	1	113.901106493	113.902104226	2243.684	5793.500	4565.039	4565.039
134	Spectrogram 1	1	113.902104226	113.903101958	2243.684	5793.500	4565.039	4565.039
135	Spectrogram 1	1	113.903101958	113.904099691	2243.684	5793.500	4565.039	4565.039
136	Spectrogram 1	1	113.904099691	113.905097423	2243.684	5793.500	4565.039	4565.039
137	Spectrogram 1	1	113.905097423	113.906095155	2243.684	5793.500	4565.039	4565.039
138	Spectrogram 1	1	113.906095155	113.907092888	2243.684	5793.500	4565.039	4565.039
139	Spectrogram 1	1	113.907092888	113.908090620	2243.684	5793.500	4565.039	4565.039
140	Spectrogram 1	1	113.908090620	113.909088353	2243.684	5793.500	4565.039	4565.039
141	Spectrogram 1	1	113.909088353	113.910086085	2243.684	5793.500	4565.039	4565.039
142	Spectrogram 1	1	113.910086085	113.911083818	2243.684	5793.500	4565.039	4565.039
143	Spectrogram 1	1	113.911083818	113.912081550	2243.684	5793.500	4565.039	4565.039
144	Spectrogram 1	1	113.912081550	113.913079282	2243.684	5793.500	4565.039	4565.039
145	Spectrogram 1	1	113.913079282	113.914077015	2243.684	5793.500	4565.039	4565.039
146	Spectrogram 1	1	113.914077015	113.915074747	2243.684	5793.500	4565.039	4565.039
147	Spectrogram 1	1	113.915074747	113.916072480	2243.684	5793.500	4565.039	4565.039
148	Spectrogram 1	1	113.916072480	113.917070212	2243.684	5793.500	4565.039	4565.039
149	Spectrogram 1	1	113.917070212	113.918067945	2243.684	5793.500	4565.039	4565.039
150	Spectrogram 1	1	113.918067945	113.919065677	2243.684	5793.500	4565.039	4565.039
151	Spectrogram 1	1	113.919065677	113.920063409	2243.684	5793.500	4565.039	4565.039
152	Spectrogram 1	1	113.920063409	113.921061142	2243.684	5793.500	4565.039	4565.039
153	Spectrogram 1	1	113.921061142	113.922058874	2243.684	5793.500	4565.039	4565.039
154	Spectrogram 1	1	113.922058874	113.923056607	2243.684	5793.500	4565.039	4565.039
155	Spectrogram 1	1	113.923056607	113.924054339	2243.684	5793.500	4565.039	4565.039
156	Spectrogram 1	1	113.924054339	113.925052072	2243.684	5793.500	4565.039	4565.039
157	Spectrogram 1	1	113.925052072	113.926049804	2243.684	5793.500	4565.039	4565.039
158	Spectrogram 1	1	113.926049804	113.927047536	2243.684	5793.500	4478.906	4565.039
159	Spectrogram 1	1	113.927047536	113.928045269	2243.684	5793.500	4478.906	4565.039
160	Spectrogram 1	1	113.928045269	113.929043001	2243.684	5793.500	4478.906	4565.039
161	Spectrogram 1	1	113.929043001	113.930040734	2243.684	5793.500	4478.906	4565.039
162	Spectrogram 1	1	113.930040734	113.931038466	2243.684	5793.500	4478.906	4565.039
163	Spectrogram 1	1	113.931038466	113.932036198	2243.684	5793.500	4478.906	4565.039
164	Spectrogram 1	1	113.932036198	113.933033931	2243.684	5793.500	3359.180	3359.180
165	Spectrogram 1	1	113.933033931	113.934031663	2243.684	5793.500	3359.180	3359.180
166	Spectrogram 1	1	113.934031663	113.935029396	2243.684	5793.500	3359.180	3359.180
167	Spectrogram 1	1	113.935029396	113.936027128	2243.684	5793.500	3359.180	3359.180
168	Spectrogram 1	1	113.936027128	113.937024861	2243.684	5793.500	3359.180	3359.180
