Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	7.007824233	7.008821965	2429.876	5804.800	4048.242	3962.109
2	Spectrogram 1	1	7.008821965	7.009819698	2429.876	5804.800	4048.242	3962.109
3	Spectrogram 1	1	7.009819698	7.010817430	2429.876	5804.800	4565.039	4565.039
4	Spectrogram 1	1	7.010817430	7.011815163	2429.876	5804.800	4565.039	4565.039
5	Spectrogram 1	1	7.011815163	7.012812895	2429.876	5804.800	4565.039	4565.039
6	Spectrogram 1	1	7.012812895	7.013810628	2429.876	5804.800	4565.039	4565.039
7	Spectrogram 1	1	7.013810628	7.014808360	2429.876	5804.800	4565.039	4565.039
8	Spectrogram 1	1	7.014808360	7.015806092	2429.876	5804.800	4565.039	4565.039
9	Spectrogram 1	1	7.015806092	7.016803825	2429.876	5804.800	5081.836	5081.836
10	Spectrogram 1	1	7.016803825	7.017801557	2429.876	5804.800	5081.836	5081.836
11	Spectrogram 1	1	7.017801557	7.018799290	2429.876	5804.800	5081.836	5081.836
12	Spectrogram 1	1	7.018799290	7.019797022	2429.876	5804.800	5081.836	5081.836
13	Spectrogram 1	1	7.019797022	7.020794755	2429.876	5804.800	5081.836	5081.836
14	Spectrogram 1	1	7.020794755	7.021792487	2429.876	5804.800	5254.102	5254.102
15	Spectrogram 1	1	7.021792487	7.022790219	2429.876	5804.800	5254.102	5254.102
16	Spectrogram 1	1	7.022790219	7.023787952	2429.876	5804.800	5254.102	5254.102
17	Spectrogram 1	1	7.023787952	7.024785684	2429.876	5804.800	5254.102	5254.102
18	Spectrogram 1	1	7.024785684	7.025783417	2429.876	5804.800	5254.102	5254.102
19	Spectrogram 1	1	7.025783417	7.026781149	2429.876	5804.800	5254.102	5254.102
20	Spectrogram 1	1	7.026781149	7.027778882	2429.876	5804.800	5254.102	5254.102
21	Spectrogram 1	1	7.027778882	7.028776614	2429.876	5804.800	5254.102	5254.102
22	Spectrogram 1	1	7.028776614	7.029774346	2429.876	5804.800	5254.102	5254.102
23	Spectrogram 1	1	7.029774346	7.030772079	2429.876	5804.800	5254.102	5254.102
24	Spectrogram 1	1	7.030772079	7.031769811	2429.876	5804.800	5254.102	5254.102
25	Spectrogram 1	1	7.031769811	7.032767544	2429.876	5804.800	5254.102	5254.102
26	Spectrogram 1	1	7.032767544	7.033765276	2429.876	5804.800	5254.102	5254.102
27	Spectrogram 1	1	7.033765276	7.034763009	2429.876	5804.800	5254.102	5254.102
28	Spectrogram 1	1	7.034763009	7.035760741	2429.876	5804.800	5254.102	5254.102
29	Spectrogram 1	1	7.035760741	7.036758473	2429.876	5804.800	5254.102	5254.102
30	Spectrogram 1	1	7.036758473	7.037756206	2429.876	5804.800	5254.102	5254.102
31	Spectrogram 1	1	7.037756206	7.038753938	2429.876	5804.800	5254.102	5254.102
32	Spectrogram 1	1	7.038753938	7.039751671	2429.876	5804.800	5254.102	5254.102
33	Spectrogram 1	1	7.039751671	7.040749403	2429.876	5804.800	5254.102	5254.102
34	Spectrogram 1	1	7.040749403	7.041747135	2429.876	5804.800	5254.102	5254.102
35	Spectrogram 1	1	7.041747135	7.042744868	2429.876	5804.800	5254.102	5254.102
36	Spectrogram 1	1	7.042744868	7.043742600	2429.876	5804.800	5254.102	5254.102
37	Spectrogram 1	1	7.043742600	7.044740333	2429.876	5804.800	5254.102	5254.102
