Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	62.172900000	62.173897732	3499.239	5800.109	4823.438	4909.570
2	Spectrogram 1	1	62.173897732	62.174895465	3499.239	5800.109	5081.836	5081.836
3	Spectrogram 1	1	62.174895465	62.175893197	3499.239	5800.109	5081.836	5081.836
4	Spectrogram 1	1	62.175893197	62.176890930	3499.239	5800.109	5081.836	5081.836
5	Spectrogram 1	1	62.176890930	62.177888662	3499.239	5800.109	5081.836	5081.836
6	Spectrogram 1	1	62.177888662	62.178886395	3499.239	5800.109	5081.836	5081.836
7	Spectrogram 1	1	62.178886395	62.179884127	3499.239	5800.109	5081.836	5081.836
8	Spectrogram 1	1	62.179884127	62.180881859	3499.239	5800.109	5426.367	5512.500
9	Spectrogram 1	1	62.180881859	62.181879592	3499.239	5800.109	5426.367	5512.500
10	Spectrogram 1	1	62.181879592	62.182877324	3499.239	5800.109	5426.367	5512.500
11	Spectrogram 1	1	62.182877324	62.183875057	3499.239	5800.109	5426.367	5512.500
12	Spectrogram 1	1	62.183875057	62.184872789	3499.239	5800.109	5426.367	5512.500
13	Spectrogram 1	1	62.184872789	62.185870522	3499.239	5800.109	5426.367	5512.500
14	Spectrogram 1	1	62.185870522	62.186868254	3499.239	5800.109	5426.367	5426.367
15	Spectrogram 1	1	62.186868254	62.187865986	3499.239	5800.109	5426.367	5426.367
16	Spectrogram 1	1	62.187865986	62.188863719	3499.239	5800.109	5426.367	5426.367
17	Spectrogram 1	1	62.188863719	62.189861451	3499.239	5800.109	5426.367	5426.367
18	Spectrogram 1	1	62.189861451	62.190859184	3499.239	5800.109	5426.367	5426.367
19	Spectrogram 1	1	62.190859184	62.191856916	3499.239	5800.109	5426.367	5426.367
20	Spectrogram 1	1	62.191856916	62.192854649	3499.239	5800.109	5512.500	5512.500
21	Spectrogram 1	1	62.192854649	62.193852381	3499.239	5800.109	5512.500	5512.500
22	Spectrogram 1	1	62.193852381	62.194850113	3499.239	5800.109	5512.500	5512.500
23	Spectrogram 1	1	62.194850113	62.195847846	3499.239	5800.109	5512.500	5512.500
24	Spectrogram 1	1	62.195847846	62.196845578	3499.239	5800.109	5512.500	5512.500
25	Spectrogram 1	1	62.196845578	62.197843311	3499.239	5800.109	5512.500	5512.500
26	Spectrogram 1	1	62.197843311	62.198841043	3499.239	5800.109	5254.102	5254.102
27	Spectrogram 1	1	62.198841043	62.199838776	3499.239	5800.109	5254.102	5254.102
28	Spectrogram 1	1	62.199838776	62.200836508	3499.239	5800.109	5254.102	5254.102
29	Spectrogram 1	1	62.200836508	62.201834240	3499.239	5800.109	5254.102	5254.102
30	Spectrogram 1	1	62.201834240	62.202831973	3499.239	5800.109	5254.102	5254.102
31	Spectrogram 1	1	62.202831973	62.203829705	3499.239	5800.109	5254.102	5254.102
