Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	44.950511503	44.951509235	2921.200	6737.500	5254.102	5340.234
2	Spectrogram 1	2	44.951509235	44.952506968	2921.200	6737.500	5254.102	5340.234
3	Spectrogram 1	2	44.952506968	44.953504700	2921.200	6737.500	5254.102	5340.234
4	Spectrogram 1	2	44.953504700	44.954502433	2921.200	6737.500	5254.102	5340.234
5	Spectrogram 1	2	44.954502433	44.955500165	2921.200	6737.500	5254.102	5340.234
6	Spectrogram 1	2	44.955500165	44.956497898	2921.200	6737.500	5254.102	5340.234
7	Spectrogram 1	2	44.956497898	44.957495630	2921.200	6737.500	5857.031	5857.031
8	Spectrogram 1	2	44.957495630	44.958493362	2921.200	6737.500	5857.031	5857.031
9	Spectrogram 1	2	44.958493362	44.959491095	2921.200	6737.500	5857.031	5857.031
10	Spectrogram 1	2	44.959491095	44.960488827	2921.200	6737.500	5857.031	5857.031
11	Spectrogram 1	2	44.960488827	44.961486560	2921.200	6737.500	5857.031	5857.031
12	Spectrogram 1	2	44.961486560	44.962484292	2921.200	6737.500	5857.031	5857.031
13	Spectrogram 1	2	44.962484292	44.963482025	2921.200	6737.500	5770.898	5770.898
14	Spectrogram 1	2	44.963482025	44.964479757	2921.200	6737.500	5770.898	5770.898
15	Spectrogram 1	2	44.964479757	44.965477489	2921.200	6737.500	5770.898	5770.898
16	Spectrogram 1	2	44.965477489	44.966475222	2921.200	6737.500	5770.898	5770.898
17	Spectrogram 1	2	44.966475222	44.967472954	2921.200	6737.500	5770.898	5770.898
18	Spectrogram 1	2	44.967472954	44.968470687	2921.200	6737.500	5770.898	5770.898
19	Spectrogram 1	2	44.968470687	44.969468419	2921.200	6737.500	5426.367	4995.703
20	Spectrogram 1	2	44.969468419	44.970466152	2921.200	6737.500	5426.367	4995.703
21	Spectrogram 1	2	44.970466152	44.971463884	2921.200	6737.500	5426.367	4995.703
22	Spectrogram 1	2	44.971463884	44.972461616	2921.200	6737.500	5426.367	4995.703
23	Spectrogram 1	2	44.972461616	44.973459349	2921.200	6737.500	5426.367	4995.703
24	Spectrogram 1	2	44.973459349	44.974457081	2921.200	6737.500	5426.367	4995.703
25	Spectrogram 1	2	44.974457081	44.975454814	2921.200	6737.500	4995.703	4995.703
26	Spectrogram 1	2	44.975454814	44.976452546	2921.200	6737.500	4995.703	4995.703
27	Spectrogram 1	2	44.976452546	44.977450279	2921.200	6737.500	4995.703	4995.703
28	Spectrogram 1	2	44.977450279	44.978448011	2921.200	6737.500	4995.703	4995.703
29	Spectrogram 1	2	44.978448011	44.979445743	2921.200	6737.500	4995.703	4995.703
30	Spectrogram 1	2	44.979445743	44.980443476	2921.200	6737.500	5857.031	5943.164
31	Spectrogram 1	2	44.980443476	44.981441208	2921.200	6737.500	5857.031	5943.164
32	Spectrogram 1	2	44.981441208	44.982438941	2921.200	6737.500	5857.031	5943.164
33	Spectrogram 1	2	44.982438941	44.983436673	2921.200	6737.500	5857.031	5943.164
34	Spectrogram 1	2	44.983436673	44.984434405	2921.200	6737.500	5857.031	5943.164
35	Spectrogram 1	2	44.984434405	44.985432138	2921.200	6737.500	5857.031	5943.164
36	Spectrogram 1	2	44.985432138	44.986429870	2921.200	6737.500	6029.297	6029.297
37	Spectrogram 1	2	44.986429870	44.987427603	2921.200	6737.500	6029.297	6029.297
38	Spectrogram 1	2	44.987427603	44.988425335	2921.200	6737.500	6029.297	6029.297
39	Spectrogram 1	2	44.988425335	44.989423068	2921.200	6737.500	6029.297	6029.297
40	Spectrogram 1	2	44.989423068	44.990420800	2921.200	6737.500	6029.297	6029.297
41	Spectrogram 1	2	44.990420800	44.991418532	2921.200	6737.500	6029.297	6029.297
42	Spectrogram 1	2	44.991418532	44.992416265	2921.200	6737.500	5684.766	5770.898
43	Spectrogram 1	2	44.992416265	44.993413997	2921.200	6737.500	5684.766	5770.898
44	Spectrogram 1	2	44.993413997	44.994411730	2921.200	6737.500	5684.766	5770.898
45	Spectrogram 1	2	44.994411730	44.995409462	2921.200	6737.500	5684.766	5770.898
46	Spectrogram 1	2	44.995409462	44.996407195	2921.200	6737.500	5684.766	5770.898
47	Spectrogram 1	2	44.996407195	44.997404927	2921.200	6737.500	5684.766	5770.898
48	Spectrogram 1	2	44.997404927	44.998402659	2921.200	6737.500	5340.234	5340.234
49	Spectrogram 1	2	44.998402659	44.999400392	2921.200	6737.500	5340.234	5340.234
50	Spectrogram 1	2	44.999400392	45.000398124	2921.200	6737.500	5340.234	5340.234
51	Spectrogram 1	2	45.000398124	45.001395857	2921.200	6737.500	5340.234	5340.234
52	Spectrogram 1	2	45.001395857	45.002393589	2921.200	6737.500	5340.234	5340.234
53	Spectrogram 1	2	45.002393589	45.003391322	2921.200	6737.500	5340.234	5340.234
54	Spectrogram 1	2	45.003391322	45.004389054	2921.200	6737.500	5167.969	4995.703
55	Spectrogram 1	2	45.004389054	45.005386786	2921.200	6737.500	5167.969	4995.703
56	Spectrogram 1	2	45.005386786	45.006384519	2921.200	6737.500	5167.969	4995.703
57	Spectrogram 1	2	45.006384519	45.007382251	2921.200	6737.500	5167.969	4995.703
58	Spectrogram 1	2	45.007382251	45.008379984	2921.200	6737.500	5167.969	4995.703
59	Spectrogram 1	2	45.008379984	45.009377716	2921.200	6737.500	5167.969	4995.703
60	Spectrogram 1	2	45.009377716	45.010375449	2921.200	6737.500	4995.703	4995.703
61	Spectrogram 1	2	45.010375449	45.011373181	2921.200	6737.500	4995.703	4995.703
62	Spectrogram 1	2	45.011373181	45.012370913	2921.200	6737.500	4995.703	4995.703
63	Spectrogram 1	2	45.012370913	45.013368646	2921.200	6737.500	4995.703	4995.703
64	Spectrogram 1	2	45.013368646	45.014366378	2921.200	6737.500	4995.703	4995.703
65	Spectrogram 1	2	45.014366378	45.015364111	2921.200	6737.500	4651.172	4651.172
66	Spectrogram 1	2	45.015364111	45.016361843	2921.200	6737.500	4651.172	4651.172
67	Spectrogram 1	2	45.016361843	45.017359576	2921.200	6737.500	4651.172	4651.172
68	Spectrogram 1	2	45.017359576	45.018357308	2921.200	6737.500	4651.172	4651.172
69	Spectrogram 1	2	45.018357308	45.019355040	2921.200	6737.500	4651.172	4651.172
70	Spectrogram 1	2	45.019355040	45.020352773	2921.200	6737.500	4651.172	4651.172
71	Spectrogram 1	2	45.020352773	45.021350505	2921.200	6737.500	4823.438	4909.570
72	Spectrogram 1	2	45.021350505	45.022348238	2921.200	6737.500	4823.438	4909.570
