Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	102.009983728	102.010981460	2420.100	6328.000	5167.969	5167.969
2	Spectrogram 1	1	102.010981460	102.011979193	2420.100	6328.000	5167.969	5167.969
3	Spectrogram 1	1	102.011979193	102.012976925	2420.100	6328.000	5167.969	5167.969
4	Spectrogram 1	1	102.012976925	102.013974658	2420.100	6328.000	5167.969	5167.969
5	Spectrogram 1	1	102.013974658	102.014972390	2420.100	6328.000	5167.969	5167.969
6	Spectrogram 1	1	102.014972390	102.015970123	2420.100	6328.000	5167.969	5167.969
7	Spectrogram 1	1	102.015970123	102.016967855	2420.100	6328.000	5167.969	5167.969
8	Spectrogram 1	1	102.016967855	102.017965587	2420.100	6328.000	5167.969	5167.969
9	Spectrogram 1	1	102.017965587	102.018963320	2420.100	6328.000	5167.969	5167.969
10	Spectrogram 1	1	102.018963320	102.019961052	2420.100	6328.000	5167.969	5167.969
11	Spectrogram 1	1	102.019961052	102.020958785	2420.100	6328.000	4737.305	5167.969
12	Spectrogram 1	1	102.020958785	102.021956517	2420.100	6328.000	4737.305	5167.969
13	Spectrogram 1	1	102.021956517	102.022954250	2420.100	6328.000	4737.305	5167.969
14	Spectrogram 1	1	102.022954250	102.023951982	2420.100	6328.000	4737.305	5167.969
15	Spectrogram 1	1	102.023951982	102.024949714	2420.100	6328.000	4737.305	5167.969
16	Spectrogram 1	1	102.024949714	102.025947447	2420.100	6328.000	4737.305	5167.969
17	Spectrogram 1	1	102.025947447	102.026945179	2420.100	6328.000	4995.703	4995.703
18	Spectrogram 1	1	102.026945179	102.027942912	2420.100	6328.000	4995.703	4995.703
19	Spectrogram 1	1	102.027942912	102.028940644	2420.100	6328.000	4995.703	4995.703
20	Spectrogram 1	1	102.028940644	102.029938377	2420.100	6328.000	4995.703	4995.703
21	Spectrogram 1	1	102.029938377	102.030936109	2420.100	6328.000	4995.703	4995.703
22	Spectrogram 1	1	102.030936109	102.031933841	2420.100	6328.000	5167.969	5167.969
23	Spectrogram 1	1	102.031933841	102.032931574	2420.100	6328.000	5167.969	5167.969
24	Spectrogram 1	1	102.032931574	102.033929306	2420.100	6328.000	5167.969	5167.969
25	Spectrogram 1	1	102.033929306	102.034927039	2420.100	6328.000	5167.969	5167.969
26	Spectrogram 1	1	102.034927039	102.035924771	2420.100	6328.000	5167.969	5167.969
27	Spectrogram 1	1	102.035924771	102.036922504	2420.100	6328.000	5167.969	5167.969
28	Spectrogram 1	1	102.036922504	102.037920236	2420.100	6328.000	5254.102	5254.102
29	Spectrogram 1	1	102.037920236	102.038917968	2420.100	6328.000	5254.102	5254.102
30	Spectrogram 1	1	102.038917968	102.039915701	2420.100	6328.000	5254.102	5254.102
31	Spectrogram 1	1	102.039915701	102.040913433	2420.100	6328.000	5254.102	5254.102
32	Spectrogram 1	1	102.040913433	102.041911166	2420.100	6328.000	5254.102	5254.102
33	Spectrogram 1	1	102.041911166	102.042908898	2420.100	6328.000	5254.102	5254.102
34	Spectrogram 1	1	102.042908898	102.043906630	2420.100	6328.000	5340.234	5340.234
35	Spectrogram 1	1	102.043906630	102.044904363	2420.100	6328.000	5340.234	5340.234
36	Spectrogram 1	1	102.044904363	102.045902095	2420.100	6328.000	5340.234	5340.234
37	Spectrogram 1	1	102.045902095	102.046899828	2420.100	6328.000	5340.234	5340.234
38	Spectrogram 1	1	102.046899828	102.047897560	2420.100	6328.000	5340.234	5340.234
39	Spectrogram 1	1	102.047897560	102.048895293	2420.100	6328.000	5340.234	5340.234
40	Spectrogram 1	1	102.048895293	102.049893025	2420.100	6328.000	5167.969	5167.969
41	Spectrogram 1	1	102.049893025	102.050890757	2420.100	6328.000	5167.969	5167.969
