Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	7.324182334	7.325182334	4075.368	6325.500	4781.250	4406.250
2	Spectrogram 1	1	7.325182334	7.326182334	4075.368	6325.500	5437.500	5437.500
3	Spectrogram 1	1	7.326182334	7.327182334	4075.368	6325.500	5437.500	5437.500
4	Spectrogram 1	1	7.327182334	7.328182334	4075.368	6325.500	5437.500	5437.500
5	Spectrogram 1	1	7.328182334	7.329182334	4075.368	6325.500	5437.500	5437.500
6	Spectrogram 1	1	7.329182334	7.330182334	4075.368	6325.500	5437.500	5437.500
7	Spectrogram 1	1	7.330182334	7.331182334	4075.368	6325.500	5812.500	5906.250
8	Spectrogram 1	1	7.331182334	7.332182334	4075.368	6325.500	5812.500	5906.250
9	Spectrogram 1	1	7.332182334	7.333182334	4075.368	6325.500	5812.500	5906.250
10	Spectrogram 1	1	7.333182334	7.334182334	4075.368	6325.500	5812.500	5906.250
11	Spectrogram 1	1	7.334182334	7.335182334	4075.368	6325.500	5812.500	5906.250
12	Spectrogram 1	1	7.335182334	7.336182334	4075.368	6325.500	5812.500	5906.250
13	Spectrogram 1	1	7.336182334	7.337182334	4075.368	6325.500	5812.500	5812.500
14	Spectrogram 1	1	7.337182334	7.338182334	4075.368	6325.500	5812.500	5812.500
15	Spectrogram 1	1	7.338182334	7.339182334	4075.368	6325.500	5812.500	5812.500
16	Spectrogram 1	1	7.339182334	7.340182334	4075.368	6325.500	5812.500	5812.500
17	Spectrogram 1	1	7.340182334	7.341182334	4075.368	6325.500	5812.500	5812.500
18	Spectrogram 1	1	7.341182334	7.342182334	4075.368	6325.500	5531.250	5437.500
19	Spectrogram 1	1	7.342182334	7.343182334	4075.368	6325.500	5531.250	5437.500
20	Spectrogram 1	1	7.343182334	7.344182334	4075.368	6325.500	5531.250	5437.500
21	Spectrogram 1	1	7.344182334	7.345182334	4075.368	6325.500	5531.250	5437.500
22	Spectrogram 1	1	7.345182334	7.346182334	4075.368	6325.500	5531.250	5437.500
23	Spectrogram 1	1	7.346182334	7.347182334	4075.368	6325.500	5343.750	5343.750
24	Spectrogram 1	1	7.347182334	7.348182334	4075.368	6325.500	5343.750	5343.750
25	Spectrogram 1	1	7.348182334	7.349182334	4075.368	6325.500	5343.750	5343.750
26	Spectrogram 1	1	7.349182334	7.350182334	4075.368	6325.500	5343.750	5343.750
27	Spectrogram 1	1	7.350182334	7.351182334	4075.368	6325.500	5343.750	5343.750
28	Spectrogram 1	1	7.351182334	7.352182334	4075.368	6325.500	5343.750	5343.750
29	Spectrogram 1	1	7.352182334	7.353182334	4075.368	6325.500	5343.750	5343.750
30	Spectrogram 1	1	7.353182334	7.354182334	4075.368	6325.500	5343.750	5343.750
31	Spectrogram 1	1	7.354182334	7.355182334	4075.368	6325.500	5343.750	5343.750
32	Spectrogram 1	1	7.355182334	7.356182334	4075.368	6325.500	5343.750	5343.750
33	Spectrogram 1	1	7.356182334	7.357182334	4075.368	6325.500	5343.750	5343.750
34	Spectrogram 1	1	7.357182334	7.358182334	4075.368	6325.500	5343.750	5437.500
35	Spectrogram 1	1	7.358182334	7.359182334	4075.368	6325.500	5343.750	5437.500
36	Spectrogram 1	1	7.359182334	7.360182334	4075.368	6325.500	5343.750	5437.500
37	Spectrogram 1	1	7.360182334	7.361182334	4075.368	6325.500	5343.750	5437.500
38	Spectrogram 1	1	7.361182334	7.362182334	4075.368	6325.500	5343.750	5437.500
39	Spectrogram 1	1	7.362182334	7.363182334	4075.368	6325.500	5343.750	5343.750
40	Spectrogram 1	1	7.363182334	7.364182334	4075.368	6325.500	5343.750	5343.750
41	Spectrogram 1	1	7.364182334	7.365182334	4075.368	6325.500	5343.750	5343.750
42	Spectrogram 1	1	7.365182334	7.366182334	4075.368	6325.500	5343.750	5343.750
43	Spectrogram 1	1	7.366182334	7.367182334	4075.368	6325.500	5343.750	5343.750
44	Spectrogram 1	1	7.367182334	7.368182334	4075.368	6325.500	5343.750	5343.750
45	Spectrogram 1	1	7.368182334	7.369182334	4075.368	6325.500	5343.750	5343.750
46	Spectrogram 1	1	7.369182334	7.370182334	4075.368	6325.500	5343.750	5343.750
47	Spectrogram 1	1	7.370182334	7.371182334	4075.368	6325.500	5343.750	5343.750
48	Spectrogram 1	1	7.371182334	7.372182334	4075.368	6325.500	5343.750	5343.750
49	Spectrogram 1	1	7.372182334	7.373182334	4075.368	6325.500	5343.750	5343.750
50	Spectrogram 1	1	7.373182334	7.374182334	4075.368	6325.500	5250.000	5343.750
51	Spectrogram 1	1	7.374182334	7.375182334	4075.368	6325.500	5250.000	5343.750
52	Spectrogram 1	1	7.375182334	7.376182334	4075.368	6325.500	5250.000	5343.750
53	Spectrogram 1	1	7.376182334	7.377182334	4075.368	6325.500	5250.000	5343.750
54	Spectrogram 1	1	7.377182334	7.378182334	4075.368	6325.500	5250.000	5343.750
55	Spectrogram 1	1	7.378182334	7.379182334	4075.368	6325.500	4968.750	4968.750
56	Spectrogram 1	1	7.379182334	7.380182334	4075.368	6325.500	4968.750	4968.750
57	Spectrogram 1	1	7.380182334	7.381182334	4075.368	6325.500	4968.750	4968.750
58	Spectrogram 1	1	7.381182334	7.382182334	4075.368	6325.500	4968.750	4968.750
59	Spectrogram 1	1	7.382182334	7.383182334	4075.368	6325.500	4968.750	4968.750
60	Spectrogram 1	1	7.383182334	7.384182334	4075.368	6325.500	4968.750	4968.750
61	Spectrogram 1	1	7.384182334	7.385182334	4075.368	6325.500	4968.750	4968.750
62	Spectrogram 1	1	7.385182334	7.386182334	4075.368	6325.500	4968.750	4968.750
63	Spectrogram 1	1	7.386182334	7.387182334	4075.368	6325.500	4968.750	4968.750
64	Spectrogram 1	1	7.387182334	7.388182334	4075.368	6325.500	4968.750	4968.750
65	Spectrogram 1	1	7.388182334	7.389182334	4075.368	6325.500	4968.750	4968.750
66	Spectrogram 1	1	7.389182334	7.390182334	4075.368	6325.500	4968.750	4968.750
67	Spectrogram 1	1	7.390182334	7.391182334	4075.368	6325.500	4968.750	4968.750
68	Spectrogram 1	1	7.391182334	7.392182334	4075.368	6325.500	4968.750	4968.750
69	Spectrogram 1	1	7.392182334	7.393182334	4075.368	6325.500	4968.750	4968.750
70	Spectrogram 1	1	7.393182334	7.394182334	4075.368	6325.500	4968.750	4968.750
71	Spectrogram 1	1	7.394182334	7.395182334	4075.368	6325.500	4968.750	4875.000
72	Spectrogram 1	1	7.395182334	7.396182334	4075.368	6325.500	4968.750	4875.000
73	Spectrogram 1	1	7.396182334	7.397182334	4075.368	6325.500	4968.750	4875.000
