Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.093823010	5.094820742	2476.385	6411.462	4478.906	4565.039
2	Spectrogram 1	1	5.094820742	5.095818475	2476.385	6411.462	4478.906	4565.039
3	Spectrogram 1	1	5.095818475	5.096816207	2476.385	6411.462	4478.906	4565.039
4	Spectrogram 1	1	5.096816207	5.097813940	2476.385	6411.462	4478.906	4565.039
5	Spectrogram 1	1	5.097813940	5.098811672	2476.385	6411.462	4478.906	4565.039
6	Spectrogram 1	1	5.098811672	5.099809405	2476.385	6411.462	4478.906	4565.039
7	Spectrogram 1	1	5.099809405	5.100807137	2476.385	6411.462	5167.969	5426.367
8	Spectrogram 1	1	5.100807137	5.101804869	2476.385	6411.462	5167.969	5426.367
9	Spectrogram 1	1	5.101804869	5.102802602	2476.385	6411.462	5167.969	5426.367
10	Spectrogram 1	1	5.102802602	5.103800334	2476.385	6411.462	5167.969	5426.367
11	Spectrogram 1	1	5.103800334	5.104798067	2476.385	6411.462	5167.969	5426.367
12	Spectrogram 1	1	5.104798067	5.105795799	2476.385	6411.462	5167.969	5426.367
13	Spectrogram 1	1	5.105795799	5.106793532	2476.385	6411.462	5598.633	5598.633
14	Spectrogram 1	1	5.106793532	5.107791264	2476.385	6411.462	5598.633	5598.633
15	Spectrogram 1	1	5.107791264	5.108788996	2476.385	6411.462	5598.633	5598.633
16	Spectrogram 1	1	5.108788996	5.109786729	2476.385	6411.462	5598.633	5598.633
17	Spectrogram 1	1	5.109786729	5.110784461	2476.385	6411.462	5598.633	5598.633
18	Spectrogram 1	1	5.110784461	5.111782194	2476.385	6411.462	5167.969	5167.969
19	Spectrogram 1	1	5.111782194	5.112779926	2476.385	6411.462	5167.969	5167.969
20	Spectrogram 1	1	5.112779926	5.113777659	2476.385	6411.462	5167.969	5167.969
21	Spectrogram 1	1	5.113777659	5.114775391	2476.385	6411.462	5167.969	5167.969
22	Spectrogram 1	1	5.114775391	5.115773123	2476.385	6411.462	5167.969	5167.969
23	Spectrogram 1	1	5.115773123	5.116770856	2476.385	6411.462	5167.969	5167.969
24	Spectrogram 1	1	5.116770856	5.117768588	2476.385	6411.462	4823.438	4823.438
25	Spectrogram 1	1	5.117768588	5.118766321	2476.385	6411.462	4823.438	4823.438
26	Spectrogram 1	1	5.118766321	5.119764053	2476.385	6411.462	4823.438	4823.438
27	Spectrogram 1	1	5.119764053	5.120761786	2476.385	6411.462	4823.438	4823.438
28	Spectrogram 1	1	5.120761786	5.121759518	2476.385	6411.462	4823.438	4823.438
29	Spectrogram 1	1	5.121759518	5.122757250	2476.385	6411.462	4823.438	4823.438
30	Spectrogram 1	1	5.122757250	5.123754983	2476.385	6411.462	4823.438	4823.438
31	Spectrogram 1	1	5.123754983	5.124752715	2476.385	6411.462	4823.438	4823.438
32	Spectrogram 1	1	5.124752715	5.125750448	2476.385	6411.462	4823.438	4823.438
33	Spectrogram 1	1	5.125750448	5.126748180	2476.385	6411.462	4823.438	4823.438
34	Spectrogram 1	1	5.126748180	5.127745912	2476.385	6411.462	4823.438	4823.438
35	Spectrogram 1	1	5.127745912	5.128743645	2476.385	6411.462	4823.438	4823.438
36	Spectrogram 1	1	5.128743645	5.129741377	2476.385	6411.462	4823.438	4823.438
37	Spectrogram 1	1	5.129741377	5.130739110	2476.385	6411.462	4823.438	4823.438
38	Spectrogram 1	1	5.130739110	5.131736842	2476.385	6411.462	4823.438	4823.438
39	Spectrogram 1	1	5.131736842	5.132734575	2476.385	6411.462	4823.438	4823.438
40	Spectrogram 1	1	5.132734575	5.133732307	2476.385	6411.462	4823.438	4823.438
41	Spectrogram 1	1	5.133732307	5.134730039	2476.385	6411.462	4823.438	4823.438
42	Spectrogram 1	1	5.134730039	5.135727772	2476.385	6411.462	4737.305	4823.438
43	Spectrogram 1	1	5.135727772	5.136725504	2476.385	6411.462	4737.305	4823.438
44	Spectrogram 1	1	5.136725504	5.137723237	2476.385	6411.462	4737.305	4823.438
45	Spectrogram 1	1	5.137723237	5.138720969	2476.385	6411.462	4737.305	4823.438
46	Spectrogram 1	1	5.138720969	5.139718702	2476.385	6411.462	4737.305	4823.438
47	Spectrogram 1	1	5.139718702	5.140716434	2476.385	6411.462	4737.305	4823.438
48	Spectrogram 1	1	5.140716434	5.141714166	2476.385	6411.462	4651.172	4651.172
49	Spectrogram 1	1	5.141714166	5.142711899	2476.385	6411.462	4651.172	4651.172
50	Spectrogram 1	1	5.142711899	5.143709631	2476.385	6411.462	4651.172	4651.172
51	Spectrogram 1	1	5.143709631	5.144707364	2476.385	6411.462	4651.172	4651.172
52	Spectrogram 1	1	5.144707364	5.145705096	2476.385	6411.462	4651.172	4651.172
53	Spectrogram 1	1	5.145705096	5.146702829	2476.385	6411.462	4565.039	4565.039
54	Spectrogram 1	1	5.146702829	5.147700561	2476.385	6411.462	4565.039	4565.039
55	Spectrogram 1	1	5.147700561	5.148698293	2476.385	6411.462	4565.039	4565.039
56	Spectrogram 1	1	5.148698293	5.149696026	2476.385	6411.462	4565.039	4565.039
57	Spectrogram 1	1	5.149696026	5.150693758	2476.385	6411.462	4565.039	4565.039
58	Spectrogram 1	1	5.150693758	5.151691491	2476.385	6411.462	4565.039	4565.039
59	Spectrogram 1	1	5.151691491	5.152689223	2476.385	6411.462	4565.039	4565.039
